 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135
1,191.678,214.994,464.566,56.719,125.912,371.141,408.366,238.226,475.011,173.196,42.361,355.344,462.698,645.450,435.868,564.901,925.473,756.629,827.629,601.167,363.020,338.056,184.341,144.179,44.768,67.494,373.387,322.506,266.228,614.280,280.052,339.812,225.850,118.602,21.414,85.599,251.153,162.868,266.812,1451.612,653.351,604.978,370.953,190.292,100.720,706.494,108.257,350.247,24.742,40.241,91.366,21.861,106.244,35.297,268.826,699.705,112.788,117.046,484.430,330.110,461.207,430.733,234.038,216.255,278.709,1003.933,803.705,333.945,231.789,768.169,597.983,532.032,977.871,661.171,419.057,373.173,412.229,169.016,225.438,189.842,84.672,299.486,502.053,340.785,394.853,233.769,536.474,355.579,503.355,519.483,497.183,382.425,96.727,270.680,183.768,599.695,648.915,568.258,496.493,573.608,629.568,448.907,59.981,107.867,624.112,321.896,89.047,228.208,212.738,192.675,359.410,429.729,120.004,344.636,259.014,177.282,491.950,556.874,731.097,609.619,231.151,198.592,540.967,473.023,539.848,261.317,381.955,378.996,424.785,539.093,450.479,599.791,269.639,609.873,507.518
2,190.424,339.437,477.645,160.156,187.676,224.833,266.149,436.000,415.320,247.561,48.398,283.094,526.544,582.758,463.014,730.736,676.205,531.376,855.969,442.378,668.269,342.464,366.810,170.058,107.346,379.574,379.718,533.267,277.159,666.108,270.859,360.116,203.525,42.120,90.058,50.797,259.546,188.333,156.625,1530.478,377.462,890.426,76.562,252.918,98.108,377.641,119.660,173.768,108.268,98.772,105.093,59.861,129.154,169.437,411.429,617.275,179.146,135.120,427.746,392.355,465.476,415.696,305.332,204.526,233.725,1041.052,537.691,541.047,355.258,617.259,818.701,530.814,1097.462,627.880,259.535,570.101,436.541,364.873,211.265,184.716,181.815,214.140,603.539,457.446,435.429,360.850,489.863,311.051,469.584,613.167,582.925,331.773,166.731,147.602,247.768,470.114,759.630,813.497,602.453,882.386,436.227,397.250,92.601,122.863,548.420,304.006,118.733,177.630,181.110,152.702,289.580,415.971,211.547,574.640,428.827,164.596,297.289,683.196,867.929,466.469,136.871,259.886,442.517,474.911,253.111,259.983,561.929,237.655,375.489,389.763,489.085,446.041,424.415,512.480,786.357
3,429.563,446.120,593.452,403.073,136.360,123.603,374.975,444.221,334.803,228.495,157.977,304.805,320.167,944.624,560.868,580.182,573.134,755.914,698.730,589.519,780.802,297.664,205.207,338.191,148.719,397.227,470.608,480.198,278.011,671.898,201.748,357.554,151.758,34.922,148.455,27.134,197.866,221.167,262.929,1636.241,677.526,563.120,256.325,247.615,245.203,429.065,237.072,307.101,163.869,78.490,122.552,98.139,101.199,108.139,504.244,557.246,109.819,137.500,791.671,558.994,612.793,689.255,131.312,346.412,229.878,935.114,594.327,411.030,239.632,883.955,882.655,630.340,1427.917,628.014,632.032,482.397,353.985,68.865,250.775,312.743,246.869,146.955,696.551,400.661,417.395,186.734,493.040,415.180,509.594,710.997,559.131,501.560,145.945,194.704,271.421,398.910,657.471,623.944,581.511,688.228,633.410,300.419,109.097,141.536,644.531,381.559,117.612,268.630,273.289,204.902,279.031,384.708,91.094,487.545,468.095,186.071,679.456,579.043,883.184,491.289,228.978,186.027,392.401,685.749,555.958,281.843,518.539,352.393,458.480,298.374,583.897,684.832,314.893,660.971,636.768
4,367.767,499.317,728.120,204.604,212.029,144.256,127.646,301.261,315.051,65.178,127.436,195.133,472.851,779.557,403.819,284.777,491.562,737.312,449.591,612.782,542.228,487.512,193.609,214.468,168.395,372.847,284.646,485.442,380.164,707.694,201.615,305.920,283.375,73.711,82.199,103.316,388.657,181.491,364.554,1588.125,503.754,402.077,179.964,109.805,149.871,635.991,94.732,256.283,108.793,40.025,15.058,193.644,198.333,291.462,501.397,351.208,263.389,233.231,460.298,490.942,665.972,457.068,434.938,150.702,407.286,1081.690,646.853,519.438,290.332,883.045,886.650,712.606,1301.007,874.590,536.688,494.866,575.663,331.056,276.458,165.675,135.627,232.136,766.811,608.709,456.271,168.938,817.120,482.696,537.877,665.115,618.887,520.928,208.189,254.405,276.554,584.802,745.439,903.258,856.079,463.456,628.913,588.225,140.057,121.885,536.067,359.267,160.879,169.419,289.766,268.408,346.676,357.667,207.488,560.799,425.861,381.538,410.527,665.765,646.360,432.277,146.509,143.271,398.762,448.786,516.092,515.217,431.959,356.421,687.587,430.522,527.588,589.195,348.761,557.971,527.208
5,282.812,407.856,607.705,335.281,156.574,364.019,220.820,377.317,636.438,103.589,96.135,386.250,571.684,719.020,978.146,462.091,298.848,528.715,521.069,485.994,534.558,389.640,296.268,415.035,168.324,270.926,233.746,490.890,340.529,831.124,342.933,316.232,414.733,52.880,50.099,34.027,349.944,182.298,136.009,1208.460,473.339,571.634,408.740,249.159,138.491,557.710,192.928,436.035,101.263,64.311,136.645,63.861,88.744,54.734,541.362,437.720,231.553,75.639,451.320,453.877,443.021,479.919,212.923,155.615,394.095,1096.900,703.811,541.396,250.032,886.562,1027.057,376.303,1240.901,832.673,279.669,735.106,366.741,113.611,184.622,250.636,245.914,302.752,639.625,407.701,597.943,375.616,450.263,368.042,417.280,555.687,582.047,408.816,73.147,238.208,297.695,500.856,725.561,688.783,476.694,507.515,647.546,382.898,197.660,111.029,514.710,423.835,103.617,321.398,309.736,267.580,404.076,334.646,122.567,423.235,458.296,288.446,339.059,565.896,973.498,626.224,158.866,242.836,543.428,454.657,383.212,316.583,579.680,297.583,337.013,416.726,377.630,585.241,407.488,487.977,633.024
6,343.939,241.263,589.337,234.667,178.404,284.564,240.304,451.251,360.820,81.402,112.767,401.594,722.265,523.396,699.042,828.455,738.509,773.027,896.723,961.487,718.584,554.576,204.156,170.538,78.130,234.460,292.459,538.006,500.180,596.371,260.919,316.027,212.658,53.253,98.545,61.882,231.801,254.202,152.357,1779.710,403.251,673.530,199.911,219.492,194.754,366.701,167.891,325.429,80.086,98.241,141.453,83.028,302.667,126.778,444.422,530.111,295.531,194.954,682.101,193.923,875.462,497.106,226.846,297.785,286.524,835.567,615.465,709.932,349.521,905.378,815.514,601.059,1229.545,704.355,418.694,706.179,565.995,280.373,273.149,293.227,248.850,369.948,626.206,493.315,520.311,300.009,677.011,377.491,461.113,643.851,437.329,260.821,157.311,198.489,427.460,413.222,458.116,724.531,459.421,738.000,513.843,434.530,95.873,103.978,464.746,399.632,147.678,350.493,287.254,310.957,361.663,390.383,134.520,533.345,504.677,379.131,376.121,759.074,865.356,506.687,193.935,241.462,447.238,536.923,538.581,362.517,634.026,242.175,537.408,374.133,394.194,469.377,297.371,411.000,745.417
7,450.388,350.629,528.717,174.229,148.507,401.628,203.168,372.779,434.056,59.505,155.436,249.023,566.316,616.181,482.396,883.165,819.161,624.882,733.610,583.353,613.929,345.800,153.240,274.746,88.951,175.199,306.580,359.669,478.370,981.188,210.570,276.723,139.958,45.548,96.230,62.941,338.208,124.570,274.929,1613.634,621.339,511.454,134.533,217.256,180.073,342.264,261.551,320.702,117.045,62.544,88.645,101.722,153.333,120.367,506.118,554.580,203.018,103.111,497.627,313.110,463.269,464.907,363.880,351.400,151.683,885.081,425.180,493.417,272.316,648.801,858.780,561.590,1232.343,755.346,305.777,483.905,501.337,207.040,293.418,226.785,144.841,229.346,826.037,498.829,266.706,314.781,445.623,492.636,491.496,592.808,681.488,550.778,104.122,143.451,305.766,495.808,976.810,967.519,500.478,621.784,537.886,392.165,147.518,260.766,724.000,401.835,87.402,229.877,173.524,205.800,375.185,471.842,130.697,424.250,632.922,422.904,519.226,622.652,1054.210,513.316,216.866,217.064,509.094,665.974,383.175,349.461,648.833,257.123,610.516,489.233,539.312,505.164,353.785,584.965,681.018
8,299.763,400.533,504.367,35.646,133.941,224.429,151.248,427.668,625.270,184.449,141.000,291.984,405.995,480.671,626.625,556.471,795.670,700.565,762.774,543.494,755.198,174.248,135.609,153.821,38.400,372.602,183.249,402.628,189.841,493.984,191.585,405.696,197.383,75.090,84.843,30.786,317.505,194.263,253.286,1279.290,432.988,383.344,91.994,303.626,169.802,503.866,227.558,278.505,137.182,82.216,156.070,129.994,36.013,43.089,432.449,391.164,223.774,178.704,488.197,399.239,539.793,448.366,284.923,299.114,366.651,1261.595,513.779,491.502,365.184,555.249,835.446,582.745,1336.472,656.700,510.548,510.000,584.844,133.865,321.755,210.573,217.194,286.920,663.802,510.155,649.277,253.703,239.743,451.404,425.833,628.387,587.244,615.135,193.193,137.563,215.681,484.380,850.233,722.461,678.928,629.193,652.293,434.233,239.968,216.478,400.402,283.394,96.653,171.715,151.025,168.576,282.663,208.692,210.173,478.538,490.558,302.054,482.121,744.274,700.865,720.136,164.444,252.528,473.099,428.034,587.760,409.174,550.219,479.413,709.722,472.563,386.724,595.250,327.361,704.555,780.685
9,340.657,407.802,287.982,149.969,44.824,166.603,272.801,483.477,369.747,203.037,122.008,233.062,437.186,694.886,417.576,825.248,630.089,512.387,723.943,575.410,728.376,341.944,453.860,265.780,116.881,393.097,435.702,508.512,442.921,641.161,262.363,304.196,233.300,109.861,62.942,58.743,213.995,228.474,119.589,1395.795,565.795,573.229,158.136,272.410,67.866,357.476,199.894,288.646,104.545,63.544,64.959,79.011,108.013,19.108,441.596,411.908,131.606,82.991,420.566,385.774,492.483,402.615,287.130,336.385,326.820,1151.571,517.392,450.894,216.158,795.075,631.243,750.973,1294.716,606.147,466.121,574.335,454.298,126.952,222.129,254.937,227.783,308.255,804.156,491.960,482.904,270.931,438.103,451.930,413.859,432.601,505.117,553.430,73.958,192.725,402.138,582.278,638.836,688.972,585.119,656.877,721.725,336.415,192.973,133.439,377.902,472.412,165.485,196.180,198.623,277.616,372.708,340.383,239.465,507.663,560.483,172.119,535.368,717.574,1023.824,567.734,235.353,193.408,358.754,444.626,699.705,344.374,589.349,294.425,381.762,550.167,466.430,822.382,311.220,412.376,677.917
10,129.714,387.383,465.410,286.375,165.419,218.808,341.795,175.146,328.331,46.308,81.496,458.172,485.474,621.631,731.292,448.876,993.018,505.059,781.761,1168.167,536.518,333.088,143.486,178.590,80.605,155.392,614.331,440.227,484.857,839.914,140.800,364.295,296.850,52.355,67.906,51.888,282.486,133.456,175.411,1644.781,451.199,518.208,98.734,170.574,160.983,439.528,200.868,330.182,67.020,73.593,96.395,28.600,72.545,192.082,493.411,422.672,207.075,202.269,536.031,494.761,577.531,301.894,331.990,119.923,244.910,1096.452,435.194,490.574,322.663,890.289,678.525,638.404,1352.733,598.346,168.885,458.240,560.083,166.357,279.783,203.048,121.796,300.829,562.675,334.896,226.932,215.500,702.749,440.998,440.663,599.115,529.545,576.594,169.622,280.056,331.517,736.090,773.677,661.628,641.079,490.064,694.843,518.894,151.412,138.032,538.018,373.939,73.970,280.102,216.162,216.220,436.303,478.312,173.803,672.299,545.337,200.356,626.301,1026.756,1005.850,563.941,177.849,138.779,482.884,478.400,672.184,420.165,595.513,466.778,592.453,391.370,461.188,498.900,474.215,491.983,672.458
