 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135
1,2409.380,3336.491,2889.964,1985.250,664.235,1228.679,1457.652,3082.814,3192.938,748.850,630.594,1165.820,2166.558,2620.443,2277.514,2857.471,1272.661,1984.038,3432.069,1943.526,2343.178,2028.632,866.056,1838.821,850.114,1290.909,2379.641,2743.047,2420.942,2396.479,1174.452,2685.455,1304.108,409.054,447.623,368.134,2108.806,1256.561,1155.250,1772.946,1584.240,2499.481,1095.012,881.364,955.302,1562.351,873.528,1205.167,675.556,445.714,423.750,338.967,601.135,634.608,941.052,1426.952,983.881,658.764,1641.132,1643.761,1909.552,2050.820,1134.875,1577.520,1012.138,968.829,769.737,793.481,787.411,1128.174,1062.621,976.053,619.036,1329.364,592.841,807.955,624.937,277.833,734.418,698.239,566.959,927.427,1167.259,624.243,1007.034,911.306,896.006,594.584,649.445,1099.288,688.671,958.343,678.500,397.363,800.364,974.611,1079.106,1185.617,1238.622,2237.368,1121.022,753.347,568.049,516.137,1253.938,1160.420,370.529,722.299,793.017,865.690,805.533,929.304,590.870,1495.951,763.058,725.256,760.828,1583.022,1297.390,1429.481,695.953,934.508,1077.412,1225.986,892.604,845.344,735.383,500.643,1282.377,758.900,1040.967,1629.664,1543.629,1577.243,1287.726
2,2536.457,3714.401,3283.747,2648.979,913.044,1286.968,1429.553,2780.156,3592.927,894.467,748.444,1422.328,2537.591,3437.188,2410.424,3548.413,1676.857,2425.844,3129.050,2173.090,2552.954,2208.184,1253.927,1789.023,763.065,1650.841,2321.597,2864.337,2357.709,2732.328,1535.163,2610.062,1412.608,357.669,273.984,357.829,2410.097,1134.895,932.312,1869.620,1726.485,2157.290,1068.361,849.451,839.845,1643.931,928.396,1262.237,482.631,407.793,430.884,385.872,389.494,476.563,1277.770,1627.575,1220.288,733.796,1670.399,1431.658,1912.862,1916.180,872.716,1687.526,1294.497,996.214,891.401,696.102,1094.226,1334.303,872.774,1157.229,668.980,1220.539,988.541,818.715,718.341,498.714,761.574,758.451,554.067,1256.448,1049.132,714.088,921.689,841.719,770.303,688.171,691.856,1079.328,912.582,1014.570,651.996,417.053,837.040,961.560,808.312,1141.153,1411.421,1938.041,1225.555,831.390,550.070,545.612,1182.893,1195.278,374.691,811.577,693.870,737.518,971.345,929.567,742.646,1724.651,725.861,856.570,958.879,1806.891,1302.678,1476.189,826.237,789.930,1035.807,1245.369,1009.885,765.683,789.175,554.246,1398.762,660.400,1032.688,1611.314,1980.263,1642.821,1281.095
3,2820.804,4173.473,3776.892,2271.510,1007.412,1413.276,1426.453,3378.236,3639.090,872.505,941.135,1462.219,2632.781,3155.839,2446.521,3507.339,1894.277,2662.844,2912.314,2491.026,3003.416,2408.544,1056.553,1863.428,989.524,1665.301,2239.321,2790.227,2713.185,2859.575,1879.304,2585.045,1830.008,501.036,315.414,435.326,2596.727,1827.684,1462.866,1877.616,1673.667,2101.219,999.823,838.805,814.888,2106.541,907.253,1541.232,542.439,411.714,304.424,361.544,444.641,459.506,1339.293,1702.029,1118.310,778.176,1739.461,1387.903,2136.365,1545.584,1293.865,1698.363,1295.101,924.605,1002.456,920.051,886.579,1011.284,889.215,1214.766,590.842,1283.267,744.108,947.587,658.332,223.778,744.791,781.573,788.653,981.434,964.749,682.793,1145.113,1102.844,905.811,570.890,645.532,1165.266,885.103,920.696,815.613,461.514,838.088,1006.698,1236.000,1187.275,1545.730,1901.567,1212.769,962.538,546.809,585.216,1600.768,1223.965,371.959,794.151,685.282,734.753,1165.940,978.017,900.323,1789.038,736.095,690.103,921.050,1867.348,1204.929,1343.537,579.621,904.448,1181.072,1215.880,1059.198,785.696,849.167,530.254,1379.139,763.422,1096.485,1698.514,2195.312,1353.694,1234.107
4,2928.245,3983.820,3536.211,2634.875,1157.478,1597.090,2112.938,2939.236,3485.180,1046.467,1020.872,1615.766,2997.898,3947.322,2901.972,3669.364,2056.607,3322.145,2613.786,2751.603,3288.406,2599.824,1381.665,1998.907,956.384,1831.528,2261.033,3068.698,2847.021,3390.005,1610.363,2392.197,1927.417,690.193,480.435,457.770,2995.329,1875.228,1530.857,2086.902,1947.930,2023.459,1145.172,925.359,971.349,2012.654,725.030,1520.783,780.556,448.461,540.105,388.350,635.603,809.949,1418.857,1685.010,1099.062,863.949,1910.088,1772.116,2162.324,1788.528,1309.264,1778.585,1117.190,1138.824,986.627,727.570,793.858,1047.174,1117.836,1208.053,853.871,1539.793,846.694,848.263,716.044,266.270,722.896,833.773,760.666,1168.343,1181.173,849.558,1181.571,1085.066,740.091,713.836,806.113,1226.177,673.394,1489.942,771.815,374.856,884.627,926.389,1092.677,1187.556,1429.633,1650.310,1105.253,946.708,594.730,470.421,1219.196,1406.043,442.157,845.877,901.696,872.631,979.358,1130.792,996.102,2055.780,773.534,865.320,1285.184,1873.096,1441.869,1501.127,591.539,928.997,1366.227,1459.497,1084.853,860.752,802.888,604.750,1265.901,784.967,1231.270,1876.905,1929.912,1720.087,1303.673
5,2717.380,3769.754,4284.668,2205.875,1119.993,1464.846,1983.491,3231.417,3463.860,1469.738,851.128,1783.367,2271.902,3670.859,2809.521,3409.950,2247.625,2919.785,3092.082,2501.282,2953.893,2214.216,1123.698,2013.509,747.378,1534.778,2348.635,2765.366,2891.741,3272.339,1629.859,2893.045,1658.533,483.928,353.670,456.984,2883.037,1690.675,1611.589,2237.415,1857.637,2169.147,1056.355,1347.805,900.440,2155.697,793.638,1057.540,691.843,480.510,510.756,393.839,513.609,742.715,1349.303,1758.739,946.836,854.801,1745.386,1973.587,2541.490,2422.696,1246.149,1699.898,1338.190,1045.833,816.608,837.260,1026.616,1256.090,928.780,1211.239,715.802,1160.525,990.038,995.771,776.473,421.730,693.076,736.454,823.838,1088.063,1169.128,849.817,1129.311,993.056,893.760,595.498,751.452,1137.870,794.624,1393.778,610.655,357.595,727.297,1112.057,1520.058,1108.611,1519.752,1957.199,1109.306,1025.386,556.712,526.547,1687.339,1215.351,400.413,592.736,675.536,906.282,1157.588,922.983,913.083,1739.114,933.609,954.599,1063.498,1767.274,1400.281,1684.968,610.793,1078.646,1219.898,1372.149,1377.060,959.452,775.383,673.460,1229.883,827.726,1243.512,1646.095,2066.171,1850.266,1419.952
6,2723.890,3916.287,3788.385,2174.688,1194.198,1401.077,1780.087,3424.859,3820.107,1396.467,1107.865,1502.938,2556.256,3170.033,2748.000,3513.388,1825.607,2648.312,3561.490,2351.449,3111.695,2457.064,863.849,1842.347,792.092,1398.051,2534.144,2744.913,3011.302,2842.312,2032.074,2288.161,1485.050,485.874,291.126,368.936,2385.958,1595.588,1532.857,1892.835,1788.556,2484.027,1169.444,1135.528,1134.392,2103.965,874.638,1461.929,572.338,423.996,501.558,578.800,652.180,661.601,1298.540,1879.507,1005.743,695.032,1623.750,1789.297,2301.179,2246.708,1225.861,1948.646,1327.550,1130.800,927.903,834.332,858.816,1316.159,1101.904,952.521,664.749,1285.000,978.236,905.788,749.112,334.968,722.181,819.203,759.360,1129.622,1016.016,766.904,1025.763,1256.853,620.543,732.285,541.141,1185.105,864.723,1284.498,784.462,355.000,953.929,969.880,1167.344,1163.214,1470.611,2043.322,1274.454,1012.814,663.876,583.047,1622.317,1444.985,418.722,791.060,733.791,873.000,1148.300,980.763,833.894,2000.064,919.449,856.180,1081.205,1817.009,1363.090,1832.466,656.159,897.615,1269.011,1289.937,1073.594,978.844,963.903,652.992,1263.502,783.219,1214.945,1563.718,2255.961,1866.711,1387.804
7,2606.151,4498.455,3450.313,2189.240,1286.552,1544.321,1843.118,3109.492,3742.354,966.748,841.835,1626.195,2751.270,3415.852,2684.896,3790.413,1542.786,2442.457,3957.434,2255.474,2761.944,2046.720,1179.732,1815.711,679.443,1488.915,2831.889,2669.692,2782.360,3111.618,1432.318,2668.848,1704.200,467.265,272.707,500.225,2702.019,1126.746,1413.973,2176.451,1876.503,2485.891,1208.337,1096.436,1067.815,2253.498,950.932,1484.349,498.803,462.315,393.035,404.783,536.051,692.443,1432.969,1560.971,1035.310,766.426,1746.728,1616.213,2277.573,1961.509,1264.490,1836.363,1284.037,1003.648,950.788,720.413,850.337,963.020,1025.949,1000.628,657.842,1178.968,859.268,1048.095,693.561,305.436,794.711,645.218,652.975,1188.615,1013.136,727.215,897.571,1181.684,682.366,669.189,705.473,1274.582,1039.446,1074.942,727.798,400.380,903.169,962.617,1337.487,1218.239,1328.468,1996.170,1168.707,813.661,761.507,559.608,1654.424,1477.220,439.708,728.176,741.688,1060.145,1173.021,943.096,712.583,2055.250,853.779,770.971,1015.113,1925.252,1324.371,1612.543,713.168,950.759,1060.298,1264.477,1210.871,1170.287,812.346,472.064,1297.861,855.889,1320.894,1724.618,2251.854,1639.468,1194.708
8,2709.816,3997.311,3564.849,2251.333,945.926,1383.731,1371.503,3174.427,3755.315,898.252,804.398,1314.914,2647.032,3559.839,2824.799,3375.248,1635.866,2559.107,3485.503,2570.821,2924.188,2111.576,1185.760,1602.353,1046.141,1620.875,2523.735,3132.163,2754.794,2797.398,1599.881,3219.714,1791.342,464.078,318.654,387.316,2491.407,1099.175,1598.152,2108.469,2011.778,2344.475,1141.604,992.359,1140.500,1805.810,850.502,1244.975,724.414,536.178,516.465,415.578,574.077,723.633,1248.408,1757.957,1056.199,561.657,1888.610,1809.039,2189.076,2047.764,1370.409,1886.997,1264.413,1176.048,941.456,764.740,837.153,1182.821,956.780,979.787,687.152,1483.631,1004.828,967.218,871.244,366.825,678.855,862.230,662.076,1300.028,947.700,725.482,1198.107,961.969,843.806,646.874,613.712,1319.851,1048.469,1125.391,658.155,455.162,930.703,1081.102,1028.164,1197.272,1656.209,1882.398,1140.900,995.500,644.415,483.187,1471.830,1315.699,395.435,796.401,785.329,910.008,1231.600,750.867,912.055,1761.526,757.673,738.955,784.921,1892.552,1324.607,1530.622,543.116,929.214,1220.481,1338.863,1194.226,977.848,1012.290,772.607,1532.816,808.030,1378.148,1795.891,2034.112,1871.988,1587.560
9,2793.992,3877.263,3469.385,2460.312,1159.978,1261.538,1504.460,3145.764,3485.174,1003.869,875.271,1667.492,2708.112,3673.047,2734.333,3129.653,2143.902,2340.876,3387.082,2355.596,3251.513,2300.648,990.073,2035.220,843.314,1740.938,2512.028,2974.430,2227.090,2681.091,1456.852,3274.572,1842.417,369.235,309.581,373.102,2542.125,1539.096,1217.375,2051.982,2001.058,2374.967,1107.006,934.749,1085.328,2045.606,768.109,1469.141,596.672,562.739,457.901,375.483,644.635,712.082,1220.467,1760.855,1097.217,951.398,1438.711,1689.361,1937.635,2114.553,1128.764,1916.597,1227.556,1128.162,920.447,899.311,854.605,1078.129,1342.588,1124.585,581.211,1321.092,840.382,1142.950,720.893,220.738,845.892,678.254,659.624,1183.598,1296.432,711.765,864.576,1094.394,760.514,635.930,729.810,1125.371,811.962,1282.116,709.223,473.856,966.650,981.554,1251.106,1163.642,1586.151,1905.275,1104.127,738.280,635.477,390.604,1386.616,1360.188,400.890,685.278,740.337,977.275,1225.016,1098.808,904.453,1816.019,816.888,958.962,900.757,1757.639,1203.959,1628.903,481.884,902.853,1203.815,1500.683,1241.115,980.509,995.717,524.599,1352.256,999.837,1298.127,1706.336,2266.346,1935.289,1248.833
10,2697.902,3578.910,4100.150,2026.979,1133.522,1807.154,1714.509,3001.814,4061.247,1476.523,949.669,1875.641,2960.042,3140.121,2560.201,3358.975,1637.759,2479.032,3523.597,2388.397,3059.416,2199.224,1152.860,1611.827,737.984,1519.057,2805.232,3018.988,2849.444,2820.635,1597.919,2949.098,1548.608,396.422,408.141,549.551,2788.199,1378.061,1060.089,2238.103,1970.684,2271.508,1206.213,1170.533,1177.060,1725.242,1032.521,1343.121,628.854,405.485,442.797,351.739,525.750,603.930,1421.711,1912.077,998.823,789.370,1672.768,1920.613,2110.200,2232.236,1147.101,1796.551,1456.032,1130.000,848.378,1086.553,1080.689,1416.234,821.119,1027.543,663.310,1336.613,899.382,953.654,739.551,260.230,926.647,848.164,699.809,1156.993,1013.852,782.375,1050.542,1230.194,962.457,621.575,671.805,1090.969,1005.892,1262.889,674.861,329.028,1008.460,1006.099,1240.106,1187.975,1457.252,1774.281,1237.930,884.186,723.666,682.032,1329.857,1418.496,304.620,709.275,887.379,797.506,1087.029,844.233,872.165,1889.591,1030.799,718.292,1008.992,1965.478,1239.056,1589.979,782.534,866.809,1203.182,1474.363,1351.659,933.548,878.848,641.063,1411.175,870.452,1162.561,1813.786,2125.205,1942.370,1276.958
