 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142
1,154.237,213.270,443.511,136.288,180.073,127.884,103.326,139.650,40.517,134.712,283.469,208.363,154.385,277.405,206.989,383.551,8.388,310.614,278.882,153.442,61.032,439.381,312.478,385.909,415.137,399.077,54.000,183.077,522.875,718.702,73.263,454.971,308.458,610.214,423.382,223.774,206.245,385.804,314.288,111.089,198.072,436.696,494.750,243.889,78.653,162.659,565.703,155.453,388.015,238.676,332.875,553.109,166.420,388.759,701.301,110.054,162.721,361.727,407.373,197.373,353.203,506.322,668.043,608.884,623.465,298.881,579.476,404.690,208.331,176.835,122.695,221.865,203.220,275.462,458.256,194.883,327.548,87.791,222.632,148.398,148.048,331.672,216.771,5.327,14.775,62.288,317.380,532.058,449.763,732.477,184.045,298.291,232.774,259.107,373.806,391.942,381.513,71.662,56.062,79.400,100.044,164.725,90.333,12.241,32.659,11.800,249.659,69.806,306.737,324.271,332.386,205.475,271.653,369.424,560.667,160.833,169.027,146.343,411.862,129.154,653.433,345.059,415.460,417.140,7.636,10.957,35.906,8.405,10.200,227.712,233.120,42.543,68.574,42.216,292.472,124.980,10.143,8.414,56.015,299.000,301.607,628.375
2,294.932,216.444,424.311,120.385,149.171,286.512,275.435,69.933,214.033,19.365,319.204,323.237,195.308,246.095,285.591,169.265,341.265,387.068,141.721,49.346,229.556,533.548,129.328,103.394,34.804,213.821,326.540,257.679,620.571,246.213,173.842,923.912,373.875,304.119,350.882,390.677,335.943,628.565,690.729,251.535,405.797,662.841,293.115,219.937,182.797,169.451,144.953,396.384,115.354,118.956,460.545,341.055,221.174,566.862,660.247,240.893,277.492,388.382,354.490,291.693,544.284,606.085,660.761,570.000,1049.803,868.119,522.786,533.052,196.662,349.506,338.542,409.011,283.424,332.808,93.070,132.948,202.871,112.493,667.702,138.061,267.097,233.269,144.167,176.592,130.775,8.692,665.200,379.928,484.105,319.886,186.182,99.255,386.094,514.679,143.328,400.808,536.436,30.838,130.375,7.508,378.600,113.700,219.429,154.500,324.146,17.325,114.932,114.657,496.456,399.286,329.439,529.941,331.158,439.729,743.889,52.118,100.676,121.713,339.513,112.538,516.744,306.228,163.651,903.012,14.896,104.447,10.792,11.432,10.943,32.288,420.400,263.348,101.262,339.843,332.750,160.000,5.286,16.829,154.279,165.114,314.321,184.500
3,25.373,127.397,194.667,82.058,14.317,215.907,379.043,102.383,106.767,27.885,462.265,122.262,227.877,34.310,413.398,621.776,228.592,262.864,269.779,178.558,223.381,571.905,160.343,32.636,178.471,366.256,552.095,260.333,498.875,348.064,18.500,374.721,451.292,252.738,589.206,81.516,289.981,202.674,710.983,162.248,128.420,360.116,172.808,284.413,130.771,112.110,191.750,324.698,115.785,469.941,261.784,827.673,178.696,220.586,583.274,453.304,253.787,105.273,611.490,356.187,458.473,574.237,776.500,357.246,974.761,877.214,400.524,343.190,303.432,164.316,103.559,632.989,253.898,325.404,185.721,242.286,522.774,188.866,287.912,229.888,183.065,486.000,217.500,40.551,239.113,96.192,195.480,890.217,221.763,890.773,147.364,222.218,551.906,239.161,212.149,57.885,320.410,182.311,113.075,39.138,39.222,106.650,113.119,65.667,265.707,152.650,176.409,186.463,447.053,482.443,371.895,377.307,306.137,268.034,417.778,75.882,112.441,216.333,436.438,166.646,795.778,457.337,513.492,999.570,65.247,103.936,152.000,46.108,6.029,76.898,191.360,203.109,272.148,197.020,199.833,52.347,87.304,170.043,48.559,289.886,472.571,278.150
4,220.051,331.111,385.889,361.558,175.854,123.349,176.087,319.867,104.483,115.962,463.388,55.475,64.354,159.048,239.043,421.755,113.327,513.250,227.500,124.865,251.365,175.500,326.925,203.636,745.157,94.974,232.873,159.590,610.214,166.702,761.474,397.824,438.104,88.786,289.235,476.161,390.811,608.370,468.085,444.960,356.232,652.420,471.135,134.937,176.712,52.352,251.172,335.233,303.354,298.015,461.136,296.200,182.391,342.241,620.740,207.732,205.475,432.673,552.157,219.587,263.581,560.034,876.739,487.855,749.887,608.976,698.476,723.310,271.230,258.051,226.746,453.966,240.203,182.673,92.535,243.844,258.177,261.254,253.684,280.388,455.645,479.284,44.000,249.592,126.521,6.327,575.620,888.333,723.974,328.955,198.364,331.673,364.755,250.304,467.269,347.250,308.410,106.054,83.088,160.446,136.556,267.275,167.381,315.352,334.634,9.725,177.795,20.343,413.018,637.914,617.649,277.584,242.758,498.271,822.556,149.294,129.495,241.519,168.288,279.554,491.322,280.545,121.841,648.674,46.649,66.383,12.189,119.297,72.257,304.729,161.760,140.565,119.115,86.235,99.667,133.429,182.696,10.729,17.721,137.714,21.464,290.300
5,260.915,199.619,247.378,249.712,60.854,114.488,98.587,120.950,85.583,40.019,91.939,418.812,226.092,236.214,396.172,200.837,298.204,112.636,180.706,211.327,143.063,192.452,218.418,332.758,169.000,189.077,439.127,69.667,170.250,489.468,651.605,413.029,194.417,183.310,288.941,708.226,416.906,385.761,165.661,291.911,400.420,872.464,242.769,215.556,94.390,47.549,183.297,458.535,378.477,202.309,352.136,283.364,188.928,561.534,469.548,221.911,158.656,269.618,539.235,155.573,480.919,379.678,660.196,531.130,810.662,510.024,486.405,368.931,312.216,317.696,288.780,403.236,255.017,209.462,38.860,252.208,510.548,249.672,442.193,486.133,356.548,360.821,46.396,6.020,51.197,284.308,333.740,737.203,127.184,280.159,13.295,142.564,634.208,383.946,431.821,236.538,628.385,93.703,73.775,54.769,9.600,69.900,282.548,102.630,29.293,252.900,40.295,136.612,323.860,472.614,265.632,185.663,140.505,371.339,399.667,95.520,74.541,364.370,262.800,114.077,730.944,426.614,383.127,570.814,38.701,168.915,59.717,12.486,9.086,168.915,278.220,87.196,144.295,222.608,325.306,235.714,126.357,85.200,94.294,248.029,327.750,442.550
6,451.627,121.619,261.600,213.154,92.829,277.884,344.435,389.550,239.467,46.288,137.041,134.550,257.554,213.000,382.624,202.306,249.245,182.977,255.294,139.846,118.460,94.048,331.284,32.030,112.608,260.308,301.016,279.718,713.036,205.000,485.105,701.838,308.188,391.976,251.853,150.065,990.943,204.304,433.847,168.871,278.768,444.493,676.385,669.444,121.322,147.538,180.984,383.221,254.508,78.706,531.080,255.236,272.710,891.034,616.794,349.107,96.623,309.091,321.314,236.640,336.365,366.847,472.413,490.478,751.239,900.143,886.143,408.276,148.971,353.975,227.051,431.090,418.661,326.269,150.163,193.753,462.548,125.119,233.228,364.908,520.532,232.209,58.125,75.633,45.183,140.885,284.900,678.710,555.816,561.409,243.386,189.891,697.245,430.446,293.269,399.500,370.385,121.446,110.700,27.769,29.956,11.625,339.333,307.222,129.415,445.050,247.568,171.672,499.509,384.314,512.368,247.426,244.211,493.034,948.444,226.088,149.450,276.556,371.875,218.985,659.711,359.663,315.064,684.221,7.597,80.702,20.057,86.486,8.114,306.847,233.020,83.870,131.164,82.098,176.639,247.306,93.679,76.386,228.750,353.371,227.964,449.575
7,98.119,31.889,109.022,369.385,456.463,127.744,131.217,257.700,259.417,216.019,316.469,316.800,140.292,19.143,466.602,321.408,324.265,231.886,64.397,211.865,154.698,431.048,180.343,15.879,85.588,243.205,671.825,248.000,339.946,162.234,255.632,561.574,275.438,475.262,524.088,221.548,210.906,369.696,250.254,381.812,214.232,792.145,540.173,317.857,110.441,165.593,259.578,372.407,376.969,255.353,721.898,292.327,194.725,600.862,780.794,424.982,129.607,243.491,398.216,526.773,423.216,690.661,722.609,610.406,971.380,578.595,441.381,286.517,171.957,333.165,136.322,585.753,206.949,136.385,133.349,61.013,163.016,367.493,580.333,390.122,285.226,176.478,56.083,107.694,48.000,188.192,424.920,1096.870,514.763,466.614,40.591,209.036,422.396,440.018,289.985,346.423,446.282,136.784,225.175,78.646,271.733,344.025,67.357,422.167,198.146,152.050,55.318,147.821,153.491,922.300,508.719,156.614,277.716,598.932,677.694,174.627,35.802,223.296,304.725,75.938,638.767,284.149,361.032,628.942,8.494,93.851,107.377,131.784,90.800,201.712,433.200,132.652,212.705,174.784,315.722,200.898,9.446,9.900,242.353,173.286,298.714,436.850
8,236.847,186.778,138.022,239.500,127.683,367.140,245.500,72.017,234.567,65.096,163.878,307.100,180.492,274.381,468.742,201.816,212.388,213.523,259.926,103.058,249.206,837.381,112.000,167.727,232.608,154.487,287.746,91.372,695.429,271.000,504.500,674.926,186.729,163.595,600.706,523.871,193.377,177.261,299.576,342.951,463.420,699.493,366.981,488.429,58.169,130.857,179.141,169.733,255.815,338.559,344.136,168.982,118.522,714.138,553.329,424.000,393.656,550.636,588.765,334.093,697.473,465.017,661.217,994.464,933.014,657.595,460.476,601.931,219.388,355.772,135.424,467.112,89.983,123.596,188.326,334.260,350.403,152.164,129.719,422.735,186.306,245.299,156.167,95.918,107.915,80.115,567.500,573.159,436.237,975.795,212.659,266.036,651.679,382.714,226.731,299.538,442.641,102.892,108.850,83.862,84.467,45.775,186.119,185.852,297.537,206.450,293.364,216.373,639.456,583.229,474.000,378.119,155.242,481.559,291.806,73.402,79.991,293.824,278.163,201.308,673.433,331.168,473.651,577.570,22.961,42.596,44.887,2.595,24.600,332.525,333.960,11.326,161.984,190.216,140.750,284.551,91.446,52.629,103.265,190.571,127.214,522.025
9,368.763,160.000,299.444,156.769,258.098,166.302,241.870,70.267,220.000,11.673,445.918,215.262,408.862,669.500,479.710,382.776,18.367,355.977,118.897,104.077,17.952,342.095,359.060,399.576,317.706,242.462,168.175,156.256,197.036,443.170,557.737,646.279,583.354,259.976,397.324,798.806,508.396,552.022,175.492,270.238,340.594,736.797,563.808,203.905,92.780,216.396,364.719,289.360,252.400,611.368,390.705,618.800,265.391,453.966,457.671,279.179,266.344,555.200,644.902,164.013,214.608,375.695,870.217,626.246,822.155,317.643,693.595,208.345,295.540,283.418,481.729,514.708,170.119,286.404,166.140,280.403,376.629,383.298,458.526,277.378,528.823,335.239,174.479,12.551,79.901,280.135,506.420,539.435,542.158,578.614,175.705,186.327,340.453,422.036,395.955,427.538,171.718,34.378,199.700,11.754,180.822,92.150,286.714,199.852,215.268,5.375,9.227,146.119,262.088,543.814,249.561,234.604,307.547,612.136,417.333,189.343,211.586,151.269,213.125,129.462,459.478,507.049,435.492,670.570,130.182,67.043,31.755,167.405,6.514,132.678,259.120,246.826,48.672,270.980,193.639,150.918,13.446,7.029,59.029,463.057,193.071,294.450
10,113.864,144.016,87.178,232.885,105.829,160.372,374.717,397.250,275.217,20.692,550.980,316.188,266.969,102.524,354.086,275.510,168.163,413.932,39.618,68.077,67.000,187.286,97.910,124.939,134.824,46.769,343.032,145.449,403.143,466.043,679.658,215.765,725.917,845.905,365.765,190.452,388.453,463.500,318.797,181.881,101.638,764.899,441.673,558.571,252.441,222.363,228.422,283.267,309.385,149.147,387.455,539.255,210.174,444.483,731.534,603.268,166.066,315.545,299.275,114.893,147.149,314.254,930.130,431.928,1177.761,501.000,388.405,302.672,101.561,216.620,186.627,258.899,405.220,211.096,156.512,233.558,361.774,151.000,331.947,228.388,474.258,339.970,110.667,147.347,67.324,13.346,419.680,701.942,384.105,625.795,258.682,163.764,251.736,509.482,344.657,173.365,469.795,72.257,43.100,10.477,285.467,351.200,43.024,164.444,325.829,136.800,133.477,176.597,209.561,632.029,647.316,398.069,381.453,1042.542,289.944,204.775,193.919,251.176,284.013,205.123,308.989,483.901,505.254,505.849,7.792,53.191,133.321,99.811,10.914,269.237,788.100,322.457,111.557,49.843,224.917,44.490,102.625,6.157,83.368,255.943,111.500,309.050
