 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146,Mean147,Mean148,Mean149,Mean150,Mean151,Mean152,Mean153,Mean154,Mean155,Mean156
1,1055.882,663.739,411.055,415.992,1000.797,395.475,532.294,897.811,1246.408,465.031,568.847,396.674,456.085,927.265,456.758,731.297,548.783,544.103,418.299,280.238,744.917,398.893,580.043,541.687,340.959,533.148,577.450,490.843,326.338,378.184,279.411,134.226,138.149,665.711,378.433,614.253,519.878,371.878,500.128,209.969,205.926,399.926,716.962,294.145,338.361,435.404,259.670,575.367,276.269,807.132,624.234,222.220,190.228,357.571,496.279,180.071,127.650,147.964,292.329,779.788,594.400,382.353,404.919,329.768,229.786,149.884,239.438,180.096,413.646,603.943,305.667,167.926,259.457,744.140,877.308,598.548,729.500,217.523,329.598,198.147,271.776,101.589,304.900,140.479,57.029,162.295,358.111,173.116,430.154,1069.032,256.007,352.696,505.857,282.818,135.440,198.330,233.233,271.318,378.755,426.042,229.587,178.899,193.277,219.917,108.080,157.633,79.634,723.894,470.835,798.021,672.576,481.145,584.100,154.683,166.435,111.057,289.716,346.950,577.811,327.669,136.924,230.392,297.350,261.886,370.101,160.993,212.559,106.616,223.242,302.082,166.721,136.422,99.683,382.980,388.122,350.918,216.592,720.347,503.686,337.250,370.279,289.570,774.322,216.313,499.733,356.333,746.023,142.041,189.817,220.409,198.094,352.700,427.151,679.108,206.738,227.022
2,1175.882,662.802,449.582,284.380,875.254,604.115,603.574,1180.176,923.776,395.194,445.347,360.884,525.153,792.846,517.683,689.535,566.829,828.069,534.271,259.029,568.771,327.679,554.160,586.578,629.811,452.402,625.160,364.926,384.623,512.195,259.795,206.333,94.809,318.053,213.533,479.240,537.366,495.878,456.833,527.719,74.574,575.206,756.436,158.174,228.016,490.294,312.835,509.189,198.056,861.912,683.453,248.051,343.185,166.732,530.419,275.881,67.383,279.768,348.800,476.939,539.188,489.779,469.463,465.899,496.286,53.421,354.469,190.635,428.583,529.929,358.883,204.222,382.065,574.605,286.051,695.833,828.909,210.793,297.663,204.324,290.645,146.425,146.786,133.404,209.957,153.918,202.081,241.907,141.077,1043.766,380.193,383.645,514.306,161.191,232.707,155.852,265.388,344.755,302.042,364.458,332.303,289.151,305.475,185.271,161.272,202.725,189.871,496.385,436.806,897.277,625.624,1020.739,236.667,266.163,218.139,361.075,368.108,361.736,670.576,307.352,421.402,339.186,334.098,275.250,292.271,202.286,115.338,234.870,174.323,237.787,428.302,498.873,215.483,518.475,368.765,366.398,184.738,731.458,294.243,212.583,654.824,393.688,484.966,362.660,693.483,322.959,578.765,211.865,328.113,152.102,285.103,207.750,387.345,786.558,197.560,147.685
3,742.697,905.883,451.788,355.318,1280.525,634.213,821.088,957.716,1045.803,436.051,522.605,375.358,332.669,814.017,478.492,884.604,551.059,869.920,635.084,455.838,510.958,389.429,410.936,745.952,833.513,443.123,659.990,571.667,689.338,517.437,241.137,243.631,418.787,603.000,687.400,846.040,624.037,308.932,470.821,276.312,250.426,566.706,914.423,383.116,278.328,280.055,303.934,662.233,296.528,1037.588,755.297,259.254,433.207,228.018,346.209,380.738,153.483,274.696,228.612,624.712,706.650,305.147,330.047,218.253,347.235,240.421,516.427,70.346,431.606,736.029,444.350,499.481,225.130,307.070,863.615,706.833,467.727,362.865,347.848,283.873,413.421,153.671,135.757,95.191,140.304,99.607,209.808,220.430,355.754,923.755,213.710,398.942,467.408,313.955,108.103,203.409,208.388,452.164,261.189,393.542,333.330,376.165,324.535,339.226,107.984,233.927,348.581,668.375,479.252,880.989,1026.459,599.406,507.250,83.798,247.061,212.991,329.294,460.934,600.179,338.915,224.250,312.373,309.610,368.093,308.450,210.900,193.169,150.986,296.010,380.205,428.465,271.784,188.183,449.238,459.322,305.939,451.990,492.181,502.414,334.250,698.000,520.226,516.540,396.987,488.967,482.602,461.750,292.703,467.282,182.716,374.453,467.250,398.899,652.700,230.143,177.753
4,1009.789,621.541,477.712,767.364,1076.475,812.672,686.735,1167.446,1406.487,436.214,394.081,387.126,491.136,1162.778,447.867,1040.624,658.079,930.437,525.393,240.933,816.667,320.232,758.915,764.855,999.500,361.500,652.800,410.593,458.519,519.736,383.110,213.024,460.000,397.684,507.917,468.587,630.195,472.230,697.795,324.328,266.206,298.221,784.820,355.710,309.066,538.917,328.176,899.367,221.519,856.882,868.109,132.525,252.217,208.893,697.837,150.976,153.467,269.857,458.576,513.227,501.425,462.691,415.671,266.859,593.255,147.821,304.365,355.423,337.488,463.843,375.600,332.833,519.391,347.837,941.564,345.333,570.250,168.631,333.022,314.637,264.434,189.795,257.486,135.936,194.072,202.443,205.242,158.872,282.323,1316.862,218.524,601.978,414.218,314.691,266.397,354.557,362.397,364.055,401.888,504.153,369.239,266.129,191.099,217.857,128.376,181.633,231.032,786.990,527.349,655.957,684.859,627.754,541.250,73.010,273.591,145.132,378.225,524.678,382.123,486.599,292.000,287.941,298.455,267.436,399.194,295.150,261.971,218.925,277.556,215.631,452.209,244.696,122.317,385.545,439.435,479.684,478.165,1005.972,538.029,333.357,386.882,386.925,355.724,418.920,451.317,457.846,355.621,485.432,240.972,100.068,229.060,381.290,406.790,766.733,153.476,252.337
5,1167.408,890.595,436.500,575.574,1116.653,620.713,454.176,790.878,1325.776,563.745,481.234,383.821,521.136,1023.983,421.367,1063.168,500.875,707.759,548.009,375.124,314.083,421.107,698.138,741.217,756.581,377.262,757.520,418.037,359.507,420.862,224.795,305.750,802.936,399.737,704.233,561.253,539.951,348.108,476.590,140.438,245.250,259.368,637.680,208.290,218.279,321.972,247.736,797.578,169.148,1378.721,797.156,171.000,519.109,151.482,269.093,453.071,161.550,160.589,471.447,585.091,597.325,313.985,494.503,299.222,517.306,146.168,107.594,264.519,321.858,415.657,285.250,114.630,415.109,482.465,641.795,853.500,782.568,248.685,462.511,170.971,368.987,163.260,148.743,199.213,71.391,102.869,390.758,173.256,319.031,1159.202,343.352,445.732,498.592,244.609,233.034,334.125,263.974,187.564,382.552,534.551,291.312,215.367,207.832,323.504,115.720,392.138,132.172,615.365,590.699,867.564,785.247,866.899,270.917,153.721,180.835,256.283,356.569,380.810,680.849,355.197,144.500,216.647,549.463,207.893,311.023,273.029,197.993,230.342,215.758,207.000,376.767,403.529,146.800,494.297,397.861,307.663,406.748,782.569,381.714,400.964,362.044,407.570,677.954,437.247,669.500,379.911,654.212,279.189,298.620,184.398,160.718,385.030,355.563,1026.117,268.714,83.685
6,894.118,569.036,454.630,614.667,912.763,665.811,765.853,1123.284,1054.908,683.704,670.177,323.905,553.949,986.880,459.633,808.337,558.993,865.368,471.589,424.143,384.438,229.446,764.170,878.855,581.757,535.443,972.350,444.907,888.494,446.138,332.438,160.667,265.553,598.737,692.733,656.720,353.756,358.527,388.897,355.266,148.235,467.294,491.256,397.493,202.467,416.092,169.769,1010.278,116.491,1170.956,689.750,396.492,372.489,255.250,169.674,306.357,206.283,114.268,356.565,657.106,513.150,470.824,418.074,473.899,571.173,124.179,206.667,264.981,374.063,831.914,526.583,278.519,124.261,793.163,243.051,570.214,538.045,156.874,291.728,272.627,175.829,234.575,177.843,201.053,189.812,345.902,360.212,246.558,266.692,932.851,325.600,509.725,446.503,191.091,155.569,345.693,391.069,475.127,428.797,309.000,269.284,251.827,281.842,214.301,181.000,294.587,248.785,776.269,480.340,1071.723,792.824,769.855,846.600,97.365,302.713,271.038,315.098,463.289,571.726,345.021,247.467,174.255,395.423,325.593,322.395,211.607,167.816,208.425,153.434,317.139,359.558,346.892,126.083,404.178,508.043,384.449,584.078,659.056,448.257,413.060,326.132,400.634,694.149,508.280,633.883,368.667,603.401,286.297,371.451,416.955,157.273,286.190,418.218,902.258,154.857,207.449
7,1084.987,793.973,412.308,355.682,1203.644,884.049,687.426,909.203,1296.908,550.531,484.500,204.463,490.339,814.197,423.242,556.406,632.428,844.126,633.981,182.876,515.458,359.000,800.830,508.012,626.500,518.131,679.310,400.028,739.000,485.333,391.329,372.738,544.745,324.316,515.133,748.107,615.524,334.000,528.936,409.406,206.853,431.941,473.769,258.754,228.180,434.440,412.231,797.667,240.370,1014.000,571.109,325.017,113.772,361.696,325.279,148.833,312.183,211.268,516.729,598.485,556.287,353.971,432.463,236.131,448.224,146.811,280.677,212.538,370.307,534.700,688.600,232.500,428.130,302.465,535.231,623.762,590.886,201.270,287.293,246.824,329.197,134.507,31.314,164.245,142.739,276.279,161.535,254.977,376.108,877.074,296.655,597.377,413.592,202.282,172.440,425.943,348.612,358.336,331.629,363.110,236.523,298.151,305.040,203.504,82.456,189.881,397.151,489.337,550.922,1205.713,663.482,548.551,376.367,361.731,175.209,176.840,298.196,403.074,514.368,330.725,403.348,169.069,426.171,131.907,364.814,276.764,123.471,84.904,159.788,265.148,665.953,366.412,329.317,365.059,417.948,491.745,351.893,651.764,247.571,322.274,597.088,474.774,414.218,285.280,570.967,458.049,639.455,643.081,208.535,257.193,257.615,358.550,524.185,1175.108,208.202,223.292
8,894.000,746.441,426.425,399.566,1304.220,708.057,709.603,1238.811,1253.145,645.041,493.726,398.095,496.805,941.855,482.642,909.376,644.789,548.885,457.495,344.124,538.250,390.732,743.138,585.759,746.541,369.180,524.920,432.213,615.442,597.103,407.178,281.095,319.596,441.053,329.017,646.560,503.341,455.932,479.038,377.062,129.500,325.044,818.590,294.348,368.992,594.422,394.121,669.811,171.833,1108.559,688.484,135.373,215.859,344.679,429.907,358.119,253.050,494.661,254.941,689.924,491.375,493.838,582.913,342.879,302.408,113.158,390.667,204.865,399.307,649.143,514.233,156.000,377.652,377.093,640.410,561.429,1488.841,205.514,242.446,402.059,199.250,139.041,226.843,192.830,274.319,216.934,272.556,201.930,291.692,1098.426,265.503,696.638,410.177,230.136,224.276,445.716,367.991,348.455,363.881,370.153,285.477,169.108,309.267,350.008,189.488,246.413,221.151,718.087,421.214,751.723,577.588,714.087,570.433,242.769,190.365,264.896,195.088,344.529,435.132,372.380,281.435,266.088,344.374,324.121,257.248,276.400,195.287,179.021,229.414,312.820,854.233,330.578,131.550,378.634,610.722,384.194,329.845,665.806,354.600,263.810,473.338,490.215,328.287,365.460,503.033,349.423,807.265,397.216,424.338,214.818,243.462,318.660,396.521,927.292,186.881,88.753
9,1118.711,779.964,429.712,679.140,1188.144,675.820,536.926,1383.986,1122.039,350.000,435.903,335.779,363.407,782.812,683.067,932.891,595.730,600.644,631.953,291.667,470.250,288.554,801.851,538.422,778.865,589.590,617.980,256.824,835.883,517.943,348.151,423.631,192.787,315.158,403.533,682.853,400.622,183.338,252.859,149.031,153.074,468.397,565.962,424.333,197.959,292.661,335.736,650.578,421.778,1125.323,659.016,202.153,285.685,452.268,257.930,283.548,168.500,194.964,456.188,619.061,469.188,563.676,420.685,454.404,622.245,84.042,290.198,206.865,227.283,571.100,352.683,260.370,293.174,548.093,565.897,783.571,682.477,383.117,274.739,348.833,472.474,143.425,224.157,68.128,138.957,146.787,258.747,220.267,287.369,1053.192,295.786,525.964,388.612,267.473,184.164,288.466,134.862,476.109,270.322,313.559,336.835,333.403,264.594,393.887,164.264,294.413,404.301,626.260,646.689,714.372,926.518,783.145,572.867,171.731,316.174,148.000,366.853,370.727,749.311,284.528,364.304,262.147,355.870,303.093,413.349,385.293,155.382,310.740,216.263,372.918,717.767,371.843,272.167,441.772,471.504,333.153,327.913,699.444,376.271,373.452,505.574,407.581,413.437,525.693,985.817,431.642,518.674,212.054,244.239,149.682,264.137,357.360,420.992,914.608,198.107,167.573
10,1325.066,709.063,527.760,581.860,1073.780,668.811,675.015,869.973,1400.987,544.133,480.847,401.421,285.415,907.060,431.508,739.059,560.987,584.345,512.570,264.533,611.979,244.429,590.106,648.072,606.892,564.131,839.930,314.370,657.104,572.529,163.178,472.643,378.468,406.158,355.833,693.733,359.463,578.513,466.526,262.656,158.956,414.647,743.295,332.275,396.590,541.624,387.066,890.689,162.583,1242.588,879.922,183.559,357.522,462.464,195.442,276.786,130.100,496.250,295.718,880.485,595.487,498.191,596.550,345.000,578.327,149.042,230.760,293.981,463.906,760.714,390.933,332.815,734.304,351.163,735.923,923.714,826.614,503.477,287.565,225.167,521.408,185.562,293.914,97.596,165.870,410.180,419.606,136.698,81.892,928.372,351.772,429.217,314.014,101.918,130.914,251.864,304.750,380.064,348.748,613.305,217.110,247.151,251.673,200.323,140.584,287.495,260.624,516.221,657.068,923.564,678.047,799.014,290.350,75.885,219.704,292.047,244.059,234.264,410.632,270.127,289.457,116.265,304.878,213.614,350.078,284.143,226.382,202.568,155.131,205.451,222.256,199.186,131.317,483.337,537.365,372.469,391.437,896.583,392.657,485.976,481.485,310.312,640.287,400.307,783.050,415.228,531.083,340.230,407.676,136.864,172.692,466.480,445.185,952.317,213.060,224.876
