 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115
1,110.175,73.822,187.023,23.073,35.516,121.476,146.374,132.463,248.007,286.033,159.000,54.377,170.648,154.955,267.140,136.562,308.054,160.329,125.188,190.236,113.611,229.822,107.247,78.391,388.885,197.318,287.984,285.216,8.851,73.324,28.330,128.350,199.497,77.101,346.124,586.963,181.814,135.748,236.462,156.032,74.108,205.919,160.440,92.803,130.679,170.566,71.390,174.594,263.485,148.449,478.794,241.809,178.144,398.256,432.460,392.183,449.310,213.884,66.671,132.163,172.594,321.608,111.315,117.458,86.618,103.683,87.087,115.700,58.900,145.710,295.137,194.227,156.447,130.843,125.497,134.390,142.571,402.208,303.807,108.333,107.823,135.629,255.112,225.557,177.705,146.129,106.444,74.699,99.294,159.546,240.939,146.578,195.669,117.503,150.836,138.323,296.858,258.113,156.430,301.852,65.493,98.685,88.454,183.847,79.080,101.068,377.943,403.890,303.777,266.596,101.246,414.239,291.365,429.789,187.993
2,135.677,59.102,108.385,118.382,22.099,120.457,145.748,325.568,294.575,158.344,97.670,104.212,101.091,197.555,112.093,201.887,278.663,97.793,153.688,90.461,217.726,249.009,233.778,82.117,306.396,76.191,435.024,496.829,11.426,135.786,44.073,21.100,213.362,143.128,321.162,563.088,192.488,163.207,365.655,190.294,82.175,273.257,147.205,71.717,218.615,139.691,88.902,27.376,227.315,167.081,306.252,340.410,291.945,410.712,414.758,259.381,287.745,503.295,29.722,127.363,58.043,148.342,130.806,181.333,111.537,189.744,100.753,202.090,128.244,223.333,259.789,127.258,184.121,86.866,199.126,171.203,122.662,288.056,179.988,124.952,33.121,111.460,136.878,265.614,217.914,101.839,150.304,38.503,187.506,285.108,251.456,125.148,141.975,234.564,113.522,195.865,436.191,218.509,71.945,277.959,56.608,103.685,171.276,197.333,190.240,84.633,331.564,256.240,263.252,373.464,197.261,314.723,462.855,473.986,286.593
3,191.485,65.966,64.754,107.155,61.374,153.152,141.948,179.753,205.431,226.422,194.850,103.470,198.477,54.845,260.372,192.050,142.098,208.000,334.388,146.652,221.717,193.056,199.420,35.227,271.031,123.491,477.821,258.225,33.683,54.248,30.945,113.167,132.221,87.732,288.343,569.301,205.674,158.027,179.336,207.135,104.129,211.448,197.366,46.711,134.385,98.088,119.195,132.271,206.446,123.400,340.473,253.546,229.753,320.720,386.010,412.714,482.883,430.232,111.241,174.763,117.797,118.861,89.769,169.771,63.463,222.549,105.247,120.370,120.789,139.971,188.547,200.010,85.667,119.512,220.455,167.033,87.105,300.333,274.831,147.429,82.312,141.621,169.878,385.330,190.495,97.204,174.148,88.713,74.671,144.146,199.026,166.398,149.693,164.706,131.948,162.910,239.887,272.472,208.211,183.074,126.546,31.531,113.092,158.342,157.192,155.980,313.493,293.760,356.602,415.848,285.463,409.684,495.101,296.327,229.630
4,186.913,72.508,53.015,73.773,118.549,144.048,67.861,191.340,303.575,145.078,229.230,74.881,140.375,411.773,138.047,265.450,263.261,77.537,328.362,208.629,208.504,216.121,151.753,128.961,123.156,154.891,355.642,430.964,23.822,96.469,75.119,27.050,223.613,41.490,460.752,532.596,164.116,175.856,220.958,201.127,109.948,338.971,144.656,165.750,177.789,160.368,54.138,165.128,78.915,216.816,417.840,193.585,212.075,342.392,483.333,323.413,405.324,208.579,166.949,170.467,162.710,52.886,104.093,129.222,126.919,159.049,90.800,200.200,135.433,124.391,272.968,159.804,178.045,194.512,297.695,161.618,94.992,327.583,185.325,294.648,117.461,150.323,151.459,132.875,268.229,192.527,199.904,135.049,48.565,177.831,286.904,168.016,172.479,238.374,146.328,160.436,265.227,192.123,189.938,152.328,72.150,39.492,124.414,193.360,99.496,91.639,504.450,286.644,320.223,529.305,223.515,329.916,314.050,343.578,292.637
5,176.686,174.364,77.131,62.309,98.967,74.067,194.887,172.031,276.974,134.233,206.020,62.450,113.489,225.409,157.279,220.225,215.011,151.329,282.800,147.742,225.973,292.570,132.790,106.539,249.740,166.218,503.894,423.378,80.089,54.090,73.248,73.383,245.043,77.926,367.905,587.750,225.151,149.423,138.303,142.119,90.557,271.024,190.553,104.586,221.119,247.654,84.171,156.083,178.169,170.741,393.435,354.852,251.438,308.936,545.540,176.167,456.876,466.484,87.785,142.756,50.841,163.975,100.546,165.833,114.493,205.524,111.200,158.090,113.167,113.978,344.337,121.753,152.235,213.039,133.635,166.512,97.286,258.181,51.169,104.314,97.539,70.798,96.510,410.068,256.448,229.871,261.763,127.336,92.341,187.969,199.307,125.867,241.472,215.479,211.507,255.729,253.426,367.481,183.055,320.262,114.004,76.662,175.526,159.324,105.136,109.456,504.821,309.137,319.316,327.258,182.575,420.503,541.962,417.347,151.926
6,140.070,141.644,105.954,130.809,58.297,78.952,132.713,151.802,372.320,261.533,117.620,68.020,168.852,279.564,204.186,324.275,336.359,133.049,215.887,37.112,211.212,183.953,77.444,12.875,243.302,131.845,526.919,276.090,34.822,55.772,78.734,11.483,139.975,57.631,352.238,660.618,233.128,211.081,298.975,210.206,62.418,388.429,181.374,98.875,108.229,159.243,90.504,65.579,208.254,127.611,332.031,270.869,201.842,376.680,391.712,447.540,420.097,261.695,147.367,137.444,236.348,222.025,156.556,110.174,147.449,185.890,129.753,151.440,106.544,57.514,285.284,223.237,150.121,96.370,195.808,91.496,131.451,339.167,146.675,222.695,60.695,69.823,177.867,436.682,217.590,247.796,213.037,88.189,136.094,278.723,211.026,201.047,271.865,95.337,73.731,95.436,363.277,227.604,212.461,251.951,45.229,37.531,67.414,200.739,139.856,130.190,503.343,247.534,398.214,315.324,274.134,401.232,378.214,445.456,243.874
7,142.022,138.271,85.146,68.409,41.670,71.943,185.635,223.926,305.810,214.167,211.790,99.848,162.932,226.436,17.023,408.913,155.120,181.744,176.688,203.562,193.442,131.140,224.296,85.078,255.385,107.991,272.179,435.423,93.921,107.262,84.697,27.283,177.638,104.134,280.352,767.250,123.907,204.694,141.655,223.222,74.928,337.662,103.476,127.862,162.395,93.890,139.919,175.135,342.931,135.508,358.679,262.978,234.815,329.160,495.000,215.778,349.710,267.168,136.177,190.896,146.855,218.810,94.880,187.910,95.382,125.427,151.680,197.010,194.022,143.855,362.232,316.598,147.311,63.598,223.048,194.366,153.541,287.097,92.554,111.933,160.106,158.016,169.949,395.102,206.457,193.441,163.719,112.965,103.118,307.346,188.596,227.977,213.779,209.509,210.545,224.639,430.454,341.094,103.656,177.754,52.559,116.492,112.289,175.559,145.816,52.551,483.757,261.014,473.558,435.695,231.948,307.039,443.126,234.796,250.104
8,127.769,55.712,148.008,69.482,64.033,40.019,232.226,187.383,334.248,214.567,125.280,75.132,191.670,193.664,257.884,180.400,221.815,108.061,242.475,137.506,241.336,175.430,128.543,29.906,77.896,201.355,515.764,377.486,57.911,83.993,92.679,99.117,266.491,97.168,287.019,687.625,222.663,207.306,357.672,326.167,128.603,312.748,213.209,108.941,134.339,172.801,144.398,115.293,180.669,178.605,327.756,249.273,232.041,302.584,657.465,382.825,432.166,383.316,27.152,206.222,135.304,166.038,87.111,105.771,222.184,202.951,103.720,74.660,89.322,248.464,257.495,140.887,155.265,81.646,345.952,196.577,100.789,412.764,134.133,63.133,150.553,188.944,131.000,354.727,190.038,284.301,266.133,133.196,134.529,260.108,295.658,112.227,217.117,116.902,142.328,160.436,329.574,225.764,225.672,168.172,55.533,67.523,179.717,84.333,65.464,105.728,489.121,233.856,351.908,346.450,184.313,266.826,399.830,382.918,314.444
9,163.886,154.186,163.785,70.527,36.901,93.305,198.557,167.358,242.791,258.589,274.160,92.066,295.602,146.182,323.581,317.737,316.511,52.659,198.400,148.135,193.513,179.729,250.444,124.602,244.240,227.755,328.837,480.919,118.257,131.028,37.055,25.483,225.319,118.812,296.829,613.588,281.837,162.838,299.672,176.048,86.443,225.814,151.604,94.632,209.560,120.713,51.114,153.233,171.446,258.600,320.947,309.268,425.623,451.656,420.020,335.603,268.924,219.421,160.190,98.333,186.217,206.962,141.611,95.292,31.257,102.683,126.513,119.990,136.678,165.819,375.379,83.608,152.561,93.291,214.371,138.732,51.338,624.069,185.892,153.819,106.468,125.242,143.082,306.807,299.495,187.312,192.444,144.881,70.282,139.108,172.702,212.539,129.644,255.141,331.015,113.940,392.943,195.283,296.977,257.525,71.062,112.885,183.296,142.117,153.936,115.633,432.093,332.055,288.194,481.570,279.097,329.542,292.440,297.680,166.444
10,185.052,117.551,162.269,64.100,98.505,98.724,166.591,224.198,348.608,183.611,167.240,106.636,100.614,157.009,132.721,217.462,192.402,64.378,244.238,169.517,168.743,138.243,187.494,137.484,214.583,155.909,336.333,285.459,72.941,169.269,71.468,53.133,247.196,90.765,235.038,497.618,281.500,151.441,362.126,200.571,92.072,296.757,135.150,54.803,181.156,107.515,114.642,126.692,222.208,106.184,306.794,241.525,245.705,278.960,540.465,455.413,366.255,263.821,174.646,97.600,57.362,185.709,72.176,198.479,86.956,142.841,182.347,266.340,170.678,154.203,389.421,80.773,90.167,91.276,212.234,143.008,68.940,510.139,59.831,195.086,84.135,100.460,74.051,255.125,338.476,190.667,202.659,66.308,60.282,156.862,249.588,165.648,215.288,234.687,68.836,229.985,292.582,220.755,104.922,239.459,102.952,117.831,180.684,106.712,101.504,165.367,361.129,383.692,327.782,399.457,345.881,359.632,449.635,602.912,344.733
11,164.576,57.068,189.785,71.964,173.648,16.495,184.417,248.975,285.464,130.744,181.550,122.563,213.091,111.118,265.953,198.337,138.902,170.793,223.275,202.551,254.929,107.271,266.395,88.008,216.906,133.755,415.683,282.622,65.129,129.917,71.954,38.100,159.583,160.966,255.657,558.809,107.395,139.045,374.639,227.373,89.036,270.910,185.821,152.901,189.385,123.235,92.455,124.541,154.177,165.146,318.466,369.448,262.705,305.296,489.838,416.429,540.324,294.421,62.582,133.007,106.754,86.595,297.750,138.340,63.257,224.293,153.307,232.900,257.711,109.659,352.263,203.814,184.803,46.126,272.084,70.187,144.714,338.639,178.361,121.419,98.908,133.524,98.061,255.182,176.781,108.559,282.393,85.287,80.000,266.108,258.772,175.188,270.429,107.687,86.433,130.865,373.418,260.038,128.570,285.533,91.718,83.685,127.770,74.955,162.552,109.912,334.664,304.390,376.631,385.702,237.881,235.729,505.390,493.367,269.407
12,170.655,91.110,74.492,100.300,27.615,144.762,188.357,151.673,290.484,179.067,148.480,144.325,124.625,197.573,70.605,306.350,208.283,254.061,184.925,74.090,255.788,112.766,155.827,158.984,124.073,147.164,330.390,342.198,53.733,59.669,111.385,9.483,165.055,138.738,341.733,688.890,220.767,302.802,214.933,176.635,111.304,236.895,142.421,78.395,87.596,130.074,104.065,178.970,242.900,150.492,407.031,323.377,194.096,216.784,597.687,315.294,336.172,302.242,119.266,228.237,283.783,228.949,94.861,187.674,143.132,133.427,96.227,276.350,264.378,244.572,284.126,194.196,85.659,58.756,160.401,111.569,79.654,253.014,369.096,206.286,86.702,112.621,168.929,264.273,243.448,80.409,88.533,101.196,73.365,257.700,219.807,311.789,166.779,174.117,295.396,137.624,344.078,215.198,166.992,201.057,103.035,154.685,125.842,91.901,30.512,115.884,592.264,253.205,456.495,427.013,142.672,278.503,306.893,340.075,286.874
