 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean(RoiSet_4),Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146
1,407.918,258.980,941.021,277.226,367.551,199.562,234.962,282.543,388.893,324.149,507.524,247.901,147.557,240.446,171.836,138.509,97.238,968.059,411.130,165.863,144.222,202.344,141.697,187.309,212.032,405.649,21.196,291.240,300.616,195.493,401.393,225.117,964.302,533.440,350.019,216.858,187.667,415.000,417.477,269.098,204.993,205.453,162.682,10.654,19.418,158.052,260.702,17.443,219.429,62.271,6.215,215.418,111.653,83.430,195.507,106.236,88.802,246.508,382.197,115.671,194.960,221.833,178.588,129.852,144.880,132.595,97.159,29.828,143.032,31.796,194.920,131.504,111.936,69.726,133.985,35.764,255.763,255.179,155.325,169.975,155.713,81.952,67.309,76.921,239.664,242.057,457.633,101.476,32.867,125.158,159.717,125.188,75.167,104.207,40.660,84.279,140.892,870.750,147.232,13.070,164.824,190.963,189.897,163.361,53.736,218.046,371.460,58.305,161.486,93.011,206.111,117.870,116.317,388.488,238.471,241.259,321.904,429.153,263.133,121.244,304.618,328.386,402.406,160.320,299.365,364.935,536.503,126.768,95.453,370.542,277.616,405.545,329.911,95.779,667.176,339.571,467.016,432.008,557.445,221.364,150.450,146.905,182.292,292.018,248.675,367.373
2,344.393,500.588,730.167,208.357,399.653,325.672,194.371,213.149,556.660,267.270,613.315,651.241,197.096,227.307,324.463,168.818,208.336,555.784,512.444,123.990,211.989,91.000,147.853,118.289,214.873,325.811,278.054,535.380,261.274,143.727,557.625,116.532,749.208,544.707,664.389,98.783,378.840,330.448,336.862,488.837,207.745,137.586,201.795,39.240,22.694,114.652,267.773,86.243,214.048,9.329,15.280,311.456,58.673,116.061,178.041,56.349,414.822,349.300,293.320,170.054,409.535,149.181,135.093,191.328,162.316,151.479,203.057,31.129,141.648,50.194,179.628,108.843,84.927,296.795,232.785,78.818,264.619,439.643,133.500,263.367,276.648,70.247,52.663,22.159,235.820,140.966,227.184,357.881,50.438,57.238,71.108,136.797,66.850,53.506,47.894,89.802,227.108,460.953,110.589,67.070,119.098,137.463,295.103,66.155,182.250,455.368,314.820,99.402,81.514,78.591,130.556,49.362,393.524,216.395,175.255,105.870,615.181,185.792,260.400,76.398,524.309,203.509,298.859,452.093,185.554,35.739,299.176,183.087,149.295,275.542,165.402,366.593,239.333,284.779,453.024,478.754,590.484,485.073,554.927,446.023,288.700,131.196,278.679,331.613,265.169,215.524
3,341.902,228.412,544.094,318.524,510.643,383.812,283.019,209.223,613.592,334.486,578.929,417.993,154.887,170.257,252.955,170.055,173.172,586.294,434.315,205.108,255.200,97.719,187.147,234.773,325.064,354.338,324.143,515.380,93.685,326.753,453.738,137.894,276.113,716.627,579.444,290.132,303.346,419.642,272.277,392.268,113.570,201.204,206.318,49.798,51.104,205.826,332.624,159.122,79.657,15.047,12.065,96.110,103.031,84.465,200.959,185.726,141.772,319.358,299.885,240.154,245.416,218.014,218.732,245.164,133.829,228.934,31.409,93.129,92.736,69.548,190.394,30.457,86.227,117.803,71.754,143.309,499.082,285.116,76.225,231.033,192.451,103.260,61.469,60.005,345.434,77.115,310.561,127.643,87.219,193.921,172.517,98.565,101.050,62.322,27.489,28.849,116.784,409.469,409.196,10.526,86.078,253.741,237.862,154.845,177.222,285.908,390.220,95.634,239.135,100.830,292.519,135.884,14.000,239.256,357.078,114.870,500.880,251.986,81.587,88.366,378.824,611.386,236.688,281.347,280.324,203.815,398.642,157.884,132.853,336.935,293.250,404.946,181.678,148.870,508.294,369.881,423.475,511.419,567.309,272.643,111.925,313.980,126.620,181.523,210.935,320.468
4,280.287,405.686,424.438,458.786,243.163,352.219,314.048,330.457,593.369,228.108,494.887,513.809,164.139,163.495,134.060,227.273,307.385,586.431,93.500,324.088,221.811,102.672,242.991,285.206,185.730,603.149,379.125,631.340,304.918,197.104,387.476,152.745,1220.774,561.147,357.574,216.453,310.654,323.373,301.062,529.458,151.262,131.740,181.136,15.452,37.037,108.235,175.404,104.896,230.057,74.541,18.043,265.852,252.592,211.860,267.658,54.651,85.535,369.117,384.779,291.839,318.416,137.717,106.887,122.000,252.111,158.124,35.784,112.204,97.544,46.699,178.321,135.520,209.582,234.752,236.462,116.991,505.371,186.634,185.925,179.717,196.197,111.253,44.886,71.640,231.836,123.161,439.153,36.119,51.672,156.119,167.600,109.000,287.200,42.011,64.138,58.558,12.135,621.312,257.750,8.702,133.961,112.444,210.672,71.928,329.250,303.126,261.060,18.951,71.243,53.205,406.481,84.290,421.866,403.640,328.020,196.074,330.181,415.417,99.547,96.789,430.632,517.351,110.844,308.360,321.878,350.913,795.849,155.130,85.274,388.271,311.071,354.030,540.222,183.948,575.988,410.762,378.779,421.976,710.882,361.372,160.517,212.203,192.818,195.441,338.792,271.742
5,361.262,391.510,658.010,214.488,292.704,426.000,274.962,289.553,568.252,365.757,548.744,350.972,224.130,32.782,348.761,148.164,367.934,461.667,240.167,277.049,185.867,31.047,178.440,171.742,474.365,351.824,221.232,287.780,524.082,175.675,357.435,193.585,866.076,565.400,468.944,387.830,377.185,255.806,298.662,432.013,224.396,144.411,367.295,16.712,23.470,197.174,407.255,120.583,205.000,39.059,55.591,277.555,41.724,69.842,134.986,35.783,85.594,177.492,270.025,222.463,270.891,239.109,103.691,129.697,258.299,229.859,19.670,84.065,137.632,144.925,175.847,129.205,355.055,258.846,238.308,46.255,402.196,335.598,38.525,187.550,219.803,112.404,46.154,41.233,284.566,214.724,330.633,89.214,65.227,147.495,186.058,49.507,44.367,205.563,8.521,96.581,10.568,706.016,150.607,18.333,144.373,117.000,248.707,38.134,141.722,409.655,456.070,42.402,68.721,67.977,259.630,257.362,121.573,196.895,374.824,335.944,257.024,323.986,234.293,241.740,530.353,375.088,336.234,184.067,202.554,178.793,696.849,147.667,226.779,319.991,285.250,352.108,302.778,204.532,457.329,488.714,465.615,454.048,455.373,270.070,218.808,181.851,205.292,233.559,283.390,215.918
6,329.648,775.353,566.385,341.964,231.969,444.203,321.486,401.032,459.233,372.757,425.774,538.135,72.035,147.624,172.776,305.291,210.590,563.255,401.037,281.157,161.111,230.031,163.514,198.062,476.222,464.676,669.732,206.400,196.055,235.143,548.952,113.170,520.906,525.227,514.833,320.509,424.975,623.507,350.308,328.242,132.356,115.179,336.000,69.096,77.597,123.035,353.149,152.070,178.152,175.788,106.785,191.665,147.276,94.333,208.151,250.849,84.950,222.950,449.508,129.591,339.515,345.254,215.948,222.279,299.265,187.099,115.023,57.548,163.232,51.946,207.701,125.598,215.227,261.385,73.815,112.273,379.309,196.705,267.450,314.725,213.689,150.329,50.149,55.111,164.861,103.356,337.612,71.333,77.219,79.020,182.725,210.464,262.383,67.747,23.947,50.628,386.270,324.859,126.875,15.667,89.020,203.759,277.586,68.639,153.403,252.000,422.540,110.341,45.351,32.455,52.556,159.928,146.951,237.512,371.961,463.204,461.747,277.125,206.427,164.642,377.221,521.281,479.125,270.547,256.081,345.033,595.189,85.957,110.642,466.206,145.598,364.683,424.978,216.416,446.459,377.881,631.566,502.992,673.409,386.357,257.667,280.628,336.715,309.189,275.461,266.047
7,485.369,678.843,811.396,420.631,160.122,293.172,229.733,358.681,560.728,173.959,495.262,494.262,197.504,240.624,362.731,93.236,264.148,548.157,373.426,304.049,100.956,102.812,213.459,175.629,304.936,303.581,70.518,173.480,360.288,214.260,479.310,78.798,824.340,632.120,212.315,305.142,259.840,327.925,367.754,330.170,137.805,174.547,194.295,68.798,25.276,79.000,212.986,61.878,163.943,127.024,7.505,225.077,50.622,120.579,240.329,202.500,87.624,242.883,413.828,168.638,419.455,284.123,160.093,278.910,360.128,177.405,35.068,48.301,109.304,40.280,132.971,145.465,131.718,218.273,137.062,77.764,364.299,349.295,266.100,226.383,325.467,106.048,91.514,50.995,151.303,128.161,511.061,188.190,35.133,126.287,95.017,33.696,123.333,24.897,84.149,47.640,213.649,626.641,198.036,40.421,59.745,103.833,312.655,193.474,141.347,270.736,477.370,55.085,157.207,22.045,124.296,44.594,223.793,337.733,429.863,301.759,502.711,675.319,247.453,75.667,650.662,391.333,426.891,327.613,275.500,204.424,551.138,149.971,206.874,416.523,251.732,494.024,348.122,185.403,709.376,352.683,560.508,544.613,619.455,453.202,194.250,274.818,184.942,205.414,152.753,282.339
8,665.385,561.647,473.260,344.226,253.673,220.953,248.200,305.500,541.612,152.919,689.786,325.418,176.765,212.475,179.746,271.055,249.098,775.667,331.463,363.029,144.256,94.516,286.083,132.660,176.032,486.054,188.804,398.520,352.767,370.286,357.655,84.681,1133.245,670.920,622.426,372.358,408.358,317.910,238.754,458.608,177.248,141.074,211.045,72.673,83.918,81.261,262.716,135.939,131.943,33.153,26.731,285.440,51.449,65.000,222.096,161.726,243.089,181.375,216.451,186.604,328.505,411.717,229.835,211.393,220.171,227.124,27.125,82.914,135.968,138.710,141.781,118.331,136.309,244.077,132.400,111.355,375.639,136.812,442.375,262.975,226.385,103.438,36.560,53.196,356.303,147.851,542.878,138.190,72.914,33.277,201.717,154.145,145.550,51.011,105.840,96.547,127.216,518.000,194.161,108.561,234.176,354.037,378.966,245.907,214.917,290.023,241.710,150.073,67.613,53.523,330.222,176.087,137.854,302.372,159.863,434.185,427.337,571.333,111.507,111.699,313.574,586.877,372.578,295.200,331.054,250.554,449.138,207.623,197.705,216.551,318.812,265.275,324.356,137.623,566.553,430.849,708.926,503.242,649.282,325.860,87.883,328.453,296.949,274.459,236.253,246.326
9,454.287,347.294,720.750,469.964,270.112,289.203,221.429,539.638,629.214,178.351,540.179,450.567,174.965,202.901,101.030,136.273,256.557,805.667,611.370,171.912,162.644,135.312,293.459,133.701,330.952,459.027,305.357,383.120,458.822,289.156,525.631,173.511,650.924,489.680,810.241,181.264,284.556,315.000,298.277,574.850,211.960,271.495,273.432,6.500,88.515,116.000,282.702,174.887,215.095,4.765,87.946,341.022,65.255,142.728,150.575,237.321,129.683,376.708,372.418,137.819,360.267,276.420,162.577,232.566,96.239,71.050,80.852,60.903,115.544,202.000,175.000,109.039,180.473,251.026,151.031,31.291,264.351,226.161,186.900,161.158,179.164,145.973,32.429,54.005,322.377,197.034,271.327,52.119,65.789,51.782,186.825,146.855,125.800,65.977,57.117,87.581,215.865,523.438,199.536,9.930,217.392,283.019,413.069,118.299,110.236,301.161,235.400,229.146,88.730,58.205,113.796,212.478,236.634,222.942,384.725,417.333,282.651,247.028,239.907,127.089,456.235,197.667,368.375,361.827,134.432,234.946,406.208,77.304,108.579,381.355,250.893,326.784,290.856,328.273,707.024,489.540,630.238,469.581,475.509,403.163,280.183,206.088,196.978,305.387,179.253,412.755
10,262.738,314.549,826.031,385.381,209.122,396.516,321.905,418.564,908.136,217.473,654.321,481.816,166.391,241.208,295.776,272.636,286.295,711.451,206.074,247.598,269.811,62.484,274.395,106.052,714.921,555.541,420.196,244.020,462.397,204.429,400.304,83.819,876.830,706.827,477.741,173.991,260.062,506.642,375.831,595.536,193.678,153.200,113.455,99.288,73.687,113.948,377.241,109.670,82.524,4.529,102.742,157.527,108.020,147.219,129.712,187.783,247.317,444.317,437.943,242.933,225.485,207.543,153.732,97.967,202.513,91.256,105.898,119.946,108.664,62.538,217.489,47.079,140.773,222.573,107.400,141.218,448.938,231.911,575.425,377.583,204.270,65.205,25.749,79.175,294.180,223.690,391.612,141.071,34.812,67.812,74.158,117.826,114.033,186.057,99.926,114.593,182.838,511.781,280.036,77.298,69.706,294.685,160.638,65.619,131.056,241.034,446.600,60.268,57.018,153.227,84.111,60.304,265.866,207.221,286.255,556.037,299.602,508.153,208.747,78.911,165.662,338.211,358.000,173.387,132.257,296.804,568.208,52.478,215.653,477.206,201.241,357.874,270.978,106.416,578.659,378.071,556.820,299.629,491.645,395.287,127.092,135.223,231.153,295.279,192.351,284.116
