 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146,Mean147,Mean148,Mean149,Mean150,Mean151,Mean152,Mean153,Mean154,Mean155,Mean156
1,3192.434,4219.153,2585.692,2672.992,3176.610,3024.738,3901.500,3080.676,3899.566,2776.123,2264.105,2084.905,2158.737,2184.607,2105.517,2562.376,2129.658,1530.379,1635.888,1597.162,2025.896,1163.946,1754.745,2091.133,3800.311,2060.074,1682.180,1448.694,2817.961,1336.552,1494.932,1732.929,1469.064,1584.289,2326.917,3545.813,1403.902,1108.595,1225.282,822.406,1229.088,1520.427,1696.500,1662.696,1048.893,1629.697,1442.637,1632.556,811.389,2572.927,3470.125,1204.729,1444.141,1269.964,1681.605,2138.595,963.750,1354.018,1490.635,1630.030,1482.662,1213.412,1261.114,1148.455,1125.878,839.811,1055.219,1406.346,991.102,1392.957,1559.283,1352.685,1217.848,1559.698,2940.718,3692.024,2676.636,1196.216,857.685,871.696,962.789,805.370,759.500,658.255,892.522,795.328,1036.758,731.651,994.292,944.564,643.800,1396.370,952.565,314.091,540.086,423.795,699.474,694.100,1053.888,819.636,780.587,641.209,751.604,695.000,436.352,490.303,706.204,1316.413,957.291,1024.915,1921.976,1218.246,1335.717,740.731,527.217,667.359,678.520,817.810,1558.792,844.000,681.141,777.471,635.943,632.250,548.543,878.229,708.103,1074.192,629.000,722.402,1691.953,872.961,680.533,627.030,1056.722,853.939,857.505,1234.139,688.400,857.262,1120.515,1034.710,1302.034,927.953,1218.950,1105.602,1200.386,689.730,956.986,518.216,555.427,629.010,819.756,1201.783,879.786,390.337
2,3383.276,4840.496,2610.164,2711.395,3081.076,3456.984,4740.662,2827.189,3798.724,3032.418,2467.976,1944.200,2253.576,2059.026,2265.400,3023.782,2111.658,1624.218,1756.626,1317.086,2075.875,1272.911,1771.745,2170.892,3564.284,1901.172,1887.890,1737.435,2479.766,1585.138,1439.027,1184.583,1559.319,1663.000,2650.883,3504.267,1423.768,1131.419,1230.423,1033.891,1203.500,1402.500,1448.949,1850.609,1170.541,1586.743,1388.495,1781.822,896.713,3131.941,3900.312,1248.102,1176.685,1384.107,1730.372,2528.119,1521.033,1496.946,1544.624,1452.091,1134.450,1488.191,1292.396,1023.232,1125.969,880.116,1096.729,1026.192,1075.118,1684.257,1369.933,1474.111,1264.196,1726.698,3328.461,2932.428,2786.227,1171.018,1087.913,1021.627,1029.750,925.493,700.171,595.787,1270.159,924.771,974.525,873.558,1004.231,1176.106,643.897,1350.674,935.673,299.864,636.052,375.136,694.233,892.436,1153.895,889.339,737.413,747.741,679.426,733.015,584.616,685.991,807.473,1348.413,873.049,1202.511,2281.482,1561.927,994.900,775.231,682.539,576.085,1058.716,757.562,1598.028,756.535,622.065,673.441,681.455,594.207,542.116,1127.157,651.588,871.171,598.636,867.418,1592.581,586.637,713.867,746.663,1233.661,681.459,850.456,1207.028,797.314,877.262,945.485,956.430,1434.851,964.140,1078.900,1095.341,1106.099,675.811,1264.901,541.727,783.547,730.000,776.353,1220.508,760.417,395.764
3,3396.697,4756.333,2604.973,2959.318,3315.271,3709.541,4698.515,2762.892,3807.816,3055.061,2513.186,1941.463,1978.585,2142.650,2210.642,2947.158,2507.895,1828.299,1672.710,1751.505,2628.771,1544.375,1709.745,2082.024,3673.365,1994.295,2253.230,1892.083,3164.480,1557.494,1644.685,1697.298,1367.936,1590.158,2247.267,3775.213,1379.561,1218.622,1619.987,1148.516,1480.765,1462.132,1569.936,2147.942,1315.361,1673.963,1275.868,1821.467,932.518,3437.427,4068.438,1287.424,1410.228,1497.768,2153.605,2660.714,908.967,1619.946,1627.424,1613.091,1350.350,1453.721,1342.517,1147.889,1180.878,902.853,1242.865,977.442,1180.425,1453.986,1565.117,1249.685,1395.109,1353.860,3158.077,3223.667,3315.614,1300.586,1095.837,1057.098,1012.566,1090.164,848.843,854.266,1247.203,1205.016,894.828,900.442,1197.892,1252.362,850.366,1546.761,943.286,221.845,491.362,398.841,717.034,805.073,1229.042,989.847,885.688,620.403,647.356,768.128,679.440,809.578,730.849,1457.385,1048.990,1212.947,2197.129,1419.927,1526.217,675.837,591.348,589.434,914.431,845.388,1875.425,912.042,603.359,858.225,752.772,636.957,554.752,860.136,601.176,1070.521,818.455,717.082,1617.930,695.706,671.583,800.614,1276.896,852.531,1107.777,1711.125,710.671,960.798,1193.765,829.430,1510.816,1026.480,978.867,1127.618,1359.894,775.189,1375.084,548.250,690.316,828.970,783.328,1309.058,853.238,508.888
4,3909.855,5135.433,2569.664,2935.287,3358.873,3824.705,4847.426,2580.635,4549.526,3469.449,2639.661,1718.526,2115.627,2438.641,2340.883,2954.574,2367.835,1751.057,1592.374,1777.876,1912.479,1420.339,1611.745,2283.012,3541.906,1979.008,2580.330,1834.093,2962.857,1844.701,1494.370,1505.810,1802.766,1792.447,2649.233,3521.040,1555.915,1396.500,1420.372,1346.844,1188.221,1261.765,1625.603,2005.435,1141.377,1800.119,1453.912,1692.311,1141.769,3268.382,3657.266,1370.051,1375.750,1646.804,2071.372,2239.238,1184.833,1166.714,1328.400,1778.288,1433.125,1294.868,1418.040,1252.283,1361.122,985.768,1397.333,1508.519,1019.370,1487.686,1466.417,1519.519,1401.022,1987.558,3424.923,3799.810,2870.227,1257.063,1244.054,1105.451,1117.908,906.164,1271.357,726.617,1030.710,846.197,914.818,710.453,1088.046,1211.011,772.634,1493.717,836.735,439.291,575.647,325.205,649.603,726.364,1214.119,869.669,750.294,860.187,825.356,949.286,600.120,646.587,667.269,1508.827,889.602,1100.596,2110.447,1571.551,1224.317,751.462,650.739,590.840,1031.784,943.198,2008.830,821.613,567.913,718.755,853.870,649.450,663.496,1151.493,749.654,977.959,526.283,808.172,1389.558,755.157,490.283,958.861,1302.400,807.929,1049.495,1589.236,811.114,676.452,1158.088,927.742,1612.851,932.393,1049.850,1303.203,1097.795,747.162,1427.437,463.125,714.137,795.770,817.235,1509.783,841.857,451.809
5,3584.263,5352.729,2980.062,3024.271,3404.822,3807.205,4931.206,3228.406,4393.210,2710.725,2745.282,2192.284,2016.169,2261.282,2260.992,3001.317,2333.276,1764.506,1834.336,1563.924,2417.042,1677.393,1622.074,2341.819,3673.541,2014.566,2179.890,1784.935,2949.779,1667.184,1486.370,1459.726,2032.596,1855.474,2444.617,3685.440,1689.963,1418.932,1586.782,1188.016,1522.559,1543.735,1783.397,2083.348,1203.549,1812.596,1557.758,1686.033,1210.648,3349.809,4353.172,1235.458,1276.207,1488.857,2313.256,2533.976,1253.867,1790.946,1464.823,1929.651,1579.200,1599.368,1469.624,1185.020,1320.041,851.400,1174.594,1445.942,1046.677,1342.971,1581.967,1410.667,1284.348,1687.349,3008.641,3254.333,3123.909,1130.288,1210.076,1097.912,1008.921,964.274,1211.129,752.032,1046.899,876.410,1033.051,891.477,1085.754,1147.426,707.600,1482.819,927.871,304.518,635.052,401.591,776.483,864.218,1429.916,857.627,922.908,849.770,756.347,846.331,540.880,602.303,573.871,1791.413,950.592,1154.755,2382.847,1515.667,1180.950,685.990,576.591,628.802,1126.588,1030.686,1865.028,912.500,675.946,775.824,926.309,555.093,605.953,1013.757,687.015,975.945,640.384,842.139,1604.395,736.755,700.283,764.099,1296.609,877.286,953.990,1678.972,706.300,888.179,1101.382,1141.505,1656.011,1101.547,1258.567,1250.675,1166.470,617.865,1080.606,682.875,585.667,959.580,689.924,1392.675,763.548,437.191
6,4193.303,4942.946,2623.514,3089.612,3337.017,3777.106,5047.765,3029.230,4594.816,3285.469,2914.194,2233.168,2480.356,2200.718,2326.525,3328.564,2353.092,1893.701,1659.262,1763.762,1958.271,1260.857,1588.085,1970.096,3708.068,2182.016,2270.430,1739.861,3141.428,1901.529,1698.192,1521.714,2004.213,1534.816,3015.300,3850.453,1542.878,1306.554,1336.423,1409.172,1531.177,1473.088,1783.705,2160.667,1324.959,1743.110,1603.132,1815.244,978.306,3133.338,4225.969,1166.085,1471.109,1501.804,2326.349,2860.452,1133.033,1354.821,1543.671,1890.455,1565.400,1634.000,1481.423,1305.424,1203.714,810.968,1362.823,1308.404,1140.165,1942.886,1411.533,1707.315,1334.565,1888.791,3084.359,3631.643,2802.205,1061.459,1128.826,1209.157,1245.184,991.699,966.214,673.606,1184.623,793.000,1109.444,864.093,1130.138,1121.500,902.083,1393.261,903.102,292.082,651.207,433.341,609.276,897.309,1314.287,871.500,935.101,659.669,666.713,836.970,483.880,611.413,624.269,1637.317,1008.786,1410.149,2536.082,1513.159,1203.983,741.971,591.522,590.632,1151.098,926.281,2064.623,897.028,689.283,771.775,703.545,727.950,539.589,1032.607,862.382,1153.555,778.192,922.451,1611.256,762.480,707.217,698.683,1133.478,972.959,1158.039,1724.833,915.271,841.929,1212.500,1188.624,1698.080,1020.380,833.333,1404.480,1190.159,713.284,1364.211,444.000,542.855,680.300,852.496,1150.742,813.429,367.494
7,3901.684,4980.306,2520.603,2840.550,3366.263,3692.918,4866.765,2910.743,4251.540,3439.061,2736.694,2132.031,2370.381,2508.769,2480.692,3077.307,2411.790,1681.057,1563.308,1625.057,2569.167,1491.679,1858.117,2173.675,4189.554,1827.828,2358.680,1880.935,3322.195,1618.241,1752.219,1628.798,2262.000,2275.368,2925.117,3770.627,1569.805,1405.622,1484.154,1252.641,1471.221,1520.015,1839.859,1983.696,1224.107,1955.312,1529.549,1784.611,1064.509,3401.941,3450.688,1550.441,1331.967,1660.054,2006.163,2468.572,1141.383,1502.661,1541.482,1853.909,1383.275,1315.412,1337.081,1360.121,1252.786,885.042,1137.188,1669.769,1059.567,1745.900,1609.533,1363.278,1501.391,1736.814,3223.949,3862.000,3242.023,1238.099,1297.467,1090.323,1192.658,1034.918,761.314,767.362,1075.710,806.852,896.950,828.988,1456.277,1037.808,618.593,1493.616,998.286,323.155,610.552,459.330,600.940,907.845,1097.245,880.686,827.394,819.086,774.347,967.669,572.432,691.972,996.720,1793.288,1053.670,1497.457,2153.953,1510.464,1360.883,739.990,555.939,647.830,1074.137,889.397,1969.698,1033.275,663.196,771.098,846.821,617.186,671.349,957.536,675.213,1079.664,667.151,732.910,1473.302,688.784,634.550,652.753,1125.930,958.184,1060.602,1674.972,720.771,941.417,1089.044,1264.323,1533.034,960.360,1038.333,1275.569,1223.432,624.513,1258.859,596.602,645.769,793.870,802.454,1381.075,905.607,413.674
8,3822.026,5380.144,2753.541,2821.093,3383.712,3582.106,5170.971,3228.784,4465.697,3287.265,2679.121,2219.916,2372.669,2228.410,2351.275,3065.713,2680.197,1888.517,1811.561,1644.190,2125.896,1438.411,1693.521,2190.181,3508.149,2177.877,2180.730,1867.046,3307.312,1777.839,1445.055,1698.798,1578.957,1786.684,3079.567,3864.253,1366.585,1731.905,1655.128,1396.984,1801.515,1895.794,1694.154,1706.609,1225.303,1622.138,1714.000,1636.000,1024.648,3690.250,4064.688,1346.000,1456.033,1388.482,2150.163,1941.643,1197.750,1756.161,1580.447,1865.909,1288.588,1388.221,1471.852,1048.505,1313.439,988.474,1363.719,1396.058,1268.732,1550.500,1552.800,1307.981,1304.848,1830.953,3183.026,3441.262,3061.523,1253.333,1079.870,1190.118,1386.461,1064.055,1061.000,772.936,1078.696,955.705,918.879,852.209,1214.831,1046.298,771.807,1534.101,982.218,350.336,678.647,337.898,754.664,975.691,998.594,766.771,931.945,763.043,787.208,996.105,504.280,608.688,634.731,1686.913,1143.427,1299.521,2474.823,1725.985,1268.267,866.596,608.122,537.528,1160.059,996.884,2115.566,794.775,847.696,821.216,829.829,621.636,581.388,954.350,720.912,1084.315,557.788,840.910,1430.488,794.637,610.800,752.554,1305.844,856.235,1052.922,1315.347,803.686,877.786,1107.206,1199.376,1605.057,919.107,1148.633,1322.455,1269.674,701.149,1436.887,541.193,631.282,716.500,718.723,1549.733,844.202,535.101
9,3945.566,5256.613,2783.274,2967.279,3420.025,3773.312,4854.353,3237.013,4134.592,3041.326,2562.089,2138.547,2153.585,2020.752,2308.525,3309.941,2603.678,1586.655,1727.832,1906.867,2132.104,1573.018,1762.553,2234.783,3767.094,1816.312,2069.850,1857.380,3279.221,1708.241,1621.397,1576.321,1501.660,1419.342,2759.000,3185.160,1392.171,1155.946,1682.564,1329.656,1597.765,1781.471,1436.897,2342.710,1174.918,1760.027,1459.187,1901.333,1118.852,3625.338,4393.703,1302.610,1429.174,1711.714,2305.140,2456.048,1328.133,1608.661,1514.529,1727.212,1475.562,1313.338,1453.523,1234.151,1297.969,966.032,1473.115,1307.904,1137.898,1439.514,1766.867,1583.741,1597.913,1528.349,2581.692,3789.928,3342.614,1201.189,1110.315,1019.078,1133.855,991.849,964.014,793.436,1170.768,885.820,1178.909,807.326,1199.231,1156.660,669.683,1441.573,991.810,404.218,709.569,374.773,643.086,869.273,1158.874,939.059,712.550,978.518,715.049,817.729,571.288,585.165,691.935,1581.212,1143.349,1171.787,2570.823,1363.217,1242.783,650.346,534.217,496.792,1110.667,980.752,2034.377,998.662,737.837,825.598,762.049,546.729,552.295,1080.857,673.125,1007.130,868.374,793.549,1439.302,750.441,668.267,731.693,1305.983,915.939,1108.757,1601.819,758.871,956.488,1055.059,936.183,1387.736,1047.787,1163.367,1187.081,1282.273,973.351,1094.070,624.216,639.444,844.090,856.882,1242.492,795.940,539.449
10,4053.329,5114.802,2857.808,2577.093,3219.932,3854.156,4950.956,3028.122,3938.184,3667.898,3063.710,2115.905,2058.797,2320.222,2513.367,2773.515,2651.434,1535.667,1708.570,1612.829,2359.333,1548.929,1835.298,2480.253,3520.757,2060.238,2607.120,1743.574,3421.377,1740.402,1673.466,1617.798,1750.638,1847.553,2464.767,3858.093,1553.683,1375.946,1498.679,1251.234,1711.309,1332.073,1583.244,2018.739,1324.926,1663.358,1270.341,2144.900,1113.426,3395.912,4183.547,1486.898,1640.793,1638.839,1687.163,2863.381,1340.233,1634.964,1820.894,1921.485,1377.825,1500.985,1589.154,1208.980,1194.806,967.421,1457.542,1540.538,1128.685,1573.257,1469.800,1518.685,1533.761,1885.349,3017.128,3464.500,3036.568,1509.586,1262.011,1104.000,989.421,1289.726,1032.614,663.351,1210.927,883.656,1102.596,816.686,1101.831,1175.692,779.621,1542.413,1106.252,251.791,728.483,443.295,682.853,939.982,1236.853,953.703,958.550,799.201,818.208,878.398,457.360,778.422,685.108,1636.202,1170.563,1258.000,2214.282,1480.406,1099.517,841.106,679.826,616.132,1217.118,887.074,1905.934,943.211,786.130,758.010,837.967,679.779,538.891,1017.771,624.853,1105.801,780.091,796.066,1462.233,718.225,550.217,743.396,1463.043,854.286,1022.456,1477.375,710.129,919.524,1106.721,1095.763,1537.954,1007.727,1098.017,1180.219,1182.205,1038.041,1245.634,449.409,611.658,838.850,900.235,1601.983,841.357,458.225
