 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115
1,821.341,374.822,389.823,346.436,166.615,394.295,632.200,735.716,1485.725,671.689,457.690,287.344,712.420,674.982,534.349,671.612,799.141,384.268,949.713,628.944,454.779,786.178,346.395,358.156,708.927,455.591,922.520,1101.910,218.455,286.883,212.908,169.800,414.908,320.007,883.314,919.154,495.012,381.423,504.294,475.278,365.392,1016.395,607.161,342.296,588.587,580.985,415.504,362.985,686.246,640.097,1109.947,1044.033,783.404,1027.560,1031.843,849.151,824.903,971.968,362.392,523.859,595.841,382.608,451.657,473.222,394.574,426.110,362.600,406.930,386.456,533.014,733.526,373.691,458.924,344.764,264.766,315.659,388.444,612.361,323.687,429.619,345.241,260.855,256.429,625.784,398.438,285.441,447.074,233.217,286.635,516.238,436.316,338.539,558.221,535.736,357.157,306.316,746.362,724.840,387.828,505.115,280.432,270.769,367.309,550.513,392.272,234.034,1105.550,752.055,653.854,779.417,693.769,1152.323,818.792,906.660,625.652
2,736.594,531.263,502.369,354.027,235.703,364.162,809.226,836.025,1294.745,524.700,659.350,390.742,525.591,718.109,746.488,883.388,535.000,460.878,1119.825,556.596,393.062,718.458,301.938,352.727,546.792,608.755,1036.488,1020.586,298.703,235.766,265.147,229.217,543.405,341.953,861.010,892.110,507.093,441.847,521.328,545.127,412.711,1076.133,563.557,306.263,805.606,611.750,361.504,422.038,677.162,689.411,1019.336,1147.650,772.418,1172.448,1180.960,842.230,859.703,960.042,273.658,604.141,497.333,439.241,426.241,417.042,327.574,530.610,321.387,370.930,471.289,558.514,774.779,337.577,393.992,272.323,304.491,283.594,259.932,594.833,459.494,457.305,280.426,355.677,241.265,707.102,502.286,429.301,482.770,374.476,310.988,502.862,406.430,310.133,601.656,488.037,338.560,386.489,798.426,653.717,443.812,613.721,236.537,328.992,355.000,404.468,346.280,314.537,1052.636,962.747,759.393,867.152,719.246,1179.561,842.296,1000.320,578.370
3,839.354,478.237,466.677,415.827,313.846,364.210,938.009,751.272,1358.889,680.444,698.980,335.305,615.659,905.945,479.721,799.963,523.239,493.073,990.362,613.573,360.478,693.206,423.543,325.211,634.708,443.545,1175.797,1096.189,327.535,243.600,225.716,255.783,478.012,264.597,902.314,869.390,607.628,455.216,498.588,688.278,365.995,1259.891,659.037,405.395,820.679,670.471,306.634,491.910,673.885,676.616,1078.878,987.973,705.034,1115.000,933.515,765.619,935.710,958.705,356.949,555.533,523.797,615.608,495.861,610.389,406.213,477.451,274.847,281.750,496.500,672.159,1054.042,429.969,347.856,295.567,257.006,394.683,296.962,741.333,341.940,445.971,295.702,316.911,308.714,729.511,459.143,401.032,443.230,226.280,318.341,643.646,400.079,343.930,582.454,615.558,387.776,407.639,699.730,766.755,426.484,538.705,194.621,197.438,363.914,416.991,398.480,239.918,1109.314,942.301,773.136,910.093,766.687,1332.645,915.000,934.027,646.437
4,845.419,506.246,549.077,375.545,151.725,368.438,680.061,797.469,1142.059,587.311,738.030,324.854,631.466,658.864,558.186,659.138,865.467,308.366,1135.912,678.618,522.522,655.766,375.938,369.273,572.635,536.182,942.992,1298.144,260.257,250.697,257.642,324.783,637.172,344.047,996.971,874.441,546.581,469.252,529.160,512.310,362.820,1211.900,635.780,336.349,811.734,691.596,378.634,463.150,810.215,770.438,1202.450,1065.169,845.377,1266.720,1022.313,832.683,848.821,1143.547,402.127,594.815,507.551,428.734,580.657,438.042,376.750,435.707,314.227,513.140,478.844,563.333,831.389,319.330,433.553,285.764,266.964,379.406,317.932,750.903,411.651,451.848,278.206,325.976,269.429,553.148,513.571,507.333,431.622,332.273,281.800,546.100,457.395,313.695,561.485,498.847,282.045,373.053,731.908,782.585,487.820,575.369,294.921,264.246,337.961,485.928,367.616,352.395,1282.457,866.288,728.398,847.980,701.358,1200.348,1115.201,843.714,711.778
5,841.803,426.814,517.738,376.836,239.967,466.448,704.835,871.593,1254.464,637.144,698.530,376.199,642.102,813.745,879.349,780.325,694.913,510.890,1129.175,456.191,556.903,773.150,373.593,329.523,725.156,612.409,850.195,1296.964,286.119,273.255,249.679,180.033,440.521,252.336,825.181,896.963,672.593,623.288,540.277,535.635,394.191,1162.719,658.839,390.993,717.009,596.147,498.098,533.489,807.400,699.995,1069.115,970.115,839.678,1021.632,1147.308,927.627,826.034,1140.853,386.709,557.296,623.928,710.456,455.917,616.438,422.691,479.768,395.367,341.150,504.778,625.297,919.737,420.247,383.455,263.913,359.557,322.041,318.872,753.000,348.904,563.629,290.518,363.556,312.184,531.705,529.648,494.097,445.215,248.035,380.576,470.962,462.798,252.367,417.399,460.031,404.963,396.489,760.149,935.076,392.742,678.123,227.070,269.454,367.868,575.045,412.528,309.313,1226.536,959.938,921.660,999.702,702.896,1298.277,1015.484,999.857,691.030
6,827.349,609.076,622.754,323.618,220.791,315.895,884.878,803.556,1188.843,636.278,592.880,272.834,562.670,827.100,613.674,701.037,814.087,412.524,1060.688,532.730,411.345,786.103,476.025,376.562,518.604,607.136,957.041,1142.910,314.822,277.897,283.083,148.933,502.485,292.322,914.876,942.684,464.756,430.991,560.815,595.587,444.624,1191.314,654.271,370.414,672.064,636.757,498.439,553.880,709.477,712.973,1177.802,975.617,852.904,1094.016,1083.187,769.103,844.359,1019.853,402.342,563.385,482.783,403.304,477.278,555.250,280.154,444.256,355.613,405.580,506.378,570.290,947.958,513.928,401.576,212.008,356.635,330.512,423.977,742.236,708.072,457.419,346.887,295.605,240.235,604.011,380.686,421.032,466.452,299.378,189.176,697.292,438.000,271.781,554.534,553.540,431.873,358.346,637.128,726.462,578.922,686.582,271.251,268.146,331.092,508.685,360.760,377.259,1338.793,861.925,725.587,898.583,704.619,1378.813,1031.472,895.048,788.067
7,892.721,581.237,606.085,407.909,176.857,363.543,849.478,734.963,1429.823,620.922,661.450,381.172,602.148,820.536,604.651,878.675,623.391,474.817,969.000,638.157,492.832,771.467,489.630,437.477,703.490,603.455,826.528,1127.820,365.861,291.448,266.248,196.633,548.644,357.899,1039.962,899.971,691.628,413.243,510.101,567.135,413.294,1214.410,650.934,406.191,728.936,776.588,472.179,529.504,685.169,723.400,1204.221,1005.503,930.596,1025.704,1261.601,881.976,869.372,873.789,309.709,624.015,486.464,559.203,446.602,494.812,382.485,439.488,398.140,442.980,521.522,643.080,817.979,462.856,479.652,343.654,328.192,331.260,308.789,842.903,382.470,461.133,289.284,263.516,216.490,714.341,338.752,402.194,507.681,407.420,192.588,534.946,423.167,267.273,580.515,505.166,409.493,472.353,698.511,675.491,504.547,575.500,240.344,301.362,363.566,439.802,363.432,324.136,1073.750,951.945,724.451,882.689,722.709,1224.684,998.937,899.258,1023.363
8,694.542,482.856,501.969,357.109,287.352,438.200,863.574,834.630,1567.366,862.133,664.940,328.848,677.477,802.582,780.140,767.862,651.467,381.915,1158.887,601.584,496.327,602.252,474.926,302.695,603.479,558.064,1160.130,1140.586,246.406,285.407,247.459,299.333,524.374,340.040,999.038,1003.287,598.500,534.901,554.824,526.397,472.603,1288.029,545.905,427.664,821.587,661.147,343.171,466.917,689.923,645.324,1314.702,997.525,952.884,1283.560,1164.404,710.381,865.076,1135.832,321.924,606.422,537.493,518.975,508.954,585.903,433.596,443.293,355.280,296.200,496.611,595.522,847.084,323.165,427.636,258.039,276.545,497.106,289.767,874.583,401.205,416.067,297.270,301.194,309.388,616.636,487.867,441.194,501.570,413.853,344.235,545.277,529.596,311.234,628.497,467.896,357.910,374.023,747.433,802.198,464.906,603.943,263.868,339.800,339.467,463.081,352.920,327.306,1108.114,884.760,823.223,925.642,816.119,1268.832,1013.931,1039.048,758.319
9,900.882,562.466,602.977,293.827,274.769,486.876,989.348,844.654,1183.268,751.367,677.130,291.980,804.602,749.518,584.488,756.062,802.370,582.500,914.650,622.843,468.876,637.972,552.086,367.812,696.615,516.064,971.911,1251.126,300.792,343.766,257.266,260.467,655.798,497.698,1162.000,819.662,483.500,489.423,612.513,559.405,412.933,1244.562,672.407,304.204,827.018,711.897,412.187,499.549,769.162,790.508,1246.779,1054.393,864.932,1141.832,1107.313,887.095,911.386,1018.990,341.278,660.156,410.507,564.861,452.333,516.458,494.301,425.122,370.380,419.640,417.467,694.109,703.126,415.753,446.182,260.630,371.156,322.967,371.353,753.083,445.193,537.800,305.759,260.290,311.459,684.807,496.067,472.032,470.481,369.818,341.847,459.577,414.728,323.352,504.571,498.043,389.739,362.338,738.277,717.698,415.445,554.541,222.093,342.877,414.237,480.667,380.136,315.327,1153.936,958.870,785.243,985.503,737.993,1414.697,1172.805,1063.823,754.267
10,862.148,391.254,504.562,423.855,222.648,391.229,959.296,702.364,1387.745,796.056,646.260,295.695,681.545,661.282,742.372,855.713,662.337,548.341,1054.350,832.461,591.611,732.561,473.568,335.836,767.990,514.282,1121.041,1193.703,338.287,231.938,225.982,292.233,552.031,327.772,978.857,1001.772,621.651,461.892,576.866,504.048,452.222,1230.219,661.656,362.803,769.550,626.162,422.927,587.368,672.715,692.946,1103.130,969.005,814.521,1310.424,1143.909,942.254,847.352,1095.558,418.975,588.548,525.826,417.139,526.398,486.076,377.301,547.695,339.967,359.560,464.267,547.029,909.442,384.804,561.091,306.449,322.766,343.415,374.842,642.056,385.759,513.105,392.716,371.798,276.173,831.739,456.667,444.860,490.904,412.664,359.082,598.038,500.079,250.398,611.785,529.497,452.627,411.030,926.936,708.538,392.438,566.328,278.242,339.285,450.086,434.378,397.352,284.633,1085.664,902.432,749.621,868.934,710.784,1297.858,1026.075,1054.891,836.785
