 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean(RoiSet_4),Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146
1,1540.918,2031.039,310.229,1091.655,304.786,374.062,251.648,350.904,301.767,414.784,621.387,345.206,712.678,652.792,2221.642,638.709,1027.795,299.980,318.870,151.245,744.711,228.953,486.991,272.515,462.968,325.743,337.143,767.060,372.973,663.935,354.357,411.745,275.434,190.413,351.000,329.651,211.148,467.119,220.046,199.739,196.725,261.695,652.886,196.356,145.067,449.026,943.610,454.600,438.171,244.659,119.860,490.560,247.449,219.096,226.712,229.387,243.693,570.333,502.402,581.000,412.416,397.449,184.948,321.377,396.017,438.917,162.943,294.581,260.632,218.505,442.088,296.976,419.082,499.829,650.385,329.309,369.309,291.295,441.300,417.517,534.426,195.226,185.994,163.016,393.615,298.172,424.000,202.357,76.555,201.871,285.558,281.725,449.283,231.747,156.394,174.942,1055.946,308.625,212.196,186.105,216.569,577.870,870.397,234.495,478.319,481.966,399.340,155.890,171.775,209.739,421.667,316.507,312.683,428.419,387.451,437.556,292.988,367.486,301.160,144.732,312.647,298.298,312.188,413.747,442.568,193.022,238.063,247.652,690.895,545.635,369.286,347.323,350.344,483.286,297.800,425.214,251.959,376.645,327.809,283.620,414.225,342.426,255.620,290.568,509.377,377.395
2,1706.680,2286.726,379.844,1387.643,401.449,403.234,257.048,459.479,414.583,367.865,607.726,256.709,822.287,757.574,2176.716,826.109,959.049,395.627,390.444,176.657,714.478,350.969,537.514,253.536,868.556,631.973,427.268,862.520,263.685,714.000,321.917,493.468,184.811,259.907,296.259,273.708,317.469,373.060,280.877,216.059,317.953,305.740,509.636,147.740,197.030,463.061,948.660,383.643,503.810,192.424,174.495,501.440,188.847,178.404,373.726,251.745,292.416,543.867,479.164,617.497,517.465,482.058,385.299,409.418,451.316,437.438,190.102,267.075,262.296,224.237,526.584,249.378,376.173,522.376,542.231,343.300,498.918,331.955,707.650,567.992,697.229,189.116,148.371,138.111,312.123,290.276,318.745,199.000,162.883,143.168,241.217,227.565,574.333,273.540,139.979,150.535,1520.865,302.359,373.107,125.947,270.412,838.741,929.483,207.175,588.403,401.908,484.540,182.780,196.126,140.739,488.796,141.551,347.622,547.535,520.902,462.722,300.831,253.014,295.813,135.894,387.824,396.579,261.281,327.467,467.797,219.239,247.541,287.580,726.674,488.196,399.348,328.479,366.511,491.195,348.553,418.976,235.975,422.250,347.355,190.481,439.517,271.926,313.891,340.577,486.883,398.871
3,1741.975,1833.039,257.833,1171.500,311.633,388.109,425.229,326.936,337.903,297.459,697.964,305.128,762.357,738.208,2312.940,846.382,1085.074,414.647,283.222,327.412,576.489,378.234,681.211,266.165,661.317,449.027,320.000,1065.480,375.973,588.844,353.976,473.883,408.660,317.467,275.593,331.094,312.654,344.925,241.031,231.333,314.544,284.716,890.273,279.019,127.642,409.957,828.872,462.209,553.552,206.788,174.667,489.093,198.694,159.605,338.151,313.094,257.951,614.800,464.041,617.886,438.376,529.580,302.082,391.000,481.291,555.231,183.114,291.495,213.576,217.946,467.898,306.331,333.764,513.026,710.462,343.073,463.309,386.321,821.875,746.192,639.320,194.856,140.520,144.381,388.148,292.920,510.949,236.833,201.398,181.178,266.667,330.841,449.267,207.690,199.617,163.558,1084.811,252.281,321.071,85.439,211.804,622.870,907.690,242.062,390.361,518.494,395.350,253.671,145.396,179.932,379.426,323.159,380.110,446.640,588.902,350.500,284.000,345.319,235.267,222.374,375.588,437.614,280.500,416.613,410.811,355.457,234.239,252.000,825.979,510.402,382.545,402.808,400.922,592.221,438.612,448.714,273.303,313.113,349.100,385.062,448.692,313.932,316.467,388.901,595.883,331.193
4,1855.115,2162.765,308.083,1449.155,253.439,444.422,363.714,480.394,303.369,527.162,803.048,259.844,828.835,894.772,2138.299,766.945,917.762,426.765,347.889,211.804,753.044,242.859,595.780,320.557,697.873,429.865,419.625,718.780,339.397,492.169,371.738,581.500,458.547,429.973,351.426,310.226,336.358,391.403,362.338,257.150,260.027,274.453,804.318,222.375,188.201,434.939,912.738,442.200,562.562,222.012,178.688,535.736,299.224,182.114,182.356,230.613,182.208,650.592,478.418,667.121,466.941,513.797,365.144,289.467,413.291,494.413,164.614,310.957,310.976,176.925,518.796,276.268,329.745,632.863,509.077,281.191,430.247,323.911,846.300,618.992,640.385,254.842,173.160,186.725,393.344,424.080,501.296,333.024,113.008,176.733,279.108,343.957,409.017,215.943,156.660,201.477,1227.784,411.391,158.768,166.684,327.549,562.537,1032.086,224.691,547.583,569.908,399.270,150.037,177.441,150.682,465.852,331.710,380.220,408.128,531.706,400.981,318.024,364.028,262.013,218.764,299.897,326.544,224.047,364.800,411.392,261.120,308.377,249.913,526.979,490.318,464.705,346.862,463.600,530.740,398.671,482.421,230.279,367.419,345.736,340.442,329.717,260.041,377.153,386.856,449.162,435.974
5,2116.680,2072.353,286.792,1501.548,410.592,682.844,387.438,416.809,302.903,423.973,785.274,243.972,845.087,742.337,2074.955,870.182,1111.262,550.137,420.981,218.559,971.167,399.516,683.046,211.577,850.429,438.446,313.446,886.520,276.548,573.519,373.827,534.170,269.453,327.467,419.074,405.585,308.086,268.463,238.431,226.771,289.926,243.088,695.795,281.365,199.485,443.704,1036.723,418.296,411.581,144.059,124.688,474.747,301.367,190.702,386.342,204.594,254.297,536.117,605.189,544.221,583.228,386.703,385.907,350.500,387.812,443.603,229.205,270.828,358.832,283.989,512.650,353.591,370.655,685.701,704.662,309.900,525.330,251.321,494.850,559.825,554.934,248.137,190.126,137.735,380.779,350.805,586.347,328.429,171.453,260.673,280.858,419.072,339.633,180.839,196.266,165.279,1488.324,331.703,213.982,124.404,387.863,543.074,798.534,327.629,576.653,474.195,428.820,166.293,133.216,195.125,479.352,299.072,596.524,409.709,432.157,520.759,364.518,290.069,142.800,167.537,384.985,488.807,376.094,371.200,494.689,244.402,235.440,330.362,643.116,599.159,375.429,361.054,371.544,518.909,403.718,401.064,246.025,402.081,339.564,246.364,332.825,306.919,258.533,367.829,495.071,359.107
6,1711.812,2305.020,285.188,1535.060,288.653,533.484,324.429,547.734,355.214,428.446,737.405,209.163,895.722,907.129,2115.463,822.109,966.877,385.863,429.222,221.706,835.222,361.375,524.927,219.918,680.381,400.297,331.536,972.160,398.493,467.052,367.012,439.053,319.547,338.267,336.796,330.689,285.741,247.134,327.646,234.837,237.966,266.246,710.682,292.625,157.000,479.678,932.057,389.887,489.743,259.400,159.409,423.115,202.990,159.211,387.507,278.566,308.178,646.133,527.943,651.711,514.267,483.993,348.732,374.098,575.154,460.446,147.227,264.280,305.352,264.763,506.190,388.803,363.264,548.940,615.662,378.809,544.825,364.732,692.575,606.750,742.762,217.863,201.206,121.312,391.918,324.540,432.112,316.119,153.453,200.158,246.517,436.594,555.683,142.517,147.340,257.128,1406.081,320.078,320.393,126.491,273.176,839.389,958.397,366.165,512.042,550.494,491.400,149.451,196.991,181.636,574.259,294.942,385.232,357.186,457.118,568.111,390.446,379.667,208.840,167.512,299.515,308.579,437.531,319.493,438.257,200.728,256.811,253.058,666.200,565.365,444.384,382.317,585.911,484.273,376.212,379.460,250.270,414.145,376.736,324.403,411.058,364.203,341.628,320.595,534.123,420.262
7,1847.771,1941.863,319.948,1255.488,329.173,514.078,327.095,552.574,343.718,506.662,599.298,294.674,705.626,872.941,2315.015,882.618,1213.598,428.039,379.759,181.000,790.467,367.094,515.743,292.938,817.937,441.419,326.071,860.640,325.493,558.636,360.518,502.777,298.226,233.747,358.685,295.538,286.506,345.866,290.523,256.438,287.430,305.846,633.068,238.548,199.522,564.226,1124.525,535.243,602.257,227.176,155.183,452.187,212.602,114.140,288.137,249.821,248.465,721.317,492.803,554.651,461.703,555.413,355.454,388.516,515.846,603.694,220.648,284.086,286.160,248.882,527.066,335.339,380.818,808.650,567.338,257.091,413.856,335.562,1051.600,696.042,542.213,291.301,180.691,159.783,385.656,263.437,514.786,374.048,114.328,234.396,291.117,265.478,480.400,293.161,138.617,151.151,1325.459,405.406,297.071,142.421,221.314,740.630,784.845,205.928,512.292,637.943,468.980,262.524,170.532,239.625,477.111,247.435,414.976,374.477,399.078,486.852,459.952,288.917,197.360,199.480,313.250,414.965,346.266,336.080,359.568,288.598,348.918,430.681,724.295,503.888,427.250,368.617,442.767,654.494,384.129,437.976,233.943,308.734,348.627,265.961,436.567,313.838,360.781,353.324,497.377,356.755
8,1953.221,2235.294,289.604,1478.214,349.786,493.266,321.667,534.840,310.000,468.081,732.274,314.078,893.113,1041.762,2084.358,1066.400,973.164,553.412,401.074,172.451,785.522,386.328,666.321,231.969,836.143,481.878,342.679,921.400,398.685,598.052,376.905,508.170,440.321,351.613,376.685,223.425,318.531,359.239,239.092,269.948,331.416,309.067,715.205,276.490,171.970,479.200,1162.936,324.817,450.695,178.118,144.204,444.791,244.592,164.263,388.658,289.028,233.653,665.317,657.943,496.671,529.455,374.601,308.979,339.107,447.350,364.264,229.159,190.656,287.552,246.237,571.715,326.110,439.036,695.145,599.677,389.082,488.577,314.946,1028.450,589.775,692.295,247.767,198.000,182.741,341.779,251.736,414.429,296.143,144.523,220.475,196.000,336.725,525.083,240.184,126.309,156.047,1063.432,330.359,305.196,187.737,350.412,667.500,941.948,272.608,313.806,451.172,477.870,190.976,164.135,190.545,454.130,366.348,471.268,401.023,520.353,429.148,314.783,429.486,180.680,157.919,308.368,378.807,465.875,292.387,366.703,231.076,215.635,459.058,888.158,636.449,377.589,380.407,466.889,492.273,549.247,365.119,177.943,362.653,309.709,339.744,377.767,321.068,355.759,397.577,590.825,440.773
9,1857.975,1793.373,378.094,1685.619,321.633,658.016,345.781,411.468,378.194,356.797,783.631,319.915,816.243,849.990,2054.612,833.382,1090.066,353.216,405.074,158.402,636.167,410.031,531.284,291.598,552.810,553.230,348.446,973.840,442.863,639.351,391.643,524.840,325.208,229.400,338.241,329.934,249.247,387.433,171.400,303.771,304.228,272.319,556.432,290.183,166.821,398.948,1162.738,438.930,528.124,161.635,238.054,552.489,227.143,173.386,349.507,335.264,239.921,821.217,565.885,676.584,522.188,533.348,393.289,387.713,514.735,382.570,281.000,321.753,217.464,283.978,432.460,408.134,369.336,661.308,464.046,355.236,562.567,259.205,952.275,581.600,678.926,267.130,139.223,175.772,406.238,269.908,615.398,216.476,179.984,142.792,255.142,363.377,487.933,258.448,176.872,250.047,1408.973,307.703,291.000,153.439,329.961,598.630,836.983,202.938,414.583,570.862,436.770,231.976,229.910,195.659,454.630,220.957,441.159,547.977,580.725,726.000,207.855,341.708,243.347,152.992,343.471,221.088,436.016,408.667,390.176,300.087,245.730,224.290,780.368,570.907,458.161,400.545,549.944,560.649,421.600,486.762,279.098,312.290,274.709,356.155,472.525,292.122,295.540,340.288,544.260,393.403
10,1805.795,2457.980,263.490,1369.345,261.980,602.859,370.124,420.085,388.379,471.595,704.060,348.298,720.522,829.495,2367.806,805.200,1133.574,290.980,221.833,173.716,775.044,248.156,558.945,257.629,655.190,621.662,332.429,825.540,377.822,563.312,380.417,590.074,283.396,319.080,342.204,303.113,316.654,326.493,282.123,266.007,297.134,285.628,522.659,215.413,201.187,451.113,1056.738,409.200,461.457,214.647,236.925,503.654,234.908,179.211,345.110,234.396,277.267,735.650,593.639,729.899,655.564,580.710,376.423,420.639,473.564,494.041,311.205,364.183,362.128,240.355,561.212,323.378,386.073,645.991,478.677,405.836,521.845,405.964,615.900,558.533,560.959,238.589,177.183,176.106,328.705,389.862,358.286,180.476,133.281,173.525,313.125,226.739,475.000,226.897,185.574,167.151,1424.324,283.375,233.946,192.298,319.451,851.685,881.724,249.144,587.806,551.414,413.440,154.341,167.730,181.750,577.963,331.058,434.610,439.267,386.667,562.556,304.229,326.833,228.947,210.626,397.368,393.754,403.469,387.667,519.892,280.641,305.340,381.710,796.789,626.766,402.643,324.347,440.867,523.675,342.918,461.960,385.205,347.653,341.255,306.171,413.467,417.568,346.080,344.297,547.532,442.936
