 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135
1,624.375,1448.935,726.097,706.127,638.500,1431.198,1351.554,342.545,922.472,238.984,425.843,341.912,269.606,246.786,436.130,345.788,211.474,176.633,299.897,453.094,162.568,166.309,208.007,708.431,765.935,362.773,132.939,198.544,297.413,308.987,44.683,167.311,261.058,545.461,337.679,509.879,710.787,779.254,515.323,441.435,290.017,332.776,556.404,896.092,679.305,92.898,265.036,179.180,193.335,224.658,223.535,770.865,455.241,761.697,760.904,538.862,441.231,502.211,327.789,488.867,449.009,356.347,437.551,486.986,474.597,271.877,479.370,430.683,122.360,361.712,153.357,368.753,456.020,238.194,275.452,350.585,205.464,138.603,618.375,655.175,478.923,272.025,769.442,679.007,554,571.315,768.886,654.302,517.841,261.740,641.593,454.640,833.340,499.983,147.636,148.203,175.038,304.014,417.341,181.014,234.933,317.909,270.368,668.752,566.530,501.674,257.943,887.274,651.095,622.159,217.773,542.654,417.843,498.541,340.700,696.782,135.096,256.591,155.212,560.465,872.910,574.582,500.013,600.348,308.435,343.147,110.941,300.956,81.493,344.606,481.527,674.327,139.252,142.930,89.484
2,736.433,1610.623,820.918,597.669,617.346,1236.279,1634.376,333.649,877.169,143.651,454.126,485.426,392.240,271.912,332.805,432.655,210.403,113.048,250.603,456.578,181.730,171.449,232.022,791.008,820.626,399.448,168.748,197.882,257.503,234.860,93.508,257.378,296.333,624.180,253.657,627.864,838.500,570.413,641.052,442.542,381.448,485.871,624.073,621.077,724.263,221.796,263.964,323.616,185.419,308.685,265.228,579.468,547.316,406.557,568.532,608.575,280.769,591.286,494.859,587.319,382.393,251.187,327.362,290.189,502.815,353.899,409.975,374.691,264.610,330.966,213.250,327.907,317.190,354.813,295.237,210.738,161.829,170.809,879.383,637.437,372.811,325.420,685.773,495.773,783.243,561.669,788.114,424.078,371.584,430.299,675.549,481.740,577.880,606.034,300.082,166.636,194.373,328.094,231.829,293.586,352.563,369.152,264.993,511.992,499.090,288.511,209.617,759.896,934.548,690.650,343.972,260.188,435.627,453.622,376.558,441.558,400.311,118.356,229.343,650.095,860.510,551.773,604.669,400.026,325.993,193.155,166.412,212.096,162.577,259.962,388.023,662.320,132.482,111.860,62.195
3,905.600,1801.507,887.776,489.287,642.640,1438.404,1518.439,417.530,792.500,160.403,465.542,397.735,354.962,416.585,398.097,628.982,155.117,62.789,195.759,468.422,98.311,276.191,159.733,779.946,694,376.058,213.770,183.323,194.801,295.147,130.651,160.646,327.977,533.494,289.814,423.856,752.172,868.738,466.639,619.947,300.391,498.660,563.106,832.938,557.653,169.971,270.386,369.853,314.361,318.748,230.811,614.509,339.910,573.836,562.617,549.850,350.308,751.463,219.633,563.062,437.645,343.218,369.118,377.250,397.637,272.870,388.798,257.528,264.930,282.314,178.911,409.960,311.817,320.548,334.319,304.492,242.017,173.943,1077.067,817.320,480.294,361.655,635.969,698.380,828.186,770.850,742.980,368.380,432.929,302.377,859.876,394.260,736.293,447.420,472.273,135.392,263.449,419.109,424.930,271.579,328.992,253.374,375.612,558.408,579.963,625.750,373.234,651.656,847.789,812.110,220.295,484.797,517.903,549.838,239.333,787.487,263.948,150.788,466,695.370,624.948,343.436,579.475,328.191,387.396,228.558,176.596,158.912,84.876,372.106,602.426,694.065,53.748,77.325,65.005
4,838.292,1797.551,1011.969,659.764,652.221,1266.448,1468.943,425,1023.955,215.984,328.277,449.294,610.375,270.063,338.335,502.726,294.532,108.458,298.609,421.739,157.649,90.412,114.859,723.954,747.431,446.292,132.609,65.810,208.806,284.133,84.738,332.299,259.076,475.376,283.043,534.727,839.926,606.968,573.794,487.084,282.776,596.510,574.298,968.777,743.576,213.372,301.669,264.213,300.581,282.820,220.402,639.374,496.211,588.992,516.394,671.225,342.747,625.313,247.898,561.142,342.495,253.451,543.181,482.378,286.282,378.688,468.235,419.902,234.640,601.593,121.179,355.460,360.817,355.516,206.563,327.423,176.309,227.170,793.250,720.806,387.741,164.487,536.932,675.073,662.686,543.134,649.188,500.372,532.841,407.312,724.823,434.980,677.773,543.765,261.127,231.755,125.759,451.217,455.643,228.764,296.151,324.576,308.099,608.024,564.754,523.783,398.596,847.245,820.990,665.546,406.426,302.872,543.709,465.126,288.775,557.917,258.274,314.091,427,832.415,998.710,526.936,501.356,371.217,406.253,227.457,109.125,314.632,61.363,457.115,499.302,703.444,161.842,20.172,84.279
5,662.283,1926.616,757.199,530.624,664.485,1342.823,1734.408,586.896,1224.798,217.713,387.211,356.426,283.462,287.950,480.638,496.212,213.383,88.837,280.052,564.056,143.419,128.456,133.222,645.854,723.081,255.929,212.278,143.010,227.095,440.687,103.730,291.341,332.018,595.500,321.286,645.750,542.508,828.365,509.581,457.992,269.293,566.102,551.192,749.415,830.110,109.883,210.988,257.621,252.819,467.495,269.724,589.930,487.045,676.672,414.553,354.325,430.253,884.082,393.336,595.204,576.122,272.130,483.094,509.682,414.831,387.942,527.210,262.634,223.670,437.008,220.420,560.860,354.353,362.961,289.763,333.885,133.470,196.440,729.533,917,536.825,405.420,827.362,766.300,734.193,534.638,804.564,502,580.991,533.078,835.195,642.570,563.980,436.866,348.127,251.748,270.627,407.754,472.388,356.150,315.420,185.960,461.645,733.152,588.978,498.511,339.922,786.316,983.854,587.693,363.375,395.098,497.679,651.126,345.783,615.853,335.652,284.856,208.920,797.310,690.129,516.109,649.938,425.748,542.442,301.527,134.581,169.478,147.776,267.798,467.132,694.170,112.388,159.108,164.521
6,594.192,2000.659,818.281,638.955,610.757,1555.750,1578.121,365.903,1142.376,189.977,493.759,484.838,351.346,264.189,417.719,416.540,169.558,142.205,192.374,470.778,186.851,293.265,165.830,723.308,738.577,337.610,206.917,101.031,149.891,215.520,123.484,271.488,199.544,463.955,311.729,560.591,745.180,882.952,731.852,578.160,346.575,466.361,419.278,1173.223,767.712,184.715,184.386,316.318,217.077,310.631,240.039,550.579,558.940,478.041,659.628,495.325,708.308,704.599,318.461,533.027,310.056,344.653,458.591,372.189,412.710,439.428,306.790,275.033,144.730,202.042,163.795,614.420,342.529,313.619,215.052,362.815,181.249,227.957,718.200,862.651,439.741,289.168,750.742,736.640,716.571,733.354,794.597,403.481,417.566,647.351,559.327,403.560,583.573,545.815,353.300,220.196,229.323,525.239,513.171,265.929,231.412,115.202,386.599,641.608,579.209,465.663,220.716,733.764,770.462,996.086,327.278,446.504,413.239,711.306,277.367,692.218,508.348,333.492,295.620,945.305,640.987,490.936,524.344,388.304,403.435,335.853,269.485,229.250,94.562,421.942,422.512,606.386,188.144,131.439,115.063
7,745.417,1637.362,920.878,772.955,447.537,1572.243,1400.299,399.216,941.573,241.775,351.283,381.331,405.135,245.667,345.995,350.301,241.078,151.157,191.454,630.039,98.865,225.015,115.474,580.208,809.350,440.597,190.909,180.451,304.945,269.300,157.619,238.585,364.398,603.596,258.379,793.417,575.902,715.389,595.400,460.153,399.454,576.014,602.914,1068.685,685.229,188.533,167.982,336.545,266.400,473.090,239.606,578.491,697.015,804.369,662.383,700.562,669.484,796.721,375.570,697.407,281.449,305.311,390.496,377.378,511.452,318.616,549.202,470.244,218.170,336.636,217.991,500.813,307.327,311.813,378.511,226.623,307.917,294.759,776.050,523.233,479.853,151.092,938.423,705.907,882.807,675.150,672.463,415.302,490.177,520.338,872.858,576.370,527.240,703.235,257.973,86.769,215.778,296.659,503.078,351.064,291.655,460.960,289.737,688.448,603.687,553.761,438.504,830.519,712.518,907.945,348.074,435.895,346.112,475.486,350.842,507.833,245.489,178.462,356.387,700.425,652.794,355.273,678.562,262.548,409.708,228.512,129.088,164.765,44.597,349.817,511.527,797.144,118.403,76.885,126.358
8,582.142,1578.246,793.556,669.854,498.331,1319.404,1682.121,354.381,922.803,331.163,425.223,328.235,322.404,280.937,572.822,490.584,217.149,132.807,182.408,504.928,223.568,187.390,210.252,664.638,826.545,461.136,165.178,223.472,318.328,324.713,175.897,322.317,300.895,561.904,288.700,513.273,692.467,922.548,624.574,433.450,354.690,417.361,612.715,795.277,737.381,168.547,101.145,377.052,290.981,418.450,355.323,656.719,394.850,641.180,819.521,659.200,573.209,909.306,263.383,494.186,387.888,250.218,484.402,378.669,400.581,307.362,439.521,399.333,285.590,194.720,210.116,653.193,292.183,321.626,352.563,419.769,293.298,256.631,752.125,824.379,352.832,334.471,970.141,615.313,761.186,715.591,623.235,381.109,369.089,629.351,630.858,518.460,783.520,364,365.945,178.462,172.671,376.304,495.380,112.879,339.429,250.818,254.691,851.680,521.701,298.783,384.901,899.391,783.181,619.638,311.642,348.895,438.642,391.973,204.225,618.936,348.800,231.515,290.029,746.200,876.548,505.018,675.744,320.591,450.403,411.372,121.199,312.250,109.711,403.510,573.527,912.889,109.554,97.490,161.226
9,798.475,2085.855,743.719,776.713,574.206,1675.147,1548.045,374.119,1092.506,378.868,428.331,358.066,327.125,279.170,436.119,657.283,322.104,90.886,133.879,531.750,281.014,193.912,265.815,648.308,874.211,385.175,133.917,232.446,223.308,275.227,50.063,249.872,209.754,541.545,232.986,744.962,803.066,878.675,660.535,807.939,451.500,339.388,540.629,776.969,766.881,266.277,171.289,458.038,258.006,292.505,420.386,685.491,450.113,622.541,654.181,567.787,472.824,918.034,432.234,632.327,470.262,188.435,505.740,503.872,390.274,393.522,376.017,507.431,209.310,348.458,212.062,517.940,564.843,346.832,325.444,306.631,211.044,249.695,733.783,586.204,365.685,315.613,649.215,740.467,887.907,671.717,698.483,479.310,499.681,438.870,440.522,671.990,650.567,655.613,307.918,95.832,180.184,287.326,560.643,421.386,404.765,212.889,262.461,655.952,411.657,594.663,395.170,709.382,861.523,946.294,429.318,562.534,543.403,615.892,304.467,485.910,353.274,240.023,319.745,769.435,763.219,491.218,691.731,412.791,399.344,370.589,85.250,179.596,75.587,588.404,582.922,752.941,129.906,90.866,163.700
10,723.892,1785.659,837.781,741.242,721.169,1327.603,1855.618,350.060,997.163,160.713,408.512,349.669,296.048,347.025,382.573,547.389,159.753,179.777,279.770,481.856,315.311,181.140,185.504,691.569,678.390,414.461,258.209,169.785,317.721,208.500,155,302.402,385.708,473.843,283.314,552.879,822.525,596.508,521.516,677.634,299.161,319.129,520.007,749.685,600.797,143.036,175.584,287.867,232.839,384.162,232.937,667.450,523.940,555.016,577.777,723.075,757.857,847.129,269.648,615.920,394.523,281.974,408.213,609.601,434.266,313.275,356.857,362.033,89.930,369.127,336.732,448.407,343.562,420.594,312.311,423.100,153.928,232.943,617.425,852.243,504.483,139.958,644.258,812.180,839.179,801.039,855.228,278.519,429.664,474.429,633.593,485.380,646.053,523.748,414.545,83.315,186.032,424.428,470.884,322.493,296.042,404.101,311.816,524.720,748.396,610.620,316.908,737.396,690.121,805.325,314.801,509.782,481.545,689.955,436.725,605.724,337.578,275.106,377.314,753.020,576.452,445.864,635.525,377.426,301.448,213.209,145.176,276.824,117.269,227.010,571.442,708.902,172.576,152.930,164.274
