 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75
1,1351.554,342.545,922.472,238.984,425.843,341.912,269.606,246.786,436.130,345.788,211.474,176.633,299.897,453.094,162.568,166.309,208.007,708.431,362.773,132.939,198.544,297.413,308.987,44.683,167.311,261.058,290.017,92.898,265.036,179.180,193.335,224.658,223.535,770.865,455.241,761.697,441.231,356.347,153.357,368.753,456.020,238.194,275.452,350.585,205.464,138.603,272.025,147.636,148.203,175.038,304.014,417.341,181.014,234.933,317.909,270.368,257.943,498.541,340.700,135.096,256.591,155.212,343.147,110.941,300.956,81.493,139.252,142.930,89.484,190.571,196.991,93.065,422.074,339.604,127.177
2,1634.376,333.649,877.169,143.651,454.126,485.426,392.240,271.912,332.805,432.655,210.403,113.048,250.603,456.578,181.730,171.449,232.022,791.008,399.448,168.748,197.882,257.503,234.860,93.508,257.378,296.333,381.448,221.796,263.964,323.616,185.419,308.685,265.228,579.468,547.316,406.557,280.769,251.187,213.250,327.907,317.190,354.813,295.237,210.738,161.829,170.809,325.420,300.082,166.636,194.373,328.094,231.829,293.586,352.563,369.152,264.993,209.617,453.622,376.558,400.311,118.356,229.343,193.155,166.412,212.096,162.577,132.482,111.860,62.195,178.390,317.803,78.753,165.309,229.743,200.146
3,1518.439,417.530,792.500,160.403,465.542,397.735,354.962,416.585,398.097,628.982,155.117,62.789,195.759,468.422,98.311,276.191,159.733,779.946,376.058,213.770,183.323,194.801,295.147,130.651,160.646,327.977,300.391,169.971,270.386,369.853,314.361,318.748,230.811,614.509,339.910,573.836,350.308,343.218,178.911,409.960,311.817,320.548,334.319,304.492,242.017,173.943,361.655,472.273,135.392,263.449,419.109,424.930,271.579,328.992,253.374,375.612,373.234,549.838,239.333,263.948,150.788,466.000,228.558,176.596,158.912,84.876,53.748,77.325,65.005,279.895,250.060,113.857,258.021,407.495,256.646
4,1468.943,425.000,1023.955,215.984,328.277,449.294,610.375,270.063,338.335,502.726,294.532,108.458,298.609,421.739,157.649,90.412,114.859,723.954,446.292,132.609,65.810,208.806,284.133,84.738,332.299,259.076,282.776,213.372,301.669,264.213,300.581,282.820,220.402,639.374,496.211,588.992,342.747,253.451,121.179,355.460,360.817,355.516,206.563,327.423,176.309,227.170,164.487,261.127,231.755,125.759,451.217,455.643,228.764,296.151,324.576,308.099,398.596,465.126,288.775,258.274,314.091,427.000,227.457,109.125,314.632,61.363,161.842,20.172,84.279,221.371,232.897,205.247,249.755,394.347,201.125
5,1734.408,586.896,1224.798,217.713,387.211,356.426,283.462,287.950,480.638,496.212,213.383,88.837,280.052,564.056,143.419,128.456,133.222,645.854,255.929,212.278,143.010,227.095,440.687,103.730,291.341,332.018,269.293,109.883,210.988,257.621,252.819,467.495,269.724,589.930,487.045,676.672,430.253,272.130,220.420,560.860,354.353,362.961,289.763,333.885,133.470,196.440,405.420,348.127,251.748,270.627,407.754,472.388,356.150,315.420,185.960,461.645,339.922,651.126,345.783,335.652,284.856,208.920,301.527,134.581,169.478,147.776,112.388,159.108,164.521,175.924,252.299,105.169,333.830,416.347,350.417
6,1578.121,365.903,1142.376,189.977,493.759,484.838,351.346,264.189,417.719,416.540,169.558,142.205,192.374,470.778,186.851,293.265,165.830,723.308,337.610,206.917,101.031,149.891,215.520,123.484,271.488,199.544,346.575,184.715,184.386,316.318,217.077,310.631,240.039,550.579,558.940,478.041,708.308,344.653,163.795,614.420,342.529,313.619,215.052,362.815,181.249,227.957,289.168,353.300,220.196,229.323,525.239,513.171,265.929,231.412,115.202,386.599,220.716,711.306,277.367,508.348,333.492,295.620,335.853,269.485,229.250,94.562,188.144,131.439,115.063,278.133,204.282,173.766,219.160,433.000,224.771
7,1400.299,399.216,941.573,241.775,351.283,381.331,405.135,245.667,345.995,350.301,241.078,151.157,191.454,630.039,98.865,225.015,115.474,580.208,440.597,190.909,180.451,304.945,269.300,157.619,238.585,364.398,399.454,188.533,167.982,336.545,266.400,473.090,239.606,578.491,697.015,804.369,669.484,305.311,217.991,500.813,307.327,311.813,378.511,226.623,307.917,294.759,151.092,257.973,86.769,215.778,296.659,503.078,351.064,291.655,460.960,289.737,438.504,475.486,350.842,245.489,178.462,356.387,228.512,129.088,164.765,44.597,118.403,76.885,126.358,234.600,125.829,40.117,313.926,312.990,209.083
8,1682.121,354.381,922.803,331.163,425.223,328.235,322.404,280.937,572.822,490.584,217.149,132.807,182.408,504.928,223.568,187.390,210.252,664.638,461.136,165.178,223.472,318.328,324.713,175.897,322.317,300.895,354.690,168.547,101.145,377.052,290.981,418.450,355.323,656.719,394.850,641.180,573.209,250.218,210.116,653.193,292.183,321.626,352.563,419.769,293.298,256.631,334.471,365.945,178.462,172.671,376.304,495.380,112.879,339.429,250.818,254.691,384.901,391.973,204.225,348.800,231.515,290.029,411.372,121.199,312.250,109.711,109.554,97.490,161.226,388.657,161.650,132.831,381.915,298.851,230.417
9,1548.045,374.119,1092.506,378.868,428.331,358.066,327.125,279.170,436.119,657.283,322.104,90.886,133.879,531.750,281.014,193.912,265.815,648.308,385.175,133.917,232.446,223.308,275.227,50.063,249.872,209.754,451.500,266.277,171.289,458.038,258.006,292.505,420.386,685.491,450.113,622.541,472.824,188.435,212.062,517.940,564.843,346.832,325.444,306.631,211.044,249.695,315.613,307.918,95.832,180.184,287.326,560.643,421.386,404.765,212.889,262.461,395.170,615.892,304.467,353.274,240.023,319.745,370.589,85.250,179.596,75.587,129.906,90.866,163.700,280.419,241.650,46.234,267.713,351.842,173.427
10,1855.618,350.060,997.163,160.713,408.512,349.669,296.048,347.025,382.573,547.389,159.753,179.777,279.770,481.856,315.311,181.140,185.504,691.569,414.461,258.209,169.785,317.721,208.500,155.000,302.402,385.708,299.161,143.036,175.584,287.867,232.839,384.162,232.937,667.450,523.940,555.016,757.857,281.974,336.732,448.407,343.562,420.594,312.311,423.100,153.928,232.943,139.958,414.545,83.315,186.032,424.428,470.884,322.493,296.042,404.101,311.816,316.908,689.955,436.725,337.578,275.106,377.314,213.209,145.176,276.824,117.269,172.576,152.930,164.274,243.038,256.863,46.481,300.968,250.693,270.448
