 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67
1,46.845,32.426,26.707,15.208,57.044,55.989,49.557,115.430,115.162,65.098,24.766,12.426,134.396,49.482,188.470,44.524,163.244,73.176,16.036,80.205,100.353,69.140,242.086,117.405,61.771,361.576,81.250,234.081,237.457,521.200,1204.982,217.198,195.843,82.756,147.848,163.565,630.558,264.731,336.973,338.568,490.118,428.303,356.861,151.550,134.902,14.061,136.691,166.033,390.144,151.121,159.816,259.434,403.358,79.146,146.922,110.768,224.322,49.938,69.856,7.930,93.162,368.979,77.993,397.111,58.412,116.051,775.392
2,10.680,97.938,88.391,198.720,65.478,27.611,123.462,24.675,92.599,37.508,86.734,17.085,87.604,67.816,125.720,60.612,114.588,53.880,96.464,9.667,36.780,139.684,48.125,110.937,72.336,320.608,83.842,265.826,208.348,376.689,1311.207,347.584,41.241,158.281,89.205,492.759,470.525,329.222,302.602,309.315,338.237,252.053,366.941,28.302,90.089,120.012,164.655,162.120,254.351,325.019,153.827,165.775,435.635,171.653,116.016,139.714,140.746,280.338,61.183,239.965,115.176,211.875,142.146,435.111,64.069,71.519,411.255
3,195.320,80.380,46.674,86.280,36.690,164.378,40.425,61.535,109.965,7.894,8.085,64.388,13.813,81.763,17.730,188.097,95.023,86.728,54.427,43.526,152.335,60.316,130.211,109.841,24.489,440.449,225.517,325.463,122.519,561.532,1222.505,29.455,141.434,205.526,107.311,284.167,507.283,663.398,386.726,557.811,366.172,91.053,280.634,112.314,86.205,95.255,82.309,259.660,313.454,187.271,136.939,120.326,661.081,140.264,111.023,111.929,128.695,78.569,140.556,48.651,80.338,263.500,199.021,227.025,62.244,31.759,666.735
4,53.918,81.039,22.571,154.792,48.752,91.200,10.311,62.737,75.444,21.886,42.032,70.023,73.857,52.982,60.230,187.767,114.176,90.784,8.455,22.705,108.595,133.772,91.180,108.698,109.611,534.930,148.717,418.000,194.410,444.811,1461.892,144.525,289.253,244.467,190.576,457.093,655.842,247.750,347.779,382.306,438.516,289.882,513.753,68.533,86.482,179.697,127.964,235.233,390.165,286.140,211.367,335.380,599.750,65.438,137.612,181.991,262.042,133.462,134.745,174.674,108.818,321.104,158.875,264.963,163.359,241.911,587.029
5,12.052,63.884,41.120,99.656,90.664,75.300,10.547,72.368,180.979,136.205,95.617,94.124,96.253,113.658,48.780,127.039,47.252,172.776,10.400,50.795,45.168,290.816,120.680,79.897,113.641,438.703,240.483,201.483,330.952,537.605,1529.919,41.792,145.217,225.385,162.750,316.491,400.742,279.528,403.478,378.126,431.312,186.526,498.535,46.775,156.554,70.285,139.609,442.247,382.464,236.701,115.806,245.372,517.000,36.729,120.721,83.089,168.805,78.246,96.261,58.488,91.757,184.229,132.014,572.111,116.550,93.114,815.696
6,96.918,72.256,69.120,32.808,46.469,31.244,126.764,133.307,63.817,36.258,17.947,86.682,47.308,152.789,129.320,114.670,27.046,63.464,73.727,29.128,92.757,22.491,46.695,53.960,207.588,488.582,224.208,336.047,226.938,523.468,1125.883,64.386,244.723,227.407,102.076,214.731,501.050,343.519,322.009,414.117,557.376,264.250,506.535,58.710,95.446,48.958,63.782,317.160,581.546,72.925,214.622,357.512,727.372,115.778,93.217,65.170,110.331,84.438,167.529,290.523,65.149,244.188,162.347,396.025,123.885,133.038,778.696
7,138.876,131.953,32.554,234.736,55.726,192.200,45.123,73.333,88.437,10.583,56.585,60.636,92.363,120.123,87.540,122.981,180.931,101.768,18.873,12.731,162.821,238.825,83.391,123.587,70.573,330.323,126.192,366.295,347.419,493.553,1297.486,74.327,143.892,181.652,271.295,390.398,682.733,416.157,422.230,614.081,590.914,137.118,542.644,127.811,43.125,121.424,72.227,230.133,501.340,193.701,254.429,409.364,576.209,162.951,95.054,109.857,88.220,69.492,162.941,29.151,59.020,167.500,226.625,652.247,24.832,104.570,589.706
8,165.454,60.946,90.533,40.024,67.920,25.344,128.009,12.561,7.704,43.947,39.649,58.775,33.253,130.149,62.980,135.951,98.382,91.656,9.273,26.872,57.994,127.228,102.109,177.135,89.435,356.367,73.617,314.349,375.176,552.763,1748.631,117.416,64.542,118.237,168.477,369.102,533.508,424.454,453.469,563.955,525.021,262.263,338.624,125.621,151.795,128.824,178.009,170.133,538.485,177.757,103.878,337.977,493.351,130.597,141.891,237.652,227.178,140.892,131.889,53.837,33.000,189.125,269.785,509.543,39.389,13.354,789.216
9,43.649,150.233,39.141,83.048,57.204,86.944,93.528,28.825,47.754,22.379,104.457,101.302,68.033,51.439,148.410,58.883,203.534,114.776,28.509,8.987,95.457,105.491,69.562,188.595,51.458,367.741,113.925,213.000,300.910,474.137,1065.495,139.554,257.361,252.311,143.386,423.843,662.800,611.833,304.531,565.595,583.086,202.237,586.743,173.095,173.554,79.667,351.245,343.093,270.753,186.421,259.949,269.853,795.000,75.889,135.535,80.045,107.025,78.677,213.575,274.349,79.493,305.000,198.944,433.037,168.603,20.810,784.980
10,111.660,12.558,25.940,131.120,75.345,166.744,46.425,38.579,105.768,38.417,31.383,60.667,65.714,58.254,179.090,66.388,21.069,50.856,111.827,79.731,143.908,153.132,135.297,137.405,131.969,388.411,81.283,285.262,358.819,605.126,979.180,110.554,87.880,99.548,229.924,431.000,435.567,382.491,419.991,486.189,569.000,443.776,501.802,105.870,174.688,40.824,156.436,229.373,196.845,316.776,113.418,314.527,849.926,130.819,99.000,75.170,114.856,180.131,104.425,132.477,111.486,147.104,212.000,512.346,270.527,76.696,439.539
