 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142
1,178.153,209.556,231.911,129.615,18.049,150.930,76.652,186.850,380.167,107.250,171.612,108.675,248.954,273.024,345.806,518.286,199.612,119.614,329.118,146.942,96.349,545.071,87.821,130.091,139.255,37.154,179.905,131.628,546.482,364.021,297.526,522.044,203.333,499.548,560.735,789.806,314.830,118.674,264.051,369.545,463.377,661.449,238.385,284.889,97.373,63.736,242.672,376.465,292.877,258.132,339.932,371.236,136.275,545.276,567.740,562.446,147.295,406.109,487.588,181.160,397.095,692.153,711.565,741.870,1084.254,586.857,548.143,332.983,423.388,432.329,201.017,411.292,135.153,295.673,430.512,319.844,131.645,11.612,91.298,257.847,233.645,207.478,203.812,212.102,47.268,12.673,645.300,1053.783,553.868,382.886,159.205,52.200,582.774,423.214,435.537,712.923,559.923,67.108,40.875,100.677,165.600,12.225,10.786,166.148,368.146,12.075,20.114,35.239,589.386,328.929,495.579,371.812,317.347,346.746,1137.972,62.569,77.505,288.130,290.125,120.815,396.178,407.921,332.587,718.860,6.143,104.702,10.585,8.811,9.314,66.051,246.820,131.478,149.016,105.039,162.000,108.796,107.125,32.957,118.559,204.286,454.571,143.850
2,301.102,317.603,113.111,210.519,233.512,201.767,90.500,111.733,379.983,26.692,252.694,205.450,86.031,23.167,232.516,559.776,189.143,54.250,178.662,275.846,94.540,311.286,199.179,127.152,89.275,152.718,536.111,260.654,99.304,63.319,258.895,471.412,335.875,276.143,297.471,342.935,338.453,383.739,340.881,370.396,223.493,727.855,655.308,436.095,105.508,113.846,424.234,223.605,379.846,245.618,276.011,240.691,258.580,363.207,650.014,270.625,74.590,695.255,473.824,351.613,435.784,641.695,512.435,1193.623,605.042,840.881,496.286,239.138,269.727,386.823,412.441,365.236,473.322,202.558,370.163,346.675,430.452,225.403,403.895,252.122,120.742,275.582,306.979,57.184,151.507,190.769,591.460,752.464,192.132,431.773,55.136,141.345,356.038,194.571,773.746,501.288,453.000,121.919,74.363,120.892,291.400,13.675,199.643,116.241,380.171,64.625,59.364,142.269,524.877,333.500,307.175,319.634,474.263,781.898,461.778,104.275,74.874,278.833,249.300,56.662,541.733,449.941,318.825,635.081,44.403,221.447,4.170,69.730,9.286,523.576,159.540,35.196,129.869,73.882,407.361,207.592,46.893,92.071,282.206,162.486,178.964,141.550
3,239.339,197.270,187.556,274.442,266.512,95.163,146.891,129.617,351.367,128.827,303.857,256.850,282.769,100.262,400.419,428.286,159.551,256.545,152.529,182.673,86.667,498.548,245.642,168.485,36.451,176.410,549.270,171.897,669.196,528.319,202.500,514.735,183.271,432.714,691.206,575.387,444.698,297.304,369.034,276.020,485.536,919.087,675.308,275.635,166.212,231.615,400.266,324.884,520.385,338.882,409.841,155.164,376.522,569.138,535.000,491.071,356.344,306.891,313.804,378.387,422.122,1224.458,522.370,788.739,963.254,543.595,748.595,464.569,78.784,262.380,469.746,404.584,257.119,213.019,504.791,379.429,298.742,493.075,465.298,295.041,273.742,244.433,174.438,92.041,59.915,172.519,766.040,1094.000,420.368,461.818,260.159,170.618,475.340,440.232,317.582,455.096,178.154,203.149,10.775,18.200,73.756,12.250,278.619,328.870,144.341,60.200,196.136,148.881,326.316,176.900,736.246,363.000,215.579,418.508,748.750,59.637,87.252,291.565,317.663,427.569,497.722,542.327,539.730,1106.570,20.481,10.915,9.019,70.514,78.886,154.593,185.300,128.239,170.721,261.118,76.056,170.286,116.339,20.500,10.941,304.286,57.286,735.325
4,110.746,291.540,205.978,481.846,304.390,496.791,534.435,65.567,329.083,92.231,283.612,208.800,232.862,257.381,328.366,310.286,208.327,265.977,274.853,57.462,62.873,676.643,233.701,374.636,95.529,240.744,279.095,318.628,182.071,129.255,243.947,579.941,554.208,17.476,539.588,440.258,358.151,407.696,439.254,433.891,482.841,400.014,762.731,418.286,192.932,141.516,486.453,427.291,232.154,122.529,344.193,448.600,399.087,722.655,618.959,129.232,250.738,734.673,673.216,382.187,224.068,835.458,929.761,798.783,1256.028,404.119,939.119,366.914,161.870,122.405,173.746,485.483,198.119,130.942,373.326,389.195,498.548,83.925,300.175,292.398,323.290,412.343,34.188,163.490,12.915,135.038,475.700,514.420,187.842,490.000,288.591,361.091,196.491,453.554,718.015,800.654,49.000,108.824,167.750,72.877,533.511,226.475,73.167,100.185,384.585,228.950,235.250,116.343,87.123,301.857,571.632,428.634,291.726,374.153,415.778,102.441,55.640,188.602,324.812,166.046,281.667,562.327,466.333,548.674,7.584,12.255,12.358,8.432,15.686,162.119,294.660,297.783,181.770,152.863,150.306,208.184,147.750,105.414,92.059,9.543,147.393,123.775
5,170.847,76.159,489.622,222.231,364.146,177.884,371.348,53.233,149.767,125.365,286.429,258.125,153.769,212.619,434.892,662.224,214.551,550.477,149.647,273.442,139.222,337.357,184.537,193.515,135.039,411.385,248.683,271.590,570.161,423.681,413.895,446.162,342.708,428.810,538.912,459.968,431.245,404.109,492.119,406.228,350.319,688.058,417.673,544.286,197.458,186.418,410.266,503.291,537.969,95.588,352.239,591.145,429.000,773.172,629.726,147.125,330.197,436.509,500.745,594.027,562.392,911.475,513.957,931.406,754.648,624.786,564.524,554.276,197.302,373.468,224.881,478.371,329.542,422.038,208.930,382.688,366.694,423.597,508.386,321.490,138.806,326.881,109.229,202.592,105.352,116.404,758.900,726.536,283.500,513.818,371.705,542.073,581.302,279.464,286.134,205.788,843.820,93.851,139.700,114.415,230.489,538.150,183.357,282.000,329.756,29.350,188.568,121.597,488.667,338.457,305.333,231.653,311.547,233.169,957.500,255.333,34.523,222.194,216.775,184.123,315.267,281.228,437.667,627.267,6.104,61.106,7.755,17.730,70.886,318.983,107.480,101.022,171.885,165.235,389.500,302.510,65.661,7.043,31.662,184.886,220.750,681.625
6,341.458,24.794,142.778,200.596,266.220,135.977,380.935,296.250,343.467,40.288,474.776,152.950,408.646,110.167,400.344,515.980,210.592,83.341,460.250,47.212,168.857,203.262,304.090,325.727,550.275,288.590,338.810,104.321,419.679,515.957,11.579,800.794,608.688,303.357,208.441,444.419,320.377,298.761,353.831,381.208,263.594,650.826,377.942,324.698,151.000,204.297,318.797,277.209,529.431,380.912,332.227,350.018,312.290,436.155,457.356,494.250,417.623,423.582,410.784,244.573,432.284,840.203,540.152,797.986,1183.761,1004.833,452.595,272.862,317.475,326.114,221.966,484.360,350.102,275.558,311.093,309.753,588.758,430.702,189.789,459.449,326.290,231.328,52.396,240.857,136.817,380.115,776.200,406.391,467.737,758.568,404.023,246.527,656.094,203.750,586.806,596.538,818.026,74.311,223.788,88.954,172.600,71.875,62.905,127.778,91.878,188.500,124.864,59.239,300.211,321.786,411.123,329.337,158.295,458.237,431.444,221.863,60.234,340.741,472.038,396.400,619.500,465.198,567.635,822.128,97.597,185.723,76.472,38.351,7.200,162.746,165.260,57.348,70.262,41.843,373.583,193.796,9.321,11.243,72.088,7.686,296.821,302.375
7,215.949,231.143,317.778,424.942,286.585,169.279,405.587,72.200,399.717,24.231,420.184,166.837,320.938,304.048,504.871,305.327,256.776,72.000,236.265,81.615,103.302,247.333,231.299,92.455,133.706,191.564,374.619,375.679,403.446,270.553,287.026,369.529,509.979,512.952,246.824,281.935,613.943,106.304,188.797,215.782,516.232,749.420,294.846,547.540,151.720,133.473,209.297,230.209,388.631,319.956,571.568,230.273,266.391,542.224,740.041,454.518,255.672,861.527,308.059,372.333,356.608,760.949,864.000,391.043,777.535,532.929,427.381,575.000,237.640,177.139,174.712,396.011,137.508,419.808,138.023,98.481,680.629,381.851,437.649,144.694,509.565,487.463,125.625,251.245,239.042,475.731,848.480,980.565,782.105,334.591,258.432,250.982,232.887,629.161,333.597,681.712,308.385,98.027,232.938,70.985,207.911,59.300,207.595,106.944,268.707,134.875,166.295,306.537,603.930,372.729,665.404,324.406,224.989,535.390,918.444,268.020,83.523,120.315,127.512,60.077,558.033,415.475,292.048,975.547,18.273,97.085,5.302,34.351,13.857,176.661,264.960,232.500,293.705,12.020,49.278,250.857,44.107,10.457,16.735,270.600,222.571,296.275
8,345.085,51.175,149.689,178.942,375.683,41.558,353.543,213.650,186.267,27.712,246.551,182.962,78.646,119.214,474.516,660.755,259.776,310.568,212.941,195.038,282.635,500.952,305.313,475.424,226.392,166.103,305.556,346.846,446.304,494.787,356.974,477.294,380.521,522.071,660.706,641.613,196.566,146.043,348.203,417.386,203.739,539.000,322.173,499.905,121.992,147.615,320.438,573.709,354.154,146.618,287.875,468.855,335.768,569.362,988.822,226.589,286.377,319.091,699.745,417.613,448.811,804.661,677.196,824.449,959.746,631.429,458.119,142.293,247.130,608.873,376.475,334.506,122.356,309.788,475.163,399.273,198.403,288.881,436.456,495.010,66.968,274.761,86.938,63.429,36.310,49.154,977.580,923.710,417.368,485.114,317.705,97.782,450.509,249.429,759.254,701.327,371.282,121.270,133.762,148.985,113.178,183.775,5.690,189.519,305.415,40.025,303.932,94.970,413.070,333.929,666.263,255.931,255.200,840.051,354.278,170.745,111.919,207.176,316.888,115.477,689.533,409.792,510.619,800.035,39.883,6.511,35.528,11.730,10.771,301.441,155.680,117.217,170.770,33.647,279.556,94.429,117.964,48.086,138.735,350.286,422.750,164.975
9,291.034,250.667,97.644,172.327,212.634,277.186,294.978,335.233,164.717,14.827,375.041,449.312,321.138,182.833,534.000,496.388,118.163,224.636,119.279,171.981,105.810,115.310,360.746,231.424,78.569,130.051,329.365,120.449,338.750,459.830,337.684,333.456,535.375,607.167,655.118,979.097,434.132,348.500,308.034,282.347,211.391,495.507,659.442,422.270,183.610,108.297,161.422,538.826,244.477,208.338,444.182,433.545,172.609,946.190,1026.438,213.107,114.328,268.836,687.078,549.800,507.635,527.339,747.000,517.507,764.577,855.857,642.595,494.948,234.288,289.177,417.983,453.067,348.508,345.596,357.744,325.130,111.290,309.851,172.123,341.041,150.903,501.448,382.125,136.694,157.239,113.135,662.280,862.217,374.474,658.909,195.318,104.218,367.415,199.089,393.015,811.385,778.436,32.203,168.850,7.323,163.400,227.600,173.905,103.630,198.000,104.575,231.568,132.194,384.825,379.757,490.877,265.436,335.032,574.508,671.778,267.716,200.054,347.185,366.100,152.062,488.878,439.772,387.619,795.000,32.532,20.894,107.264,135.514,99.800,251.881,309.480,64.304,342.672,283.843,15.417,58.878,3.857,86.771,65.529,347.229,143.393,710.825
10,201.729,100.968,280.844,220.885,86.146,176.581,169.130,22.583,117.033,18.135,361.633,193.025,289.569,143.000,468.688,536.959,74.571,149.591,107.559,226.269,100.254,186.119,118.537,95.333,496.431,145.000,313.889,73.026,448.036,313.957,272.316,583.206,520.812,575.190,365.676,525.097,344.925,295.174,679.661,386.634,445.899,709.928,380.904,368.429,38.746,180.253,306.250,472.128,322.369,255.088,345.182,566.218,159.739,306.655,461.781,328.071,244.607,541.564,521.980,560.733,255.865,670.017,654.283,1059.725,1104.211,713.571,423.619,194.379,278.892,382.848,142.746,599.708,175.559,417.692,563.651,179.545,463.194,216.597,235.702,224.816,62.000,222.970,156.917,52.816,24.197,21.096,746.160,1032.971,290.763,402.818,184.182,450.291,875.415,189.214,540.358,624.923,484.872,156.811,115.300,51.338,277.222,177.300,93.500,77.537,225.317,90.000,490.568,272.075,387.930,515.100,276.930,306.109,36.600,497.017,673.528,245.667,195.649,136.315,223.288,275.431,500.556,767.089,112.206,897.547,56.156,243.255,83.698,28.946,90.800,198.068,95.620,29.217,221.246,474.804,126.722,180.204,17.500,33.314,68.088,390.457,502.214,228.900
