 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146,Mean147,Mean148,Mean149,Mean150,Mean151,Mean152,Mean153,Mean154,Mean155,Mean156
1,993.158,883.721,445.795,536.690,1073.924,906.271,527.588,1354.595,1450.487,642.959,566.452,242.779,417.102,1073.744,536.900,890.753,621.539,605.057,640.598,237.714,700.708,573.804,1063.830,894.831,661.554,585.000,1036.890,465.861,498.519,522.391,242.548,240.202,525.000,405.211,598.050,650.187,489.268,697.392,676.205,351.766,199.250,519.794,905.628,344.130,234.549,577.486,409.769,620.067,238.537,952.515,495.500,370.424,231.174,124.232,435.419,189.310,139.000,288.714,257.365,587.924,842.700,507.838,460.107,390.263,617.857,120.295,218.062,229.327,407.598,586.314,572.783,281.574,462.674,610.512,610.282,495.381,534.727,432.946,384.707,187.755,340.158,208.699,244.271,148.191,194.116,149.689,229.646,271.570,271.985,1199.926,152.234,540.775,255.551,184.600,150.397,211.932,213.371,479.582,610.224,443.347,232.156,164.504,203.663,345.263,126.688,369.560,55.140,790.654,566.320,759.394,832.765,634.000,334.500,238.683,235.452,208.755,261.304,326.859,649.406,279.711,359.946,236.314,285.447,268.021,406.372,342.936,131.772,324.507,173.980,187.443,330.256,254.961,169.133,391.287,389.739,270.520,415.942,299.083,672.671,510.893,486.588,316.505,287.632,431.953,639.650,329.756,414.030,387.027,374.944,107.648,291.855,382.650,473.303,508.125,235.405,180.888
2,1052.000,896.342,456.993,441.031,852.915,628.205,597.588,1312.689,1299.605,547.990,515.605,337.589,469.958,1051.966,534.425,1072.228,595.625,771.690,643.028,460.400,368.438,322.536,890.149,950.964,633.838,485.230,833.280,516.954,827.610,461.897,287.397,231.571,298.447,319.000,560.933,798.573,438.207,448.541,371.154,295.281,365.529,410.441,1057.705,402.087,306.828,702.440,400.187,614.344,307.731,1205.103,709.062,181.169,366.185,336.750,312.395,207.405,314.167,228.393,527.400,724.242,535.675,518.603,471.463,250.010,464.143,208.147,241.438,31.096,340.244,653.671,220.550,226.093,408.522,544.047,943.872,523.405,707.886,379.396,220.609,416.529,203.250,147.932,128.657,142.043,212.464,178.656,385.242,179.407,266.831,965.447,254.717,365.768,380.592,187.727,207.586,302.705,222.638,593.127,501.538,352.712,451.881,222.180,263.317,284.383,54.224,269.853,258.065,617.433,474.466,828.074,703.906,663.435,964.050,298.644,220.626,264.066,238.167,291.388,324.434,333.415,269.500,228.716,391.488,257.614,317.295,485.671,137.287,270.295,275.838,309.656,506.651,376.471,285.783,921.703,458.200,296.194,356.835,693.319,697.871,286.774,445.647,396.699,535.115,513.447,509.100,419.520,649.803,447.662,437.296,76.636,163.034,359.770,238.025,520.258,264.536,310.764
3,849.961,913.009,381.952,642.411,1043.008,769.631,632.765,891.338,1527.289,589.755,510.508,428.821,413.178,1362.051,565.983,841.861,821.322,618.448,855.421,267.448,474.458,441.357,794.383,942.084,832.608,537.672,909.350,326.546,673.896,416.828,353.740,334.429,291.319,332.868,193.217,767.040,450.902,371.635,601.487,360.297,217.603,453.838,1029.141,307.971,399.320,389.523,494.231,496.289,284.769,711.632,421.328,168.305,419.522,304.482,294.326,275.000,195.300,246.536,561.882,696.136,484.538,421.368,505.557,247.970,403.745,174.589,320.417,524.115,521.417,662.586,112.133,413.426,201.761,232.860,499.769,1206.429,667.386,514.811,280.543,282.627,259.947,91.863,340.129,51.468,150.986,114.131,317.061,139.802,372.215,1099.915,376.352,364.051,415.497,131.100,204.681,305.568,177.836,473.682,423.986,323.017,321.376,315.719,237.455,296.872,142.264,134.945,274.108,622.798,462.223,851.745,1068.776,643.029,361.850,352.731,313.487,293.755,240.961,312.430,540.198,158.317,357.457,219.137,426.504,289.179,441.992,208.786,196.897,228.336,383.475,258.295,613.628,383.873,137.517,668.683,416.052,464.194,487.650,604.625,500.643,289.440,788.706,148.871,583.425,447.573,474.000,392.106,408.348,330.365,344.394,251.477,204.897,458.440,438.782,766.933,363.393,314.697
4,1082.803,906.054,566.281,502.705,1211.297,952.803,704.338,1143.162,1550.434,629.133,609.895,376.663,680.780,1130.453,565.475,833.109,637.868,497.253,410.411,326.819,522.729,416.214,636.968,782.265,429.946,514.229,701.190,579.537,767.714,569.356,304.205,306.369,361.064,347.816,1012.983,764.280,578.622,502.730,565.346,399.516,152.441,433.735,912.000,250.174,213.902,559.165,536.330,694.856,431.472,1137.000,833.562,182.220,343.848,287.714,332.209,438.262,125.950,186.982,315.224,838.318,662.575,421.647,677.282,458.081,638.265,262.432,243.458,98.019,341.323,789.986,576.683,228.741,288.413,305.186,159.949,790.238,944.409,370.396,127.293,448.520,753.211,50.315,321.614,196.798,132.681,136.262,361.333,242.523,295.846,885.787,310.828,492.630,347.939,125.427,191.233,242.136,300.741,361.009,443.664,422.746,335.422,188.640,304.317,386.135,216.864,170.367,343.968,682.048,586.971,870.362,708.388,708.377,477.417,185.144,152.835,343.113,239.559,416.769,675.245,505.986,175.598,278.039,384.854,244.636,314.550,230.464,217.191,233.671,309.525,381.648,650.512,283.324,258.333,614.812,681.583,460.020,365.155,1032.083,930.700,267.786,434.647,315.226,368.575,445.560,611.183,376.406,609.439,454.554,381.972,243.636,323.453,313.610,244.260,925.950,280.238,184.640
5,1141.513,824.054,437.116,471.543,908.381,897.287,716.721,1217.932,1389.947,720.347,466.210,392.916,755.907,920.820,573.233,1013.099,497.309,647.897,611.850,319.514,698.083,284.714,731.755,796.458,758.487,498.705,808.920,529.768,807.935,479.908,363.781,282.905,205.936,303.079,753.417,1032.987,435.220,411.203,494.756,410.406,178.441,826.015,1071.910,231.783,295.123,582.220,345.604,488.411,238.694,1168.779,947.797,281.729,379.565,366.821,280.977,343.048,120.667,222.625,310.165,918.091,654.825,426.985,495.067,295.030,578.235,267.968,150.708,405.058,368.803,637.900,638.100,298.056,374.674,527.349,571.462,935.429,939.341,434.477,314.250,459.069,357.763,88.384,339.986,198.521,109.797,298.295,239.566,103.279,316.554,1011.936,366.862,640.428,473.327,287.309,105.922,441.580,162.888,513.536,481.531,422.695,407.321,132.957,250.238,380.835,82.072,244.670,261.914,643.587,406.340,856.447,829.071,674.768,680.767,108.683,142.739,245.557,302.784,357.826,483.717,158.979,410.348,202.863,428.016,230.164,372.488,281.614,256.000,337.938,236.768,285.402,406.419,509.608,176.900,541.673,376.809,420.816,358.757,1189.319,432.929,318.821,641.235,489.538,412.747,712.173,914.500,389.813,380.970,500.527,382.254,283.523,350.162,452.740,366.067,824.708,239.286,148.618
6,1135.500,897.027,535.192,500.938,1209.271,773.713,1035.073,1255.081,1584.329,808.694,467.177,393.242,663.407,1380.812,618.367,1359.574,565.329,620.195,436.533,207.838,628.812,518.768,885.330,946.373,390.041,510.451,838.130,528.093,622.896,760.023,547.000,236.869,675.000,457.053,362.700,767.147,401.390,447.581,641.705,203.266,248.588,621.471,743.487,98.116,234.041,565.963,284.462,614.778,177.231,846.662,766.250,232.576,247.533,276.964,469.674,352.619,301.850,239.696,326.471,849.621,595.125,680.691,548.362,389.747,458.673,205.053,260.250,137.346,299.283,553.157,577.933,319.463,336.717,820.116,725.615,685.786,736.864,495.261,390.217,400.549,254.921,156.589,345.329,89.330,123.957,297.164,295.222,145.314,82.923,1093.500,288.793,417.812,496.721,233.573,185.086,283.818,248.241,495.727,467.483,497.271,297.697,250.791,367.931,357.150,167.552,172.128,213.946,801.010,551.049,860.511,682.424,657.043,716.583,356.058,172.635,250.906,360.392,387.917,758.764,239.944,281.380,352.775,494.821,236.650,418.233,212.707,161.324,162.000,173.424,198.139,610.558,407.108,204.983,607.000,570.844,470.735,491.825,410.014,592.886,268.238,593.118,226.839,591.103,442.260,623.750,372.772,704.561,425.595,345.648,208.136,184.530,329.490,452.857,939.208,315.655,232.112
7,902.605,933.450,409.397,479.349,988.864,786.025,995.456,1584.162,1285.855,481.724,508.403,518.474,452.678,878.017,543.608,896.951,660.822,968.414,725.327,175.905,405.604,539.679,926.032,632.867,1003.378,553.213,898.570,432.102,645.688,477.977,532.904,305.929,290.872,451.368,604.517,487.280,733.756,576.878,334.449,368.984,214.412,671.941,862.936,378.928,334.705,642.716,302.637,501.056,219.528,954.324,614.344,233.051,445.957,376.339,309.140,406.952,153.467,211.607,223.329,758.591,734.475,576.294,579.705,650.404,546.112,383.484,275.427,314.365,325.331,713.029,295.050,141.685,365.891,428.977,674.256,874.000,527.341,241.243,408.815,301.490,364.711,212.137,211.471,169.106,179.348,248.213,331.990,239.849,338.908,820.543,324.152,656.239,497.796,235.964,162.017,295.136,221.560,572.809,558.517,369.186,461.945,249.540,316.644,437.970,110.888,367.110,180.667,805.337,600.544,847.426,745.588,645.942,592.667,270.933,184.843,277.443,277.824,418.174,476.349,442.775,190.772,195.480,669.935,272.357,435.093,343.043,185.478,239.801,212.838,333.492,995.953,529.471,161.217,483.446,448.757,260.173,351.194,868.306,452.543,195.274,386.015,367.935,421.287,525.827,487.967,306.220,659.894,363.959,310.930,165.261,251.889,151.170,454.571,887.817,234.988,228.011
8,895.671,940.982,408.322,514.047,1314.186,639.787,547.132,1698.203,1761.750,630.286,477.823,363.505,488.983,911.675,532.167,1405.564,652.822,708.161,718.028,287.695,582.604,463.125,719.511,684.265,675.851,505.631,1127.210,604.583,493.065,449.080,291.945,129.786,260.085,337.868,802.767,847.613,542.756,407.500,402.936,257.656,117.750,575.838,1207.205,276.304,270.697,536.064,330.121,667.444,249.593,1070.706,664.594,68.407,370.370,271.161,342.140,203.190,272.667,329.161,460.882,514.803,674.975,620.015,592.530,424.687,649.735,238.537,255.479,144.981,453.339,673.686,371.333,195.241,403.848,594.605,366.410,548.429,522.773,287.703,342.087,373.029,458.750,153.959,209.486,67.309,285.319,123.115,218.333,144.326,356.985,1263.915,437.179,450.551,429.605,188.664,119.759,254.341,185.466,317.345,405.622,480.746,326.119,307.144,258.297,247.752,206.536,356.697,243.731,707.567,530.136,824.543,893.529,888.580,757.800,120.298,304.904,233.726,427.088,377.843,435.651,177.352,227.772,320.480,248.463,239.286,455.233,193.043,155.103,274.815,213.202,257.123,476.953,297.235,175.567,649.010,484.061,296.112,293.971,819.708,488.471,240.167,701.088,420.194,427.897,694.047,383.083,372.049,629.735,504.243,556.676,296.818,245.436,358.080,400.218,1035.575,373.214,307.157
9,1331.408,1147.694,470.479,645.922,1310.517,935.484,635.735,1730.108,1452.553,703.092,546.879,511.968,420.746,1296.393,645.533,926.297,610.743,584.943,697.093,190.029,868.146,323.304,913.415,725.145,553.473,566.541,757.530,553.324,528.104,593.805,345.274,314.060,806.723,583.000,151.283,681.693,609.561,754.270,623.090,373.375,149.882,456.779,977.282,300.145,474.623,666.963,429.121,394.900,258.037,1171.706,920.047,195.322,229.250,509.607,271.512,126.738,252.400,317.179,346.518,952.894,806.000,477.618,451.168,326.313,440.480,146.463,395.854,415.231,284.008,757.371,337.967,173.870,208.109,529.326,699.026,733.000,1317.023,224.982,212.815,278.647,419.158,148.233,293.257,110.596,231.275,159.295,199.061,201.686,249.477,1271.340,423.979,429.978,416.585,179.418,225.371,351.057,264.655,355.627,602.909,591.246,341.716,313.295,146.049,230.820,125.112,401.670,338.118,955.250,442.117,986.500,724.247,918.884,865.050,237.615,195.652,195.755,374.735,331.256,578.906,279.676,238.087,214.373,294.878,329.614,344.574,294.521,222.250,366.418,210.323,370.746,523.442,502.588,265.600,390.653,712.400,472.684,337.476,571.847,790.514,246.940,367.544,323.656,565.621,733.873,857.967,462.618,666.727,621.824,413.338,153.102,322.359,306.590,406.412,903.617,180.845,342.596
10,1421.329,800.477,506.116,544.597,1416.500,900.705,958.559,1311.865,1251.368,635.378,539.774,362.453,552.864,1202.923,563.383,1169.891,769.967,835.402,860.318,203.514,773.062,438.125,729.117,1103.687,930.473,589.197,1017.490,595.250,476.286,425.172,332.096,287.524,302.574,368.684,435.283,548.560,425.902,482.824,356.141,283.594,357.324,648.632,360.064,149.928,423.148,455.450,216.912,559.056,262.491,971.897,1126.125,445.898,472.761,285.625,424.721,446.429,193.200,160.464,428.506,875.470,352.825,658.368,455.054,290.051,506.663,153.621,330.250,66.519,386.945,614.771,503.717,432.389,122.130,669.419,1096.769,790.881,739.250,274.306,384.565,259.500,293.632,236.534,304.500,192.617,243.841,143.410,330.444,55.023,363.231,1037.202,324.648,597.746,320.918,378.455,111.509,233.932,193.940,491.445,523.462,475.975,544.055,205.914,254.366,427.128,198.000,244.890,255.979,717.673,410.786,1107.138,776.200,692.159,591.683,268.240,196.530,159.594,404.157,485.521,640.066,371.542,400.826,250.784,581.163,332.614,314.837,232.721,269.206,193.603,272.030,281.172,715.814,495.480,120.150,519.327,504.652,522.510,319.573,617.417,558.171,329.810,322.971,582.925,560.989,730.320,614.767,332.659,616.992,284.243,503.085,302.830,225.273,404.500,442.916,854.025,147.095,153.921
