 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142
1,1097.458,963.302,980.622,1568.346,728.829,1133.372,1429.957,971.567,2779.650,1155.615,1181.490,1329.475,1068.569,1544.857,2206.602,2791.490,795.735,1366.364,1555.853,1732.788,1084.825,1422.762,1239.343,1425.697,1357.275,865.231,2172.524,1799.103,4287.625,2713.468,1938.658,3619.823,2497.708,2520.476,3894.912,3107.871,3615.075,2273.065,2454.390,1980.089,1869.957,2931.971,2369.904,2373.572,764.678,551.187,1178.500,2126.884,1545.938,1552.000,1681.443,1308.636,1279.188,3781.707,3444.288,2717.822,1226.443,2446.655,3015.843,1832.613,2001.297,3295.373,5007.630,3116.580,4571.000,2665.119,2450.190,2415.552,1326.209,1443.038,881.356,1476.124,1709.288,1726.827,1566.256,1097.987,1859.177,1920.104,1746.965,1945.878,2800.823,1775.134,1196.500,819.163,848.169,663.192,3236.760,3061.102,2795.447,3241.409,1130.250,785.218,1874.264,1551.750,1828.164,2518.577,2257.026,990.865,437.300,386.308,1124.311,1064.400,1071.286,604.259,811.610,665.500,508.932,766.299,1965.228,1441.071,2130.351,1606.644,761.632,2441.780,2774.028,834.843,445.541,452.648,893.987,869.954,1506.133,1924.436,1533.159,2297.907,351.740,188.255,346.604,459.000,60.543,735.712,1158.280,958.891,945.197,715.373,1053.444,986.694,461.571,296.829,446.015,1117.143,1470.500,1572.375
2,2046.576,1155.127,964.067,1022.404,977.756,1215.930,1447.565,978.483,2502.167,681.462,1819.551,1701.000,1364.369,1493.452,2523.516,2979.653,1333.755,1546.250,2150.588,1955.615,737.921,1723.810,1309.537,1590.727,1046.725,1404.000,2244.714,1488.487,4154.464,2619.851,1991.000,3811.809,3040.104,2556.048,2967.088,1986.710,3278.830,3153.717,2936.746,2289.515,1804.522,3305.014,2605.635,2668.000,1028.788,1100.802,1983.203,2307.919,1996.969,1374.412,1892.898,1829.127,1909.580,3368.379,3826.301,1910.036,1467.148,2123.364,2526.569,1879.373,1989.905,3503.322,5222.087,3128.290,4822.732,3030.143,2345.405,1938.690,1234.345,1614.076,1240.881,1813.135,1216.288,1464.750,1001.349,1021.818,2261.290,1639.642,2137.351,1656.867,2165.419,1717.970,1815.729,601.245,897.634,469.327,3226.900,3709.014,2502.105,2690.955,573.318,989.382,1000.585,1813.036,2310.164,1846.885,1580.205,852.189,804.938,541.785,1254.978,1149.750,1039.905,674.241,907.976,1320.650,949.432,995.343,1714.228,1440.443,2210.351,1366.416,1021.474,2894.000,2538.083,463.647,482.721,1076.435,1299.488,904.769,1659.689,1819.277,2004.937,2911.895,316.493,603.489,284.132,66.162,474.829,822.644,1500.120,446.457,1132.328,1113.863,1088.528,754.776,565.643,310.214,394.809,951.857,538.071,1247.700
3,1975.949,984.873,1132.756,1492.308,837.854,757.721,1741.609,1316.683,2212.483,1164.423,1450.020,1480.412,1566.969,2347.333,2497.398,3590.653,964.857,1269.591,1433.618,1258.654,624.873,1965.571,1333.716,1352.000,1614.823,1237.256,2403.921,1924.026,3284.161,2331.191,2054.605,3877.044,2773.125,3813.333,3018.235,2946.290,3153.623,3188.478,2830.356,1693.683,1768.927,3560.580,2702.404,2081.556,780.585,802.088,1191.828,2295.221,1833.092,1628.471,1986.773,1603.745,1658.290,3318.707,3573.521,2054.178,1123.607,2426.382,3401.177,1709.053,1902.959,3635.068,5557.261,4487.522,4503.127,2613.667,2760.310,2036.948,1734.158,1531.139,1475.593,2014.528,1478.237,1996.654,922.302,1045.039,2274.694,1808.582,1951.772,1304.643,1970.000,1758.224,1162.646,389.327,497.972,841.846,3381.600,3561.609,2733.763,3691.818,1119.750,568.418,1478.189,2714.411,2267.522,2556.461,1932.385,480.405,531.963,564.846,842.267,1619.150,1058.667,841.556,966.732,1034.675,822.318,933.194,1107.737,2171.214,1939.667,1490.436,1061.474,2479.881,2173.750,714.167,755.919,813.843,1495.387,1012.569,1460.533,1698.208,1652.349,2614.128,229.792,568.404,305.774,393.811,415.229,1365.797,1049.560,375.152,552.557,728.059,1712.472,767.082,434.446,256.086,591.471,1196.429,1450.286,1131.300
4,1532.119,863.492,1345.689,1502.596,864.683,1415.884,1697.609,931.167,2730.850,421.135,1410.939,1018.975,1247.262,1502.286,2756.806,3403.163,1495.878,1027.250,2122.073,1817.115,1024.270,1981.333,1838.373,949.818,1250.863,1986.333,2349.048,1645.795,4634.411,2679.191,2508.447,3292.882,3257.812,2860.667,2608.294,3267.323,3401.226,3256.239,2849.610,2273.574,1598.043,3420.565,3105.346,2133.460,1168.890,1134.165,1717.734,2424.081,1892.892,1670.353,2022.205,2214.382,1762.101,2995.793,3966.164,2175.375,1223.623,2535.200,2815.373,2365.933,1568.986,4247.356,5693.696,3658.159,4167.141,3099.667,2696.667,2086.052,1412.201,1500.911,1115.763,2260.348,1576.983,2176.789,981.186,970.481,2153.710,1579.403,1889.070,1810.592,2489.081,2001.075,1649.958,515.837,811.676,1101.288,3094.220,3030.768,2778.816,3285.795,1005.295,1208.364,1430.208,2821.072,2274.582,2007.538,2330.128,940.487,453.562,459.877,1123.489,1101.550,1286.452,602.648,1029.415,785.200,992.250,706.299,1412.035,2333.829,2444.456,1242.574,1069.811,2907.966,2110.278,690.765,617.000,936.407,1489.863,1036.200,1641.878,2056.346,1412.016,2703.674,301.286,344.000,192.981,450.541,297.257,912.966,1671.620,295.609,1078.049,992.098,1693.639,1053.551,336.304,193.500,573.735,1330.286,1029.607,1578.000
5,1360.949,1107.619,694.133,1550.750,1064.756,1036.047,1335.870,1258.933,2244.967,804.212,2071.612,1378.312,1629.262,1796.548,2938.860,3684.265,999.490,1690.341,1765.427,1852.212,1332.651,1411.000,1656.269,1289.970,1625.784,1042.795,2641.667,1854.551,4024.661,2374.064,2779.158,3451.088,2655.979,3391.072,3803.912,3626.419,3902.283,2419.978,2933.187,2235.950,1705.217,3073.029,3050.865,2374.333,769.322,849.473,1205.031,1993.407,2125.108,1101.441,2215.170,1751.891,1611.899,4059.672,4062.110,2104.178,1115.574,2248.891,3278.078,1670.560,2344.378,3506.712,5498.000,4248.348,5161.718,1940.976,2829.119,2113.362,1532.885,1464.873,1333.746,1673.820,2369.271,1900.288,1278.721,1795.883,1895.290,1936.881,2098.509,1353.898,1686.468,1532.866,1861.521,587.265,1048.606,595.981,3797.040,3901.710,2433.842,3429.023,1061.273,1243.418,1234.038,2180.000,2515.433,2599.423,2147.872,647.216,636.375,771.446,1730.022,1413.500,1552.262,1042.167,1085.000,1027.800,815.864,649.910,1767.404,1666.171,2225.877,1526.020,1471.168,3156.678,2593.528,649.451,491.712,952.037,1539.725,819.277,1499.956,2118.297,1585.682,2946.837,378.455,456.064,268.434,264.459,81.314,937.424,1316.100,801.087,684.934,713.784,664.944,1083.918,610.125,261.914,603.912,1203.714,840.429,1234.275
6,1483.576,1352.984,960.333,1284.327,971.610,998.698,1392.304,1090.633,2055.700,684.942,1333.122,1417.238,1305.646,1426.167,2485.591,3600.428,1367.082,1597.773,1775.647,1570.769,1033.540,1405.095,1746.851,1101.091,697.471,1262.077,2262.524,1616.731,4706.518,2462.979,2791.132,3517.471,2460.854,3313.857,4117.941,3473.710,3506.792,2741.217,3127.424,2198.208,2070.087,3505.725,3239.039,2266.540,1002.746,943.462,1854.078,2222.465,1578.923,1980.103,2226.670,1899.345,1930.797,3405.172,3799.794,1614.554,1215.377,2264.818,2789.941,1863.893,1571.243,3104.356,5230.348,4315.507,4316.704,3082.381,3672.881,2576.310,1704.799,1450.240,1550.797,1856.921,1445.017,2230.789,1760.256,1136.610,2319.258,1963.328,2021.649,1516.214,1536.548,2065.716,1138.396,573.633,872.211,543.500,2490.160,4063.478,2557.421,4359.727,787.705,898.145,1593.811,2900.839,1975.642,2439.923,2699.744,710.284,603.963,802.800,1060.578,1663.350,1266.548,698.000,771.244,543.000,637.523,783.552,1432.965,2127.129,1961.737,1423.792,910.105,2465.593,2681.389,572.765,470.099,959.852,1310.325,1088.738,1661.267,1678.406,1590.365,2488.616,279.727,530.851,173.491,477.946,254.029,687.322,824.140,628.087,983.328,1024.804,1433.000,987.000,407.036,139.400,570.618,904.000,1154.107,1255.525
7,1370.220,1067.190,1300.622,1507.654,1288.756,1080.395,1235.674,759.000,2099.550,730.577,1014.347,1309.000,1914.877,1796.857,2855.806,3221.674,1173.939,1403.477,1981.647,2038.596,997.365,2163.595,1414.552,1270.424,1453.059,1254.897,2254.635,1660.218,4589.696,2043.574,1727.158,3906.412,2832.167,2511.190,3010.147,3010.355,3512.811,2638.130,2797.322,1962.812,1900.145,3583.783,3813.846,3042.476,593.822,860.396,1555.219,2061.442,2105.031,1988.177,2429.170,1551.382,1646.768,3356.396,4217.575,2381.268,1734.688,2732.400,3210.627,1606.800,1753.716,3674.644,5703.239,3462.102,4641.916,2809.333,3101.238,2199.517,1421.410,1620.316,1701.814,1758.989,1599.610,2232.711,1521.674,854.377,1547.565,1562.328,2216.210,1676.602,2043.145,1660.522,1473.542,740.184,742.592,640.673,3869.200,3190.522,2824.842,4290.795,1321.773,1023.945,1540.245,2598.982,2770.687,2967.769,2939.385,906.730,436.212,471.508,1508.200,856.500,981.595,548.148,1500.951,767.525,1227.409,1144.149,2271.509,1907.786,1913.053,1097.010,870.084,2712.424,2396.056,536.441,561.802,848.889,1905.838,890.646,1495.344,2224.852,1587.429,2880.291,321.247,342.064,357.264,379.919,210.343,897.593,1061.200,813.065,890.328,1002.000,1729.111,1108.898,320.768,278.871,700.544,959.114,979.786,1190.575
8,1266.576,1275.794,1438.978,1195.538,1506.976,1159.628,1118.609,898.683,2111.967,476.385,1779.633,1541.450,1958.354,1736.476,2816.828,3846.184,1153.449,995.273,1672.721,1810.000,1303.270,1810.762,2051.343,1622.909,1367.784,1338.590,2766.381,1785.885,3865.911,2443.383,2082.526,3356.559,3315.396,2897.524,3786.853,3166.484,4013.925,1988.391,2668.593,1959.099,1552.015,3536.102,3186.654,2175.333,988.076,910.374,1694.219,2403.500,1865.169,1683.088,2296.352,2474.909,1903.594,3608.362,4012.479,2285.286,1488.590,3199.109,2403.941,1579.173,1557.122,3845.085,5742.761,4005.188,4148.817,2463.000,2562.905,1837.483,1478.770,1561.835,1120.949,1982.764,1666.085,2127.154,1504.419,1354.506,1993.097,1367.179,2423.790,1615.949,2042.516,2286.418,1507.646,560.878,670.648,842.827,3173.220,3095.898,2744.605,2558.091,673.432,1157.473,1928.943,2314.947,2593.731,2551.500,1896.615,538.257,568.650,389.046,1489.444,1285.125,1119.476,1083.370,1135.585,904.275,805.818,862.925,1265.895,1926.443,2246.947,1416.406,1043.168,2475.339,1893.556,726.922,615.586,994.898,1537.762,1251.185,1175.789,2239.485,1552.063,2495.605,373.870,349.170,390.283,495.811,335.371,1058.390,1160.960,784.609,886.557,1076.686,949.972,820.163,218.768,333.857,611.676,844.200,959.286,1778.600
9,1627.576,1349.508,1263.933,1333.923,934.488,1423.116,1158.065,1155.767,3101.183,986.385,1618.776,1232.762,1304.477,1323.500,2987.409,3751.306,1597.571,1510.591,1356.750,1926.692,966.587,2130.524,1665.119,1434.303,1761.373,1168.795,2189.428,1620.731,4203.786,2371.638,1639.368,3416.309,3538.854,2891.619,3409.882,2803.742,4285.227,2982.304,2766.034,2213.762,1913.536,3572.391,2589.385,2672.937,857.466,925.396,2055.328,2622.535,1835.692,1344.941,1866.818,1499.127,1579.812,3268.810,3910.849,1824.607,1186.164,2555.109,2979.510,2122.613,1737.297,4017.661,5678.609,3392.029,5097.380,2740.595,3214.357,1967.276,1402.806,1492.620,1825.763,1662.854,2345.644,1762.904,1103.419,1312.909,2347.806,1503.731,2039.526,1739.714,1706.355,1790.015,1435.896,644.959,940.225,872.923,2950.520,3664.232,2394.684,3159.818,807.932,1196.564,1629.830,2431.964,2539.910,2546.096,2647.718,896.162,796.562,477.415,1406.311,1191.575,1376.167,755.574,1550.829,492.825,721.659,1077.910,1450.930,1709.029,2695.614,1114.436,817.537,2800.220,2876.500,825.304,711.649,615.370,1422.363,1246.492,1744.389,2096.248,2114.841,2885.500,203.818,485.745,360.208,359.649,333.829,1219.797,1642.520,631.957,999.016,777.294,1388.722,966.531,456.393,290.486,442.309,676.886,1142.036,1231.275
10,1634.542,1194.159,1299.956,1275.096,1589.195,1286.512,1851.522,1156.783,2391.967,754.308,1232.796,1242.450,1410.292,1614.881,2362.989,3534.612,736.163,1220.000,2190.338,2118.827,1215.556,1447.667,1381.224,786.667,1462.451,1355.718,2472.413,1985.154,4159.071,2821.042,2657.684,3625.088,3241.417,3289.548,3710.235,1769.065,2988.962,2573.957,2997.000,2270.515,1665.333,2748.043,2827.539,2316.444,746.415,931.758,2069.766,2193.663,1795.754,1805.882,2092.295,1285.055,2061.522,3563.569,4315.178,2042.607,1346.639,2929.854,2682.020,2048.653,2190.297,3701.271,5638.761,3808.014,4125.958,3115.024,2264.238,2576.259,1426.834,1631.506,1440.085,2026.539,2104.831,2292.885,1798.186,1183.390,2069.564,1833.164,2375.982,1599.337,1985.161,1576.716,1172.500,621.776,988.465,1078.115,3490.620,2917.986,2804.816,3769.955,766.409,1245.636,1253.830,2177.178,2509.761,2207.827,2304.564,604.230,510.475,720.523,1074.911,1433.800,976.952,969.148,1208.049,903.350,629.818,810.403,1785.193,1935.843,2523.895,1373.594,1139.358,2946.169,2675.944,619.892,651.117,896.176,1321.250,1252.354,1632.889,1775.723,1300.889,2740.140,338.273,605.021,354.698,680.378,358.029,830.661,1423.460,424.630,981.967,1413.020,1112.750,543.612,361.446,324.257,558.088,628.400,1577.643,1532.250
