 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146,Mean147,Mean148,Mean149,Mean150,Mean151,Mean152,Mean153,Mean154,Mean155,Mean156
1,3265.395,4493.423,2273.103,2669.977,2570.407,3578.443,4504.015,3202.554,4012.421,3206.316,2536.564,2017.537,1914.627,1980.051,2033.050,2554.505,2476.303,1487.770,1272.720,1568.848,2163.104,1573.821,1544.638,2278.470,3240.013,1615.139,2013.120,1887.167,2513.649,1584.207,1618.260,1234.464,1732.340,1804.421,2262.667,3025.120,1383.610,1112.216,1337.885,1227.484,1313.471,1591.485,1714.974,1772.348,1279.697,1724.459,1381.033,1619.811,893.704,2447.250,3080.078,1152.847,1386.457,1377.911,2114.674,1887.810,1097.583,887.714,1350.859,1562.227,1354.963,1333.544,1282.718,1003.162,1137.408,1010.432,890.802,1354.712,1023.945,1339.271,1423.900,1216.370,1368.109,1611.326,1992.718,2923.762,2830.682,1206.649,1014.641,979.225,1110.882,902.384,943.757,769.543,1030.855,890.738,852.778,837.791,1215.769,936.809,692.648,1206.413,776.605,254.300,530.069,324.227,594.569,760.945,1090.580,697.576,823.073,783.432,632.782,713.534,490.864,567.092,769.871,1581.385,968.369,1068.883,2207.118,832.870,1115.483,752.779,575.261,635.255,1035.627,791.281,1496.340,801.634,702.293,788.108,692.260,516.529,548.295,939.150,679.838,1017.322,521.475,715.533,1286.070,693.696,548.150,683.178,1071.330,838.816,1095.767,1312.472,633.957,695.440,1068.721,994.129,1269.805,877.760,774.917,1064.065,1138.076,558.932,1052.944,508.636,613.308,822.160,758.824,1185.258,768.631,411.596
2,3184.224,4932.937,2369.856,2443.682,2826.907,3704.434,5230.897,3063.068,4094.750,3268.877,2747.597,2567.589,2117.153,1893.154,2377.000,2710.921,2379.401,1615.138,1648.131,1406.810,2400.792,1690.839,2170.309,2030.337,4124.446,1746.541,2597.840,2046.769,2881.130,1515.276,1480.767,1381.167,1461.617,1554.842,2578.150,2997.480,1296.427,1400.122,1472.038,1303.453,1421.382,1927.250,1530.346,1969.116,1164.295,1936.367,1548.055,1644.756,961.111,2965.162,3160.625,1140.881,1305.609,1468.304,2149.279,2451.500,1036.500,1438.714,1220.376,1530.318,1253.125,1663.000,1417.289,1167.495,1236.235,934.516,1353.656,1249.038,1125.024,1325.857,1497.650,1484.889,1408.087,1744.116,2271.051,3312.357,2570.045,1179.252,1373.185,945.471,1249.829,928.151,1038.214,622.511,1063.797,807.328,992.869,753.372,1358.600,1117.404,599.890,1334.630,875.653,278.500,461.233,332.875,681.483,755.436,1098.517,845.059,773.826,693.273,805.822,781.414,555.304,678.156,691.409,1633.423,1136.233,1150.957,2431.612,1205.073,1237.500,688.846,565.243,699.406,934.598,849.198,1672.557,868.796,702.435,791.265,745.138,661.200,645.302,899.200,669.449,983.144,709.010,868.352,1429.814,725.147,616.600,744.515,1173.635,703.490,1044.592,1377.667,929.429,801.440,1008.029,1012.753,1342.644,942.793,1068.483,1269.968,965.621,676.068,1247.394,463.568,618.769,798.100,876.168,1192.592,825.560,409.955
3,3505.724,5164.261,2682.507,2652.760,3246.915,3792.894,5239.471,2825.027,4298.434,2901.969,2703.847,2418.074,2264.703,2243.974,2268.742,2792.277,2552.842,1775.609,1886.589,1307.543,2122.396,1365.018,1692.362,2198.253,3723.851,1916.434,2122.080,1871.037,3201.507,1970.287,1652.918,1532.036,1742.596,1534.947,2890.150,3487.080,1587.488,1269.838,1600.615,1427.812,1573.382,1656.721,1470.692,2014.246,1395.951,1814.670,1456.736,1784.267,865.676,3323.456,3603.609,1379.814,1414.130,1644.161,1620.651,2492.952,1327.017,1574.679,1250.612,1771.894,1418.775,1275.088,1309.134,1227.061,1378.704,1011.242,1192.594,1033.827,1012.921,1721.457,1541.050,1200.463,1301.239,1954.349,3446.923,2874.833,3037.295,1241.829,1039.272,995.647,1101.145,1355.945,1089.229,647.872,1282.319,843.443,824.061,806.349,1064.215,1035.894,655.565,1490.101,934.612,357.545,734.931,449.580,715.716,838.309,1258.014,683.983,732.165,706.180,591.723,820.353,652.624,592.514,606.484,1776.192,1056.223,1252.457,2115.847,1207.681,1212.750,709.096,549.913,640.764,911.755,841.347,1844.075,806.070,623.826,785.422,811.870,651.814,685.434,1024.064,623.875,972.014,645.131,780.254,1527.791,813.775,636.383,786.386,1115.070,886.510,962.961,1313.139,859.629,762.107,1103.323,1003.527,1098.736,1033.707,1147.833,1223.268,1060.720,672.095,1296.338,646.614,617.376,774.080,773.765,1424.867,658.810,397.371
4,3033.474,5139.504,2594.699,2838.364,3240.059,3575.705,4804.162,3322.865,3952.895,3335.092,2609.468,2227.916,2218.500,2303.026,2376.183,3031.376,2557.040,1637.690,1563.664,1683.924,2385.250,1775.357,1933.234,2150.084,3730.932,1987.934,2373.930,1785.843,3265.857,1851.483,1492.370,1388.179,1635.319,1500.395,2691.817,3594.413,1682.122,1213.432,1698.295,1175.828,1434.294,1749.206,2115.782,1922.130,1275.623,1848.514,1565.681,1965.067,955.268,3664.338,3275.906,1315.339,1540.011,1619.464,2130.372,2014.476,1217.517,1469.179,1294.553,1900.727,1564.537,1270.485,1571.295,1244.677,1541.694,970.716,1363.896,1409.173,1089.693,1326.629,1553.400,1465.463,1574.130,1690.163,2884.051,2907.095,3136.227,1570.874,1083.891,954.618,1020.474,1183.027,1142.429,630.309,1234.681,919.492,926.849,826.209,1333.062,1205.968,638.407,1454.775,873.993,305.564,686.914,450.159,677.897,955.227,1302.965,775.246,873.615,931.827,818.406,726.744,501.632,635.734,740.409,1667.644,881.417,1190.415,2541.341,1691.551,1278.133,870.904,597.643,705.415,957.275,977.859,1960.613,852.690,698.304,850.784,598.683,730.843,638.240,884.057,699.529,930.048,669.475,816.680,1845.860,830.716,626.983,765.812,1203.600,773.020,1136.660,1191.236,700.557,795.250,866.588,1090.710,1410.241,1015.073,1170.500,1251.854,1135.439,564.216,1115.563,553.602,652.000,612.100,863.471,1350.742,807.321,419.416
5,3425.790,5322.856,2797.815,2994.736,3321.407,3956.869,5202.676,3291.743,4164.000,3339.806,2667.347,2308.095,2277.085,1921.906,2485.683,2993.168,2387.954,1793.402,1775.841,1567.752,2355.104,1518.339,1765.128,2476.012,3764.838,2015.434,2423.660,1835.694,3492.818,1772.977,1640.767,1541.310,2318.468,1866.132,2337.533,3378.120,1334.439,1531.446,1358.590,1246.859,1391.735,1597.382,1726.628,1629.551,1454.631,1669.321,1270.681,1548.200,1019.296,3259.441,3861.938,1410.339,1457.120,1466.643,1962.814,2502.167,1569.683,1711.571,1414.671,1462.258,1435.037,1497.485,1335.087,1410.788,1248.357,1061.326,1428.323,1589.442,1044.898,1492.929,1581.833,1366.759,1666.478,2132.395,2514.769,3094.690,2547.932,1209.775,1095.239,1212.990,1305.224,872.192,1306.671,770.564,1217.087,865.148,910.354,923.651,1426.385,1281.298,749.290,1344.036,998.286,348.900,548.578,399.284,693.862,921.600,1101.007,825.915,816.046,766.863,887.020,724.173,612.112,578.229,752.204,1594.606,1174.767,1203.808,2707.682,1230.464,1385.467,794.846,534.304,623.151,1076.245,893.438,1891.132,867.993,664.174,846.275,868.504,813.407,529.147,1003.050,750.934,1086.979,748.455,794.705,1474.791,764.275,575.483,750.634,1126.287,664.286,952.136,1452.653,885.643,918.440,1188.882,1147.226,1556.793,953.760,1225.050,1292.041,1284.212,797.162,1209.211,683.580,671.256,886.130,794.866,1408.258,820.833,455.978
6,3704.184,5306.739,2589.027,3129.713,3499.898,3883.598,5264.647,3205.406,4345.566,3380.979,2786.355,2347.716,2464.237,2062.000,2132.317,3273.495,2543.599,1643.655,1876.280,1631.581,2193.396,1723.875,1783.500,2441.325,3824.594,1955.410,2307.220,2065.259,3379.688,1762.575,1819.000,1369.512,1771.064,1443.632,2316.100,3796.973,1438.561,1422.297,1295.795,1137.438,1572.750,1789.882,1698.192,1956.913,1288.836,1891.376,1557.725,1683.433,970.324,3189.147,3888.359,1398.068,1509.217,1425.357,1880.674,2067.690,1233.917,1623.286,1420.518,1978.667,1636.262,1493.368,1324.309,1162.394,1257.214,1109.084,1237.625,1059.327,1096.787,1552.229,2066.483,1649.444,1624.152,1494.302,2771.846,2976.428,3117.773,1010.793,1214.957,1034.735,1106.276,1385.630,986.114,637.340,1387.377,789.984,989.657,1115.593,1168.523,1058.606,759.703,1635.536,855.707,362.582,612.681,424.761,724.379,888.909,1166.986,758.381,886.651,788.388,715.554,760.797,599.120,586.817,766.366,1742.846,1087.466,1201.245,2232.518,1553.594,1158.283,840.548,667.591,588.311,1032.902,860.901,1903.425,954.648,755.163,707.333,712.610,584.700,626.202,999.093,713.949,1017.240,626.040,745.934,2099.465,834.196,749.633,733.119,1152.774,982.286,1010.282,1520.181,800.043,821.143,1037.809,1178.656,1207.770,955.907,1116.683,1277.650,1272.295,621.541,1315.634,486.705,564.273,869.440,842.143,1304.517,924.583,563.393
7,4130.434,5465.135,2838.199,2815.775,3556.042,3705.221,5080.971,3162.338,4098.119,3354.010,2655.847,2341.084,2125.169,1926.009,2240.383,3425.148,2529.309,1889.828,1799.664,1575.676,2301.292,1469.089,2037.840,2349.518,3958.094,1902.787,2405.570,1953.065,2964.234,1772.609,1656.000,1453.060,2082.191,2041.105,2995.633,3640.840,1371.402,1532.541,1485.449,1271.359,1566.427,1622.118,1605.821,2062.739,1211.344,1771.404,1485.714,1816.400,1008.389,3089.456,3717.828,1430.593,1341.446,1207.571,1830.907,2620.405,1229.333,1862.429,1608.153,1828.697,1303.925,1132.515,1418.443,1175.455,1493.653,1054.811,1541.438,1531.519,963.213,1565.600,1817.900,1524.574,1519.283,2136.884,2855.205,2893.952,3214.409,1409.333,1058.304,999.539,1039.658,1107.178,1235.129,704.245,956.971,897.016,1106.414,892.360,1315.969,1123.085,736.193,1440.058,867.769,375.000,689.681,359.466,649.017,1006.991,1268.818,846.381,1052.110,652.561,680.871,951.098,519.696,579.569,800.914,1677.971,1123.495,1315.766,2430.212,1441.826,1214.500,740.663,584.635,723.736,948.196,955.298,1786.943,1108.655,758.065,717.010,808.821,672.250,678.550,945.129,636.816,1191.336,661.192,795.615,1713.302,804.686,641.700,664.257,1150.913,1064.316,1248.039,1224.278,793.914,814.905,1206.309,1094.548,1355.977,913.073,1060.633,1314.244,1089.720,774.608,1024.972,568.455,726.145,899.310,819.328,1282.242,898.429,496.000
8,3462.566,5163.433,2805.055,2768.907,3234.669,3634.459,5220.044,3349.635,4555.763,3301.459,2815.484,2481.400,2425.932,2436.803,2503.067,3014.634,2801.658,1856.069,1806.720,1307.171,2050.354,1688.321,1810.085,2054.795,3630.513,1904.041,2215.800,1807.426,3528.273,1921.563,1552.479,1602.071,1795.064,1776.237,2605.900,3909.667,1542.646,1343.122,1480.603,980.875,1445.279,1259.765,1977.282,1973.261,1425.410,1598.009,1476.275,1636.578,945.065,3115.529,3796.500,1410.153,1668.217,1577.679,1757.047,2480.143,1127.967,1696.804,1657.353,1767.803,1575.412,1558.721,1398.315,1123.788,1452.612,955.274,1266.812,1478.308,1230.402,1546.686,1700.133,1424.870,1437.587,1868.605,2949.539,2704.905,3346.023,1211.946,1121.913,1095.177,1221.461,1206.795,1196.871,585.255,932.812,965.049,1098.505,838.919,1294.615,1267.766,730.028,1470.601,970.177,341.873,530.422,417.614,795.784,947.518,1142.154,981.780,800.991,818.022,713.327,870.504,533.088,642.560,843.979,1684.548,946.534,1432.223,2693.000,1420.015,1445.167,832.635,539.504,674.208,1169.353,949.488,2011.311,942.979,594.880,847.725,692.114,745.571,607.279,923.629,854.456,944.418,732.576,905.377,1493.047,839.471,670.833,721.802,957.991,958.112,1085.990,1311.681,722.171,727.905,910.000,1074.839,1327.264,1123.847,1040.833,1134.520,1040.629,800.297,1665.268,547.750,668.735,975.770,599.412,1469.000,879.143,476.169
9,3651.618,5448.054,2789.007,2682.310,3331.991,3648.082,5610.221,3306.824,4173.263,3205.602,2818.524,2456.137,2421.813,2315.991,2375.675,3040.346,2457.645,1707.897,1702.477,1466.695,2048.604,1760.196,2076.660,2408.301,3851.757,2134.312,2741.830,2161.056,3389.156,1733.920,1567.466,1570.810,1919.426,1772.316,2775.850,3355.347,1413.281,1306.027,1301.333,1262.078,1668.588,1763.250,1527.500,2071.116,1274.131,1926.257,1634.209,1686.122,1141.222,3209.206,4150.891,1413.610,1327.837,1510.161,2589.047,2180.048,995.500,1398.929,1341.447,1895.758,1634.812,1479.103,1550.604,1159.202,1277.510,1113.274,1223.073,1379.192,1090.480,1648.986,1755.350,1822.944,1619.174,1432.140,2464.744,2942.476,3205.386,1333.550,939.207,1197.667,1192.237,1181.890,1216.029,771.745,1172.449,1042.557,830.495,921.035,1230.661,1281.383,719.559,1466.493,979.449,321.045,597.328,401.364,648.957,997.964,1090.951,774.161,888.055,814.755,643.436,801.226,590.856,800.257,703.742,1614.442,951.330,1346.436,2273.388,1703.841,1308.750,787.029,642.530,541.009,1000.000,864.248,1949.396,957.408,764.087,763.147,845.358,623.879,580.992,981.107,739.904,1047.938,577.556,681.877,1610.930,730.725,788.883,869.010,1251.809,942.490,1177.291,1380.958,770.371,828.940,1250.750,1071.699,1556.874,910.453,1040.550,1292.333,1307.970,896.730,1234.803,522.784,580.744,872.650,811.252,1261.075,873.798,499.775
10,4104.421,5405.225,2867.849,2974.550,3242.424,3807.910,4985.118,3143.257,4161.250,2782.204,2940.379,2387.990,2442.737,2271.889,2462.450,2993.267,2577.171,1732.046,1724.196,1344.724,2084.208,1803.161,1876.745,2423.590,4208.811,2151.606,2201.680,2314.333,3550.805,1820.494,1832.699,1609.726,2082.915,1851.289,3017.083,3845.880,1543.049,1337.811,1605.987,1374.500,1648.279,1612.059,1645.128,1928.029,1370.738,1547.890,1670.099,1822.367,977.907,3596.265,3954.719,1497.373,1342.946,1515.643,2140.233,2280.262,1114.833,1480.500,1398.635,1934.849,1442.537,1364.897,1799.443,1106.485,1453.347,1095.295,1262.010,1441.846,1131.307,1496.000,1561.517,1411.981,1655.826,1963.930,2986.974,3517.405,3299.659,1432.775,1189.207,1294.020,1014.711,1060.192,1012.043,725.245,1265.594,1130.295,875.818,1113.035,1161.738,1382.936,753.290,1384.319,914.626,344.191,767.871,213.989,690.836,896.018,1184.063,831.788,900.560,752.353,712.168,1018.090,583.840,762.220,722.538,1718.212,949.883,1162.787,2620.871,1400.058,1002.700,810.519,660.243,633.500,994.696,886.967,1906.698,891.324,619.946,527.039,762.098,684.379,640.008,1110.029,669.154,1160.014,741.172,721.475,1619.767,561.333,777.067,679.822,1194.244,1093.684,1103.087,1157.389,800.814,825.488,1189.588,1123.892,1282.586,1037.713,952.717,1145.553,1262.379,794.932,1146.169,682.261,691.120,719.440,871.471,1508.850,802.905,483.045
