 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean(RoiSet_4),Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146
1,1582.738,1550.373,396.062,927.893,340.571,643.109,315.571,328.883,234.883,332.189,591.369,302.113,565.591,605.396,1436.224,642.255,757.697,399.941,354.907,281.647,625.778,569.500,580.037,215.711,525.238,417.378,313.786,780.740,264.918,590.325,308.458,316.904,279.849,312.667,147.944,294.802,338.321,389.866,193.677,194.549,365.275,275.965,530.114,194.087,133.284,314.026,934.504,295.948,497.390,191.600,174.021,402.577,209.622,210.579,314.767,306.462,291.495,537.017,399.557,559.517,430.198,419.667,301.608,300.123,406.239,440.190,325.352,288.172,296.144,206.957,475.066,244.441,352.464,452.256,580.662,353.300,415.526,368.839,669.550,588.450,548.607,213.233,136.611,118.894,430.344,287.126,464.959,274.286,118.250,231.188,210.967,232.058,543.433,162.667,135.755,171.116,819.297,395.766,187.821,167.649,254.000,643.241,805.328,294.866,426.611,554.448,432.940,269.695,124.685,166.045,471.556,255.000,246.329,429.884,584.725,396.296,161.614,292.694,191.627,192.341,297.162,391.965,327.188,325.240,367.568,312.598,233.736,315.478,611.568,400.664,347.536,325.671,293.811,447.247,387.906,268.349,246.672,289.782,341.991,268.721,361.108,278.939,366.635,316.631,480.838,379.708
2,1725.426,2126.000,259.344,955.060,368.929,584.281,457.705,320.574,298.583,404.135,725.095,315.688,545.678,1065.426,1934.851,1048.236,879.484,268.353,434.759,215.000,718.367,163.359,527.477,238.619,609.016,507.432,260.500,756.420,272.904,589.857,278.857,460.755,226.245,309.040,463.648,332.047,338.691,331.612,294.385,185.386,254.718,278.930,563.000,183.865,151.933,375.513,804.305,467.670,550.219,106.612,181.828,308.901,232.020,169.719,276.671,320.651,231.663,599.775,356.049,455.705,480.040,390.978,320.835,336.910,434.564,431.859,196.500,253.247,233.224,239.968,418.482,275.583,429.573,491.846,463.046,291.855,422.113,285.214,548.050,640.267,550.934,223.240,167.971,128.312,383.402,278.586,356.194,209.833,120.273,182.970,316.733,369.014,436.267,181.874,226.309,151.826,930.622,402.906,290.518,159.368,234.314,616.389,781.190,301.526,462.889,472.368,329.760,137.293,164.243,152.045,512.370,275.058,319.244,391.209,385.569,439.667,280.952,307.681,164.400,125.569,344.471,304.053,291.984,418.773,354.811,245.076,252.610,232.159,664.758,352.467,296.321,401.419,502.767,531.364,261.000,327.357,244.402,272.887,291.982,295.845,326.967,324.345,320.190,364.847,441.357,363.631
3,1745.910,2286.941,256.469,1001.869,296.755,681.203,371.400,423.011,337.553,469.797,636.333,288.121,589.852,694.178,2252.821,647.036,1024.623,320.569,308.685,264.657,811.411,305.688,483.450,327.299,594.286,308.446,327.357,754.300,345.479,443.156,341.589,444.277,204.925,385.280,329.981,403.840,305.235,368.418,284.415,234.967,264.926,273.347,694.750,187.865,182.119,349.643,930.574,289.983,604.924,170.188,131.043,472.412,187.153,217.105,294.849,268.123,271.040,556.050,451.697,424.154,435.287,475.594,317.474,374.107,447.000,378.967,264.489,205.043,310.104,200.151,404.496,297.630,267.682,557.735,430.892,305.800,451.010,347.562,671.850,743.517,544.254,171.781,171.823,167.937,326.967,230.943,484.969,306.000,140.070,148.644,316.917,268.101,285.400,204.793,141.734,141.105,1230.162,278.359,196.107,184.298,462.373,757.259,615.914,283.670,361.278,496.437,376.150,186.890,137.982,183.250,594.370,273.435,339.390,358.907,479.431,269.074,290.506,263.403,160.173,104.756,268.279,484.246,422.094,482.187,314.878,312.935,234.069,268.696,540.926,469.206,332.920,372.701,405.956,551.403,372.494,339.032,231.746,318.048,312.864,437.969,457.750,256.122,445.993,304.351,546.084,273.987
4,1810.516,2077.941,345.479,1165.214,335.224,474.219,375.952,464.532,340.204,407.865,704.976,236.496,654.435,905.693,2278.716,772.164,968.549,349.608,307.389,225.353,694.522,349.844,545.761,302.392,678.984,409.054,299.982,808.000,337.918,532.844,332.917,346.957,255.755,256.000,399.315,275.245,395.679,372.806,288.800,224.941,281.899,353.502,725.273,355.202,168.007,531.070,962.255,368.357,570.010,162.365,142.989,382.434,344.449,242.789,312.151,181.613,312.713,634.867,429.697,447.315,538.564,400.239,326.423,333.443,438.368,468.264,203.477,275.925,367.448,301.000,539.854,376.252,355.409,559.197,493.877,310.582,437.247,358.875,684.775,595.967,603.656,220.589,156.520,141.259,396.811,238.184,446.633,274.524,172.344,172.178,316.908,472.725,298.383,188.253,141.351,173.442,959.054,345.734,244.179,220.807,358.588,752.833,801.897,341.371,519.931,520.253,429.130,148.439,139.351,154.511,699.278,306.855,429.012,467.686,359.176,498.315,326.530,322.528,245.720,209.203,322.897,608.614,367.969,451.947,363.986,240.989,281.365,296.232,691.505,455.093,324.875,337.557,378.033,534.714,340.329,428.754,256.008,345.589,404.945,221.775,408.250,284.500,437.255,347.649,574.299,306.961
5,1955.959,2022.157,299.760,887.155,320.143,613.391,314.248,381.245,310.883,427.068,651.655,288.660,661.435,873.604,1587.403,687.036,868.918,387.667,467.296,206.020,769.533,304.938,546.761,227.711,471.270,517.838,280.946,831.460,371.822,543.286,416.976,365.787,250.604,315.880,533.018,292.642,385.358,227.478,266.738,179.307,332.114,293.740,748.659,280.106,176.313,393.209,919.057,348.765,465.124,223.600,155.634,339.736,271.643,175.535,339.918,335.887,272.703,654.575,422.115,564.960,413.644,390.449,422.629,374.238,440.795,435.248,263.648,308.247,348.696,195.538,449.883,429.575,358.227,595.556,428.246,301.136,426.134,267.366,748.425,668.967,563.156,192.610,252.926,173.593,386.303,262.207,445.684,335.929,148.766,182.040,284.683,413.507,475.517,121.345,104.713,215.977,741.946,488.219,272.536,116.509,352.275,819.556,784.414,270.206,411.292,496.069,438.530,184.415,127.387,195.841,721.204,215.232,366.341,419.349,345.941,319.056,317.181,334.764,172.307,145.650,302.235,261.088,261.281,478.427,372.581,175.326,333.862,347.058,672.042,410.664,364.241,458.150,310.211,522.610,351.941,419.421,235.525,313.274,337.791,282.543,427.392,366.412,379.759,362.324,555.597,396.343
6,1879.680,1992.588,292.615,948.798,277.469,529.000,420.971,448.745,387.087,366.932,856.548,373.688,741.826,864.297,2381.746,753.018,910.377,431.098,400.167,221.853,733.033,268.781,504.229,258.433,896.571,434.973,265.750,1113.840,250.986,637.104,375.673,491.957,277.717,269.840,386.481,255.245,288.235,365.672,288.354,230.824,366.732,258.179,560.045,191.740,171.970,443.209,922.078,340.504,404.181,187.412,180.398,417.467,210.429,184.895,325.712,210.811,353.752,579.142,527.484,508.832,511.040,510.500,368.021,268.295,376.026,472.669,200.830,221.516,277.648,256.075,419.365,261.835,427.100,530.094,433.138,223.109,478.979,331.438,875.625,824.925,572.229,193.438,148.514,171.005,402.033,293.012,425.500,521.357,159.039,186.495,305.083,507.275,436.850,239.333,145.957,171.488,919.081,289.312,292.643,188.123,412.941,726.982,836.345,251.072,529.583,542.632,374.850,162.756,161.261,147.886,588.167,247.377,415.524,384.535,459.039,726.574,288.024,356.597,146.640,138.886,371.412,410.544,322.109,394.093,407.797,213.207,309.491,343.536,722.990,554.308,366.384,342.754,310.878,472.299,416.459,355.500,223.352,381.742,381.900,293.659,386.775,361.608,414.686,348.775,550.143,319.584
7,1971.795,1786.020,245.427,1063.298,409.857,415.156,428.048,408.032,280.019,406.500,731.625,286.773,684.757,738.475,2123.030,551.582,887.189,288.608,454.685,245.157,674.889,290.219,599.587,199.134,603.429,383.743,187.446,1063.940,344.863,579.390,393.089,467.702,460.283,327.840,392.537,322.368,306.222,330.836,238.277,208.928,341.195,271.512,701.432,222.115,180.604,404.461,892.085,389.896,493.038,193.941,194.290,398.588,204.153,219.386,449.890,283.604,327.089,799.883,379.434,519.275,473.693,404.457,345.619,325.459,438.915,431.893,192.568,440.634,333.056,261.613,470.642,320.598,380.564,583.308,498.785,458.664,446.485,289.714,697.600,623.650,638.623,218.315,141.823,159.783,314.041,308.034,398.347,389.333,149.766,188.693,310.217,292.348,450.467,197.034,142.734,155.895,1251.135,338.250,187.696,253.789,308.569,898.407,981.586,191.402,637.597,505.264,431.910,175.305,176.685,146.875,600.778,317.667,270.780,392.465,301.510,661.278,192.602,360.625,141.520,148.358,437.471,362.316,329.016,319.080,451.486,313.663,364.862,319.043,639.453,390.794,334.286,369.162,416.211,513.805,352.435,357.960,301.230,392.815,411.818,323.302,358.217,390.101,339.620,328.649,509.500,299.305
8,1767.779,2433.529,283.344,1090.024,365.786,512.250,394.686,291.309,294.825,448.932,570.387,291.319,645.565,950.257,1831.104,1016.745,985.975,268.000,332.130,269.510,710.456,349.969,553.954,281.979,712.063,531.459,322.446,1024.580,269.466,624.247,325.065,426.181,393.038,304.547,376.426,398.679,331.086,613.209,284.200,239.320,319.872,301.604,619.273,269.856,211.545,520.826,900.177,406.565,489.524,218.812,127.108,349.670,216.347,197.096,365.849,340.840,265.000,653.567,504.123,549.933,398.020,550.333,368.887,368.320,403.205,445.777,238.614,272.172,343.936,191.548,538.350,332.606,428.745,477.675,604.323,380.673,477.825,308.366,618.500,554.200,567.803,207.966,164.640,153.354,503.254,360.517,510.408,421.548,152.227,214.000,263.500,253.188,423.283,160.333,155.106,159.477,876.324,344.797,227.857,110.632,340.059,700.704,1110.466,299.629,583.500,534.138,353.900,142.098,141.703,197.398,611.111,294.464,332.293,443.535,285.686,479.296,264.446,340.750,196.347,204.423,411.721,278.246,424.906,341.720,445.162,169.185,293.987,358.435,813.526,483.523,399.482,404.455,395.533,443.532,342.388,417.571,325.459,326.952,283.500,268.566,384.325,293.872,330.000,283.072,473.903,297.575
9,2006.295,2555.157,293.479,1038.155,274.010,984.359,408.486,403.638,248.573,565.595,690.071,259.035,672.583,833.515,2280.104,816.018,1011.385,410.137,420.296,241.314,847.389,333.594,588.385,242.763,659.698,234.446,410.107,1123.560,221.014,693.792,347.077,493.032,269.623,371.040,228.907,250.594,236.975,282.955,213.462,272.235,355.383,301.516,692.864,251.798,147.746,369.548,850.901,448.130,525.705,188.471,162.011,355.978,269.663,175.140,346.425,268.849,285.109,640.558,532.229,499.584,514.723,397.435,261.165,463.484,440.795,440.669,215.761,191.839,333.600,212.011,412.912,313.213,360.845,675.265,564.092,422.609,538.845,349.866,619.475,674.100,502.279,211.137,147.560,131.190,480.344,217.483,567.959,245.595,193.828,205.089,247.908,407.159,587.150,259.391,146.798,188.884,1219.622,404.859,314.179,164.860,255.176,665.056,762.690,192.165,527.542,610.368,314.670,176.549,148.054,180.409,637.259,275.362,379.988,383.663,306.843,519.407,318.771,277.931,154.080,174.886,330.691,391.368,361.734,478.760,337.932,259.054,274.358,391.348,572.947,554.607,377.741,379.719,406.778,504.260,407.800,384.690,260.516,389.024,303.955,301.031,421.867,351.466,333.445,347.009,524.201,320.824
10,1861.377,2497.569,261.750,905.429,440.122,885.516,417.781,382.787,239.981,373.473,670.940,260.248,570.304,996.030,1756.955,790.291,993.279,371.667,488.870,269.471,711.967,317.609,491.202,284.794,573.889,416.041,315.893,701.420,318.781,664.247,408.774,507.500,198.094,338.960,400.981,386.736,350.938,293.433,327.385,290.026,286.591,328.898,671.932,195.279,181.187,365.470,858.851,548.026,454.248,265.482,188.355,333.703,262.959,196.614,244.658,278.943,261.594,620.733,442.148,530.409,482.337,521.246,289.165,347.721,447.564,421.025,230.864,263.495,297.832,227.892,457.474,314.339,310.545,501.419,336.692,382.855,373.722,372.188,617.100,707.108,633.205,195.774,170.366,162.111,392.434,337.966,491.378,301.476,130.789,191.267,297.667,311.652,429.367,210.897,131.755,172.919,1103.595,326.781,207.893,192.509,432.216,651.111,868.534,262.907,518.236,625.874,429.550,205.585,179.775,169.318,668.241,321.623,421.378,273.930,435.627,517.815,388.349,312.056,228.440,200.057,261.897,246.193,319.891,528.173,328.392,298.707,242.396,302.928,676.411,404.776,314.920,397.108,371.056,608.286,403.282,455.127,245.836,444.548,334.527,278.256,463.833,296.527,362.292,343.658,571.812,397.017
11,1967.656,2312.765,326.594,1204.179,346.184,666.906,450.210,537.053,350.553,460.986,722.679,283.702,835.791,987.753,2178.761,727.836,894.115,437.431,372.537,227.049,598.489,287.859,681.633,250.598,496.540,447.324,270.125,783.420,464.726,576.390,328.238,457.532,375.340,294.653,505.759,268.981,309.086,420.702,292.138,185.719,361.805,275.632,601.614,223.856,160.649,424.861,902.142,374.600,427.314,195.788,266.914,386.923,218.306,142.772,368.904,275.189,252.505,678.300,455.402,532.886,536.941,479.942,294.505,352.934,406.282,415.463,212.739,188.828,270.288,234.269,481.540,218.929,378.955,541.966,608.923,456.900,487.216,398.098,540.475,661.342,614.738,267.932,140.754,153.646,412.451,284.943,332.337,229.643,173.031,215.317,325.983,404.797,396.433,171.747,95.319,149.791,1181.000,488.922,228.696,186.667,322.902,785.685,808.483,310.474,629.722,443.184,514.930,211.024,229.784,158.818,527.241,343.783,465.573,391.581,452.961,397.889,292.458,325.667,203.627,241.528,355.044,446.228,365.547,482.907,339.622,232.087,317.755,383.899,675.495,456.037,396.839,380.802,363.856,435.416,403.294,455.254,270.082,300.879,339.891,300.047,404.733,346.845,362.241,354.054,492.851,342.403
12,2256.205,2219.471,319.938,1027.869,357.296,766.078,451.790,337.755,263.388,381.095,604.161,302.716,661.487,828.416,2089.134,697.855,1016.779,377.059,429.537,190.755,719.500,280.969,573.725,297.278,635.857,351.595,244.143,959.960,366.164,716.519,391.583,369.819,318.792,336.947,393.981,331.349,370.716,488.657,227.508,175.059,344.718,297.842,556.591,197.663,132.597,413.678,1012.745,413.165,557.914,203.365,180.989,453.478,247.082,206.070,378.425,284.594,195.079,587.242,387.885,479.503,510.356,470.319,335.722,322.836,526.675,430.091,253.716,310.269,281.368,189.634,458.920,345.362,393.755,696.624,495.123,381.045,504.649,359.384,587.525,621.525,695.377,245.411,211.571,146.952,395.738,305.103,442.551,238.286,177.328,148.851,373.600,372.551,510.133,210.931,165.894,164.593,1295.081,401.750,263.911,169.579,273.235,764.482,727.793,323.804,529.875,590.816,315.850,165.341,232.027,160.875,560.889,312.000,406.866,332.233,400.392,416.426,343.880,367.431,237.840,158.382,436.235,372.632,358.203,415.013,386.432,232.967,250.195,344.899,570.242,401.355,415.018,359.874,388.278,507.052,451.106,306.968,211.615,377.726,297.145,226.574,433.950,273.324,415.365,309.577,488.844,421.730
