 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90
1,1043.064,461.209,956.978,176.527,525.319,443.096,675.760,427.289,315.881,264.540,207.149,133.946,276.684,301.894,357.216,188.669,170.052,767.054,459.409,203.330,157.267,292.756,283.373,163.127,346.872,341.947,254.092,160.066,236.476,255.645,258.361,431.333,344.386,589.222,428.511,535.516,385.890,297.202,208.321,715.993,378.882,269.110,275.644,351.200,174.757,165.922,286.840,211.355,239.657,216.348,361.609,934.783,376.636,300.084,200.535,298.796,345.362,801.937,342.883,209.230,167.894,345.124,278.256,91.824,293.551,64.463,48.324,108.669,56.063,89.210,186.359,67.078,118.915,330.416,170.271,406.253,29.549,111.247,267.442,112.291,88.924,276.757,217.025,209.241,231.726,251.805,126.076,478.673,293.047,132.575
2,1380.134,328.545,807.871,237.814,298.940,365.551,374.106,425.723,294.114,321.239,247.974,143.036,277.569,327.067,238.703,174.978,203.015,812.592,315.916,145.574,145.041,298.209,242.327,108.317,265.091,328.474,318.868,200.898,215.446,332.498,350.781,591.378,234.425,607.760,352.992,471.205,424.187,181.140,199.804,459.680,348.909,391.581,399.104,452.608,247.801,217.014,354.160,481.582,177.909,323.348,312.130,579.093,237.014,271.218,333.960,322.664,313.950,765.595,283.083,327.200,255.500,207.088,283.140,158.721,270.838,98.851,93.331,67.943,81.084,160.400,175.966,134.234,326.713,354.505,218.510,155.593,49.972,78.205,309.863,47.262,146.943,139.757,333.051,372.157,264.429,271.481,263.087,412.908,319.142,153.699
3,1224.783,367.530,992.933,211.364,438.464,528.132,304.029,564.025,263.043,468.637,195.519,225.084,139.017,328.089,218.770,161.404,267.889,718.400,406.747,194.504,212.405,184.085,284.880,128.786,266.732,245.257,380.264,235.723,150.898,453.460,305.381,634.820,325.228,624.556,381.594,849.434,517.725,292.585,197.777,606.447,485.033,366.794,331.044,271.469,224.669,153.603,207.067,315.409,209.783,218.487,287.275,549.333,239.957,202.227,318.202,311.375,295.865,697.973,283.583,214.274,269.606,286.182,290.147,146.007,214.647,85.204,190.108,183.057,49.758,208.000,149.812,70.844,266.638,239.040,308.458,213.275,73.722,63.445,318.084,97.546,110.000,226.288,210.810,154.711,254.310,259.247,328.261,342.276,209.264,201.611
4,1208.561,305.515,1027.247,193.186,563.578,495.838,598.654,440.597,276.108,269.487,227.292,74.590,240.759,380.494,137.892,153.015,204.548,981.246,287.266,221.565,187.087,285.930,376.520,232.230,274.000,281.485,190.126,130.445,189.410,383.071,339.555,658.459,242.228,347.257,462.346,780.729,657.714,233.021,280.384,701.773,437.804,438.774,262.822,247.346,270.707,191.227,411.303,553.745,217.769,391.405,321.384,537.271,263.579,308.277,292.879,341.895,179.220,993.099,353.658,266.296,254.682,223.080,408.364,138.449,213.632,120.259,169.381,88.567,72.826,272.705,283.359,31.364,231.617,193.119,248.406,385.912,98.701,147.240,306.400,87.553,131.000,129.586,310.823,287.651,458.774,129.922,185.424,628.531,267.538,197.177
5,1364.452,390.209,915.096,227.062,598.072,399.581,479.385,368.421,262.514,279.301,226.182,94.163,219.408,303.678,274.554,238.221,139.993,770.431,412.416,230.452,149.821,282.985,356.040,139.587,169.677,280.409,243.351,117.518,244.325,366.303,200.948,700.568,399.465,542.801,491.985,596.541,651.473,299.554,379.429,460.147,392.294,378.923,241.874,204.054,217.050,221.624,360.563,235.436,222.420,128.804,304.036,782.364,160.736,333.941,230.010,365.559,389.113,910.126,499.150,262.741,298.902,306.839,374.884,191.669,295.132,145.876,99.554,82.592,180.663,195.314,243.581,137.558,521.723,363.297,370.917,345.363,73.639,74.247,266.211,134.688,66.010,323.568,321.177,299.181,380.381,96.052,301.522,559.133,209.302,298.221
6,1226.465,328.313,1276.112,282.566,417.741,564.559,425.192,490.742,339.605,473.673,230.279,200.440,308.230,351.894,184.865,192.551,135.615,620.154,467.169,217.135,164.226,294.473,366.853,226.452,189.774,230.497,276.356,217.015,117.133,302.986,296.452,956.198,236.362,444.895,480.075,659.885,596.484,232.658,255.688,659.547,409.863,256.865,240.052,249.315,248.293,280.050,291.479,444.627,206.559,245.038,396.370,725.062,306.014,259.193,360.010,383.066,364.085,1005.099,306.792,257.267,204.008,335.854,424.589,159.904,314.743,112.746,98.367,76.841,131.821,310.114,282.855,129.571,403.521,370.851,180.125,360.363,127.125,59.274,149.347,119.879,119.819,300.577,306.886,262.301,528.083,195.662,268.457,337.041,287.330,331.106
7,1378.395,488.754,857.680,220.240,403.940,403.529,650.308,297.333,451.605,476.796,140.993,135.042,257.190,315.050,102.257,247.868,72.844,616.054,411.377,182.774,180.467,214.030,209.473,152.667,249.213,397.205,435.397,176.263,231.229,352.905,194.103,614.216,398.795,532.713,572.677,555.566,915.703,252.264,174.241,824.713,347.771,394.529,187.141,279.454,259.624,259.716,339.269,319.655,181.706,365.924,342.087,571.682,194.436,307.025,468.101,219.020,403.631,1099.991,363.775,463.022,241.136,235.343,334.116,114.346,272.324,76.209,125.417,69.561,135.847,369.410,176.650,172.364,430.479,163.802,93.729,342.341,132.938,144.884,263.705,49.234,174.933,164.541,344.658,292.458,597.964,247.026,253.033,402.786,205.642,356.204
8,1576.401,332.269,1185.652,177.279,522.133,415.110,422.962,493.233,392.946,333.274,211.123,141.578,305.431,512.378,132.297,158.507,194.519,743.069,543.701,249.361,210.128,347.423,309.280,107.294,278.598,345.140,254.557,179.642,178.819,289.820,284.471,756.189,332.016,447.760,320.406,597.377,758.451,127.668,259.634,528.420,492.131,244.329,365.948,346.677,247.022,216.894,436.218,320.055,326.741,249.272,372.754,741.039,227.771,280.941,376.434,282.184,281.716,1075.838,248.625,352.963,232.742,300.606,478.318,102.963,302.750,127.448,137.180,94.764,57.774,325.238,270.607,130.740,312.245,286.644,182.219,404.824,45.125,143.849,161.137,33.411,127.286,217.514,313.354,245.807,400.357,278.429,283.185,367.520,345.981,176.664
9,1174.764,245.761,1082.011,192.969,431.096,444.294,544.202,444.113,336.719,266.469,190.260,149.572,227.891,359.928,90.662,134.728,210.941,700.023,338.273,244.704,119.995,300.731,380.607,146.651,231.659,311.474,330.977,97.263,203.349,437.858,290.000,767.946,315.551,643.889,437.692,511.303,732.176,266.026,207.438,598.133,506.941,397.503,230.622,319.200,239.552,218.035,308.529,344.236,206.196,174.930,219.797,790.341,300.779,247.008,430.101,318.309,284.965,1139.459,229.292,328.415,225.114,330.774,229.295,156.824,258.625,106.587,143.597,128.662,152.579,228.381,179.547,272.545,364.862,350.990,185.083,420.253,52.368,124.342,244.211,53.610,84.171,216.550,360.456,361.530,568.988,339.831,153.217,196.959,215.566,83.513
10,1128.898,556.015,1188.697,170.729,504.187,494.500,625.750,399.057,361.292,314.407,119.877,131.789,189.362,407.006,177.405,211.051,145.104,651.723,434.617,158.291,218.667,224.915,359.320,193.706,288.268,260.883,339.529,186.533,270.693,310.019,173.535,668.099,426.354,467.363,461.677,689.828,672.978,230.917,274.357,754.420,458.425,263.277,298.037,277.562,259.619,277.050,326.605,557.773,193.657,349.494,446.449,794.558,300.114,273.008,467.071,328.586,410.121,835.432,475.742,364.096,233.371,361.190,339.884,139.978,200.375,139.701,80.302,139.376,115.447,337.705,265.641,106.468,232.745,162.317,246.375,243.945,41.222,57.897,415.305,26.667,103.343,321.441,440.924,304.253,536.202,270.662,360.598,404.469,379.840,255.903
