 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90
1,1255.350,1228.418,635.556,522.907,1860.307,1647.125,1692.885,1035.855,1052.768,1465.159,756.325,711.494,1126.713,1152.289,681.135,1202.728,767.096,771.323,1063.623,1195.287,887.995,1240.627,930.447,924.937,1433.909,1920.415,1196.534,562.226,871.151,965.692,1100.690,1599.279,575.094,1366.743,971.977,1023.344,3203.352,631.306,362.795,1579.420,1431.680,1029.439,828.607,1129.646,720.608,758.078,1025.160,1018.918,656.503,675.816,933.652,1375.287,747.443,820.975,714.636,1196.612,1103.411,1586.063,1123.242,897.674,625.417,833.701,1640.876,1074.456,1274.096,594.025,666.036,544.013,408.563,569.600,747.581,290.961,968.734,882.980,581.865,1389.571,264.125,503.295,1040.084,340.326,387.619,697.054,1668.063,1152.904,977.286,1209.247,1304.870,1652.296,1101.349,788.327
2,1128.363,1361.045,654.966,469.031,1787.283,1888.147,1667.885,1060.195,1147.124,1623.708,654.091,806.717,1055.621,1394.444,727.865,1024.941,838.807,680.231,952.818,1285.943,896.221,1302.259,905.433,892.183,1382.506,1915.795,1202.994,486.438,849.367,1074.242,1238.374,1569.378,787.598,1410.351,959.338,886.574,2802.912,630.104,566.589,1752.927,1271.033,938.503,715.096,1254.969,676.525,672.901,1019.193,1010.182,379.846,848.437,1103.891,1521.271,793.729,892.277,768.950,1158.072,769.057,1916.685,1061.667,933.889,771.045,899.555,1615.822,1252.412,1394.427,713.910,657.878,442.669,532.337,599.391,800.855,429.623,708.819,842.386,645.219,1420.319,397.701,554.473,968.642,585.546,435.190,637.450,1212.430,1152.108,1228.536,1249.468,964.674,1596.439,1226.840,747.124
3,1307.236,1686.007,511.067,532.054,2129.416,1844.632,1892.346,1286.679,1473.432,1600.664,737.513,834.392,1079.011,1466.472,727.987,1087.404,576.081,703.831,1109.851,1293.104,928.913,1340.254,901.467,1092.643,1490.695,2004.135,1296.080,472.591,895.596,969.498,1333.755,1737.396,703.535,1302.877,1244.368,1033.713,2951.231,681.140,636.518,1603.320,1421.190,1112.400,813.726,1365.954,669.630,647.660,1196.252,1363.809,638.196,665.658,1195.841,1083.202,926.186,684.563,872.566,1113.250,858.574,1895.910,1110.650,981.059,723.977,965.394,2131.364,1304.044,1400.897,687.353,725.964,586.057,476.926,841.933,707.333,456.857,870.585,828.792,467.917,1256.516,316.208,489.267,1140.010,574.617,505.352,637.468,1026.544,1326.374,1510.393,1118.545,1006.141,1989.367,1545.462,783.248
4,1146.802,1635.239,605.393,617.295,2037.560,1735.684,1977.096,1153.855,1573.005,1620.186,885.006,591.096,1081.678,1372.622,659.608,1234.331,695.941,836.838,1232.039,1370.522,974.497,1158.731,1158.747,1170.429,1235.451,1725.222,1357.552,749.226,871.663,1118.360,1290.006,1587.531,726.039,1527.064,1391.910,866.885,3318.923,705.855,659.500,1823.067,1528.987,901.342,731.830,1107.562,776.133,724.213,1035.437,1150.782,509.699,641.551,1008.123,1168.636,827.721,835.025,551.424,1298.526,868.950,2123.288,1187.700,851.518,778.614,745.861,2128.752,1174.948,1423.118,485.871,673.165,590.726,579.505,645.257,667.291,370.325,797.553,867.990,583.594,1143.747,558.458,587.822,1000.021,447.106,494.305,726.622,1213.025,1235.385,1309.595,970.338,1371.065,1820.541,1231.425,774.628
5,1185.019,1764.537,630.652,589.589,2056.313,1831.073,1865.212,1123.484,1430.541,1511.292,767.162,754.681,986.891,1485.022,622.081,1158.522,610.067,815.892,1240.071,1204.096,1046.308,1273.030,1182.353,1106.310,1743.433,2207.292,1465.575,614.745,1030.982,1138.768,1275.097,1491.892,851.276,1526.404,1025.098,933.107,3224.264,743.845,507.661,1738.960,1495.092,942.884,811.896,1239.000,744.127,706.752,1066.210,1166.382,627.580,777.424,1219.862,1312.822,774.943,1064.756,641.424,945.539,1062.915,2063.090,1198.808,1015.681,681.008,860.672,1955.946,1484.066,1370.816,726.960,706.504,442.134,466.368,685.733,665.923,314.558,873.755,858.852,773.865,1444.132,338.174,590.774,1247.579,554.298,664.171,541.604,1542.139,1353.157,1367.857,1207.948,1135.880,1620.265,1289.632,797.911
6,1170.140,1741.224,694.191,858.318,2096.663,1877.022,1768.615,1426.836,1532.778,1737.434,695.610,701.048,1359.609,1471.439,786.459,987.118,907.304,729.900,1127.149,1439.370,953.482,1287.781,1035.567,1007.778,1409.963,1937.456,1527.230,662.956,1021.765,990.242,1148.555,1723.649,674.866,1398.591,1185.008,948.262,3650.956,862.337,458.402,1702.680,1452.209,1035.929,846.496,1052.323,641.768,716.908,1170.445,1268.509,634.420,850.544,1066.594,1331.434,772.000,803.597,718.697,1151.296,999.511,1681.811,1111.708,1047.015,864.470,1123.314,1832.302,1238.132,1436.581,707.209,738.187,548.707,488.379,907.810,614.248,350.026,740.287,887.178,568.458,1510.505,438.215,571.315,1167.674,447.277,479.581,887.117,1328.760,1405.349,1289.845,1282.805,1279.250,2015.276,1206.340,783.009
7,1400.465,1748.164,762.124,807.054,2289.843,2021.029,1642.010,1241.327,1481.162,1559.080,776.032,867.735,1086.718,1765.400,673.041,990.574,555.919,703.892,1130.234,1388.539,1069.308,1372.154,863.593,952.794,1629.409,1959.947,1411.517,696.146,976.066,985.844,1084.968,1858.523,832.638,1310.690,1220.173,773.090,3081.132,673.140,733.545,1702.187,1410.922,925.387,894.756,1090.492,614.072,673.234,1090.538,1305.282,546.594,925.386,1111.413,1402.922,657.371,964.908,928.960,1281.125,916.730,1925.541,1042.708,1022.726,661.326,891.022,1785.008,1345.044,1642.235,693.627,800.612,518.898,501.842,835.200,731.214,422.455,908.660,1037.119,632.010,1721.374,505.368,589.870,949.379,563.950,508.848,759.847,1053.797,1341.024,1451.702,1269.714,1214.011,1754.163,1394.972,898.372
8,1381.057,1571.866,647.652,648.240,2285.934,1855.419,1941.096,1152.503,1546.135,1580.531,945.195,759.795,1147.621,1382.839,535.162,1172.831,664.689,685.608,1089.740,1487.922,961.990,1246.094,1013.467,1052.262,1546.037,1953.825,1461.178,679.518,1129.319,1063.877,1272.935,1546.757,846.764,1599.947,1194.556,904.885,3260.506,678.135,437.804,1908.307,1517.706,1134.310,1096.933,1132.223,885.785,759.376,888.807,1078.773,651.874,741.177,1055.427,1405.488,880.343,897.176,923.141,1297.164,1237.518,2193.748,1253.100,822.778,906.409,815.861,2064.248,1245.412,1501.331,572.299,681.540,568.777,588.668,812.914,659.308,473.169,849.777,964.148,671.542,1357.033,436.549,541.089,982.905,459.957,572.581,711.216,1282.911,1549.795,1288.952,1263.480,1169.565,2015.184,1448.877,846.327
9,1514.006,1692.470,626.714,667.093,2181.705,1912.904,1874.500,1230.937,1580.000,1724.513,820.883,776.325,1088.075,1505.261,788.230,1195.625,700.304,712.477,1057.032,1382.196,1004.349,1297.184,1255.693,1266.873,1547.073,2164.485,1307.569,602.730,1060.259,1058.550,1190.239,1750.964,938.031,1417.088,1366.135,935.762,3593.637,733.653,586.705,1851.447,1458.399,1237.329,1019.704,1378.223,768.287,756.071,1161.622,1263.164,734.671,735.715,1320.254,1532.000,834.257,873.471,963.990,1011.967,1151.028,2351.478,1172.242,1021.148,708.303,1003.073,1862.969,1252.441,1701.581,607.547,715.525,571.726,502.621,855.057,559.727,460.896,927.223,996.703,667.312,1348.626,487.292,441.795,1064.232,501.830,509.152,707.108,1449.937,1429.000,1519.536,1143.909,1242.348,1659.480,1148.113,871.372
10,1291.656,1555.142,673.781,681.713,2130.669,1814.323,1983.163,1374.780,1686.400,1627.416,740.747,894.410,1156.138,1564.483,706.351,1197.052,743.356,584.377,1282.351,1379.704,1103.159,1254.274,965.307,1109.937,1645.457,2096.994,1399.994,537.299,851.042,1085.853,1231.239,2151.342,892.480,1521.649,1299.624,894.221,3813.846,722.440,472.295,1932.180,1516.301,964.858,797.585,1278.562,750.934,714.546,1258.689,1194.182,534.853,701.804,1015.681,1348.357,617.664,965.538,869.505,1073.684,1023.582,2144.216,1276.275,917.000,776.621,825.365,1933.124,1194.904,1487.934,691.154,646.942,623.758,666.605,816.686,935.675,516.805,947.691,883.416,769.979,1395.901,481.896,502.007,1259.126,592.787,576.381,661.279,1719.924,1396.253,1448.262,1424.494,1176.739,2013.327,1189.821,750.150
