 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135
1,2560.543,4343.856,3742.970,2115,992.228,1971.109,1837.435,2528.488,2868.691,1114.056,843.083,1939.297,2926.061,3865.503,2785.035,2900.967,2059.107,3417.521,2316.975,2507.378,3009.604,2390.192,1209.022,1416.642,886.541,1186.903,1912.812,3092.826,3077.286,3529.882,1659.830,1454.277,1366.400,454.126,571.115,427.390,3054.611,1640.518,1460.482,2277.286,2255.550,1701.503,879.728,1021.764,471.375,2111.078,819.811,1094.773,395.167,347.826,488.913,390.728,659.622,535.076,1274.861,1479.116,1056.292,633.982,1503.211,1811.219,2190.952,1362.186,1229.293,1431.957,1213.042,1028.329,990.719,915.783,759.179,767.632,929.718,838.548,734.409,1171.438,1034.446,884.793,776.527,214.968,796.558,680.481,629.373,1052.413,1210.971,651.554,1166.373,1087.603,701.246,608.878,506.856,1251.920,813.873,1231.927,823.076,259.620,767.633,1185.165,1339.963,1137.381,1396.047,1499.117,930.157,882.186,658.768,441.104,1321.594,1413.438,396.088,677.648,774.115,843.635,978.128,881.967,610.504,1861.129,778.303,617.849,1090.946,1517.287,1328.258,1564.873,657.388,882.930,1187.619,1337.120,920.327,817.426,581.037,572.575,1130.045,727.881,1156.858,1616.682,1737.951,1408.792,1565.179
2,2827.600,4114.299,4269.361,2199.094,1329.228,2331.571,2116.832,2572.744,2934.567,1335.785,823.714,1631.531,2968.991,3896.557,2877.986,2689.248,2591.839,3550.371,2183.327,2586.840,3087.107,2562.416,1186.330,1585.497,968.746,1494.574,1740.055,3257.395,3072.810,3516.285,2023.985,1312.438,1427.550,491.729,419.832,531.027,3088.148,1386.702,1362.009,2173.678,1962.041,1753.098,1013.160,987.774,653.716,2234.922,959.045,965.318,509.025,397.008,356.855,302.317,575.109,515.462,1234.307,1527.821,1022.243,609.347,1818.662,1800.800,2750.359,1444.845,1195.558,1551.302,1174.624,964.752,796.585,823.162,1017.184,1161.542,1102.791,923.319,732.611,1192.074,1056.408,899.497,648.698,261.071,686.980,838.746,866.510,1108.126,1266.185,729.645,1050.119,970.625,724.566,668.951,733.229,1252.907,1066.840,1079.401,951.735,263.320,895.477,918.904,1215.302,1052.439,1537.450,1719.029,1043.825,916.182,610.515,451.594,1536.728,1288.330,356.551,830.387,787.005,758.345,1192.313,939.204,874.500,1903.159,999.228,872.061,853.715,1653.678,1298.318,1365.726,637.586,942.549,1104.522,1356.663,1222.157,803.152,795.762,693.885,1390.193,851.756,1185.730,1655.214,1987.337,1421.364,1270.720
3,2651.478,4517.162,4408.476,2207.542,1222.691,1964.167,2577.093,2080.839,2714.809,1333.897,805.045,1722.367,3276.809,4025.658,2449.667,2763.579,2511.705,3947.672,2145.358,2366.487,3088.416,2404.360,1285.229,1442.393,996.562,1452.045,1525.160,3865.890,3528.698,3774.989,1615.881,1296.768,1238.825,392.500,457.131,377.727,3240.005,1632.404,1474.759,2483.728,2120.485,1961.525,1059.899,1198.062,557.987,2418.857,1122.762,1112.919,464.732,377.710,437.407,335.933,882.359,415.747,1487.240,1365.758,1175.234,631.625,1861.368,2344.006,2638.538,1491.460,1185.490,1325.668,1171.228,1452.057,879.788,942.796,758.695,1050.627,1058.282,1065.287,927.373,1269.783,942.159,958.994,728.322,197.373,694.502,712.352,674.710,1051.983,1191.609,859.024,1098,1278.834,715.520,625.759,705.095,1271.870,1022.249,1218.449,723.765,335.423,886.588,1043.060,1400.249,1301.458,1478.809,1805.854,1144.210,1014.356,551.943,489.881,1494.812,1421.348,318.471,735.599,945.307,947.463,969.193,980.396,695.457,1724.314,817.673,866.792,1062.460,1925.970,1387.603,1537.841,585.448,902.154,1395.898,1415.549,1277.281,885.074,896.896,621.075,1381.498,801.004,1268.439,1826.809,1812.795,1736.942,1445.357
4,2963.559,4661.341,4575.488,2261.042,1372.941,2114.673,2588.776,2635.467,2937.315,1469.916,814.406,2284.430,3565.800,4626.785,2923.438,2749.033,2613.116,4075.527,2229.849,2549.577,3112.528,2523.608,1179.486,1874.855,990.249,1580.830,1885.497,3953.465,3625.751,3592.403,2314.830,1268.634,1049.592,752.313,456.361,409.369,3707.190,1789.351,1524.018,2526.732,2400.427,1768.383,1160.728,1236.697,470.069,2337.043,1155.193,1428.525,642.146,340.129,476.471,400.100,656.859,323.063,1437.955,1551.903,1259.929,872.523,2161.254,2412.994,2732.124,1242.714,1337.548,1661.911,1212.624,1308.457,1178.267,831.230,685.595,1039.144,975.554,869.059,891.601,1360.332,924.127,1150.335,731.166,226.357,763.667,637.552,593.806,959.640,1365.951,794.116,919.028,1164.797,903.674,678.374,636.010,1220.762,1015.141,1413.280,848.013,323.025,814.322,1051.105,1365.132,1307.586,1511.655,1764.854,1051.930,1067.449,661.482,508.187,1519.897,1509.041,390.529,740.697,771.476,1104.914,965.070,990.342,932.126,1935.455,967.500,855.228,1117.678,1897.835,1454.622,1560.218,711.948,976.676,1352.782,1482.397,1320.341,826.722,892.565,803.552,1560.744,942.881,1197.712,2096.659,1979.917,1659.619,1339.310
5,2997.494,4708.509,4886.247,2318.073,1550.198,2285.308,2939.714,2194.633,2950.382,1274.579,897.015,1708.586,3685.879,4465.946,3157.861,2687,2596.652,4046.710,2394.031,2652.237,3402.543,2717.584,1340.665,1704.035,1075.076,1474.045,1520.072,3858.500,3479.042,3817.694,1881.830,1246.518,1409.150,775.994,512.063,433.727,3758.954,2169.290,1422.652,2819.906,2313.292,1836.514,1314.710,1122.764,552.323,2321.364,1077.513,1314.157,567.924,394.710,441.035,458.833,605.096,442.380,1538.993,1454.995,958.593,635.491,1954.079,2424.426,2449.159,1293.056,1591.183,1689.785,1485.106,1197.752,1007.350,990.813,710.542,1225.090,1009.836,914.521,761.749,1252.958,995.127,995.916,619.907,206.635,932.012,721.448,656.223,1140.619,1230.955,844.092,1226.090,1216.559,904.326,611.329,683.434,1485.016,940.521,1344.923,909.647,353.532,1034.435,1237.775,1407.280,1390.858,1544.824,1727,913.127,1135.089,657.313,420.748,1448.759,1514.307,301.612,622.623,801.504,1105.851,1160.227,1006.608,905.051,2128.598,948.139,890.138,1162.067,1911.283,1531.869,1451.578,650.599,1027.465,1303.058,1499.160,1502.940,757.226,685.599,639.171,1611.749,771.459,1085.503,1958.886,1835.771,1498.162,1408.571
6,2796.833,4282.437,4617.530,2459.656,1514.316,2093.545,2447.391,2525.693,2973.612,1163.280,932.361,1861.523,3284.619,4297.671,2934.486,3370.669,2073.009,3894.419,2547.729,2488.179,3147.802,2735.584,1331.631,1738.121,917.811,1362.188,2094.287,3780.052,3704.323,3613.021,1897.770,1281.143,1401.258,614.205,504.618,540.043,3447.292,2101.412,1539.893,2372.406,2174.146,1854.131,970.976,1278.215,598.815,2579.125,979.060,1229.919,477.197,382.838,474.483,411.411,767.006,535.411,1514.247,1472.396,1012.752,671.958,2001.772,2120.323,2873,1651.391,1378.337,1614.498,1364.026,1265.095,835.829,824.770,663.563,1080.045,1197.412,1215.867,804.145,1351.995,714.879,1021.665,659.639,152.659,723.116,622.379,852.229,1140.444,1248.556,660.398,1117.260,1126.213,713.749,626.194,747.889,1379.241,998.826,1049.667,923.340,266.243,1176.799,976.919,1300.127,1294.175,1557.504,2082.228,1084.214,1055.725,687.439,471.978,1739.237,1323.391,304.686,690.961,1016.910,1040.804,970.418,1032.350,974.173,2054.326,882.844,832.135,1055.402,2061.104,1443.363,1354.339,753.948,1101.043,1118.077,1396.414,1223.742,981.070,969.208,509.464,1534.327,831.026,1153.609,1921.014,1823.859,1623.780,1448.786
7,2652.935,4621.862,4090.476,2208.156,1440.088,1979.115,2557.385,2445.849,3275.039,1422.346,920.120,1819.023,3204.521,4112.450,3045.819,2775.339,2283.116,3640.624,2711.906,2592.872,3169.538,2806.376,1220.106,1689.977,798.762,1247.267,2057.552,3779.622,3681.730,3223.296,1707.778,1665.188,1278.808,545.060,387.927,532.786,3475.949,1907.877,1389.500,2279.420,1967.205,2370.705,1013.893,1221.851,659.707,2277.862,1108.306,1224.162,442.692,486.282,361.605,410.222,608.513,660.563,1441.983,1666.159,1150.801,760.482,2013.281,1833.606,2317.745,1899.801,1361.668,1661.671,1152.587,1075.367,979.235,766.604,1018.542,1104.662,1076.226,995.957,726.719,1227.235,1073.586,1280.173,706.756,263.579,687.550,653.609,778.653,1148.748,1292.872,675.697,1097.226,1127.466,820.126,647.888,644.085,1248.124,1076.052,1129.787,865.676,332.197,770.076,1071.623,1127.735,1381.047,1421.367,1587.936,1175.406,843.542,626.404,327.842,1545.812,1416.217,301.342,872.489,839.686,889.129,1245.632,954.096,777.461,1926.030,845.337,927.112,973.038,1907.278,1512.760,1651.708,747.845,1004.742,1291.437,1485.471,1405.452,960.574,834.829,652.905,1658.233,842.189,1267.039,2072.977,1983.259,1627.243,1417.327
8,2821.082,4707.587,4124.193,2463.031,991.993,1763.231,2261.522,2946.889,3274.393,1374.103,722.699,1840.070,3247.819,3721.685,2632.236,3077.983,2335.152,3791.387,2798.201,2668.660,3165.431,2039.616,1368.039,1427.358,642.730,1598.824,1927.448,3829.919,3533.640,3297.656,2176.689,1500.616,1344.242,777.723,308.225,361.492,3264.759,1318.386,1321.518,2278.062,2226.912,2031.322,775.734,1200.236,607.034,2551.528,917.872,1621.621,520.965,393.004,458.494,287.250,679.987,494.051,1528.206,1763.343,1146.341,865.806,1932.649,1963.432,2365.476,1448.925,1528.981,1658.055,1298.481,1242.914,1100.747,898.140,720.553,1139.438,890.102,998.787,848.607,1219.382,1025.885,914.436,736.790,188.524,757.590,748.448,750.713,1073.902,1095.868,872.215,1174.531,1272.209,759.937,608.869,738.738,1162.173,916.300,1078.367,849.139,356.789,1017.096,1108.383,1327.259,1344.328,1487.680,1808.240,1186.873,890,512.372,474.439,1624.393,1333.032,262.603,827.986,814.688,958.137,1162.538,920.242,739.520,1935.015,965.827,978.564,1098.038,1591.730,1447,1658.041,881.750,849.813,1195.859,1548.083,1316.940,1015.435,948.550,641.698,1181.099,1149.578,1059.627,1857.673,1976.112,1973.728,1525.589
9,2951.408,4462.850,4653.837,2326.604,1618.919,1970.641,2361.230,3013.905,3345.539,1372.094,835.406,1631.031,3188.307,4153.725,2517.917,2755,2676.339,4145.946,2159.428,2921.211,3017.629,2476.960,1138.419,1595.410,1031.405,1812.097,1786.392,3270.930,3531.392,4002.312,2072.585,1845.509,1344.525,609.018,587.613,536.610,3216.931,2175.579,1470.188,2651.978,2038.521,2312.115,967.686,1188.620,593.052,2597.736,995.272,1393.187,548.651,395.162,348.953,332.317,552.423,432.930,1491.526,1497.971,1185.987,708.583,1649.640,1904.329,2519.800,1361.950,1454.990,1443.431,1333.963,1483.686,967.926,875.102,794.642,1169.338,1102.554,1088.548,863.838,1191.507,938.280,1135.056,664.985,398.714,835.213,736.958,723.793,1077.717,1122.926,724.498,1064.249,1132.613,864.189,471.867,737.589,1385.421,1101.136,1270.386,827.630,321.335,1030.339,1145.272,1411.127,1395.361,1760.669,1788.246,1471.812,1116.085,653.951,380.194,1516.058,1289.359,358.843,766.785,861.022,1033.376,1026.076,969.979,842.102,1737.610,923.330,814.913,1055.774,1819.483,1388.562,1465.723,698.509,912.201,1323.906,1541.897,1282.396,1039.957,832.086,590.853,1501.256,887.874,1128.197,1686.327,2037.771,1299.358,1804.226
10,2794.237,4457.635,4683.560,2537.219,1578.956,1783.981,2566.416,2547.899,3110.635,1177.981,980.940,2119.828,3347.326,4065.638,3152.146,2741.017,2221.553,3975.452,2390.667,2742.615,3071.975,3134.280,1097.760,1953.509,963.232,1640.114,1731.702,4136.948,3804.608,3703.688,2332.022,1191.116,1311.792,812.548,670.838,490,3618.255,1778.412,1490.089,3000.308,2161.930,1960.989,983.580,1114.646,521.789,2543.554,1030.049,1265.944,476.879,410.842,417.895,336.950,540.186,438.791,1426.289,1622.889,994.827,735.949,2001.004,2125.458,3134.917,1440.366,1419.168,1674.471,1223.868,1233.657,999.848,882.957,846.126,1065.119,971.339,1213.883,859.472,1394.433,919.962,1258.905,657.820,288.206,764.345,715.660,762.933,1280.948,1344.309,710.801,1125.254,1103.244,942.251,626.857,673.283,1433.155,840.465,1282.039,734.109,325.789,958.833,1232.704,1429.434,1395.550,1494.241,2111.953,1163.397,1114.360,577.456,509.018,1456.656,1316.322,333.292,884.261,795.132,1069.098,1036.036,959.167,748.248,2124.951,1050.796,917.474,1113.364,1992.148,1710.970,1771.702,764.082,921.455,1392.083,1451.566,1394.060,766.504,895.643,662.889,1364.242,927.744,1150.267,1832.845,1896.239,1658.433,1763.256
