 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67
1,294.454,224.729,330.038,210.960,177.478,480.889,367.708,294.886,269.035,238.333,178.862,204.147,419.440,438.781,372.920,633.437,428.313,656.872,378.955,152.782,394.948,547.947,406.883,372.397,467.046,1730.911,532.167,1485.235,1667.114,2002.311,5130.577,732.228,756.759,754.311,847.083,2269.972,1732.700,1724.148,1218.248,1680.036,1923.989,953.447,1760.178,449.107,408.179,299.970,1100.354,929.780,1645.124,830.280,611.112,1103.868,1605.845,550.660,429.132,524.393,338.805,564.162,402.490,212.849,213.095,332.021,338.403,1014.469,391.863,468.152,2191.510
2,130.979,309.814,208.413,343.952,270.575,260.189,348.783,314.693,310.218,239.492,190.596,307.380,276.319,414.158,194.920,433.097,556.840,484.504,285.718,273.949,428.121,815.614,310.164,422.825,458.366,1846.943,632.633,1626.121,1918.152,1994.811,4986.667,676.079,722.976,882.541,1110.030,2621.787,2382.317,1750.806,996.619,1928.559,2131.204,762.513,1446.248,392.402,411.366,444.521,869.500,1182.213,1423.268,1028.355,943.133,1328.705,1809.520,561.056,683.341,434.562,529.271,556.523,489.797,643.570,199.000,536.521,401.806,1198.074,464.305,480.367,2223.608
3,253.876,167.845,254.576,422.560,321.504,366.356,384.783,371.737,313.923,122.189,177.138,275.357,518.934,367.263,253.250,552.903,430.748,757.552,581.209,160.167,339.821,515.386,311.398,426.619,354.351,2379.665,800.417,1758.658,1638.971,2407.763,5112.532,743.901,828.253,1086.237,944.917,2636.370,2699.975,1436.630,1378.779,2176.856,2054.785,1095.237,1531.208,327.249,484.491,473.358,890.882,999.000,1731.217,711.897,750.980,1482.643,2051.412,442.875,660.713,337.491,455.712,486.231,433.124,555.767,159.858,263.500,383.618,1524.358,716.901,469.038,2226.284
4,278.216,289.643,304.011,303.872,328.425,346.044,350.858,148.421,262.676,183.515,230.511,354.581,363.934,235.202,190.540,540.369,704.519,718.624,378.555,265.179,470.873,742.833,496.453,385.556,354.412,2103.057,745.933,1451.477,1520.829,2233.105,5414.279,694.446,684.627,858.111,957.947,2525.981,1994.075,1843.037,1213.788,1590.721,2042.118,1017.289,1517.634,409.817,393.348,458.297,1109.818,1268.633,1515.773,982.916,853.296,1454.341,2163.237,601.701,539.837,381.839,575.068,456.715,417.582,517.942,148.020,421.292,481.556,1365.309,367.771,610.760,2257.343
5,256.402,348.496,265.717,353.792,342.699,283.411,506.321,346.965,167.113,316.561,362.894,268.116,394.198,509.289,294.410,447.087,444.206,753.336,249.073,341.346,658.526,616.798,527.523,608.873,326.015,2177.082,727.975,1864.879,1787.962,2210.326,5074.162,620.743,728.036,886.756,1265.386,2879.574,2627.492,1863.787,1279.389,1660.883,2426.957,1199.263,1699.089,333.432,326.821,560.073,793.445,1204.707,1633.680,952.710,1147.296,1711.744,2004.993,684.319,715.659,520.625,412.924,531.308,595.928,512.442,120.189,312.958,308.819,1400.148,502.099,619.949,2091.726
6,172.289,270.806,373.533,274.240,342.248,320.444,247.274,331.254,343.500,306.303,278.606,370.760,312.286,662.342,346.800,506.505,626.595,846.752,279.255,193.346,430.023,817.140,621.688,663.992,419.656,2047.760,934.233,1624.537,1772.871,2867.274,5380.396,773.842,848.084,966.933,1337.242,2891.935,2222.825,1609.769,1463.814,1760.432,2324.011,754.066,1469.297,453.580,355.152,663.339,1097.309,1497.907,1729.247,994.290,715.408,1545.876,1902.142,619.222,747.992,371.286,491.788,705.715,563.948,669.116,126.405,415.312,596.028,1455.617,519.458,408.722,2038.647
7,200.742,271.729,194.152,259.232,251.133,299.178,250.066,332.447,323.915,205.879,132.915,409.178,223.648,504.640,328.870,368.641,450.244,667.576,157.773,493.731,436.416,696.728,381.562,571.111,473.695,2037.196,867.017,1728.463,1853.605,2387.984,5060.387,749.574,1074.181,936.356,1020.364,2982.657,2653.708,1799.685,1412.106,1894.234,1996.333,1154.421,1944.822,444.325,523.884,518.176,910.591,1187.133,1431.371,835.365,874.510,1792.953,2240.088,641.812,593.326,333.098,623.636,676.515,638.346,615.942,131.750,462.479,622.882,1503.926,714.313,439.519,2270.833
8,191.412,201.163,265.603,271.976,235.655,201.067,267.623,278.658,302.099,247.992,214.053,209.426,195.451,474.684,260.460,537.816,445.107,611.632,199.655,172.833,520.191,803.904,603.586,511.698,462.573,1968.601,698.800,1633.141,1822.952,2321.295,5039.648,536.723,750.590,1048.274,950.826,2395.463,2482.558,1824.343,1205.885,1884.937,2463.989,1472.184,1677.248,488.379,296.607,613.315,1005.964,1371.967,1711.113,841.168,974.990,1378.922,1838.953,530.965,476.977,571.036,502.390,624.108,522.490,475.593,182.865,678.146,469.875,1280.926,487.053,555.240,2353.265
9,173.577,214.186,206.380,353.520,277.743,566.000,405.858,319.298,366.239,248.038,155.447,249.388,375.374,283.781,233.870,483.748,437.145,821.896,319.891,250.346,705.688,723.360,627.125,609.135,528.038,1827.449,755.025,1832.879,1626.557,2526.300,4904.648,1128.218,775.916,1176.252,1249.515,3053.602,2426.908,2113.056,1100.974,2059.396,2385.075,1315.355,1235.782,538.254,530.723,439.721,982.245,1282.913,1422.113,1095.009,1198.092,1693.000,2067.000,542.958,654.171,339.598,561.568,683.046,728.176,711.860,248.818,416.271,556.590,1528.111,608.336,363.633,2234.127
10,199.577,242.388,371.011,194.632,359.354,352.478,317.481,304.430,248.113,488.576,256.468,307.597,297.637,661.289,423.640,311.990,438.237,703.128,383.364,352.231,634.029,863.667,658.289,658.452,561.817,2045.139,837.042,1760.107,1891.952,2594.479,5283.216,697.168,800.675,947.385,1090.015,3287.722,2275.833,1756.120,1248.053,1729.378,2018.409,1189.395,1633.614,393.822,418.795,778.418,983.736,1295.747,1361.691,991.589,803.061,1499.581,2066.899,553.188,802.264,456.848,663.619,572.400,683.471,669.477,165.155,360.417,397.632,1226.198,566.664,255.646,2090.255
