 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115
1,117.437,129.051,94.346,129.055,24.385,148.676,193.904,126.099,326.085,195.867,84.420,72.238,118.580,214.573,132.791,274.450,173.598,110.341,226.300,153.247,184.584,130.168,68.222,96.922,174.479,176.655,472.130,341.532,50.337,56.579,66.312,52.667,125.798,87.242,307.686,371.654,130.140,246.865,241.546,201.738,51.165,302.514,115.751,62.230,190.688,125.338,48.073,112.654,217.654,133.422,392.130,164.262,334.788,284.648,365.535,273.246,288.972,314.947,107.620,115.104,81.232,57.342,149.398,148.438,161.382,111.561,111.853,158.590,65.011,71.283,295.305,209.454,86.083,115.811,120.479,172.789,95.000,236.917,140.145,308.095,47.014,51.581,118.969,215.307,270.800,169.548,139.770,117.986,100.765,142.300,239.728,91.070,232.074,286.779,178.007,133.466,146.355,295.802,192.289,290.738,63.661,56.338,83.500,105.712,103.376,69.878,277.864,196.267,232.146,312.947,257.261,295.574,398.132,340.673,135.326
2,175.576,62.331,141.346,140.327,60.418,209.829,212.913,180.327,242.229,335.133,287.050,64.450,141.977,257.045,260.860,362.075,385.217,52.768,277.062,177.034,125.027,151.187,144.321,57.609,192.229,104.000,271.520,344.568,43.307,62.069,71.688,109.383,122.147,109.255,189.190,299.176,236.000,151.577,369.681,281.325,107.490,288.410,117.707,215.039,150.101,161.110,68.756,256.662,216.385,177.784,258.710,247.350,310.370,261.224,342.788,416.714,295.124,148.253,58.228,125.622,112.565,120.139,99.935,80.333,64.647,107.634,142.073,121.490,31.922,98.080,223.347,110.897,145.538,136.079,214.210,62.138,60.286,162.889,166.639,194.276,78.567,116.411,143.969,359.523,253.952,284.581,186.111,167.678,139.365,198.269,119.175,233.367,162.871,196.399,199.963,170.586,229.582,316.170,220.766,169.254,36.978,66.862,180.829,185.820,186.960,156.939,369.386,288.356,248.359,284.748,291.813,364.458,386.899,224.905,203.052
3,168.004,137.610,204.615,89.736,55.736,142.752,158.870,180.685,351.229,154.744,124.620,156.987,240.091,199.164,240.814,205.400,306.793,89.902,250.975,238.067,147.540,131.028,145.481,81.516,370.865,217.473,332.285,460.577,36.465,67.834,160.725,112.133,129.975,58.517,242.048,371.441,180.721,242.955,155.630,162.056,79.361,316.319,151.681,93.250,99.899,112.346,170.301,192.549,198.015,236.130,319.107,338.721,265.425,216.336,440.924,445.444,244.552,131.579,56.278,139.630,9.101,106.190,112.731,123.354,118.154,69.244,153.180,253.430,38.322,114.536,252.463,157.598,179.667,119.339,248.599,101.707,58.624,286.153,138.265,214.010,117.716,70.290,201.439,212.693,228.857,198.376,128.311,135.713,145.588,140.615,311.123,229.273,181.417,153.190,268.709,145.346,315.213,225.189,242.375,305.164,65.943,60.308,111.967,139.829,54.944,109.721,328.886,348.082,241.383,428.596,173.791,372.561,364.132,352.959,274.111
4,146.721,102.483,145.215,78.591,76.835,108.362,139.435,294.735,378.784,147.900,231.920,75.377,234.568,227.973,196.233,204.900,179.207,126.817,175.262,99.933,168.743,230.626,84.321,112.852,268.115,160.682,240.610,481.279,76.455,91.800,187.615,104.283,269.693,137.034,322.390,362.860,171.802,242.054,256.092,249.905,93.701,281.486,223.220,198.112,128.395,110.324,124.854,126.617,246.715,121.373,298.092,226.978,137.637,335.032,345.414,275.929,171.979,172.105,109.139,155.711,53.638,176.405,111.944,114.840,82.044,168.220,179.513,157.810,48.300,147.261,204.000,165.588,74.826,108.157,267.299,129.683,117.729,180.736,174.289,126.686,55.993,155.411,137.959,268.705,316.848,109.183,229.252,171.713,40.482,167.569,245.658,289.227,389.141,225.405,107.627,68.617,325.631,230.491,161.734,167.869,36.581,54.431,42.178,154.288,168.032,123.612,371.350,276.822,285.359,266.848,224.881,404.535,411.031,464.878,260.222
5,151.135,83.195,166.323,86.755,16.681,98.800,91.009,213.395,312.431,199.322,274.670,141.828,125.864,223.664,274.512,253.863,204.152,68.134,326.225,113.326,194.513,160.832,68.728,92.625,239.135,218.555,241.602,407.829,23.059,103.069,102.349,53.200,160.331,102.040,388.019,405.735,321.523,118.928,222.160,279.532,66.588,235.943,173.300,76.020,170.881,132.037,98.691,169.391,136.954,98.600,367.122,252.109,274.637,338.560,387.126,349.675,382.166,420.916,73.595,170.548,173.029,214.266,83.269,142.299,154.147,161.463,87.300,187.620,99.944,236.449,291.832,141.546,99.545,111.433,238.012,87.626,73.744,498.306,72.506,179.600,52.035,63.242,185.837,220.205,246.048,178.172,207.741,67.741,148.682,240.131,176.289,110.320,239.730,244.399,206.940,54.391,277.979,270.179,60.875,278.902,40.868,88.077,180.059,78.180,108.848,55.653,336.707,258.185,285.228,308.192,162.216,323.748,371.384,212.170,165.533
6,137.681,98.441,209.438,104.155,85.956,123.333,190.687,183.704,328.301,149.444,157.560,116.483,258.614,318.945,270.372,312.062,121.880,129.195,308.375,91.438,123.611,267.224,119.790,171.898,170.458,177.036,286.163,325.261,82.861,54.690,62.037,90.683,154.675,78.960,367.914,379.368,250.698,174.622,372.924,216.984,71.768,325.876,180.223,66.178,135.220,107.360,156.976,172.579,352.677,156.881,454.611,310.546,189.568,420.088,405.823,285.508,350.083,341.989,153.468,234.252,45.754,195.759,241.139,180.500,132.176,93.049,163.920,134.700,114.122,164.645,141.779,69.990,138.955,34.850,143.222,191.911,68.173,327.639,176.048,103.867,146.922,120.347,140.041,197.557,159.448,188.602,172.319,68.077,96.706,278.362,120.746,124.227,326.067,241.589,267.142,128.135,380.014,145.642,208.828,327.664,63.982,60.262,103.224,160.514,69.352,144.932,584.614,260.110,201.568,294.987,117.731,309.729,374.333,229.667,187.015
7,170.528,105.788,102.338,67.664,14.879,148.029,238.887,241.920,352.510,129.522,203.040,108.338,155.523,252.855,325.000,263.712,180.717,244.646,309.462,151.517,305.805,176.252,157.926,117.906,264.312,239.191,375.033,411.613,146.030,126.186,54.514,86.833,254.607,55.470,329.181,260.669,271.070,181.802,211.782,306.444,41.206,281.695,154.872,90.882,314.569,227.949,132.967,192.481,246.831,220.476,274.908,322.727,246.452,287.576,600.960,494.143,294.414,316.705,188.937,100.341,42.391,156.759,198.898,39.806,115.419,100.780,176.900,146.330,122.089,137.348,249.189,148.515,106.364,62.890,313.222,201.211,62.556,411.389,90.554,181.952,82.028,101.355,145.235,198.568,224.695,73.065,144.074,94.685,169.129,285.315,273.632,257.016,268.067,221.810,236.366,37.233,292.447,189.094,146.891,277.893,53.559,62.300,46.454,135.622,148.568,92.769,479.386,308.822,287.816,432.272,213.993,265.006,395.818,243.320,229.622
8,234.231,145.059,139.708,163.164,58.286,99.371,210.070,229.988,440.327,122.822,162.770,89.212,190.761,238.718,290.512,174.450,274.554,153.659,239.825,105.798,182.911,156.495,108.630,109.156,235.573,186.991,276.122,271.351,87.386,113.566,82.156,21.967,169.000,103.262,260.429,521.265,323.988,255.279,271.277,295.286,105.149,351.129,212.117,132.388,111.220,85.772,83.407,148.654,134.777,214.043,206.977,255.219,265.795,448.064,345.015,464.270,280.041,138.158,112.747,132.037,218.348,219.430,208.630,166.771,116.199,110.061,91.520,180.810,120.111,124.391,442.253,72.629,146.720,168.417,181.934,49.407,124.421,373.667,153.687,155.676,139.220,137.121,135.408,357.898,327.229,177.419,158.681,136.441,53.976,244.869,167.939,216.992,216.571,194.687,82.851,124.970,306.376,171.981,177.094,437.639,38.749,137.369,108.059,92.973,121.992,240.673,333.771,311.075,234.126,361.881,212.343,384.981,280.289,251.286,193.319
9,220.140,55.441,111.262,149.191,147.319,101.724,198.470,190.920,401.706,206.678,153.530,132.364,99.932,274.045,68.814,386.013,297.130,80.134,224.925,260.517,231.593,154.636,85.506,60.305,461.792,287.227,428.179,350.955,114.505,127.345,103.881,6.000,253.129,51.067,358.657,362.397,177.570,249.297,236.756,198.175,55.515,321.024,150.722,87.138,96.110,170.103,86.618,129.865,255.215,202.351,368.580,336.372,209.493,413.280,512.581,348.032,333.310,322.958,240.481,127.422,164.899,154.646,116.917,93.812,123.985,214.500,99.913,298.940,110.978,116.167,275.979,33.567,81.076,184.512,288.838,131.390,86.534,311.861,89.759,124.676,77.121,84.976,119.214,261.398,252.171,131.021,322.474,93.035,97.035,283.854,176.772,167.961,261.834,293.822,214.351,137.068,230.787,335.198,270.492,181.746,93.714,118.408,156.474,138.063,223.344,147.857,371.857,297.205,286.447,399.702,163.575,354.484,303.541,384.796,300.281
10,204.555,91.669,184.777,59.973,52.703,87.981,199.243,270.704,285.902,206.889,185.340,108.384,187.205,196.609,254.465,212.525,65.185,230.159,279.737,160.247,205.850,171.991,127.136,126.203,201.625,193.282,521.846,312.811,57.010,100.193,82.358,11.150,183.454,90.121,380.781,487.596,273.116,223.577,301.496,435.849,73.464,294.138,145.436,94.724,163.771,198.846,196.447,210.008,161.438,153.832,290.580,303.831,238.007,200.376,426.490,223.984,294.455,419.863,124.671,64.563,66.928,135.519,81.435,80.972,46.529,121.134,111.180,195.180,225.844,214.978,231.758,240.433,137.765,149.654,175.629,110.667,65.992,328.097,160.084,91.495,112.418,172.903,182.908,138.886,208.571,166.602,244.415,74.846,147.706,214.838,144.570,206.273,271.282,191.337,103.336,120.827,269.404,234.368,230.828,335.779,94.599,186.369,186.750,129.477,143.824,128.014,476.114,419.075,344.354,433.026,243.015,329.129,370.830,326.966,163.689
