 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean(RoiSet_4),Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146
1,229.459,492.000,587.740,220.381,252.429,397.953,563.391,369.234,456.214,204.892,581.060,378.908,122.757,146.921,101.090,185.545,269.197,560.843,363.833,244.108,344.611,82.453,231.780,276.763,293.413,185.446,278.750,245.820,350.849,133.091,354.863,124.798,723.113,594.040,290.926,112.679,316.432,186.642,434.523,422.085,230.711,118.849,203.023,89.385,97.590,141.287,158.887,129.270,205.733,63.882,25.086,225.407,229.643,24.184,381.151,200.208,172.178,209.208,118.689,100.081,378.851,253.616,200.845,169.041,140.513,129.347,62.398,105.226,151.992,95.387,261.015,150.740,63.100,161.419,101.646,211.927,301.010,221.188,81.375,336.400,245.820,147.514,56.771,65.058,150.992,271.195,360.929,111.262,76.586,124.505,115.600,140.420,93.417,71.494,41.085,70.407,75.757,537.406,286.625,49.070,83.784,232.056,234.879,124.186,149.278,248.207,482.140,72.598,138.514,162.830,321.593,47.754,226.585,278.674,319.863,214.222,395.036,196.528,107.480,126.211,469.721,298.053,224.875,476.107,252.959,179.598,304.050,154.681,135.474,80.879,188.812,269.060,258.233,149.714,550.976,608.778,481.934,301.806,461.436,205.543,151.700,315.953,336.861,257.405,228.604,250.403
2,573.172,431.392,608.167,177.905,149.755,564.219,207.219,373.681,567.854,276.432,499.095,377.496,129.139,222.842,356.358,393.655,108.295,402.686,513.482,324.216,235.522,102.250,213.743,63.216,467.571,300.770,103.071,613.840,364.082,534.104,417.000,160.713,545.038,425.613,697.500,210.208,889.506,403.164,298.077,516.627,138.020,162.604,521.455,60.548,71.052,111.357,176.050,24.870,141.705,31.576,24.957,241.082,101.949,93.535,62.918,123.066,124.149,171.458,319.959,219.846,453.158,286.384,155.948,178.434,195.316,212.405,170.045,192.140,131.888,150.860,249.336,116.315,124.764,211.812,190.062,159.618,496.711,189.866,154.600,142.175,130.303,55.596,40.914,108.312,241.205,198.046,416.878,145.952,11.648,47.584,119.700,99.362,120.617,48.874,50.702,59.523,50.000,707.344,165.214,94.193,222.020,208.574,315.845,257.392,86.194,335.230,432.800,86.110,128.631,64.773,434.148,95.333,232.476,249.279,324.941,518.241,692.916,493.125,266.253,77.626,508.294,463.105,408.906,307.413,292.662,160.609,462.711,181.942,321.000,300.766,187.920,385.006,290.822,105.065,403.765,417.675,641.352,327.524,425.309,479.109,237.825,272.101,245.577,205.081,121.922,267.682
3,422.516,266.039,560.354,157.667,385.561,296.547,629.143,689.830,598.340,362.581,628.625,330.149,199.791,126.347,205.642,156.055,274.910,612.510,455.037,382.539,200.489,147.516,228.505,116.567,400.016,538.419,203.054,222.580,319.329,427.792,455.250,357.606,672.453,485.187,237.259,147.217,327.235,578.254,301.538,493.706,329.302,184.526,472.068,98.346,62.754,228.000,244.603,60.070,143.724,37.353,13.656,254.209,73.847,73.544,332.178,143.453,77.752,449.700,306.779,161.450,207.049,149.239,181.938,158.885,209.923,456.628,14.659,66.763,96.416,61.989,275.964,163.913,214.218,146.137,292.523,79.182,238.701,175.179,302.225,381.475,251.246,91.740,68.377,161.704,259.197,209.908,444.010,147.905,59.820,48.158,75.383,216.783,125.983,52.897,66.989,29.953,189.324,488.188,131.643,17.614,40.118,373.074,69.086,81.113,262.014,282.437,441.650,35.000,84.234,22.216,130.704,246.522,183.524,221.570,516.824,318.907,551.145,447.931,120.493,42.431,525.603,395.053,619.578,310.120,309.892,263.598,538.208,89.986,362.389,336.673,291.589,407.749,324.256,227.532,625.871,456.167,644.943,455.460,560.264,324.721,178.442,294.453,204.482,292.333,242.662,307.288
4,504.369,519.686,899.896,361.488,249.408,308.672,432.562,381.819,542.000,290.014,601.250,632.021,212.470,364.525,310.881,202.691,320.525,644.000,212.815,207.873,356.744,120.844,146.376,217.093,475.968,253.392,234.411,217.200,187.370,312.481,511.744,92.691,543.962,559.587,643.185,225.906,489.444,354.642,271.615,491.882,326.000,155.368,283.409,50.904,83.813,128.235,242.475,76.887,243.362,180.282,34.720,201.813,120.551,101.544,241.726,231.821,137.525,245.025,142.557,215.530,481.317,195.594,166.052,126.615,249.906,248.264,158.875,185.441,188.928,135.699,227.022,110.488,131.818,215.496,85.062,87.845,468.856,288.464,322.700,245.533,176.992,78.274,76.503,100.767,171.410,123.356,173.286,113.357,138.023,80.733,145.217,212.522,83.133,232.563,25.723,22.116,151.568,840.172,228.554,43.965,173.843,349.389,300.328,157.763,227.847,208.931,385.440,75.634,114.586,70.273,167.963,118.855,240.671,263.500,492.255,405.889,266.723,150.153,405.000,135.374,270.779,483.474,519.250,302.440,376.432,263.000,313.679,238.145,177.937,112.757,275.232,397.317,376.467,119.390,576.271,405.619,513.566,343.919,510.727,305.457,131.250,181.588,216.015,279.775,273.760,308.009
5,712.229,575.275,665.385,119.738,288.449,556.156,519.876,380.947,449.913,303.500,633.833,484.014,161.643,225.901,201.716,493.491,374.336,816.412,263.833,261.059,227.278,36.906,142.092,153.093,431.286,198.014,204.000,180.840,254.027,241.766,524.452,182.830,681.641,536.733,714.963,236.566,538.062,245.522,342.631,392.327,440.000,113.793,289.023,79.500,45.045,273.696,337.277,56.809,171.048,22.706,71.903,239.231,227.235,26.184,215.342,202.887,152.030,322.817,287.779,108.577,439.792,260.913,100.485,146.320,176.658,286.967,116.875,195.570,169.792,28.720,236.832,267.677,177.555,206.897,184.138,63.964,296.876,303.080,150.225,225.000,227.541,110.500,58.486,57.571,219.074,82.931,467.020,121.976,45.008,127.109,125.683,80.232,123.950,55.563,14.713,18.477,141.189,383.875,253.339,33.842,223.667,321.685,161.138,203.309,238.361,358.161,610.780,59.012,62.252,74.114,134.259,156.942,236.256,360.791,327.137,90.481,648.663,250.264,409.280,114.967,471.926,492.667,405.031,288.013,244.419,149.598,459.597,162.333,382.726,279.794,311.000,243.036,289.811,121.532,638.565,561.452,460.680,407.613,540.591,363.992,165.658,505.791,422.460,317.144,167.545,216.670
6,588.992,326.706,619.542,263.738,296.418,190.047,441.305,231.777,347.825,271.176,457.512,656.993,179.035,228.040,276.179,276.036,275.984,941.059,406.741,200.441,257.233,139.078,291.211,207.237,354.286,257.851,149.125,262.880,397.274,191.208,470.911,101.936,712.849,565.560,286.315,218.189,357.123,380.343,263.185,452.725,163.537,223.649,427.455,32.519,40.597,82.087,240.631,115.896,158.086,113.718,34.290,203.681,162.561,202.386,216.041,156.472,196.267,457.708,302.172,201.248,256.941,315.667,91.742,127.689,263.641,228.702,101.455,40.086,148.440,52.441,113.307,102.213,134.391,253.085,142.600,87.009,252.010,196.580,208.350,480.008,278.951,85.986,72.194,124.444,333.705,110.747,407.122,68.143,38.289,63.644,98.225,74.188,315.683,125.816,65.564,65.965,127.486,567.344,109.911,77.193,136.941,57.481,259.534,142.732,147.764,299.057,365.680,141.646,49.117,121.409,452.185,179.290,143.902,302.012,567.471,474.093,326.108,519.139,324.227,253.992,673.559,678.947,580.656,351.213,177.851,341.033,505.616,127.101,100.863,316.271,290.125,346.234,266.611,309.390,749.012,474.135,542.590,411.597,595.155,316.674,268.625,353.777,312.891,219.784,180.812,445.129
7,567.098,317.667,573.604,449.726,272.316,544.281,173.143,555.266,467.039,322.297,535.661,473.262,160.174,221.545,318.642,196.836,210.623,545.843,234.963,209.951,96.644,50.578,160.826,112.155,273.286,347.635,480.839,216.660,282.342,289.416,302.143,98.372,565.641,651.347,407.037,339.104,537.617,387.985,300.169,433.379,309.356,190.758,631.341,121.087,68.761,164.035,409.553,118.035,277.267,11.306,50.892,210.780,164.469,147.140,76.384,241.528,178.505,235.817,271.320,116.228,602.515,275.746,155.247,163.393,93.171,199.884,62.489,134.129,132.560,104.538,156.496,125.717,223.591,232.393,199.846,126.818,326.093,145.714,209.375,458.000,184.393,74.466,84.886,48.545,239.418,124.092,323.684,133.738,76.875,155.059,116.308,41.957,258.050,127.034,28.649,50.640,93.757,422.734,360.696,28.912,96.275,447.130,107.569,184.124,171.208,363.264,576.320,113.659,186.856,48.852,340.537,74.058,179.585,159.442,263.235,433.370,340.542,523.056,149.440,72.049,210.324,450.684,186.969,363.867,392.203,189.011,385.616,445.768,304.863,305.449,221.527,339.084,309.089,192.571,476.565,558.619,713.566,372.355,372.864,499.357,159.375,237.270,389.073,349.703,204.922,352.639
8,548.025,345.549,958.885,217.726,165.929,211.344,306.210,593.979,515.369,157.446,522.875,382.291,250.383,281.426,416.030,239.291,266.877,621.333,258.370,334.657,150.211,202.078,276.550,279.392,313.984,562.162,302.196,261.000,414.959,179.325,399.548,91.883,1019.585,613.600,551.444,133.717,382.741,514.985,358.000,515.314,349.705,159.625,487.136,131.394,68.701,135.452,137.965,97.443,357.638,66.800,67.043,261.132,201.918,109.404,128.753,116.057,167.861,288.250,210.221,186.859,580.386,184.341,207.608,230.770,253.171,136.273,185.886,240.688,165.016,107.290,183.533,104.732,266.718,286.496,185.200,160.182,432.103,286.420,307.150,354.083,311.959,136.925,58.709,22.328,260.598,226.644,309.561,67.881,42.945,96.980,108.692,284.594,159.050,128.287,17.660,52.256,54.568,566.859,617.089,17.544,151.902,222.389,197.190,179.866,125.361,251.310,580.330,8.915,101.658,118.239,144.852,100.246,77.707,256.360,244.922,147.519,456.374,414.139,148.880,147.350,355.353,407.947,382.547,468.960,363.838,169.130,538.597,84.710,123.263,181.056,181.679,287.156,472.967,155.442,706.129,431.000,572.984,626.960,528.436,626.977,250.142,209.453,236.664,214.117,92.987,354.373
9,333.025,340.686,623.083,161.607,347.184,399.547,409.076,555.904,310.709,398.919,418.661,442.773,224.930,218.257,93.776,341.927,258.590,514.725,670.741,233.951,230.300,102.234,243.404,168.536,259.127,456.973,305.268,331.600,445.863,69.143,511.143,234.649,578.113,352.813,569.093,144.028,449.963,480.269,398.046,438.712,298.383,139.354,101.818,19.510,65.119,56.157,396.730,199.530,127.067,42.965,8.570,262.269,149.786,224.053,205.123,176.774,210.327,187.217,294.344,206.396,540.545,244.087,172.371,181.787,274.120,241.455,117.159,84.022,110.536,159.979,194.839,178.307,304.455,178.718,291.523,173.264,462.371,134.420,76.625,394.000,288.410,74.514,57.429,148.302,205.762,166.356,408.306,198.714,45.859,13.297,239.475,138.058,163.550,42.644,65.755,55.163,103.811,498.109,270.357,136.439,72.627,124.444,538.431,146.351,36.750,297.988,454.140,39.744,186.387,21.261,451.852,220.652,210.098,277.198,291.706,280.963,798.157,669.278,247.853,189.024,322.353,496.175,249.328,175.653,337.635,165.283,323.843,212.159,305.600,309.140,157.295,354.539,388.278,92.844,541.906,468.460,669.951,576.290,374.773,279.388,253.783,331.399,318.927,448.811,158.279,216.300
10,356.770,260.235,593.281,279.500,278.153,418.266,524.638,575.149,452.583,154.514,443.554,428.929,175.235,265.604,299.179,142.836,332.090,745.667,512.500,70.412,244.211,263.953,97.110,212.103,266.333,406.932,164.804,562.720,485.945,179.532,429.601,98.574,358.811,619.760,394.296,325.670,144.840,506.791,214.723,507.706,385.289,200.270,346.977,31.462,27.515,140.704,229.121,232.965,271.276,19.412,31.968,254.077,124.204,57.746,143.849,330.368,172.337,393.575,379.787,243.685,337.465,344.109,199.887,147.820,244.017,124.339,121.977,171.430,159.872,152.366,329.832,129.906,195.173,170.179,414.108,78.745,497.093,198.929,278.875,218.958,322.000,103.719,50.120,54.376,155.992,7.667,271.684,206.738,174.852,106.644,59.117,122.884,118.417,135.885,18.617,33.360,209.189,629.250,130.821,36.579,14.059,75.593,376.052,200.052,65.361,194.736,288.920,49.683,105.514,39.011,69.426,121.623,291.000,190.349,321.647,289.093,527.024,315.611,311.907,173.350,394.265,453.000,334.500,331.587,506.216,259.848,514.918,187.522,132.274,395.879,299.384,466.928,175.456,238.948,499.765,382.024,462.549,590.242,553.827,353.713,369.667,458.345,216.526,218.450,169.461,343.330
