 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115
1,693.118,487.915,441.938,293.827,209.484,301.990,793.844,665.932,1171.876,544.367,755.020,316.629,599.193,717.527,834.372,714.075,691.467,399.768,784.275,589.281,433.655,632.299,419.198,304.328,578.396,534.018,691.455,830.477,334.485,272.917,204.789,255.500,373.810,279.678,1022.971,850.110,613.395,505.225,471.521,558.246,414.814,963.571,647.451,276.783,552.404,403.140,536.341,489.361,642.462,611.227,1033.107,789.508,709.527,1029.920,885.470,808.159,827.938,801.579,312.443,480.200,421.957,363.886,434.139,515.812,354.904,455.415,283.387,312.190,342.078,492.761,738.105,319.134,340.992,198.969,286.683,361.813,295.910,672.278,293.325,396.695,235.773,233.887,230.786,514.716,425.200,276.258,427.481,269.559,281.588,420.862,470.412,185.203,431.810,456.356,350.485,375.692,622.589,617.651,376.945,550.631,261.251,189.862,326.507,427.387,282.192,273.333,906.864,795.171,718.583,781.086,580.187,1114.968,929.050,828.299,682.719
2,715.738,404.432,409.308,299.836,256.154,277.705,582.165,729.691,1229.353,750.311,602.680,333.179,528.068,600.236,712.721,730.400,634.120,371.854,918.075,481.472,400.044,653.953,420.901,333.672,619.583,432.855,913.659,1035.604,179.436,248.621,203.954,251.000,453.914,346.027,818.619,800.463,753.093,390.288,569.118,582.190,396.407,985.619,632.806,345.763,701.633,473.125,399.472,327.714,604.831,719.487,992.122,826.743,755.568,909.336,986.818,854.032,792.400,1145.200,465.456,462.215,299.971,484.861,325.380,564.743,317.257,394.988,360.700,306.050,373.878,509.101,727.684,336.093,343.879,266.614,291.144,347.447,273.759,575.417,402.289,413.590,278.227,334.831,245.398,667.761,541.571,328.527,396.289,341.566,273.859,535.469,410.474,277.680,559.270,439.681,346.343,294.158,704.844,672.132,407.133,463.426,228.198,277.592,299.961,472.838,341.696,255.510,883.164,841.911,606.709,847.808,477.821,1146.464,915.000,883.483,555.119
3,733.341,597.898,512.346,312.118,243.527,423.686,741.043,796.679,1350.072,630.211,609.860,322.265,560.102,725.482,617.791,751.388,595.446,464.829,786.400,479.438,381.177,782.617,313.037,338.430,751.260,601.227,941.789,1030.459,300.188,252.814,199.101,257.583,554.466,339.141,885.248,819.250,535.174,401.414,687.513,595.595,381.010,977.105,697.429,407.993,636.147,424.654,285.870,383.887,664.569,645.341,1171.412,906.219,831.548,956.672,1031.151,918.516,791.469,965.084,526.367,546.193,324.783,410.367,387.787,534.549,429.353,300.317,299.747,319.870,396.478,517.435,786.421,320.454,359.879,290.449,298.844,304.325,304.023,762.097,443.518,391.800,312.879,305.645,295.551,610.193,505.886,419.602,484.674,354.294,411.271,450.585,457.342,341.992,507.104,510.098,470.157,363.632,763.901,655.132,413.844,573.197,187.789,240.038,300.796,493.991,308.144,240.816,1000.586,741.315,820.553,870.199,640.299,1276.542,1129.189,858.061,669.230
4,757.297,420.924,499.238,307.082,171.912,321.714,658.209,863.216,1192.673,530.922,731.920,369.126,722.727,629.418,500.977,722.800,577.696,366.610,787.162,499.966,498.035,686.869,538.778,421.109,795.438,552.373,1033.797,1054.072,215.871,279.572,164.927,265.217,497.166,338.074,1020.695,836.096,465.047,512.108,521.723,672.556,449.000,960.500,622.733,352.013,687.890,490.787,346.146,478.398,646.523,712.584,1073.802,950.262,934.514,1130.584,1056.833,763.881,852.517,817.116,372.506,554.407,266.217,295.532,450.639,501.882,376.735,432.744,347.787,268.640,455.867,571.406,742.095,327.649,433.121,216.402,347.790,291.943,201.143,878.264,476.072,549.667,305.383,280.903,285.582,696.011,406.886,430.290,513.807,332.427,336.588,468.946,475.596,304.227,522.012,491.393,381.187,416.045,914.809,785.868,404.453,670.803,247.868,282.492,389.507,441.757,355.664,264.449,947.300,740.370,701.301,859.947,653.179,1206.297,1024.704,891.163,646.563
5,821.358,480.542,560.946,274.809,185.110,350.495,845.826,679.080,1271.255,435.244,740.160,363.848,496.625,774.355,807.419,864.263,661.935,416.512,877.638,400.427,478.549,631.187,435.877,301.312,641.500,546.745,945.959,955.523,319.594,236.103,264.550,202.817,480.202,359.913,720.600,889.243,639.628,549.559,444.798,531.913,380.830,989.862,738.560,338.342,591.294,481.456,469.829,437.624,653.300,768.438,1251.260,942.716,824.884,1086.880,1002.934,948.817,747.897,911.947,327.241,532.252,511.667,461.557,431.407,615.076,399.066,391.829,317.727,297.280,427.611,519.710,783.821,326.948,448.659,319.669,295.000,364.780,225.090,720.986,400.024,419.962,320.021,302.500,375.020,504.284,494.552,409.183,352.993,303.804,289.965,621.400,476.386,306.867,497.785,484.331,379.522,395.850,746.965,826.783,474.227,577.516,212.903,265.269,406.441,383.991,304.304,241.742,953.171,871.582,836.024,835.629,664.134,1374.516,861.887,928.456,740.570
6,738.948,634.729,537.523,382.582,205.396,252.457,714.026,794.568,1185.647,489.133,644.460,296.781,661.750,682.855,962.791,723.125,656.293,498.732,848.562,518.472,482.611,694.393,439.815,287.031,695.740,554.827,1039.179,1099.748,263.168,245.483,218.697,314.583,487.429,283.081,1045.419,876.037,622.174,550.468,622.924,522.270,472.253,1138.181,674.747,420.941,705.294,451.507,395.504,368.977,622.531,697.303,1015.023,927.437,822.486,1025.208,1145.374,767.103,746.490,891.789,394.152,571.585,517.580,608.848,491.704,561.028,399.044,437.573,399.887,381.940,348.011,582.696,833.705,433.773,381.015,298.417,298.293,289.057,264.135,840.792,478.554,415.724,250.794,237.500,267.633,616.364,515.105,299.226,547.689,344.322,317.624,559.615,428.930,248.555,582.129,477.871,357.239,435.541,779.574,646.792,475.039,503.787,190.123,428.285,318.020,442.018,431.064,317.558,1079.371,880.411,796.383,817.907,652.306,1312.477,939.126,961.503,750.304
7,790.362,531.517,578.377,344.145,313.385,486.800,628.183,832.821,1298.229,567.789,876.450,409.358,514.841,707.218,691.860,663.075,674.261,287.280,860.612,589.090,576.407,859.056,445.901,350.312,622.406,686.000,1106.406,1114.387,228.881,266.834,257.835,146.267,531.583,386.946,873.391,918.184,644.186,537.207,449.613,523.873,387.701,1016.895,641.985,347.638,660.037,517.022,452.764,408.436,656.723,759.903,994.687,972.907,783.096,1079.456,1101.374,823.873,878.966,968.747,357.608,542.096,457.043,382.975,484.296,577.743,385.463,423.329,336.147,318.380,343.789,546.572,804.474,373.773,397.182,344.890,347.844,272.789,395.391,1022.556,390.988,442.210,271.007,267.992,293.622,559.523,539.419,336.570,482.393,341.902,180.953,498.000,593.088,309.250,647.258,497.896,435.873,327.195,806.610,681.924,486.242,479.787,177.436,245.785,414.895,518.234,338.304,295.497,1060.093,900.438,752.544,873.517,617.022,1254.161,1002.994,936.537,832.593
8,739.961,569.373,519.985,240.345,355.736,264.514,775.991,759.302,1201.961,667.456,651.090,311.119,492.682,745.891,1062.442,686.600,744.250,331.768,784.375,506.494,441.867,802.495,471.506,374.625,676.938,477.136,965.187,1230.667,265.782,257.310,274.000,361.300,448.160,329.980,923.305,844.176,712.744,505.766,629.723,608.984,380.258,1052.219,636.549,305.717,683.440,513.728,422.919,416.752,669.231,744.151,1117.237,1005.694,978.788,927.088,1185.429,933.722,707.159,964.421,401.975,496.978,480.304,404.304,473.454,474.583,395.441,416.183,343.700,302.370,523.789,496.116,908.337,383.227,396.864,246.835,309.150,345.000,316.835,672.486,480.048,556.391,288.773,309.726,260.071,708.693,602.648,367.097,507.385,315.070,345.294,449.662,590.939,270.930,575.963,518.331,392.858,253.083,953.298,718.538,494.047,620.139,210.974,287.969,384.539,541.108,336.656,303.905,1030.886,872.493,746.107,799.675,635.687,1362.097,910.560,888.912,772.970
9,695.638,518.068,455.823,333.900,204.495,387.210,934.209,876.426,1298.072,562.156,668.300,310.000,657.034,673.827,711.349,516.750,706.750,431.756,936.300,607.315,544.566,592.607,470.790,325.062,571.104,479.800,1093.219,1081.360,226.356,295.890,290.092,249.383,452.613,324.020,898.486,847.676,564.395,478.973,488.126,627.627,397.500,1105.243,595.194,388.921,751.349,539.375,345.943,392.714,696.808,718.211,1493.267,1017.760,899.096,1144.864,1160.379,880.222,820.848,958.800,394.646,576.489,474.145,442.570,404.435,612.111,345.037,437.951,363.647,307.530,445.589,624.080,940.105,341.041,422.470,206.598,307.928,298.992,229.729,827.417,405.807,496.924,316.816,352.363,321.143,624.125,632.609,264.043,547.378,309.287,240.800,584.331,472.868,357.367,536.969,426.951,325.336,348.391,854.972,689.811,401.172,560.787,263.260,210.238,336.197,629.423,321.056,284.993,989.400,735.089,831.364,991.742,574.963,1197.361,1035.428,970.347,757.111
10,792.083,626.102,469.969,319.682,237.571,328.038,692.687,747.469,1474.033,580.033,694.180,317.927,674.420,754.927,906.465,816.287,656.935,493.463,894.225,588.697,534.035,829.178,442.235,407.906,651.531,455.445,1188.179,1083.676,303.743,233.883,275.000,258.667,502.883,344.315,941.771,799.809,534.407,572.000,590.420,551.214,350.541,1051.086,670.696,471.684,515.376,503.162,480.081,403.827,721.962,795.914,1121.519,1107.639,878.815,1161.728,946.849,755.341,785.628,854.947,502.570,589.037,530.971,531.962,466.426,605.285,402.257,451.549,422.640,400.220,345.122,541.949,817.526,442.402,460.826,261.205,333.048,362.504,334.744,801.583,469.349,558.038,316.674,238.540,285.367,559.455,450.733,380.419,544.881,249.720,314.812,558.738,405.342,332.398,555.601,409.417,375.060,372.421,817.603,683.868,402.531,676.131,172.445,257.092,393.507,606.874,364.464,265.034,1085.543,833.897,742.083,891.225,611.709,1240.329,943.233,1007.884,749.459
