 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135
1,806.367,1516.884,986.964,518.611,537.971,1163.118,1032.274,415.112,608.483,162.558,463.012,541.235,396.404,354.604,267.297,312.239,247.630,112.386,112.293,226.017,146.919,158.265,218.437,696.138,857.748,365.286,157.274,151.359,163.567,137.753,87.976,196.530,278.784,329.360,313.364,500.492,1039.762,731.024,427.084,627.214,256.948,404.218,477.841,1078.161,874.924,113.949,158.151,313.384,399.935,449.991,437.205,568.772,384.880,521.328,983.351,722.075,547.857,574.524,197.867,639.929,469.523,174.083,480.748,341.277,522.024,451.188,430.706,470.821,242.320,340.331,307.616,387.020,571.131,367.658,240.563,127.254,228.724,264.113,721.892,738.786,474.587,106.218,612.681,426.153,813.764,588.583,421.477,353.302,580.991,600.052,597.372,365.900,666.113,519.294,298.109,119.510,209.804,358.217,625.674,223.407,251.824,347.232,327.250,617.832,449.194,849.043,252.177,832.509,802.628,816.080,311.670,355.586,536.396,531,268.383,418.801,361.867,184.644,353.161,575.710,581.445,270.218,515.912,495.165,321.942,478.163,95.125,177.213,94.925,206.529,390.496,566.895,66.453,77.280,145.226
2,696.575,1453.848,935.306,716.586,564.831,1388.456,936.038,211.881,982.551,269.171,504.765,459.169,312.942,428.390,475.697,324.460,202.799,167.277,167.333,348.356,292.622,244.757,256.170,408.346,844.846,400.838,135.974,212.041,223.637,227.147,95.548,244.177,193.269,504.624,213.550,427.924,980.107,678.619,580.135,428.840,415.402,422.898,533.132,795.831,571.339,173.956,156.807,366.057,326.619,295.658,480.157,583.924,459.068,769.828,671.883,858.237,363.648,790.646,266.008,764.867,626.411,173.047,333.890,262.818,500.040,281.029,302.950,298.390,156.130,236.314,228.402,306.133,347.098,324.994,261.311,311.954,237.978,140.035,773.875,751.951,469.930,280.529,698.577,679.967,485.479,543.850,554.765,326.953,460.717,359.403,710.372,350.270,714.467,670.950,267.445,164.091,123.994,314.261,466.992,245.900,321.387,163.768,369.178,912.920,547.493,522.859,264.908,824.665,855.131,728.669,261.386,429.541,420.590,431.360,409.417,448.372,362.800,245.424,235.073,601.825,680.058,564.345,557.744,392.217,321.558,368.395,118.404,234.581,77.264,226.894,498.620,696.405,168,191.185,57.242
3,755.675,1319.551,797.214,758.172,634.324,1500.147,1279.045,301.925,968.062,139.822,390.482,384.338,498.038,373.201,470.649,403.159,216.416,164.458,215.517,224.494,216.392,355.787,129.259,742.877,946.781,455.370,93.591,95.569,162.896,231.280,77.167,266.963,274.982,518.348,280.364,508.886,983.721,829.310,658.781,746.580,289.638,345.714,501.371,1249.108,532.415,97.328,150.759,284.408,280.832,393.459,437.898,596.889,423.135,609.451,1248.170,594.825,547.495,656.082,216.188,675.142,459.822,302.839,425.244,381.318,686.766,439.638,444.647,325.610,140.430,358.534,355.375,417.640,425.163,323.052,263.311,254.277,202.028,288.681,915.925,532.184,459.035,274.378,705.147,578.180,497.957,818.732,721.832,410.969,481.752,422.221,615.823,505.140,634.527,670.798,433.118,137.154,267.222,216.094,365.008,173.421,287.588,383.172,256.375,735.984,557.261,542.946,194.950,572.651,783.794,849.215,288.472,403.180,476.328,503.901,507.733,397.455,259.037,291.689,393.453,681.295,537.258,340.500,589.825,340.426,310.532,385.922,118.110,327.147,64.333,262.702,570.845,704.105,66.935,102.236,113.526
4,613.767,1462.877,711.765,678.064,522.956,1048.559,969.465,402.485,719.129,225.674,384.735,491.110,291.423,512.447,380.486,423.124,199.149,166.518,192.902,393.061,296.757,159.500,239.526,804.692,739.829,321.429,143.757,154.215,208.821,310.573,125.429,287.933,407.965,372.916,299.643,313.159,775.508,772.532,554.252,456.298,290.787,326.156,533.417,1141.946,750.890,79.745,84.211,371.156,275.568,192.306,293.268,587.474,527.579,786.131,764.532,610.650,591.088,867.299,356.969,877.956,361.589,140.067,320.622,391.047,285.823,243.471,383.210,250.504,130.930,193.246,238.652,309.800,526.438,294.961,350.252,283.377,229.950,314.901,782.942,635.388,463.545,448.218,836.503,702.727,734.400,444.307,739.591,495.543,380.168,566.390,906.814,438.480,755.400,575.513,236.300,179.119,68.810,420.428,552.527,275.514,219.908,222.263,364.184,666.048,482.642,726.978,480.426,816.019,702.447,787.742,272.756,368.970,355.657,490.838,375.342,525.615,228.919,152.220,248.372,861.940,862.961,579.627,694.531,464.470,302.351,289.271,121.059,283.449,93.965,399.250,512.519,750.353,34.036,66.274,163.589
5,770.042,1548.565,664.418,751.605,567.140,1670.118,933.892,410.015,966.011,323.357,472.205,489.191,410.250,369.535,333.400,413.814,281.662,194.855,155.649,270.633,295.297,202.316,168.207,663.354,698.935,532.974,203.243,185.456,279.254,266.260,66.349,262.915,325.281,440.775,272.436,495.545,768.689,894.976,582.606,464.542,387.695,315.939,490.166,1501.131,627.381,138.803,201.675,432.365,305.768,395.405,400.189,631.696,335.180,651.664,1069.415,610.838,420.297,683.578,322.656,487.522,403.710,257.964,376.654,389.054,343.524,486.543,376.966,341.740,186.370,381.754,347.839,432.453,532.954,291.052,273.667,231.469,280.243,208.837,1014,704.049,433.035,201.084,626.699,659.840,635.064,610.386,980.577,479.659,322.336,543.766,556.708,466.080,817.233,660.983,262.864,103.888,195.804,297.406,498.109,304.486,257.160,379.273,267.316,578.672,413.575,569.685,282.865,966.759,604.372,765.086,232.006,446.316,357.463,778.640,409.967,493.776,334.370,360.841,321.978,504.500,567.903,514.636,601.794,361.470,326.045,261.240,215.206,195.434,44.323,384.115,424.775,755.895,89.353,248.115,164.216
6,838.900,1572.920,695.235,652.790,469.382,1234.927,1169.522,451.119,884.663,148.457,451.163,578.353,313.837,429.138,356.265,370.779,298.045,123.723,163.121,298.033,412.973,144.449,211.163,395.715,951.740,450.507,188.696,159.446,259.612,300.380,120.024,213.274,296.725,370.371,303.764,465.432,983.344,860.810,660.277,536.443,299.299,171.803,543.146,1141.031,745.686,251.058,224.169,339.502,327.348,337.757,381.654,623.532,431.293,695.311,944.043,838.388,413.209,700.544,228.477,715.133,508.925,308.922,351.173,399.318,350.758,379.196,521.471,440.260,189.680,399.178,468.009,349.840,500.725,337.123,186.193,109.177,222.050,207.894,884.150,752.854,707.231,228.151,674.902,1024.980,540.079,589.283,373.779,345.109,409.460,386.766,803.097,425.040,819.700,922.958,220.391,233.105,183.342,404.587,580.326,255.421,386.740,144.535,444.704,624.464,556.201,664.326,253.532,1092.090,884.533,746.957,407.500,351.256,577.284,696.477,354.217,630.660,367.696,360.371,307.226,497.010,442.265,386.573,653.500,514.922,292.721,333.341,137.934,296.375,107.836,253.519,457.388,605.471,122.871,122.146,58.121
7,636.333,1539.775,930.648,729.357,828.588,1393.993,907.038,418.493,941.169,160.713,633.163,507.184,347.721,421.321,361.773,437,180.695,228.048,348.184,366.061,334.743,169.279,226.044,672.662,884.805,421.182,180.452,197.128,280.816,330.673,199.722,253.433,202.754,322.848,216.207,461.538,736.926,737.206,605.529,568.069,213.379,446.884,512.060,1335.569,730.593,230.058,180.699,355.583,222.690,339.640,400.339,570.170,345.218,613.131,1197.394,941.662,597.648,778.102,233.172,684.389,234.271,153.435,290.622,359.250,287.677,356.833,565.437,492.528,111,364.441,427.196,511.620,575.438,228.652,399.267,247.454,194.199,206.879,856.858,814.544,419.538,466.588,726.755,776.693,718.029,460.622,821.960,466.581,337.876,274.831,649.159,522.460,761.300,473.899,348.973,176.797,297.494,212,816.574,292.336,291.824,343.475,379.263,685.912,482.552,684.630,328.617,851.995,944.101,788.301,300.438,412.466,517.925,442.225,430.825,682.897,322.548,315.038,205.474,836.895,646.387,410.582,696.394,466.139,535.669,330.101,123.235,273.235,72.821,389.125,529.814,745.150,95.669,107.981,34.179
8,646.258,1633.804,773.668,568.121,581.412,1385.948,1109.395,374.798,824.461,211.899,460.735,371.493,287.990,387.736,331.432,367.496,134.188,218.940,206.856,321.978,309.730,201.022,135.407,647.738,1148.171,423.331,223.009,231.728,214.408,184.553,92.976,208.768,279.696,364.747,268.071,559.917,843.926,793.508,719.258,672.954,293.943,296.143,427.503,1228.562,632.661,92.226,180.663,387.450,309,353.207,296.638,665.082,439.970,624.893,933.809,690.275,588.582,797.748,328.711,910.796,293.187,159.342,367.661,345.135,320.621,341.101,467.840,380.114,159.340,291.881,305.759,465.600,603.830,302.606,300.652,272.731,251.044,166.879,1011.892,625.922,355.825,323.260,989.589,798.687,676.750,566.299,792.698,296.271,554.381,325.727,618.991,577.230,793.120,664.361,412.227,198.580,284.405,436.949,756.240,255.779,323.160,240.768,356.421,541.096,482.321,749.283,365.078,777.052,808.317,799.325,435.847,411,365.925,573.279,352.342,632.936,362.859,290.765,368.810,700.920,766.426,436.427,658.044,463.574,401.416,428,226.699,265.890,104.378,227.442,388.171,697.863,106.360,132.522,102.042
9,784.300,1575.073,883.439,769.834,579.294,1066.294,923.121,443.291,859.972,349.946,382.392,338.169,571.981,346.604,331.849,411.265,239,182.090,271.943,400.694,303.324,228.941,188.311,790.408,1048.496,414.260,180.548,108.779,262.333,275.900,87.960,253.195,270,566.433,304.429,512.909,794.049,738.421,552.323,650.061,304.115,545.823,484.556,1274,861.619,173.015,200.898,305.630,209.381,259.162,402.693,564.725,427.414,733.607,1019.160,656.400,683.934,768.252,241.914,673.788,281.981,269.404,235.764,433.973,289.766,323.094,603.748,267.203,199.190,330.008,192.929,434.653,367.974,270.090,368.052,299.862,231.111,159.489,739.025,690.738,404.483,228.798,706.982,928.407,483.814,606.465,659.356,353.550,421.221,314.143,707.991,345.540,670.273,654.252,286.727,142.070,180.076,245.717,496.194,178.136,465.765,341.737,370.987,833.152,337.343,404.772,331.284,880.179,765.392,707.877,212.631,422.789,529.813,765.450,204.125,619.673,298.867,284.462,286.131,783.775,765.052,477.818,621.481,426.322,392.688,329.093,60.044,233.662,90.045,371.106,482.783,795.915,139.770,227.962,134.905
10,756.358,2081.478,945.046,914.076,610.059,1302.360,1017.522,457.530,948.989,133.395,463.060,439.985,552,542.283,340.368,349.947,386.260,165.319,107.448,533.150,224.473,273.257,217.370,407.577,914.561,462.448,97.678,111.533,243.259,320.593,111.071,131.750,444.491,318.337,277.829,374.280,907.459,485.540,536.368,732.802,378.966,440.265,552.669,1343.846,708.110,180.796,215.313,367.512,321.194,313.036,400.906,495.596,435.895,713.746,1072.862,621.588,614.022,827.932,374.977,748.363,412.766,214.337,337.165,443.723,309.613,296.703,504.983,381.154,286.760,422.483,280.634,404.207,544.680,304.342,375.859,292.423,160.796,247.631,843.850,757.583,460.874,292.513,718.503,799.253,751.671,760.701,951.980,468.628,621.478,703.377,581.009,389.280,807.593,640.798,254.436,123.427,207.753,442.377,580.217,245.271,329.748,480.535,249.928,852.088,503.045,593.315,345.035,782.193,894.332,680.436,338.341,611.549,634.776,561.144,297.592,585.609,401.215,272.152,158.343,633.910,759.555,482.218,469.594,317.157,377.753,311.814,124.132,292.757,127.144,458.663,669.078,801.732,165.424,49.357,68.079
