 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142
1,127.508,65.571,17.089,219.558,23.951,320.977,92.152,147.983,286.033,189.327,466.612,432.675,151.015,84.167,187.140,222.776,50.061,77.227,105.676,103.327,69.302,297.286,129.418,65.061,247.294,206.051,392.587,255.359,529.911,448.234,26.184,982.529,353.750,378.119,536.618,242.323,324.377,213.674,373.576,216.782,153.391,533.971,167.500,65.746,87.797,94.670,271.234,187.977,191.554,262.103,142.125,324.836,219.594,362.086,462.288,179.304,126.115,505.600,865.490,344.467,173.811,392.373,786.109,475.768,900.873,544.381,806.262,340.448,157.194,87.975,110.441,253.135,424.102,422.038,223.581,210.701,485.258,185.612,265.000,165.357,166.371,266.761,359.208,14.429,130.437,8.404,550.400,774.536,262.368,274.932,98.773,88.309,89.453,218.714,376.806,315.981,110.590,104.932,62.225,46.462,75.400,200.400,145.643,100.019,228.805,226.750,21.909,154.239,401.386,424.700,174.561,250.861,198.905,261.864,636.444,134.451,55.000,78.713,229.175,96.462,248.244,333.208,194.016,546.186,48.896,11.957,53.415,6.946,124.343,116.051,296.880,337.391,136.213,119.549,311.000,24.816,85.232,9.614,40.074,8.000,107.000,477.900
2,181.576,130.825,195.467,340.404,248.634,127.558,184.609,81.983,119.250,14.192,355.612,128.962,91.508,46.738,419.849,406.102,378.837,54.841,136.985,78.269,63.397,235.048,315.254,17.848,304.922,294.795,141.667,316.987,326.821,224.277,115.211,593.574,737.708,979.929,366.118,226.419,517.434,631.370,187.271,217.406,84.826,265.783,50.250,238.746,130.856,137.264,380.094,286.802,474.369,79.559,125.523,418.636,145.406,246.500,528.055,604.643,161.508,434.073,172.588,279.240,210.135,622.949,590.783,681.971,831.408,689.881,597.810,292.000,205.396,73.785,156.186,378.056,184.746,153.846,378.070,62.481,349.419,151.343,245.474,186.653,378.258,385.358,251.083,98.163,71.366,160.442,531.140,541.986,167.105,421.455,27.886,27.800,463.774,229.125,237.478,274.154,214.846,10.527,121.550,7.354,11.489,178.575,228.833,11.593,22.024,82.825,107.477,136.463,478.684,333.443,138.965,212.594,420.221,262.169,638.194,105.941,34.955,214.380,182.512,53.308,461.178,251.069,198.492,510.663,8.156,145.170,9.453,42.703,69.314,42.051,151.840,30.761,51.705,365.333,290.500,409.245,149.964,59.700,35.691,105.086,398.071,188.250
3,286.593,170.175,144.600,120.846,182.829,311.628,135.717,190.133,309.600,68.327,166.163,132.688,144.877,104.857,215.183,355.306,300.796,82.114,150.721,102.538,214.857,313.595,72.836,377.273,223.824,5.667,297.508,251.628,245.089,271.213,138.000,487.676,325.604,545.310,371.618,513.484,469.000,142.913,372.814,405.554,395.145,654.058,569.442,634.746,89.797,26.198,353.922,193.163,233.400,434.324,283.352,209.782,78.710,224.172,458.781,190.089,341.803,218.582,368.235,193.173,360.757,548.983,490.978,398.942,492.859,298.524,394.214,137.879,223.763,47.532,129.542,308.011,110.898,84.731,76.372,312.883,227.968,158.164,252.123,245.551,467.823,370.687,101.333,11.204,28.465,119.654,248.140,616.058,462.289,38.909,11.591,73.982,318.528,550.554,475.881,306.019,369.974,123.189,133.212,173.323,42.444,11.175,232.667,318.963,530.805,145.100,27.750,99.045,138.982,218.386,460.982,390.673,457.147,382.915,412.000,176.294,194.000,217.722,154.387,44.231,350.722,354.386,443.984,418.698,18.208,392.447,22.981,18.108,12.257,280.898,249.220,14.043,136.164,260.647,184.306,218.531,45.446,62.886,253.221,13.257,329.536,235.550
4,281.153,58.778,286.622,177.250,63.341,225.953,17.174,13.150,226.533,10.327,205.959,259.875,48.000,338.286,359.892,190.408,97.714,392.955,187.397,154.942,85.619,309.810,131.716,7.030,190.216,308.897,694.968,186.077,370.018,98.000,114.184,322.721,74.021,230.071,584.088,264.968,240.679,299.348,188.763,331.198,360.246,491.783,566.192,511.079,101.093,60.505,37.438,269.698,207.569,237.265,463.432,368.727,335.493,110.897,444.918,472.696,146.967,356.000,307.000,419.480,395.216,372.373,753.065,380.029,1017.493,635.071,427.881,155.741,205.130,128.456,386.949,339.135,324.356,345.750,163.302,80.779,305.081,129.373,130.930,136.224,221.387,162.806,64.396,76.163,67.606,6.846,511.400,856.203,502.711,865.864,135.295,223.073,450.887,143.250,223.881,638.288,361.949,15.000,99.113,37.631,60.756,282.150,154.167,63.963,133.585,112.175,190.773,115.746,231.474,174.400,372.175,231.980,226.779,340.780,1028.167,173.020,172.505,123.981,137.950,328.154,352.656,464.386,257.683,726.465,12.753,23.553,9.396,12.486,7.743,270.441,286.180,76.543,55.180,241.961,79.667,52.633,54.393,103.071,26.559,400.571,319.964,225.950
5,204.780,100.841,221.289,395.865,143.488,150.233,146.261,71.750,207.867,56.385,640.878,228.450,150.800,239.762,347.527,176.041,177.633,291.682,282.956,84.673,391.302,753.643,95.060,187.152,353.961,148.513,201.937,144.795,367.143,302.043,196.447,406.853,502.729,293.310,229.294,206.161,409.057,424.848,405.949,153.386,215.290,406.290,366.173,308.381,137.568,120.242,157.719,312.337,199.508,338.485,184.511,205.073,112.768,315.466,829.356,383.750,71.492,293.764,670.784,385.360,386.189,553.475,797.022,512.986,818.958,397.690,888.262,365.345,221.554,333.266,300.864,520.719,154.593,198.904,204.674,383.260,326.194,114.343,462.737,304.286,323.435,366.075,124.604,322.714,120.394,41.923,335.000,653.870,788.184,622.182,186.864,203.455,346.321,240.929,187.045,535.615,269.846,182.568,125.662,17.723,114.333,244.600,74.810,40.907,227.878,17.375,13.250,75.269,189.228,472.757,411.053,263.208,220.368,434.051,345.389,141.392,64.937,245.065,298.163,95.000,315.444,211.119,275.095,599.965,58.532,17.383,38.113,7.757,11.371,136.661,270.240,103.130,10.246,248.451,668.583,319.653,75.911,33.457,126.926,13.829,209.107,183.250
6,225.407,186.540,216.333,131.269,243.171,272.628,355.630,63.817,167.800,77.308,368.776,333.325,142.154,251.857,325.215,310.204,105.898,249.864,94.426,201.596,190.730,261.381,151.955,211.455,200.745,115.103,299.810,228.333,514.464,219.681,9.342,811.765,380.083,443.476,237.147,723.710,157.717,245.957,336.390,291.069,148.203,359.942,742.365,237.079,68.398,144.154,149.344,251.093,225.754,114.676,287.966,222.327,115.014,250.603,456.890,313.143,170.656,287.036,578.745,473.000,382.689,513.644,581.609,484.681,673.155,288.429,784.976,275.310,249.547,226.595,322.220,352.742,467.492,209.115,394.302,192.662,224.823,214.343,165.649,215.908,362.774,466.448,89.500,188.735,39.141,96.404,249.200,918.087,485.605,520.636,330.477,114.145,378.189,381.054,549.761,456.096,231.692,178.851,47.963,75.877,9.844,190.375,20.833,36.685,241.537,34.975,50.841,105.209,356.088,112.814,523.123,271.297,211.874,529.305,705.750,116.627,163.180,64.444,245.587,218.108,663.167,413.416,339.778,356.814,55.857,30.915,8.094,10.162,52.886,156.983,191.920,207.022,26.328,257.647,312.056,279.633,11.857,12.543,50.824,309.257,128.857,441.850
7,106.102,215.365,129.733,248.519,250.293,206.791,273.913,132.183,132.850,16.115,478.184,155.425,217.385,195.833,295.742,195.490,130.408,149.091,111.353,137.673,253.683,199.595,344.537,395.364,165.039,75.103,334.333,301.167,576.321,90.000,146.368,986.838,250.542,300.929,336.882,413.097,355.453,428.457,390.136,269.287,119.594,529.087,225.769,228.206,194.424,108.978,170.094,186.337,123.877,152.029,166.318,247.909,380.449,488.569,402.589,399.839,72.213,510.273,192.961,421.987,598.108,849.695,1238.326,740.188,959.408,501.333,300.881,444.931,132.432,82.456,169.153,365.348,153.525,104.096,104.907,183.416,224.532,123.463,627.825,231.357,58.129,350.045,131.271,52.776,64.775,173.731,157.020,856.333,459.789,553.773,157.932,19.018,435.113,378.643,381.149,352.673,303.590,71.649,194.238,15.231,45.733,113.625,159.595,35.241,187.854,36.775,85.955,140.701,199.123,281.257,454.614,476.475,356.463,287.407,284.917,138.451,128.387,370.769,342.050,80.046,661.944,327.149,210.857,319.791,64.909,17.170,58.208,152.973,97.371,195.576,178.940,17.435,115.098,44.314,84.889,404.082,169.429,50.743,50.926,105.943,318.643,787.075
8,92.339,47.571,224.467,113.327,50.561,377.163,84.630,51.883,109.083,43.212,239.082,152.575,293.831,175.667,505.731,337.612,87.796,177.455,63.912,252.942,275.873,255.000,142.925,68.182,385.863,199.667,280.254,386.077,474.000,257.404,86.816,319.691,291.146,161.833,437.735,803.516,303.925,301.804,501.847,225.119,131.261,687.725,466.808,335.746,89.797,99.857,230.531,349.698,107.138,328.912,254.261,364.109,197.652,408.690,384.575,284.589,209.557,74.400,260.725,247.600,446.014,556.831,1190.174,461.971,774.423,232.405,207.238,152.569,183.878,158.177,220.169,379.472,270.339,268.385,120.163,238.117,588.113,281.433,214.088,364.408,195.081,347.313,226.042,150.592,267.451,93.481,693.920,883.116,531.447,937.955,298.295,232.309,465.226,221.821,243.627,265.192,135.564,66.216,198.200,32.662,42.644,331.850,218.500,188.463,225.829,106.375,93.091,184.522,535.667,406.671,537.719,270.941,434.221,248.407,191.250,177.990,157.712,244.917,274.212,118.677,384.289,522.743,516.556,921.256,45.948,189.745,75.000,12.919,10.829,128.203,428.640,97.065,96.902,117.922,221.250,276.224,204.643,6.971,86.456,232.371,420.107,154.750
9,198.983,258.603,242.200,19.904,111.268,151.791,131.239,12.500,250.567,7.019,62.939,167.700,114.785,389.500,323.484,102.592,233.714,191.591,160.162,21.981,20.571,362.238,121.075,125.424,196.804,193.000,336.619,342.885,282.286,243.723,279.053,387.838,281.729,132.881,364.147,105.774,410.547,105.087,231.492,213.693,368.261,365.145,375.173,264.095,108.051,229.615,141.219,256.826,74.954,149.029,171.807,273.145,157.406,443.310,738.342,98.500,137.098,427.218,570.098,306.040,430.905,464.610,650.022,641.217,753.507,391.762,287.262,275.121,163.410,98.392,176.288,533.652,101.508,166.423,141.047,391.571,378.935,292.403,303.018,372.071,80.516,238.791,78.125,121.306,11.704,245.038,852.920,555.029,138.395,632.409,141.568,40.018,284.736,183.268,192.642,326.481,170.513,124.432,180.913,61.646,375.356,324.300,211.524,15.093,436.756,444.825,273.091,21.209,247.965,498.029,598.719,487.861,266.505,784.729,155.333,325.863,53.234,174.713,445.975,107.046,274.078,336.842,390.778,561.360,94.104,284.851,44.340,4.216,32.629,35.017,88.120,12.413,163.656,90.235,112.028,74.531,12.500,103.629,59.368,48.657,325.679,347.000
10,102.085,195.619,88.467,74.558,113.122,240.349,194.696,49.017,367.050,267.885,143.367,267.725,285.646,621.143,381.129,407.429,256.959,451.409,148.897,178.577,131.365,180.048,364.657,182.333,113.216,120.590,417.984,225.974,678.375,371.936,107.789,360.368,164.979,189.667,396.853,105.032,415.113,128.978,188.729,252.109,316.841,202.522,478.250,363.460,50.780,133.396,227.875,351.860,291.369,240.044,197.034,281.473,46.768,632.828,450.082,265.536,405.246,342.564,549.294,232.547,496.338,624.068,731.630,503.783,645.000,527.476,735.500,329.759,252.986,206.190,75.695,289.494,66.881,124.423,165.651,262.455,101.435,94.194,211.561,385.092,134.548,262.060,250.833,83.980,100.901,143.500,315.480,930.841,155.447,465.182,257.841,112.255,612.811,512.500,418.194,355.462,116.872,94.797,123.662,43.877,93.022,158.700,73.786,156.500,177.073,87.225,12.591,36.343,525.667,408.957,260.614,171.386,203.389,335.220,298.556,132.657,95.991,217.472,435.075,25.492,379.811,249.634,297.524,590.942,15.792,74.766,18.226,14.162,7.000,269.712,69.280,176.283,59.115,284.431,103.278,117.633,75.536,99.086,68.221,159.400,112.750,309.025
