 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146,Mean147,Mean148,Mean149,Mean150,Mean151,Mean152,Mean153,Mean154,Mean155,Mean156
1,813.224,597.811,516.233,416.163,977.788,608.279,504.559,1027.000,1574.763,451.439,478.065,274.884,332.898,858.043,369.833,728.396,566.204,593.644,497.607,175.486,424.292,228.536,543.617,534.482,494.541,479.369,665.110,243.676,394.247,422.966,462.479,428.512,304.766,373.211,308.850,804.440,343.000,791.162,490.282,143.484,91.353,358.132,903.051,275.565,191.730,405.413,253.308,420.444,109.713,1116.985,504.156,222.915,397.130,158.911,313.326,425.619,145.600,350.125,279.741,570.394,491.438,531.662,440.805,577.717,545.020,209.042,232.771,319.731,205.969,778.357,502.700,243.500,350.848,403.605,802.949,515.238,643.932,149.514,479.609,280.333,206.947,174.767,219.086,127.415,180.928,176.426,94.051,92.256,274.169,863.649,279.669,538.870,492.844,184.764,268.914,194.523,216.707,331.591,331.748,217.958,270.725,190.655,96.693,209.143,77.824,253.725,122.903,503.288,518.913,1369.021,519.153,557.464,532.400,123.048,200.670,225.830,303.814,412.570,596.792,292.535,149.489,301.627,298.301,420.757,200.450,306.186,129.213,140.274,183.848,263.205,707.488,457.725,200.817,398.782,324.339,348.806,423.010,264.542,469.000,197.476,309.221,375.097,411.736,373.553,658.967,181.008,536.871,474.797,332.028,317.750,236.111,316.560,263.118,720.092,152.333,202.517
2,774.000,744.604,499.870,690.240,1113.805,697.500,805.809,1183.311,1336.632,714.612,434.073,431.642,427.186,1285.718,619.758,685.168,496.533,721.287,438.495,274.571,519.021,301.589,623.511,991.627,522.662,507.967,635.140,301.759,346.351,462.253,330.740,245.179,346.106,432.763,297.433,519.253,398.573,470.811,470.577,192.344,275.147,429.632,1031.731,228.797,416.582,449.220,203.637,437.922,86.139,1157.059,704.594,231.322,278.261,434.661,235.860,358.000,226.583,311.964,368.976,725.894,331.138,753.500,502.416,291.798,399.622,169.958,289.500,236.885,257.323,639.829,630.733,151.426,316.891,209.140,685.385,529.000,965.318,263.036,368.641,310.794,269.592,195.740,163.257,87.436,254.899,167.131,450.404,158.291,254.985,919.138,203.966,403.681,298.014,326.627,151.940,221.773,65.388,327.455,371.965,249.695,260.239,222.993,322.545,440.677,96.200,210.963,232.032,586.894,364.272,1195.904,726.565,649.130,477.917,292.115,106.574,258.500,516.324,469.322,418.151,326.113,259.804,90.167,317.439,278.743,240.078,398.650,149.015,166.829,239.374,303.787,1003.651,319.127,141.083,548.861,557.643,349.143,470.282,501.444,884.114,293.357,401.221,384.946,453.287,445.833,730.967,306.821,497.970,406.081,185.549,202.250,153.803,345.630,210.210,812.150,199.893,175.270
3,684.342,825.198,575.041,331.318,1123.153,780.320,691.721,948.459,1448.461,304.306,585.105,440.189,561.288,948.915,601.825,939.228,651.237,576.218,533.570,284.667,639.896,331.464,763.415,666.904,476.608,287.811,965.360,432.731,516.844,479.943,314.192,208.893,472.447,580.342,476.883,752.493,275.146,779.297,442.679,262.609,135.044,544.765,950.269,427.841,405.869,493.450,371.560,566.922,304.454,1019.162,605.328,360.763,281.978,385.250,172.837,243.071,214.300,203.643,208.800,547.000,295.875,580.235,384.805,410.626,338.316,133.821,265.146,121.673,354.260,666.629,347.150,204.241,201.870,355.860,751.026,952.167,639.114,402.712,372.967,262.853,275.526,88.247,427.500,46.021,144.362,344.082,226.040,246.942,183.800,682.649,318.752,634.159,619.578,216.309,268.629,264.159,156.552,418.773,456.077,425.102,426.037,301.050,254.931,288.692,175.688,216.055,263.043,804.154,553.301,1612.223,686.141,679.493,391.167,254.904,123.261,146.991,349.833,335.141,538.377,241.620,360.500,252.647,265.911,243.921,324.295,187.936,164.375,336.192,118.929,317.902,517.163,553.461,146.300,428.802,428.270,427.602,409.087,767.764,498.643,331.000,418.191,290.258,294.414,473.773,508.817,453.065,374.508,393.284,426.690,135.966,138.026,272.970,210.260,723.425,177.798,192.483
4,986.316,1035.414,622.212,516.535,1136.839,765.352,503.941,1301.135,1634.750,290.337,475.371,449.632,367.000,1080.974,668.608,921.733,481.125,769.011,656.168,175.800,571.021,263.875,825.809,627.181,468.905,474.893,715.000,531.787,312.857,512.287,262.575,160.012,550.447,189.500,478.500,517.933,381.927,435.568,431.295,456.344,54.647,335.221,924.526,243.652,353.221,328.376,294.791,397.511,146.435,1020.000,640.781,229.864,387.359,299.929,219.349,411.714,305.150,224.357,562.682,496.515,640.375,625.294,675.738,229.576,252.908,139.989,224.958,284.500,339.929,761.086,487.500,174.519,204.109,115.070,689.564,548.762,880.341,291.423,305.978,383.873,279.053,168.356,267.643,100.298,172.942,127.656,394.596,148.640,263.769,1153.096,193.469,582.536,335.585,170.482,190.647,278.773,199.793,345.464,334.455,348.636,361.413,283.647,199.931,186.083,165.096,188.495,147.108,499.337,618.816,1283.915,673.141,679.768,509.517,296.875,173.626,166.840,224.716,259.512,401.226,397.254,222.804,233.637,270.967,318.364,332.062,347.714,112.066,150.445,300.495,348.041,532.093,400.745,156.750,481.396,390.409,283.745,442.204,462.764,405.529,522.786,421.206,331.409,495.322,648.640,478.717,473.683,617.083,627.919,256.662,421.455,266.026,259.950,245.034,704.683,212.036,339.022
5,924.776,774.189,624.630,460.651,840.432,573.877,701.721,929.243,1558.382,521.602,481.516,253.211,425.034,1136.316,532.008,739.970,645.151,564.839,746.028,214.162,1018.729,315.429,416.234,589.386,703.716,385.443,594.130,531.018,709.506,532.322,371.000,305.762,534.681,430.842,682.067,847.520,308.280,279.703,373.744,139.234,72.647,384.721,719.987,318.797,347.598,315.771,252.527,590.722,163.694,855.368,667.578,397.729,236.870,327.125,295.279,231.333,254.500,314.768,394.682,440.727,673.112,804.971,621.128,246.747,344.806,148.905,308.104,281.212,367.323,515.357,446.983,170.074,260.978,195.837,780.641,605.310,390.523,307.279,389.413,402.137,267.184,87.205,140.743,129.713,259.841,167.508,265.000,249.953,355.077,935.223,178.497,527.254,447.918,284.427,156.052,227.330,121.957,364.064,450.734,230.500,265.706,209.022,199.356,238.917,187.688,236.587,211.484,832.067,385.427,1355.681,1051.706,923.304,635.767,220.231,124.287,252.594,251.931,331.669,399.245,323.662,345.902,205.559,298.659,211.736,445.744,267.007,212.140,255.288,209.414,164.926,882.860,426.363,160.783,644.753,400.939,333.316,385.786,888.931,450.129,357.595,624.250,280.688,697.402,689.027,788.917,537.024,475.538,252.595,367.592,172.295,230.436,201.570,239.731,731.092,256.071,179.921
6,904.368,665.054,579.685,500.116,1119.364,614.877,549.794,995.297,1393.434,649.418,791.250,528.358,492.297,1037.000,539.975,1003.921,449.303,704.874,586.981,294.362,436.667,430.732,444.936,777.819,463.311,475.943,711.050,312.926,629.455,531.322,455.411,418.500,343.319,354.500,550.933,576.093,461.463,439.000,500.910,230.750,187.250,133.574,836.423,318.377,309.557,370.395,296.165,549.256,289.796,1567.177,534.172,279.000,308.902,447.786,218.581,204.167,201.317,231.179,458.212,642.894,480.188,671.706,439.275,402.010,402.714,227.116,336.094,311.173,275.591,544.371,483.867,653.259,648.348,307.349,424.872,833.619,636.023,431.856,424.946,219.382,217.408,212.192,375.457,143.532,340.942,67.180,366.889,164.151,231.277,1034.170,288.124,583.130,397.571,210.473,135.776,344.466,228.802,295.418,215.888,310.263,307.275,204.914,380.228,278.301,107.032,297.890,310.172,780.413,499.816,1193.426,779.576,986.391,342.500,114.663,221.504,158.915,293.588,344.926,458.170,289.028,275.630,294.598,317.886,192.779,421.054,297.543,206.890,163.116,215.828,357.975,1030.930,661.441,235.333,391.455,463.704,188.184,451.117,541.389,431.600,379.393,411.721,357.065,525.563,398.767,646.050,247.195,571.629,547.878,387.901,306.705,299.205,421.940,370.353,832.067,260.690,132.899
7,1064.947,1041.081,422.589,673.070,1055.797,743.115,649.397,1412.946,1542.934,571.622,485.532,382.537,350.475,1223.949,544.383,944.010,514.737,422.598,489.981,142.543,521.812,334.143,696.064,938.663,639.838,401.770,724.760,277.009,643.013,537.299,183.534,270.810,423.532,504.868,293.750,657.480,451.683,473.676,523.282,327.875,186.838,437.279,487.500,410.232,193.746,426.734,275.989,713.211,130.676,1140.853,425.125,207.593,469.087,305.161,317.977,367.952,91.367,166.661,469.341,278.955,596.662,533.529,464.087,456.242,625.102,220.000,313.927,145.154,462.323,656.557,471.483,291.185,185.304,775.140,271.846,699.643,766.886,353.739,319.663,330.627,402.882,455.973,76.243,227.596,147.449,127.656,310.192,197.035,253.769,901.117,433.331,483.790,442.639,274.036,155.129,295.727,198.491,310.109,374.231,417.229,402.239,222.899,335.990,320.632,184.856,247.257,243.860,446.692,316.262,1070.011,662.259,747.188,535.383,154.010,287.209,242.689,250.784,366.785,440.915,387.648,368.033,251.010,215.626,252.693,474.318,298.821,266.125,190.445,286.808,185.484,334.349,529.569,114.283,615.218,408.748,266.959,446.505,875.347,245.943,497.083,423.353,221.247,495.862,490.233,791.217,389.073,473.417,471.338,208.676,109.773,132.145,511.910,233.462,800.242,230.917,126.652
8,1127.145,710.883,490.493,561.488,1145.093,932.910,661.618,1038.851,1563.250,613.643,634.831,293.011,356.305,1284.573,359.800,819.564,644.033,670.839,792.720,113.543,584.979,278.107,596.638,700.422,741.919,440.557,776.290,587.065,519.727,631.195,624.096,362.524,177.149,212.711,381.767,614.413,596.305,481.581,489.590,208.766,276.029,543.279,717.090,347.884,298.451,415.321,171.615,486.267,192.546,1025.912,751.297,248.644,244.098,377.446,346.884,302.571,368.183,147.857,606.565,814.333,498.837,664.750,577.638,319.747,388.459,66.695,205.229,122.096,376.165,535.371,475.033,354.537,369.022,513.186,910.974,730.571,979.273,294.730,334.228,360.618,289.632,92.781,203.271,39.234,116.696,141.902,453.030,386.919,153.077,1298.096,342.855,552.246,539.136,151.500,210.483,395.125,238.319,198.600,415.510,364.034,284.743,219.295,205.812,279.038,180.848,271.284,244.849,636.538,419.583,1286.106,760.635,1027.942,564.383,137.240,179.009,290.123,457.147,470.653,670.641,284.120,196.663,217.961,223.276,334.964,374.481,305.386,166.176,209.582,145.717,170.352,481.279,430.696,338.833,559.782,599.174,374.316,490.175,633.472,398.557,292.679,318.412,443.376,569.494,424.927,510.683,509.837,751.455,400.446,488.690,218.409,167.718,398.710,221.202,931.225,83.548,258.764
9,589.868,651.072,497.349,463.930,1042.627,633.115,452.015,906.108,1537.895,409.235,433.476,309.758,361.636,1289.547,415.017,535.059,576.322,620.207,697.944,256.019,439.667,787.821,512.489,638.386,526.932,401.648,746.800,155.130,809.455,501.954,516.699,206.548,483.234,495.974,306.567,534.720,390.841,484.149,402.051,172.875,173.353,270.691,890.205,289.783,283.230,355.431,218.956,575.678,257.231,1127.706,884.078,234.932,301.380,182.839,332.558,494.857,54.950,415.464,447.776,821.924,674.650,466.088,597.013,407.202,539.418,211.695,259.667,310.115,355.307,400.843,267.017,299.148,347.978,254.442,517.282,563.881,638.318,133.847,412.457,367.216,358.895,226.671,386.386,162.234,154.826,178.787,197.364,312.477,161.092,983.383,354.048,477.486,401.878,222.727,323.991,382.136,155.491,474.264,354.524,353.669,421.761,119.317,361.307,316.098,92.328,243.945,97.882,865.827,580.874,1287.489,664.282,765.159,568.500,183.240,375.096,309.755,169.147,448.645,350.613,345.331,191.826,228.892,248.016,216.043,340.194,309.464,235.713,219.021,157.081,327.467,752.093,454.314,143.317,640.168,355.852,395.500,619.155,672.986,428.343,332.976,519.338,290.269,458.988,422.460,556.750,433.268,504.561,459.095,189.282,206.625,240.872,277.500,266.235,843.783,247.655,162.955
10,463.461,746.748,514.219,502.605,1251.907,746.779,685.294,1328.176,1432.921,494.500,588.258,386.484,398.025,1109.624,454.250,659.822,659.007,701.828,805.196,199.695,357.854,497.446,632.447,1024.602,579.324,435.410,739.500,350.667,651.636,579.057,226.753,275.762,259.489,654.974,575.817,438.907,368.927,390.176,536.910,402.062,140.265,580.353,751.077,307.362,405.090,353.605,469.637,612.856,232.778,1413.691,735.719,474.237,419.141,304.786,77.163,334.952,163.433,266.250,274.412,539.288,602.438,808.397,544.678,238.566,722.878,76.621,405.146,343.731,334.102,439.114,545.167,141.278,545.130,189.302,723.385,470.238,502.841,321.108,300.739,279.333,311.250,167.192,194.500,186.011,173.319,190.902,466.444,96.395,263.800,1120.979,226.234,437.993,297.952,284.745,263.974,283.977,191.491,326.645,379.972,272.025,402.440,236.403,439.891,326.143,186.544,392.963,456.151,1027.029,406.660,1211.713,588.812,677.507,368.167,169.240,282.400,187.245,418.245,448.884,446.679,306.465,284.022,201.157,170.439,259.079,434.473,338.086,149.015,265.247,206.697,162.803,639.256,565.157,221.350,698.772,636.948,436.704,441.272,756.708,382.371,385.333,655.368,275.860,583.575,659.187,592.167,450.138,534.553,497.824,406.761,207.818,149.761,280.860,380.420,743.392,324.786,98.461
