 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115
1,109.987,128.085,101.538,108.464,47.571,77.267,106.643,149.370,350.078,101.622,247.300,37.503,104.761,181.136,166.837,224.712,113.815,104.000,175.750,119.663,217.575,183.991,109.654,117.484,329.042,225.700,241.642,418.964,52.396,52.297,20.220,143.567,111.190,115.255,167.238,454.875,223.802,243.117,335.613,73.857,106.500,277.838,192.341,100.033,143.578,155.478,39.707,87.902,165.515,194.092,346.481,231.191,281.055,295.016,341.480,201.214,357.290,200.221,13.203,135.748,36.087,83.620,75.778,161.396,70.044,62.024,91.947,108.330,72.011,103.681,205.242,146.443,192.894,78.425,186.808,119.098,145.008,325.444,106.048,127.476,52.979,76.726,220.153,401.364,52.619,183.075,128.519,79.301,93.659,228.377,93.333,164.352,195.951,76.699,127.522,89.008,207.163,243.075,249.641,265.525,71.652,184.200,126.829,144.694,88.200,60.803,392.329,237.562,406.718,305.066,104.515,261.645,332.535,326.844,220.733
2,167.083,204.508,131.000,66.727,49.330,101.038,146.113,248.519,212.124,96.578,281.590,143.848,153.932,263.936,214.395,104.213,128.978,160.598,179.788,150.551,225.956,214.766,253.926,80.156,277.375,154.045,348.943,277.036,95.228,79.179,116.284,64.433,223.926,107.463,248.733,349.184,306.744,86.396,271.630,139.206,100.851,333.252,155.788,115.191,155.275,136.654,119.691,176.233,174.900,161.681,352.916,153.377,257.774,209.216,339.687,212.254,172.021,294.200,99.038,109.785,49.594,305.570,82.343,109.076,130.868,148.659,91.280,92.870,81.944,128.246,291.316,221.814,59.455,52.843,262.749,143.967,112.654,395.236,81.060,206.124,98.858,117.847,109.939,311.568,117.276,130.710,126.504,148.657,78.812,263.808,183.412,150.664,119.571,156.613,155.388,185.263,231.305,98.849,277.281,194.861,82.529,81.131,98.421,195.784,81.808,150.952,388.843,237.253,358.767,342.636,115.097,388.400,259.333,256.354,306.852
3,128.642,63.415,103.869,81.555,26.593,125.886,113.826,152.488,137.438,184.667,129.810,74.576,150.409,113.255,236.465,376.525,280.000,60.305,230.675,112.753,212.257,113.467,187.469,62.172,178.052,222.409,468.366,296.495,29.149,57.476,66.826,79.483,170.031,121.973,276.933,349.904,245.616,125.351,181.681,235.563,113.438,259.462,155.341,133.789,83.688,136.243,145.691,101.789,240.123,136.395,302.198,216.541,207.678,308.920,429.788,315.357,189.648,227.937,142.038,87.141,41.159,231.797,73.454,157.403,155.309,128.171,84.220,96.480,139.267,154.210,368.242,183.711,119.000,44.000,226.647,110.512,56.850,276.000,141.361,175.810,194.305,134.242,130.949,234.034,181.505,144.753,141.237,53.643,39.647,330.023,169.342,123.977,128.233,142.282,149.187,190.474,244.482,144.189,152.906,221.902,71.595,187.931,86.053,105.991,175.824,127.313,425.636,308.842,347.194,409.265,247.910,353.065,262.748,415.088,166.437
4,161.227,80.585,215.877,108.082,38.242,86.267,275.591,119.278,259.595,168.089,207.060,81.490,220.330,215.173,131.767,214.688,94.674,96.927,370.100,195.854,107.071,118.019,39.654,172.445,229.990,188.864,351.016,397.018,28.317,37.193,33.954,29.283,163.791,126.074,158.743,309.919,204.488,179.018,113.462,115.421,170.253,443.143,193.473,92.908,122.339,134.676,91.407,139.293,365.346,183.303,388.115,220.082,284.432,235.520,478.172,288.159,269.262,435.568,51.418,192.481,148.942,151.873,151.824,127.389,80.596,96.976,108.087,112.170,123.622,168.094,248.758,137.825,168.788,132.362,288.850,176.041,94.150,444.792,108.120,146.019,116.716,212.395,169.765,292.898,250.819,157.366,198.637,86.559,63.071,78.677,290.395,208.789,264.362,189.791,111.821,67.609,268.277,241.038,150.586,293.254,81.256,147.700,103.592,185.586,213.072,71.163,368.386,274.726,249.466,479.205,264.724,219.142,391.057,313.707,184.370
5,166.694,96.797,166.538,73.927,59.132,113.971,198.217,206.167,407.412,244.878,133.860,201.921,153.841,264.864,42.326,241.550,315.174,141.415,263.487,109.966,246.451,265.935,78.160,71.953,152.271,66.782,512.211,323.054,35.842,131.393,91.275,71.967,108.436,130.732,249.543,242.228,259.151,223.856,91.118,138.143,79.273,405.871,166.769,130.388,135.147,106.375,69.285,153.556,176.731,156.038,313.809,151.765,423.740,275.864,310.000,339.976,368.352,363.579,111.241,173.304,60.319,197.658,78.565,133.417,38.213,154.598,94.433,193.620,105.378,280.514,285.421,158.186,68.189,70.165,240.120,98.293,141.211,269.694,148.108,230.667,35.397,122.790,147.551,324.864,69.400,223.892,131.252,65.790,30.800,206.908,175.728,104.273,151.669,227.012,170.149,82.699,185.915,167.000,239.656,244.434,62.568,40.469,177.928,129.973,125.968,102.932,494.143,306.089,333.971,299.781,273.888,332.065,515.994,370.585,344.044
6,151.917,108.220,102.223,138.355,50.824,186.419,191.035,142.840,391.281,303.344,267.030,57.781,206.068,219.136,46.814,301.112,110.935,143.817,261.425,195.360,295.911,190.991,76.309,105.602,228.719,249.500,416.594,150.982,34.515,69.007,33.138,101.550,145.890,118.087,197.305,332.485,218.930,112.892,282.092,181.127,171.500,330.010,181.956,118.836,194.752,165.824,70.016,201.316,211.469,192.330,378.145,285.197,195.692,261.528,401.051,301.095,305.338,202.632,123.861,158.726,101.043,171.671,206.046,143.069,69.471,87.244,135.120,39.610,142.944,139.725,211.032,93.433,175.962,101.063,276.569,159.959,46.602,452.472,191.759,105.333,96.801,131.653,108.663,187.295,108.095,318.796,198.793,110.469,211.965,221.808,197.491,149.016,141.761,169.368,105.485,204.083,256.113,131.566,172.453,167.943,49.053,71.185,142.803,157.027,169.768,132.721,341.821,345.007,385.874,324.801,249.515,263.871,447.403,334.966,260.807
7,121.144,122.186,143.792,36.709,37.396,81.638,270.174,120.988,139.954,139.500,104.490,38.285,212.170,97.191,38.000,259.575,134.315,121.134,226.012,105.404,160.637,315.252,124.136,67.281,316.792,99.673,311.837,461.279,43.218,80.290,72.339,8.650,152.920,113.114,237.943,139.978,227.023,94.550,173.042,193.833,107.433,280.795,129.095,120.842,168.468,127.022,91.789,162.887,255.185,233.681,350.855,121.180,206.897,285.552,350.687,286.627,338.283,363.432,177.823,173.067,81.899,229.342,110.306,154.278,132.757,111.610,49.967,62.270,117.578,216.203,372.895,109.082,82.250,146.906,383.880,50.407,206.045,459.847,119.133,155.648,147.142,175.435,112.143,236.239,263.333,124.774,213.415,130.811,65.435,265.069,217.342,218.578,175.448,160.429,146.746,67.211,262.766,136.717,134.305,287.967,69.185,78.308,198.566,132.874,77.264,165.619,531.014,283.014,340.883,370.152,194.239,334.510,396.126,233.007,244.867
8,189.210,136.432,130.777,77.900,9.659,55.552,330.365,198.951,445.948,215.867,72.760,192.543,257.125,150.645,224.000,152.363,122.467,50.902,250.275,324.292,380.549,124.551,201.407,98.523,278.635,283.409,296.837,532.225,131.782,130.338,40.606,51.867,179.055,205.255,396.095,290.544,186.767,189.081,212.782,259.556,126.077,317.081,135.813,87.546,218.303,149.368,93.293,100.398,243.962,262.232,418.542,188.962,281.705,279.632,510.015,220.857,345.352,324.337,56.911,116.467,64.826,114.595,252.083,107.472,128.346,133.232,110.160,205.770,28.256,148.478,302.411,206.381,192.947,84.157,221.713,130.967,75.489,288.194,99.771,272.162,84.121,165.758,218.327,308.761,344.152,174.538,153.415,73.007,45.259,221.146,250.351,72.414,214.184,157.755,91.858,109.541,242.426,189.226,209.500,245.230,51.410,109.269,36.961,165.703,103.464,72.333,425.086,514.973,355.335,327.166,272.702,413.432,528.277,352.884,150.644
9,154.323,81.653,143.192,39.800,40.363,57.495,221.548,290.068,392.804,134.067,224.860,95.033,157.545,265.445,272.349,173.475,183.054,125.341,315.862,227.022,127.690,304.084,239.247,130.797,182.302,164.345,249.073,442.874,53.644,112.717,92.495,46.867,164.331,107.342,314.152,358.191,311.349,140.775,174.655,273.484,141.191,324.005,136.275,87.803,112.734,186.596,45.618,100.511,222.454,170.508,476.137,273.120,219.541,273.936,549.651,236.960,266.455,248.274,157.962,126.067,203.536,158.494,162.889,151.924,110.096,175.354,100.793,70.910,186.956,125.587,204.947,83.103,116.758,86.331,244.305,72.390,100.353,292.153,96.422,226.410,96.106,100.565,193.051,360.784,208.610,131.979,215.222,156.867,56.600,123.985,188.711,201.672,141.301,117.423,162.866,144.489,260.014,168.396,161.562,330.385,88.322,71.577,180.888,187.505,125.672,78.755,423.171,282.521,278.442,382.232,214.724,437.316,388.233,440.891,170.770
10,133.380,49.356,54.069,72.445,14.066,128.648,139.713,221.636,253.549,185.133,267.760,74.728,57.864,168.955,158.023,281.725,217.815,137.427,291.688,198.022,166.310,191.570,80.383,54.141,186.312,251.000,406.837,460.694,47.446,71.552,63.651,10.000,170.258,176.624,240.914,375.875,210.953,182.027,284.244,153.984,179.258,272.943,131.176,128.276,164.936,154.346,149.041,73.902,216.692,116.022,405.855,262.661,223.048,166.392,425.793,213.262,271.303,209.505,39.342,160.237,137.145,145.101,104.046,164.257,131.566,83.793,103.727,146.510,195.989,137.891,245.916,97.649,305.803,108.961,274.377,108.667,172.135,390.500,199.470,223.581,98.702,229.202,171.571,214.273,144.114,59.591,142.926,114.678,24.576,323.131,280.991,209.195,164.092,291.141,205.604,160.376,286.305,332.500,259.664,169.557,80.960,123.262,169.072,211.369,125.232,131.129,313.257,289.932,328.058,394.430,325.970,276.716,517.145,464.932,221.452
