 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean(RoiSet_4),Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146
1,279.262,260.882,264.688,180.119,209.776,319.875,345.581,248.255,382.883,287.243,506.726,431.298,202.861,231.802,209.045,178.145,212.902,321.294,414.130,369.039,109.000,129.219,144.991,192.340,274.508,397.595,167.429,263.840,418.411,199.039,395.696,71.521,361.566,282.747,459.000,124.613,376.864,277.567,452.046,413.209,296.013,109.028,483.886,20.712,107.657,90.391,265.688,65.757,264.257,12.059,50.462,313.407,189.898,95.947,115.041,58.264,163.663,462.217,374.148,92.819,371.752,266.652,155.268,81.680,180.094,111.165,36.034,72.806,166.560,28.161,214.387,48.472,161.673,75.581,214.815,140.364,521.443,271.384,263.350,315.650,93.680,99.767,98.743,45.614,215.828,140.954,374.908,150.762,53.711,85.366,124.408,115.203,151.200,176.713,30.989,39.314,67.892,570.562,134.500,87.561,12.216,320.722,347.638,106.835,122.389,353.471,473.010,149.817,97.586,19.614,134.926,45.449,155.354,342.326,259.373,464.222,441.904,120.472,137.320,144.504,443.544,315.789,301.359,405.920,318.838,104.130,482.528,36.116,76.168,421.037,286.661,408.976,342.944,81.247,472.118,350.079,580.443,348.435,595.264,319.178,182.175,123.149,251.679,233.703,142.409,287.262
2,317.025,731.471,689.083,151.095,375.714,420.969,294.162,374.638,329.437,277.541,481.851,506.496,109.583,214.525,132.493,228.855,358.074,239.471,305.204,236.608,109.067,67.422,126.257,257.340,425.238,331.189,160.071,211.360,352.603,232.416,410.179,85.340,814.189,744.267,410.389,168.651,252.407,281.522,290.277,477.869,307.483,186.730,316.114,34.125,51.478,146.304,232.092,145.261,232.152,22.024,40.763,151.346,43.418,52.430,258.973,109.726,176.624,332.825,286.770,201.477,247.396,126.667,163.845,115.934,240.171,147.273,104.523,110.290,94.456,41.806,300.693,126.425,160.827,214.504,105.138,87.409,324.938,265.027,77.775,356.850,218.557,121.781,27.646,73.106,215.344,263.977,355.990,99.310,24.609,130.584,146.408,102.348,49.117,12.368,85.596,129.256,11.378,354.109,224.482,61.368,174.529,283.519,137.483,54.041,151.139,435.149,363.210,196.963,93.243,83.455,162.056,222.942,259.610,222.070,188.706,374.056,268.578,411.792,245.293,152.154,622.426,671.930,274.719,255.587,298.838,78.435,467.075,259.072,319.716,337.028,299.277,325.329,183.400,167.792,348.953,207.040,383.607,508.323,273.055,309.814,224.658,284.182,267.949,155.297,236.019,379.330
3,447.984,875.529,718.385,276.798,202.092,652.828,602.819,277.628,392.573,388.635,274.268,396.865,200.826,195.158,324.149,103.400,337.623,453.353,424.648,217.147,333.678,88.344,237.248,140.990,207.556,412.473,479.429,248.260,394.055,158.468,651.083,42.234,680.585,302.547,637.556,194.264,471.296,454.687,206.569,434.268,167.544,147.937,132.500,102.721,47.634,135.652,294.440,47.087,242.057,82.988,64.753,212.445,94.071,75.886,129.808,126.038,62.297,348.558,455.000,139.685,390.693,130.058,128.485,216.451,266.496,226.033,214.977,80.355,138.008,118.817,270.073,95.283,148.500,296.060,100.431,117.909,453.454,240.214,155.675,165.717,122.844,82.034,74.263,48.153,294.910,187.253,346.357,189.548,59.383,54.436,201.408,139.014,163.683,136.759,73.170,49.640,339.973,571.641,149.304,54.018,100.235,228.574,136.293,78.897,189.917,220.655,265.380,96.354,47.171,55.977,169.241,125.362,164.500,294.547,604.333,346.333,294.819,134.653,266.880,118.837,368.471,351.368,266.172,329.453,297.365,153.717,353.000,191.391,59.295,478.813,241.759,299.012,231.300,147.065,283.365,496.278,416.541,421.613,733.427,391.124,189.225,107.939,374.650,276.559,187.519,316.807
4,465.762,349.235,510.042,431.321,295.704,206.516,282.924,426.979,571.777,104.568,548.060,460.809,138.043,351.049,348.284,193.309,293.230,571.000,418.463,326.755,86.456,91.469,110.661,233.361,495.032,208.770,226.929,205.820,214.507,214.909,560.649,163.223,588.226,594.013,357.500,177.377,545.877,375.866,462.508,596.013,301.805,105.821,232.591,93.673,42.403,252.000,193.433,112.478,307.476,55.047,7.290,221.038,145.020,180.693,309.534,157.368,231.396,358.792,336.287,207.000,260.040,176.775,113.464,71.025,214.855,183.669,150.409,105.495,66.056,157.387,136.693,93.984,192.282,117.205,103.908,131.800,466.175,228.991,162.875,341.492,190.959,96.418,78.474,48.212,179.295,131.655,419.776,20.024,26.570,135.990,48.658,129.681,9.900,122.885,53.681,64.674,181.351,474.375,132.036,79.579,175.039,282.926,380.621,160.062,137.486,364.471,481.520,62.756,81.099,184.750,175.704,31.957,218.463,193.360,450.667,501.074,586.205,250.458,237.267,114.585,381.353,255.702,384.797,328.640,173.811,248.739,521.667,146.406,143.337,351.916,239.545,353.826,352.422,212.870,396.824,483.651,562.516,329.145,277.773,249.992,125.758,283.378,187.788,244.568,98.117,203.253
5,530.820,569.490,575.708,185.393,426.102,488.516,224.762,368.894,468.388,373.649,672.952,382.858,143.287,242.406,112.537,308.527,277.516,444.529,383.963,493.343,75.144,47.047,285.413,59.732,297.095,577.595,159.125,359.260,133.973,386.299,357.946,152.223,263.547,534.560,656.278,201.292,381.086,405.522,264.662,579.131,199.826,164.116,478.682,51.010,69.209,60.922,283.730,106.122,163.962,62.282,12.763,240.379,73.092,117.325,159.795,233.198,221.851,210.167,340.582,164.450,488.921,223.841,380.134,179.746,196.496,276.777,129.102,56.763,88.024,46.925,247.766,79.528,192.100,261.932,245.862,135.991,427.144,235.625,131.425,353.400,264.041,86.110,41.577,46.016,251.402,168.356,395.112,191.000,85.234,157.802,98.925,103.203,125.100,113.023,18.755,90.523,155.838,531.406,181.875,99.982,210.647,246.111,149.121,123.052,162.486,313.586,385.860,115.439,120.793,68.636,206.704,86.855,331.085,200.756,171.216,318.222,414.699,298.944,359.493,158.000,443.426,383.053,168.359,315.000,280.905,157.707,550.101,105.159,179.137,367.953,303.000,334.952,277.467,161.662,509.988,562.587,318.598,711.871,538.645,410.109,276.233,290.338,368.226,137.703,159.299,239.176
6,600.008,804.020,555.271,268.238,190.255,462.719,463.086,448.394,497.272,129.378,614.137,511.191,80.078,178.812,131.657,158.436,216.639,705.529,501.185,321.706,175.389,54.297,122.459,319.742,262.190,78.324,143.196,266.940,318.082,344.351,681.768,96.191,377.000,573.507,728.407,236.226,403.049,506.657,479.492,320.039,147.919,203.853,170.500,51.644,55.933,130.000,175.262,58.426,226.362,68.565,87.032,249.203,92.622,108.482,115.534,179.425,104.505,179.283,436.041,160.463,282.099,271.746,121.887,323.180,212.325,250.926,142.648,134.043,168.048,107.323,236.190,109.457,216.427,132.727,185.262,138.191,379.175,323.804,300.400,365.200,170.820,118.897,56.286,42.143,90.008,99.230,319.429,37.143,92.961,23.485,112.425,105.681,162.550,120.000,26.191,170.756,432.378,304.062,21.179,141.754,176.961,156.759,525.810,247.155,205.583,362.379,312.380,55.098,84.559,121.864,12.185,231.870,90.988,229.721,438.039,329.278,421.663,486.958,379.213,137.821,218.662,478.175,429.125,306.813,263.676,385.261,514.516,78.667,182.674,395.364,189.250,527.527,443.411,146.325,444.918,288.556,566.926,404.000,478.691,252.473,162.708,463.973,328.255,247.180,279.779,348.678
7,367.934,311.941,662.385,345.167,329.806,279.719,286.143,511.479,365.165,377.892,518.756,704.035,337.270,313.485,262.149,398.164,287.156,585.510,159.481,387.824,306.222,84.188,266.642,175.701,186.349,655.649,320.321,264.000,399.658,316.065,371.613,144.447,802.094,572.520,433.241,203.858,427.543,494.537,251.538,343.176,207.926,196.895,182.545,100.798,24.739,161.774,167.730,44.165,159.400,41.412,21.667,98.198,103.388,105.754,107.671,138.877,198.386,291.133,463.377,231.054,445.119,282.754,184.907,188.205,172.974,65.992,129.705,59.785,86.576,69.409,308.701,72.512,107.336,301.504,216.185,116.273,358.897,284.402,165.275,255.042,163.303,101.740,56.920,32.810,321.369,258.161,186.704,125.024,68.781,215.752,86.375,133.391,122.000,81.931,110.936,135.105,284.270,447.344,260.446,155.947,36.353,140.981,135.345,127.773,218.917,281.931,433.150,64.951,168.036,67.045,487.685,120.928,226.841,257.198,221.510,628.537,673.157,292.069,53.507,146.211,430.147,287.544,244.344,222.813,206.149,142.902,432.667,374.101,273.779,457.075,240.866,314.102,191.078,110.857,511.035,555.532,376.787,347.718,490.136,411.434,126.467,309.304,217.080,184.577,130.156,309.412
8,665.484,659.510,592.167,360.821,177.796,414.953,268.029,339.819,891.932,151.500,501.429,516.617,116.565,283.198,341.328,245.418,185.189,420.196,445.537,352.657,179.567,108.078,245.972,188.247,233.841,420.851,289.232,345.820,396.521,159.597,353.357,139.532,499.057,588.800,602.259,58.906,329.173,299.149,337.923,575.542,131.812,153.986,441.909,136.250,78.418,108.113,192.546,40.278,87.257,69.071,31.376,285.500,56.918,136.158,246.205,208.057,154.564,275.983,346.230,184.262,485.129,193.333,154.278,182.926,319.094,163.446,109.330,124.323,201.528,121.527,229.117,153.370,206.945,213.974,195.769,106.082,383.474,228.143,193.675,369.275,215.131,127.658,76.040,39.011,226.402,108.563,496.388,19.857,87.773,34.723,109.925,145.913,114.667,89.782,48.734,96.279,108.351,395.031,306.804,24.719,181.275,111.852,240.621,260.577,226.194,363.402,266.180,81.951,55.802,83.534,235.074,185.739,127.159,176.744,435.078,566.667,364.494,743.056,224.213,152.106,395.279,334.561,418.891,336.907,433.838,204.522,492.975,336.029,101.284,243.738,243.991,286.377,178.478,348.805,575.941,458.603,437.615,719.750,490.973,437.062,198.650,171.054,122.679,257.829,157.825,269.524
9,275.369,850.333,851.719,428.155,416.663,626.656,107.114,739.032,741.243,258.122,613.518,525.270,258.696,246.376,277.612,108.655,352.016,676.941,217.556,394.951,183.600,96.219,113.615,282.948,221.778,329.770,149.411,544.340,326.479,252.792,372.304,209.691,768.660,531.147,746.407,270.094,467.185,207.821,324.585,534.601,190.745,213.804,431.841,20.087,53.493,105.800,238.149,94.652,178.790,35.812,42.742,289.022,122.673,113.061,299.877,197.689,159.861,390.783,336.689,181.007,457.535,311.239,170.876,196.246,285.735,113.149,47.523,235.828,60.376,36.312,300.248,179.827,147.764,299.034,112.200,223.891,483.536,239.098,298.025,353.308,118.238,45.171,59.011,27.312,250.123,189.391,280.796,59.286,70.445,141.010,76.142,81.333,136.950,101.241,42.085,89.884,540.811,421.141,278.875,37.614,128.196,178.315,514.914,175.588,96.639,369.632,269.520,46.207,102.252,20.716,212.278,102.101,246.598,255.221,213.647,440.926,366.988,372.597,276.707,70.935,486.838,469.439,437.109,540.440,263.081,271.576,326.384,183.478,239.716,296.991,253.473,208.449,394.478,193.896,526.671,440.627,405.918,480.669,515.755,262.682,224.342,358.196,193.898,92.216,136.364,412.871
10,455.533,725.294,836.552,184.869,316.980,313.422,340.524,199.170,404.748,318.959,675.655,715.801,104.287,202.970,247.075,148.200,265.689,566.235,470.926,300.902,215.767,77.375,139.385,174.773,241.413,453.324,69.125,430.580,342.164,374.636,642.482,119.766,442.075,765.493,536.741,305.000,356.593,658.955,557.354,663.118,248.228,182.958,123.432,62.798,54.619,224.200,219.943,68.739,196.171,42.835,51.000,237.945,142.194,96.667,123.123,137.660,104.426,321.958,269.385,197.638,310.297,166.362,163.990,278.434,250.650,109.843,111.068,105.559,153.600,37.269,427.007,76.748,230.764,235.222,111.031,101.455,462.278,253.786,331.575,243.267,327.680,132.000,40.737,38.714,176.156,85.391,319.000,26.571,80.297,79.426,65.375,102.435,94.117,63.195,36.000,27.581,140.919,714.359,50.339,44.965,143.451,105.444,356.603,59.000,265.625,418.540,589.540,147.634,127.757,108.932,553.593,173.478,167.463,183.314,278.294,488.111,420.783,305.819,234.293,92.870,483.588,569.526,396.828,446.240,348.284,299.902,585.780,28.333,150.495,293.944,115.723,281.922,185.689,354.182,494.976,315.310,567.221,257.734,831.036,330.093,305.317,231.372,236.737,180.568,220.286,334.494
