 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142
1,1217.271,1307.349,989.044,1097.827,594.732,1093.791,739.304,847.017,1691.167,558.904,1509.673,1187.675,1581.154,1723.500,2406.419,2665.633,1494.143,1058.182,1481.456,897.212,882.016,1354.238,1279.985,1452.091,1439.294,693.051,1803.635,1516.885,3623.589,2010.340,2727.710,2783.985,2521.500,3020.976,2763.265,2572.032,2768.094,1718.370,2719.661,1704.931,1462.594,2682.145,3295.077,2084.968,967.542,760.011,1665.375,2745.593,1498.323,1319.162,1719.273,1543.164,1282.870,2927.345,3580.521,1679.339,1302.082,1965.491,3310.373,2090.480,2196.068,3068.051,4750.261,3313.261,3913.282,3205.262,1849.548,1811.224,1296.460,1236.861,1145.085,1735.090,1930.508,1455.000,1407.628,1113.338,1372.968,1484.672,1676.421,1681.143,1490.500,1356.731,1265.042,512.898,816.056,501.019,3463.180,3180.826,2165.290,2164.614,1115.045,1077.345,1624.000,2088.625,2566.522,2420.115,1879.333,928.689,300.712,488.292,1066.844,854.650,1699.333,843.500,1104.171,461.500,584.364,1084.985,2152.105,1373.214,2630.842,934.069,922.537,2498.712,2646.667,739.902,493.991,932.991,1287.975,1058.523,1287.022,2250.356,1576.905,2594.140,318.156,459.362,148.132,224.622,260.314,683.119,1060.940,346.304,1010.311,452.255,1497.222,835.347,307.304,416.214,349.206,799.943,420.964,1491.525
2,1666.271,1014.143,1145.067,1098.423,1137.732,1108.186,1050.978,1081.633,2450.967,406.538,1500.714,950.475,1430.354,1664.857,2422.828,3586.000,1541.592,1239.909,1245.029,1530.250,1126.460,1930.262,1338.761,1479.909,1245.784,1162.051,1808.905,1800.154,3295.768,1987.340,1836.026,3257.177,3085.625,2237.024,3811.941,2600.129,4122.038,1660.478,3076.475,1863.168,1865.927,3269.319,2950.346,1739.206,939.847,851.011,1633.656,2111.291,1751.354,1745.779,1653.136,1490.073,1255.638,3310.983,3655.397,1984.946,1541.443,2051.655,3556.569,2085.933,1466.270,3307.034,4695.957,3174.565,4098.901,3372.524,2102.976,1874.379,1417.158,1700.835,742.780,2063.854,1569.729,1528.788,819.349,1224.584,1840.758,882.552,1635.930,1569.847,1667.597,1350.896,1125.896,542.755,619.310,670.904,2557.860,3495.957,2527.026,2760.000,1406.364,1531.291,1690.151,1737.839,2403.433,2017.038,1477.872,723.973,319.775,604.046,1443.600,1221.625,1235.976,629.796,911.366,685.375,721.727,896.910,1202.754,1981.971,2415.544,1347.069,911.674,2753.712,2438.306,488.353,401.279,1058.417,1304.912,1305.923,1570.944,2040.931,1680.619,2735.488,250.065,462.489,238.679,368.622,202.800,573.051,991.360,780.891,985.262,960.078,1090.889,744.551,185.339,224.629,654.397,795.429,1036.071,1278.200
3,1727.661,1202.698,1091.467,1089.923,1065.781,1379.698,1132.913,902.533,1755.267,883.558,1247.633,1089.562,1619.508,1341.833,2074.753,2743.490,1444.041,1354.523,1528.427,1283.250,832.476,1818.643,1474.045,1089.636,1593.608,1271.718,2097.937,1489.064,4112.446,2011.808,2362.868,2945.147,3031.938,2322.143,3413.059,2948.613,3315.868,2339.935,2867.593,2304.772,1586.087,3471.377,3021.461,2557.222,1029.161,862.264,1699.047,2187.977,1523.154,1266.809,1756.852,2071.909,1356.884,3425.155,3818.192,1603.625,1932.131,2684.745,2487.706,2190.107,1774.716,3307.356,5494.957,4188.971,3388.803,2795.928,1888.738,2254.017,1344.655,1439.481,1700.288,2090.539,1816.797,1705.519,1642.953,901.935,1955.952,2141.045,2205.684,1588.908,1855.532,1397.851,876.917,672.082,686.690,419.712,2849.100,3747.217,2554.868,2868.523,1088.955,1184.891,1698.094,2356.322,2251.866,2075.500,1814.000,676.405,533.688,343.815,1154.778,1597.925,1832.762,450.556,1499.732,748.575,719.500,865.224,1929.860,2273.086,2152.421,1076.921,951.368,2935.491,2529.083,780.049,594.523,882.417,1479.162,849.754,1540.044,1983.356,1859.635,2489.256,254.623,712.021,188.132,522.703,368.543,1007.949,1905.120,399.848,891.311,903.039,1338.639,913.102,578.768,422.014,540.412,527.257,1295.036,1657.400
4,1103.136,1135.349,1890.800,1105.962,1366.293,1227.581,1439.370,1209.117,2512.717,680.019,1747.306,1679.775,1663.415,1901.643,2760.129,2878.877,1134.878,1384.545,1517.823,1227.654,1132.746,1544.714,1038.746,1174.818,1402.510,1453.872,2259.048,1483.628,3922.053,1842.447,2229.158,3628.353,2505.458,2576.333,2956.118,1865.290,3816.566,2114.739,2723.237,2177.634,1741.826,3626.812,2667.365,2164.825,907.517,923.923,1384.344,1960.895,1822.677,1642.544,1936.330,1672.273,1343.971,3352.966,3933.123,1437.821,1298.312,2294.073,3544.235,1723.053,2421.568,3434.475,5437.065,3733.116,3951.169,2824.667,2299.190,2191.034,1309.496,1715.595,1589.814,1900.753,2271.220,1360.058,1314.837,973.013,2057.774,1391.119,1483.070,1780.878,2008.323,1292.761,1319.188,385.388,1036.493,551.192,3630.120,3631.551,2413.474,2936.386,1048.364,1197.000,1726.925,1783.500,2401.313,2686.192,1686.359,529.743,504.525,730.385,977.911,1635.400,1593.714,677.778,1190.341,683.400,655.841,905.776,1411.123,2159.229,2118.649,1303.921,982.211,2805.153,2929.306,597.765,527.252,880.037,1102.312,742.062,1481.378,1936.782,1627.714,2338.721,507.026,498.511,307.321,666.541,125.571,470.085,1430.380,442.326,688.590,922.216,1271.917,954.776,311.089,424.386,571.397,697.086,832.321,1377.525
5,1811.492,1120.714,1396.978,998.058,1485.927,1572.930,888.587,1063.233,2085.283,613.115,1213.571,1491.988,1536.523,2174.190,2283.258,3513.694,1703.327,1757.773,1345.191,1063.308,1233.762,1555.214,1728.478,1026.364,1887.882,1876.974,2136.921,1525.295,4117.232,1979.894,1883.632,3897.177,2982.417,2827.143,3027.177,2800.032,3841.453,2315.348,2994.458,2039.921,1590.464,3936.174,2999.231,2503.794,744.432,1016.901,1758.250,1989.477,1711.108,1076.309,2075.398,1400.945,1627.681,3398.155,3646.356,1946.339,1452.066,2009.582,2845.882,2014.520,2175.581,2898.000,5230.435,3433.942,4186.084,3525.286,2090.333,2530.879,1491.201,1346.316,1648.458,1701.427,1689.576,1837.173,1197.767,1484.091,1346.516,1313.821,2171.316,1628.643,1565.177,1629.567,1571.896,716.510,1171.831,837.212,2478.120,2913.768,2339.447,2841.955,829.841,1156.927,1833.472,1639.375,2582.433,2099.250,2048.539,738.378,665.987,643.738,779.956,1568.275,1376.810,897.093,1369.488,1122.575,646.250,898.746,1594.140,2103.700,1935.930,1382.347,837.253,2696.407,3152.833,618.225,506.541,851.074,1639.088,996.400,2000.278,1829.713,1787.286,2828.465,168.312,408.149,245.868,201.027,167.600,1049.203,1364.280,890.848,956.279,792.412,1260.472,778.735,269.750,264.071,423.471,973.029,1156.714,1959.050
6,1810.051,820.937,1343.600,1051.058,720.390,1494.209,1351.674,1050.900,2376.417,453.115,1461.000,1119.338,1825.523,2430.976,2326.237,2915.755,1393.327,1381.818,1834.073,1949.846,911.111,1573.738,1780.746,1579.606,1893.098,879.128,2069.048,1405.962,3266.107,2040.660,2574.763,3538.044,3046.771,2821.857,3734.677,3003.097,3201.717,2150.891,2888.237,2087.099,2134.913,3028.696,3410.923,2176.333,895.992,953.330,1712.641,2449.523,2408.169,1523.191,1713.841,2199.564,1680.580,4015.828,3974.589,1547.893,1464.344,2355.109,3167.745,2392.467,1940.824,3610.678,6541.522,3509.159,4108.986,3139.024,3068.286,2431.879,1659.230,1027.418,1414.797,2306.888,1490.831,2335.558,971.512,1315.779,1973.774,1818.224,2186.421,1966.388,1739.710,1428.269,1404.188,629.388,946.493,645.673,3515.880,3491.000,2706.316,3096.727,1029.523,1298.618,1437.415,1877.929,2522.328,2928.423,2162.795,676.338,703.912,429.677,896.156,1631.750,1107.214,1317.685,991.805,714.100,861.614,768.463,2038.982,2080.214,1898.316,1446.158,1285.147,2704.000,2824.611,678.431,656.513,946.815,1223.137,1025.923,1565.689,1612.881,1696.651,2603.663,296.714,473.489,335.509,522.892,87.914,1229.949,1359.640,505.543,891.656,787.824,1647.250,1003.653,357.571,414.000,446.382,678.571,1035.321,1455.200
7,1544.797,956.413,1342.844,1087.558,893.854,1461.605,1723.478,1263.150,1841.100,935.615,1875.020,1328.475,1785.846,1628.452,2375.656,2901.225,1262.939,1036.864,1776.059,1624.231,870.000,1465.714,1411.940,1492.030,1477.235,1253.641,1743.143,2042.782,4267.571,2440.936,2382.474,3050.206,2528.104,2341.833,3721.059,2411.000,4281.188,2174.261,3342.441,1987.634,1432.812,3175.116,2834.769,1865.333,905.288,946.802,1683.047,2025.430,1833.554,1423.059,1999.125,1983.618,1768.884,3901.034,4071.479,2432.303,1476.328,2333.891,2719.078,2230.947,2089.243,3049.153,5713.457,3761.174,4409.549,2319.857,2722.738,1638.034,1258.669,1468.709,1603.407,1823.517,1765.000,1989.692,1242.884,1582.766,2253.323,1234.000,2214.263,1540.878,1971.710,1694.269,1632.708,402.163,861.915,999.404,3425.960,3700.435,3221.395,2541.045,1227.068,915.927,2314.887,2217.536,2490.612,2761.904,1745.103,769.392,644.013,746.846,1112.067,1240.725,781.119,398.722,1305.585,1224.725,997.659,1012.045,1783.386,1939.429,2248.035,1162.218,873.074,3190.085,2842.000,816.363,499.054,1131.722,1461.925,833.692,1581.700,2341.386,1845.000,2913.802,326.909,665.894,181.000,517.622,271.543,758.407,1246.800,683.913,899.229,987.647,1133.111,931.449,265.375,558.529,332.603,1092.057,1109.714,1347.900
8,1740.932,1318.254,1545.444,1427.692,1534.902,944.140,1403.304,1028.600,2079.850,810.865,1253.980,1413.275,1694.523,2010.429,2338.710,3579.021,1461.061,1399.864,1626.029,1113.269,987.841,1769.500,2007.896,1248.849,1922.216,920.590,2476.413,1143.936,3929.732,2427.128,2220.710,3498.000,2891.083,3212.548,3054.029,2245.710,3920.151,2011.152,2994.813,1940.683,1140.188,3200.609,2955.269,2534.937,1156.246,1048.593,1800.719,2241.756,1848.462,1797.882,1681.568,1934.636,1539.580,4159.483,4006.973,1715.625,1672.738,2152.909,3071.745,2039.973,2193.203,3015.542,5808.413,3759.246,3694.183,3191.190,1676.143,2262.190,1457.345,1403.063,1716.542,1935.405,1552.492,2587.846,1174.837,1189.558,1848.290,1223.478,2202.824,1460.235,1672.968,1550.373,940.521,730.327,628.028,717.423,3959.140,3823.145,2526.158,3684.886,959.614,1035.236,1694.396,2480.875,2309.821,2747.673,1760.974,401.703,491.850,804.646,1572.311,1264.300,916.619,971.963,1397.951,1149.150,838.409,679.687,1685.439,2103.214,1747.246,1591.218,957.242,3121.644,3057.000,644.902,545.811,1002.426,1364.012,942.292,1245.622,1900.020,1964.524,2694.686,164.117,613.851,225.377,453.703,236.429,906.949,1234.020,808.652,582.098,1277.745,1225.056,1160.673,460.500,127.829,536.706,648.914,1063.357,1879.850
9,1547.661,1205.365,740.600,1324.673,1101.512,1713.651,1405.935,791.283,1928.367,616.865,1711.776,1053.188,1724.846,1644.690,1712.892,3168.286,793.082,1424.591,2348.382,1164.365,944.698,1637.714,2136.836,1135.939,1723.157,1091.821,2239.397,1502.103,4036.661,2189.447,3007.368,3374.750,2821.375,3771.381,3600.235,2390.484,3320.698,2624.500,2692.356,1923.713,1493.609,3731.406,3095.923,2531.635,905.263,1073.088,1699.031,2409.907,2385.461,1342.088,1593.795,1755.709,1926.478,3377.655,3551.712,2031.018,1425.607,2414.873,2612.588,1715.027,1861.797,3805.542,5850.413,3452.927,4835.859,3178.524,2200.286,2217.069,1322.216,1357.380,1234.729,1651.169,1709.169,2039.308,1227.791,1017.078,2196.500,1925.896,1746.368,1966.041,1936.742,1929.119,1700.688,940.694,782.662,928.558,3199.220,3516.406,3102.210,3530.136,1456.636,1054.109,1404.151,2193.250,2085.433,2176.654,2234.539,587.622,724.362,335.415,1670.578,1805.650,988.548,834.759,1137.439,767.400,581.068,815.045,1514.421,1853.214,1982.579,1135.436,1167.379,3049.780,2494.444,575.216,806.423,872.732,1186.350,718.677,1852.289,1672.129,1547.794,2624.651,179.286,524.426,261.226,543.568,371.029,915.780,1118.420,530.500,941.885,1193.922,1071.417,1178.735,519.607,323.271,404.338,1205.886,1234.143,1643.050
10,1545.593,1046.635,1676.444,1228.731,1237.122,1553.116,1611.761,1082.333,2285.083,480.923,1371.061,1609.688,1312.985,2181.595,2502.839,3380.245,1469.510,1683.114,1460.706,1175.808,685.746,1204.214,2310.299,1308.576,1563.118,1237.256,2387.873,1493.962,4283.268,2580.106,2947.079,3305.971,2503.542,4200.071,3229.147,2833.032,3473.943,2336.870,2847.509,1670.950,1769.754,3591.710,2907.692,2577.730,1085.771,913.352,1610.594,2790.791,1797.446,1624.338,1526.057,1996.182,1414.710,3414.810,3710.685,1587.661,1348.262,2378.764,3277.274,1727.147,2150.054,3982.017,5254.239,3566.898,4110.000,3518.190,2245.048,2163.396,1601.453,1478.405,1425.254,1788.258,2023.932,2045.308,1582.860,877.442,1790.323,1934.746,2271.351,1854.184,1549.597,2203.925,1493.312,588.510,698.718,808.712,2352.660,3229.333,2891.921,3547.545,864.455,1228.418,1389.906,2593.411,2272.045,1672.346,2128.282,459.973,649.725,460.062,1319.333,1229.475,1177.048,941.000,905.683,692.275,624.477,840.254,1475.474,2176.271,1875.860,1225.772,1045.947,2558.441,1842.972,558.275,514.405,779.352,1457.775,934.815,1479.833,2262.743,2156.603,2883.465,219.013,554.106,251.906,809.676,307.200,942.220,1481.980,982.043,1103.344,1121.529,1652.583,1062.735,604.429,482.071,499.721,672.171,1452.536,1329.300
