 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115
1,655.860,504.085,434.792,322.100,196.275,309.971,730.183,673.648,1089.941,472.056,581.650,389.344,498.216,658.464,671.256,846.700,732.337,393.854,707.625,442.674,390.584,688.327,294.346,285.383,566.865,504.073,858.886,1127.009,254.812,232.290,199.284,231.167,375.258,273.275,806.800,699.926,473.767,442.171,506.445,506.587,399.211,1106.762,625.319,354.605,475.761,451.632,498.951,392.955,622.623,630.049,1075.443,879.317,762.130,904.504,988.399,771.770,770.993,995.779,338.089,493.867,441.942,368.316,389.361,492.576,386.007,528.537,275.380,346.630,405.489,521.341,655.853,248.639,350.409,270.402,269.323,282.439,363.895,734.292,413.096,383.867,208.730,241.919,248.235,732.670,535.638,362.441,409.881,359.462,207.035,480.731,486.009,201.742,508.669,454.595,436.328,363.519,716.801,708.359,407.164,437.434,232.885,317.985,351.368,394.234,322.384,233.224,822.493,929.425,655.786,829.874,575.299,1153.613,873.994,847.095,624.793
2,773.079,426.059,386.669,319.482,203.022,233.086,670.278,623.000,1157.876,647.978,480.900,431.020,581.784,584.409,567.930,701.425,780.967,527.049,819.312,466.045,537.973,614.065,450.753,398.617,678.458,539.291,811.089,1034.892,276.584,243.793,191.725,263.250,407.380,300.497,713.829,924.882,608.314,505.874,476.126,496.436,347.443,1102.871,571.084,330.349,675.963,559.456,394.732,479.331,673.431,598.086,973.427,1019.279,736.575,1070.032,1083.742,860.151,776.600,913.232,299.051,563.948,428.188,449.608,426.852,486.743,278.860,548.902,382.513,420.960,334.822,526.819,706.316,407.299,386.424,297.189,286.790,353.203,218.902,686.222,294.916,392.800,317.248,366.097,370.255,562.375,428.276,427.097,419.126,298.140,256.506,403.446,459.965,251.039,548.822,458.589,364.306,347.789,582.957,532.934,398.375,450.574,193.489,282.454,328.776,448.081,321.704,349.422,1059.129,877.904,667.039,845.351,642.731,967.568,885.654,777.932,688.044
3,784.843,448.619,469.569,297.055,209.681,353.133,677.209,665.093,1090.072,688.678,589.840,354.874,626.864,692.009,761.907,650.425,658.957,457.866,874.938,479.730,396.336,497.841,388.420,279.305,498.292,502.045,899.675,1123.288,397.970,254.717,163.991,340.333,435.902,313.289,820.333,780.801,612.547,527.640,510.840,464.198,418.856,1170.457,665.982,340.763,813.349,490.882,492.683,372.406,739.477,687.524,1076.519,868.514,699.370,1138.760,1020.687,994.452,816.379,866.937,249.101,524.482,333.580,590.633,586.120,595.868,364.640,363.146,285.240,380.010,449.533,495.717,945.653,368.701,371.485,255.055,291.754,308.935,290.361,669.125,343.181,424.886,336.142,317.129,331.286,562.568,425.686,376.333,468.696,239.077,340.306,472.054,464.377,180.078,641.853,548.546,363.649,324.962,603.965,675.321,422.555,483.861,207.991,232.746,393.007,480.910,352.976,272.510,1029.879,836.959,676.209,888.086,611.634,1215.697,975.597,914.333,570.452
4,760.769,401.492,509.954,308.064,187.945,373.105,695.391,656.068,1060.810,551.822,655.900,303.417,538.568,659.482,434.000,714.875,514.283,448.280,871.050,420.067,380.469,657.299,432.679,381.023,558.448,454.382,923.171,1234.288,256.307,299.228,248.064,263.833,468.178,371.893,864.362,772.088,546.070,481.532,625.664,449.635,438.052,1161.538,667.604,372.224,738.037,537.949,412.382,425.917,692.562,665.989,1097.420,921.197,938.993,939.832,999.747,804.492,798.993,979.642,330.316,484.548,442.130,467.696,474.389,519.514,416.809,549.829,287.947,338.970,459.989,588.283,822.716,342.464,440.447,290.748,335.461,374.358,308.977,687.736,411.904,461.524,262.539,258.145,244.765,734.125,538.295,335.591,479.363,264.853,295.459,482.208,503.412,293.812,576.025,456.393,428.172,326.398,672.135,715.302,511.906,540.385,177.233,202.631,430.072,515.964,246.208,265.286,1050.879,782.103,711.301,807.543,645.119,1247.839,831.975,1006.041,635.726
5,728.017,432.237,458.569,397.464,199.879,441.257,772.061,673.994,1241.301,632.122,748.500,323.576,592.330,804.527,708.628,663.263,661.435,587.293,906.438,431.876,476.080,590.299,380.111,305.648,644.500,439.800,895.602,1065.189,348.416,209.972,238.239,240.083,400.098,309.181,647.391,696.471,537.174,472.973,456.529,594.452,370.634,1203.429,625.029,442.441,696.000,620.368,455.163,476.602,718.792,717.541,1070.809,1070.645,874.062,1036.576,1037.359,799.397,863.779,1052.747,408.038,526.793,348.232,456.557,493.630,452.875,348.897,358.329,264.340,322.170,328.678,596.899,930.863,241.742,451.356,328.449,381.222,360.341,310.316,825.972,318.084,430.476,303.418,317.968,279.429,670.318,439.857,404.484,471.696,426.378,298.306,575.915,417.728,285.945,564.117,491.834,377.216,303.624,786.241,532.991,506.281,518.844,242.291,284.623,347.493,440.730,405.256,313.224,1035.671,767.616,706.146,852.682,603.127,1324.910,952.195,859.224,638.430
6,641.428,491.898,562.115,284.700,173.451,408.362,839.704,941.895,1190.758,542.833,654.460,331.821,492.364,664.791,457.000,750.513,699.022,396.280,915.475,445.843,475.850,804.477,534.407,315.734,642.510,632.227,716.854,1118.369,272.980,271.497,315.009,307.433,399.583,353.966,864.095,698.640,587.709,561.874,543.151,555.286,366.433,1218.443,643.956,332.467,657.725,460.110,407.496,436.744,598.238,716.335,1151.824,1048.137,808.096,1106.944,1153.323,776.468,826.931,1087.495,342.810,516.444,378.290,596.557,503.213,493.403,374.574,390.427,322.293,289.640,402.711,529.652,836.432,301.124,288.076,205.150,338.186,332.837,296.308,546.000,398.916,571.171,405.312,366.137,345.796,585.148,467.733,407.591,455.622,328.888,226.824,450.192,518.579,293.445,489.798,490.141,432.328,328.526,714.163,642.698,454.555,572.746,275.489,282.892,313.441,516.820,337.160,284.476,1044.836,862.849,731.170,888.033,645.604,1466.671,942.132,887.265,689.319
7,693.131,521.814,407.800,323.391,205.055,303.000,722.043,720.827,1107.784,636.478,638.550,344.788,520.682,592.800,783.651,806.612,712.641,462.220,985.537,490.011,564.504,732.841,452.802,265.391,538.740,556.173,848.317,1105.982,261.198,278.938,271.303,191.250,414.810,314.993,797.533,827.919,625.709,642.216,561.571,564.048,331.469,1118.000,702.780,394.263,780.404,542.640,430.146,510.789,715.700,724.097,1291.740,935.071,884.596,1203.144,1078.904,830.429,794.386,1030.253,400.684,619.518,453.667,512.228,506.944,478.590,385.360,381.280,322.267,387.620,359.444,600.471,649.263,438.485,505.667,272.583,378.263,387.317,355.564,685.972,310.566,418.238,299.326,350.935,238.980,622.830,386.181,246.387,528.015,367.573,279.482,580.508,453.412,285.641,553.129,494.564,494.157,388.000,683.816,674.302,402.609,539.697,226.357,327.377,386.882,456.072,326.152,295.374,1008.864,807.493,713.485,995.907,659.455,1224.394,953.050,939.068,724.919
8,718.616,489.559,531.438,356.518,185.637,401.181,729.348,684.185,1249.967,685.367,747.760,370.364,583.511,797.655,712.349,774.200,645.793,378.829,1004.025,409.146,416.602,581.963,304.259,358.484,535.104,495.127,854.057,1266.748,261.168,317.903,246.064,249.750,486.147,361.577,862.657,694.471,658.942,476.234,574.311,542.444,418.985,1343.467,697.443,360.388,795.101,583.066,541.902,452.962,695.492,679.838,1233.725,1151.137,1020.055,931.656,1223.167,823.286,759.386,952.547,363.165,587.356,355.913,393.177,559.009,486.111,394.191,659.841,316.280,347.430,448.978,505.906,662.589,298.897,448.939,265.969,260.695,353.138,256.962,895.903,321.976,398.400,288.106,358.218,242.918,544.330,400.371,331.731,475.370,347.559,261.506,554.123,411.632,304.188,591.663,453.724,476.000,303.466,750.809,653.160,506.078,504.533,258.841,346.208,379.809,464.090,328.552,214.429,1052.686,898.171,780.617,907.967,822.881,1427.845,945.170,979.551,675.059
9,661.214,399.627,499.115,419.882,251.571,446.067,692.174,807.142,1140.850,594.600,597.330,353.642,780.159,795.582,677.163,764.800,685.217,429.744,742.850,547.011,357.991,588.804,493.284,379.008,590.667,480.200,810.683,1206.712,248.901,263.593,264.661,257.783,462.681,451.497,761.867,727.471,542.198,531.288,711.849,648.849,427.418,1276.733,634.443,456.092,707.294,528.279,469.333,431.090,674.815,764.481,1088.076,1142.852,856.068,1101.088,1105.247,981.873,923.862,963.411,306.253,521.726,477.478,478.886,676.657,409.639,417.346,546.268,316.633,302.250,464.067,677.594,897.505,443.175,360.288,322.008,329.275,317.016,253.684,764.736,417.301,486.000,290.844,375.774,202.020,610.443,414.562,374.000,424.474,311.839,271.706,583.546,443.860,259.648,589.521,466.896,466.798,331.850,690.645,596.613,423.406,606.303,183.471,279.769,271.428,480.649,302.560,245.592,1040.493,832.863,735.519,824.927,712.351,1356.477,912.239,921.054,804.748
10,714.681,488.254,507.792,414.536,215.956,321.886,538.435,736.741,1080.974,702.667,723.150,442.795,481.409,738.636,592.233,756.825,660.087,424.317,939.250,399.764,500.611,609.682,320.667,390.656,531.615,587.991,920.732,1192.234,300.941,249.648,270.505,257.233,417.957,444.550,1005.162,709.257,598.500,508.991,695.740,579.611,427.459,1149.152,645.429,362.086,656.055,493.640,496.724,442.188,729.385,745.432,1061.832,837.891,845.336,1021.688,998.076,890.841,873.655,976.253,399.646,512.319,455.464,579.076,592.556,567.299,372.743,420.220,374.087,353.920,464.356,550.174,810.053,449.052,444.205,288.409,289.072,258.561,322.421,920.125,354.193,504.295,281.879,294.008,303.663,790.784,502.219,447.301,513.607,352.769,368.459,573.738,481.658,208.992,537.417,578.798,350.776,265.805,803.702,725.641,548.539,581.689,223.727,323.992,388.092,451.099,287.024,273.796,1170.436,839.048,742.772,911.689,561.858,1329.632,1010.302,864.510,717.778
