 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean(RoiSet_4),Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146
1,1775.049,2158.059,335.094,921.833,280.092,485.625,294.829,403.596,351.961,458.784,527.012,327.482,485.087,784.663,2005.104,692.636,943.771,444.471,281.759,179.637,492.778,275.438,522.615,271.052,573.683,546.811,401.714,626.100,306.548,469.805,300.190,402.872,236.302,330.173,244.852,247.792,259.790,295.433,224.846,246.523,286.396,238.056,710.364,201.731,174.799,364.870,904.170,361.191,349.752,111.941,252.043,388.396,214.367,206.395,287.192,98.104,273.178,647.975,386.377,377.624,486.792,411.855,364.196,285.311,391.222,342.893,230.966,163.989,329.928,284.849,496.241,279.079,409.127,496.214,342.908,326.882,427.928,378.330,600.175,580.358,568.713,235.288,177.726,153.185,403.770,259.655,298.867,183.405,115.672,175.248,224.225,278.435,420.417,125.747,122.426,144.372,1555.757,353.406,200.411,84.596,266.059,662.556,808.190,269.907,491.222,424.000,441.940,191.268,257.847,205.784,572.037,301.855,298.049,436.907,396.608,506.185,205.434,225.361,230.773,133.024,359.397,268.772,258.906,370.200,350.892,244.891,238.151,385.899,609.863,422.495,404.295,293.725,351.611,536.896,366.729,333.825,203.074,395.274,274.291,320.605,326.517,274.709,299.985,247.180,451.721,416.554
2,1972.238,1982.823,311.417,974.619,341.306,450.547,249.114,379.351,393.117,411.486,643.554,299.220,637.426,807.960,1894.403,674.927,952.590,452.118,420.463,232.441,449.011,234.859,481.165,240.948,388.968,502.189,397.661,863.160,278.342,518.052,365.202,469.957,312.509,257.853,477.574,224.085,301.049,407.060,221.477,189.399,353.591,257.681,824.659,193.962,156.619,429.148,783.241,321.104,479.229,148.600,132.645,353.451,149.194,190.605,302.370,242.349,309.337,445.942,478.230,515.544,561.416,491.652,375.381,305.107,316.470,494.256,249.125,203.935,303.056,229.140,412.270,272.189,442.164,565.222,567.523,393.564,404.206,321.125,688.150,494.883,634.090,205.041,161.011,170.884,336.869,304.241,417.929,271.000,172.000,177.703,268.433,332.449,541.917,112.759,117.213,213.733,1573.459,411.000,105.054,189.281,301.667,642.741,682.362,251.474,364.278,541.977,446.580,174.378,151.631,127.830,739.056,251.029,492.268,454.279,485.373,385.130,314.964,418.139,205.867,142.797,385.926,338.965,390.438,437.800,285.811,331.652,296.560,449.884,565.400,453.523,318.866,332.689,324.122,461.714,399.718,351.095,229.582,364.927,329.818,326.295,321.483,332.534,349.504,255.405,561.987,356.695
3,1998.180,2354.882,343.656,892.286,354.714,550.031,295.743,434.809,270.204,365.459,637.310,312.312,545.017,912.990,1745.791,715.236,1063.057,405.373,314.741,251.961,276.578,393.719,579.339,268.629,669.492,575.230,460.536,792.040,487.329,507.013,333.048,464.309,264.679,354.333,264.870,305.528,270.296,295.567,275.492,250.569,297.195,271.032,664.432,274.548,169.216,267.139,938.674,382.852,504.924,196.671,134.183,352.802,170.031,234.430,201.397,207.783,269.149,580.592,419.205,452.054,583.663,365.978,319.835,348.836,431.701,464.000,303.545,310.731,305.856,268.871,580.022,273.165,399.409,654.197,550.246,416.355,578.784,315.036,600.725,542.367,467.443,264.863,186.486,161.942,490.016,227.816,462.316,296.357,161.953,242.970,267.117,330.058,366.850,187.046,176.734,129.942,1261.973,344.922,263.518,175.544,281.824,713.556,792.466,283.216,439.958,522.920,303.800,141.768,172.378,172.705,594.556,243.739,420.878,446.093,339.608,509.389,313.795,266.167,210.173,168.951,437.574,330.789,321.812,342.920,375.392,335.109,269.679,305.652,603.053,436.822,380.455,369.952,400.467,496.662,394.871,393.476,234.525,336.702,296.618,287.659,394.600,238.493,372.255,346.495,488.591,354.554
4,2264.631,1994.078,356.844,1064.536,340.969,589.562,404.038,309.713,339.981,379.081,642.280,322.518,665.461,954.951,2290.388,744.691,1034.254,334.235,419.907,201.520,460.533,325.531,568.119,299.732,694.111,495.784,376.000,808.980,316.288,485.753,414.548,455.138,303.019,331.013,288.389,278.547,283.901,328.030,329.631,212.516,264.161,299.579,614.250,201.413,205.604,447.139,854.085,391.574,528.124,157.165,179.054,376.907,253.735,147.544,230.616,272.755,318.129,524.250,512.328,467.060,385.782,434.304,386.629,338.770,360.393,363.116,184.750,275.839,312.152,316.968,520.226,295.480,464.055,636.350,585.908,373.309,431.742,326.589,877.925,558.267,600.869,281.486,194.143,163.487,311.189,254.770,369.245,143.500,173.664,188.010,291.267,413.116,356.517,218.207,155.277,148.186,1504.622,360.922,219.393,163.018,283.000,651.518,896.690,255.763,534.444,631.057,410.620,145.244,219.207,171.750,489.296,257.116,481.720,395.012,382.961,472.537,305.566,398.764,211.813,172.854,300.088,439.035,470.203,441.800,391.554,204.859,195.101,332.362,634.074,514.579,305.562,351.545,431.500,536.870,351.447,297.048,329.090,336.371,363.564,339.132,502.458,331.534,370.985,331.036,524.325,376.004
5,1916.992,2182.059,276.250,1025.810,284.755,676.969,399.752,360.915,317.738,434.068,707.149,278.468,720.400,1069.277,2330.284,861.364,1145.729,480.843,407.630,245.127,498.111,274.891,603.211,256.144,605.667,494.459,384.554,767.820,287.137,476.026,297.667,436.383,274.755,318.307,389.944,264.623,447.012,362.119,261.723,260.333,394.302,313.544,784.273,254.779,119.896,383.765,843.723,451.174,540.162,202.176,189.720,349.500,174.551,206.675,247.452,280.113,318.485,539.858,451.779,523.691,624.158,463.065,372.082,294.082,434.889,403.893,257.659,266.097,299.096,259.280,503.781,328.362,491.173,563.367,357.092,435.073,439.959,290.804,545.275,598.700,513.508,224.479,157.674,148.323,396.852,302.828,503.867,251.619,148.109,160.554,273.942,341.174,451.817,161.609,199.574,136.616,1623.595,350.672,263.821,164.965,294.118,735.000,772.397,296.351,617.250,478.345,511.890,192.915,159.459,197.341,554.222,288.348,410.183,399.721,231.745,329.444,242.880,364.444,194.480,168.797,374.529,395.526,308.609,574.880,423.378,311.946,271.239,501.420,601.010,479.234,320.732,369.635,436.478,529.403,384.459,357.810,266.164,403.758,364.427,338.853,314.467,258.818,351.664,355.090,479.117,348.481
6,2031.992,2393.392,379.125,1030.976,422.571,591.141,456.676,438.840,395.786,344.730,683.946,296.071,681.539,904.049,1595.940,885.636,950.197,476.608,401.426,316.147,531.522,295.125,528.807,287.505,753.222,335.730,331.125,759.320,245.534,651.351,380.095,444.362,271.321,283.520,271.315,244.613,394.049,295.746,263.615,235.392,336.040,260.600,650.773,270.846,155.799,393.061,820.801,402.330,567.705,236.776,148.656,338.187,169.602,135.509,293.521,293.075,337.406,565.950,519.869,430.933,498.495,407.043,365.804,549.238,398.821,386.165,250.761,215.226,343.856,204.280,419.197,370.709,418.609,630.744,447.908,468.818,534.196,354.446,684.825,595.675,665.377,214.993,175.800,170.011,472.475,301.966,399.316,253.881,200.383,178.733,279.117,324.101,480.367,244.276,167.564,164.488,1436.541,431.938,259.839,254.070,247.255,726.722,661.362,202.155,482.500,547.379,393.890,241.878,161.360,135.523,652.611,350.522,393.280,363.895,502.510,460.056,239.337,327.417,180.400,143.415,375.265,460.386,417.469,455.120,511.514,325.587,276.113,345.333,721.863,577.561,411.920,366.605,492.544,608.364,380.212,347.516,337.443,413.758,249.855,279.155,355.808,306.284,376.117,336.622,474.669,325.378
7,2190.656,2470.451,340.635,967.655,379.000,681.469,217.124,532.989,309.495,394.932,767.821,256.582,556.017,879.000,2221.448,599.000,981.377,445.804,384.426,248.647,394.967,213.891,665.569,316.041,731.540,402.716,298.982,629.320,458.178,661.455,320.077,381.585,275.906,364.627,209.426,313.358,306.012,325.806,369.738,193.405,297.054,307.674,766.727,243.144,207.739,371.252,815.887,355.704,672.019,185.388,200.484,371.967,152.745,187.377,203.041,239.887,327.347,506.858,397.336,433.899,437.485,463.536,436.247,354.795,349.496,421.669,263.943,174.624,319.656,238.430,493.489,278.378,573.682,583.923,576.477,450.109,451.361,325.446,652.575,572.325,719.238,200.911,174.257,157.783,425.959,297.092,408.949,201.333,187.578,166.921,223.492,314.565,374.150,212.195,102.170,152.233,1517.514,279.672,227.429,146.000,331.471,862.407,775.379,240.330,465.667,524.092,322.030,219.549,200.766,228.352,494.926,324.319,506.549,318.233,551.314,542.296,273.229,327.292,249.627,126.537,391.853,269.404,413.094,421.307,562.932,314.435,299.774,383.551,670.232,392.598,419.643,402.575,298.822,575.195,417.659,397.952,214.574,292.169,397.318,248.620,395.075,287.797,310.036,357.153,456.136,440.116
8,2157.853,2201.255,346.344,934.583,303.531,612.516,389.086,415.904,343.350,454.878,712.315,314.546,817.217,882.069,2235.045,771.782,996.385,272.980,447.759,255.657,470.800,259.953,583.257,273.113,793.984,448.459,478.732,644.940,485.740,598.026,337.589,430.787,387.528,344.880,382.889,351.462,287.556,331.269,237.277,221.542,297.248,254.989,662.091,227.288,183.799,473.843,973.177,399.539,544.476,159.765,158.559,339.121,204.306,166.553,285.000,212.726,387.040,548.800,412.779,429.295,564.465,551.949,306.052,348.615,421.615,400.934,323.284,259.796,289.272,225.742,520.124,261.803,382.009,562.137,544.985,390.064,391.990,400.464,722.450,620.525,540.852,209.130,174.223,136.085,505.025,272.920,346.316,220.548,136.789,156.693,349.208,391.348,439.800,244.851,166.191,273.698,1657.000,307.984,231.357,161.316,323.137,759.944,860.293,319.938,467.181,611.874,371.320,195.024,218.820,179.023,523.685,388.478,413.476,458.512,338.882,540.241,339.892,373.431,188.067,116.049,323.779,399.351,283.094,445.227,551.487,255.478,302.912,513.812,612.368,398.430,375.946,300.204,451.411,529.416,349.894,407.984,220.869,321.113,315.527,302.783,344.067,292.662,361.204,419.505,553.877,398.511
9,2161.361,2023.333,321.594,1089.190,343.020,571.297,317.524,465.330,296.398,370.622,708.238,323.809,644.522,826.960,2020.970,763.873,1249.148,286.275,391.889,236.216,411.656,337.969,600.174,319.247,618.825,575.797,285.304,734.680,367.233,616.766,366.869,431.074,245.321,350.840,194.870,263.019,350.864,413.672,292.046,242.693,376.302,216.568,547.477,254.269,176.784,331.157,811.745,409.078,517.200,240.424,177.946,380.984,199.337,178.070,258.959,229.028,268.416,604.425,500.402,467.644,595.030,485.051,342.454,364.869,395.923,470.636,231.386,249.731,296.160,247.161,664.956,283.638,515.045,555.538,423.892,451.364,492.216,312.179,800.350,514.517,588.762,270.000,182.874,126.016,391.475,357.437,465.867,278.643,151.070,203.010,318.575,277.232,469.050,253.230,123.053,180.233,1087.486,378.422,296.393,216.561,368.706,603.241,841.138,247.660,565.181,592.011,268.600,143.646,195.171,203.705,489.407,308.783,542.756,542.535,342.020,505.481,277.819,328.042,285.653,143.789,433.500,382.649,392.453,358.827,472.122,212.000,281.057,324.565,609.853,535.720,343.759,385.240,373.567,538.403,322.906,351.032,231.525,360.089,288.364,257.225,351.300,301.480,326.022,274.730,595.701,442.288
10,1960.262,2245.294,361.521,1042.524,260.102,601.547,329.324,421.979,290.408,490.473,752.393,270.667,615.261,976.247,1855.612,696.418,1061.771,649.078,406.907,291.637,446.844,262.266,735.972,345.392,573.254,380.865,400.286,965.760,465.164,584.312,382.518,496.266,308.604,332.613,394.093,184.075,343.531,440.537,276.585,247.706,252.785,351.593,616.568,252.308,217.500,278.609,838.695,437.313,526.943,102.412,170.129,365.681,181.051,164.526,217.452,256.981,284.307,569.933,423.369,514.248,505.772,438.362,277.454,346.393,379.812,369.083,237.205,278.484,308.464,241.903,476.978,277.315,505.900,620.402,578.369,433.655,516.835,352.080,776.325,595.208,705.164,272.911,147.926,194.090,328.852,376.023,325.724,256.048,166.133,143.931,305.225,373.899,281.167,279.483,120.755,236.198,1792.973,491.672,330.857,135.088,267.196,743.296,745.621,248.165,453.069,583.230,477.620,147.622,179.658,180.341,517.611,234.420,479.378,402.349,425.000,572.463,342.675,402.486,247.867,159.984,434.426,447.614,339.750,508.773,403.081,297.641,249.597,316.261,717.768,406.654,368.830,340.323,344.056,525.597,534.612,272.976,269.016,415.065,354.391,251.698,408.692,278.682,346.927,261.577,473.383,425.082
