 ,X,Y,Major,Minor,Angle
1,70.658,56.197,11.061,8.748,33.936
2,119.095,70.095,12.515,11.293,151.961
3,28.336,148.068,13.880,13.393,87.020
4,204.492,214.360,14.237,11.537,98.118
5,105.746,41.746,13.508,11.123,25.741
6,142.336,17.828,15.640,9.932,83.379
7,212.015,68.721,11.224,7.714,37.408
8,221.108,71.838,10.780,8.740,0.667
9,282.500,276.000,12.035,8.040,166.486
10,317.980,353.755,13.503,9.241,121.371
11,474.419,319.363,13.936,11.329,137.413
12,483.068,294.584,11.942,10.129,170.008
13,158.864,351.441,12.771,11.764,124.963
14,116.321,347.868,13.306,11.196,115.600
15,29.208,250.075,14.369,10.633,130.528
16,41.163,263.926,12.400,10.371,134.794
17,8.947,316.164,15.748,12.289,45.504
18,424.856,170.592,11.013,10.058,115.216
19,200.416,149.612,12.747,10.687,148.562
20,411.595,429.948,11.823,11.308,162.656
21,234.438,291.875,8.145,7.504,52.917
22,233.554,300.036,9.206,7.745,164.007
23,299.883,296.777,11.508,10.400,121.796
24,163.512,79.922,11.509,9.182,118.733
25,250.959,50.635,10.372,9.084,7.197
26,76.139,208.795,14.506,10.708,94.035
27,82.070,85.290,12.006,10.605,154.059
28,157.704,18.444,13.235,10.390,122.272
29,232.721,29.604,10.756,9.115,166.002
30,61.259,25.454,12.144,9.122,178.207
31,41.459,40.418,10.078,9.222,24.917
32,267.667,166.988,12.450,8.591,137.950
33,233.904,205.968,9.121,6.561,162.031
34,246.684,205.974,7.517,6.436,105.687
35,185.750,115.500,10.450,7.310,175.119
36,158.660,4.500,10.890,8.769,5.484
37,40.866,206.207,10.338,10.099,161.091
38,66.500,324.014,10.270,9.174,101.694
39,81.936,251.397,11.038,8.997,133.871
40,183.281,380.531,9.683,8.415,148.711
41,185.250,421.147,9.788,8.845,75.836
42,266.662,407.691,9.693,8.932,140.998
43,338.179,334.256,10.553,9.411,170.234
44,414.891,321.080,11.258,7.803,163.187
45,410.795,265.598,14.599,10.640,157.175
46,314.005,276.693,14.910,9.308,150.027
47,355.808,428.731,11.235,10.312,172.195
48,389.433,41.711,11.123,10.302,146.848
49,460.667,63.111,13.523,10.169,17.100
50,305.735,21.162,9.791,8.843,148.483
51,295.625,19.250,9.640,8.453,153.565
52,454.907,350.737,10.736,6.997,157.740
53,385.141,356.109,12.287,9.533,179.007
54,425.089,329.482,8.655,8.238,131.123
55,420.314,337.756,7.808,7.012,3.446
56,345.905,278.262,7.868,6.797,167.413
57,386.100,212.583,9.895,7.720,55.496
58,93.982,182.661,8.598,8.293,68.474
59,167.041,213.465,12.961,8.350,148.697
60,183.318,255.258,10.344,8.124,124.373
61,47.450,124.012,10.354,9.838,59.853
62,80.103,125.706,9.609,9.010,156.680
63,93.587,127.977,18.712,10.139,92.080
64,189.803,177.096,13.360,9.435,94.185
65,237.612,188.378,13.155,9.485,99.065
66,175.468,442.963,13.053,9.266,90.382
67,198.385,398.146,14.083,8.679,107.422
68,209.808,393.788,9.886,6.697,173.272
69,236.028,372.516,15.860,10.195,133.252
70,75.843,39.514,10.092,8.831,45.326
71,85.417,113.233,9.059,8.433,148.395
72,115.574,148.481,8.541,8.050,150.685
73,199.283,97.913,9.477,6.180,152.540
74,180.942,57.221,7.995,6.848,73.810
75,210.167,3.090,8.584,5.784,2.447
76,261.762,3.262,9.246,5.784,12.828
77,274.773,14.500,8.261,6.782,0.000
78,263.563,385.203,13.322,10.608,142.190
79,323.511,369.554,12.539,9.342,161.554
80,297.020,397.392,13.075,9.933,150.250
81,260.763,469.171,12.268,7.888,162.384
82,312.596,491.678,10.743,8.652,107.005
83,317.886,462.014,11.271,7.908,127.852
84,431.904,450.617,11.767,10.171,106.889
85,453.399,502.312,9.890,8.883,76.870
86,448.893,406.254,10.103,7.688,5.178
87,257.369,143.823,12.768,9.872,100.377
88,321.384,157.093,11.120,9.847,131.112
89,230.192,138.223,10.445,7.924,117.343
90,99.309,25.777,11.123,10.760,11.207
91,250.376,128.700,15.482,11.925,96.500
92,379.522,14.899,13.782,12.749,58.170
93,408.895,44.799,15.111,12.386,39.517
94,409.355,142.600,13.294,10.536,124.851
95,291.181,165.638,12.571,11.749,127.784
96,409.352,159.250,12.084,9.273,146.974
97,471.078,174.707,14.623,10.101,147.150
98,140.164,188.027,11.974,11.697,49.338
99,230.500,225.423,15.386,11.834,108.367
100,200.924,293.161,13.549,11.089,129.665
101,69.353,264.784,12.438,11.158,125.674
102,75.047,381.536,13.682,12.935,105.525
103,352.342,394.975,12.342,10.419,153.384
104,378.485,385.229,14.545,11.642,133.459
105,395.684,410.924,13.123,12.128,3.702
106,344.849,311.794,12.806,10.837,114.130
107,361.973,346.425,12.420,9.534,164.145
108,193.519,59.981,11.905,11.123,56.354
109,215.199,283.150,12.756,10.281,135.784
110,248.372,5.319,13.541,8.839,18.268
111,294.335,50.324,11.229,9.638,52.772
112,308.312,12.906,10.028,8.760,165.595
113,300.417,306.533,9.712,7.866,137.448
114,305.125,445.952,13.005,10.182,112.026
115,385.665,326.413,14.116,10.372,110.737
116,461.538,339.764,13.062,10.333,113.974
117,212.569,321.618,12.468,10.416,139.347
118,381.921,51.971,14.285,10.785,87.442
119,406.585,30.953,12.036,11.213,62.079
120,347.000,69.887,14.910,12.126,177.667
121,348.250,267.239,12.602,9.295,173.171
122,370.578,286.049,13.192,9.844,9.185
123,325.020,332.581,12.730,12.303,100.329
124,182.050,332.650,15.824,11.265,75.086
125,224.004,349.764,13.773,11.925,75.085
126,162.393,240.743,14.677,12.145,14.085
127,18.610,369.618,13.252,13.067,169.876
128,94.226,362.500,14.956,12.429,81.817
129,499.530,290.470,11.492,10.969,90.070
130,126.730,311.361,13.702,11.337,72.624
131,193.570,116.616,7.743,7.071,112.260
132,43.353,90.667,12.721,10.209,147.947
133,412.217,227.383,9.717,7.862,113.156
134,187.985,91.332,12.291,10.463,142.953
135,387.091,24.517,13.897,10.537,170.006
136,335.786,62.622,11.376,10.969,167.895
137,343.908,51.374,12.704,10.323,15.434
138,273.472,25.417,9.955,9.209,74.142
139,260.243,343.929,9.819,9.077,86.050
140,306.655,78.440,10.713,9.983,134.398
141,305.912,61.250,10.172,8.512,80.395
142,325.005,68.833,11.751,10.077,3.103
143,279.351,54.201,11.086,9.992,60.123
144,179.287,25.713,14.683,13.007,10.680
145,315.567,5.983,10.308,7.411,140.987
146,419.931,10.175,13.421,11.669,136.435
147,236.879,14.167,14.656,11.468,3.631
148,300.892,323.541,10.060,9.366,127.187
149,311.134,310.725,10.243,8.825,162.570
150,417.489,242.091,12.043,9.304,137.942
151,364.577,240.397,13.668,10.899,83.228
152,267.030,316.590,12.043,10.572,116.626
153,51.441,214.391,14.417,10.509,102.268
154,212.292,30.608,13.283,11.503,86.513
155,325.345,499.345,11.139,9.602,74.747
156,169.961,484.725,10.989,10.312,122.155
