 ,X,Y,Major,Minor,Angle
1,282.877,82.770,13.994,11.100,91.490
2,292.775,84.971,10.085,6.439,178.123
3,254.135,315.229,11.771,10.384,159.474
4,258.738,53.476,10.831,9.874,156.039
5,239.031,390.327,11.947,10.444,160.824
6,251.156,391.391,9.497,8.581,105.667
7,245.329,401.900,12.152,11.001,173.768
8,208.149,336.404,12.109,9.884,9.827
9,238.859,317.636,14.155,9.265,159.542
10,336.176,480.716,10.238,9.203,48.750
11,333.286,314.565,15.779,13.557,56.480
12,342.656,296.741,13.817,12.993,116.427
13,257.439,14.474,13.599,10.767,72.489
14,295.035,6.421,14.162,9.080,168.766
15,306.799,51.948,10.783,7.911,177.977
16,227.409,33.555,9.292,7.536,63.369
17,352.008,64.172,14.632,10.616,12.315
18,330.480,329.422,9.470,6.857,18.217
19,361.944,308.370,9.004,7.636,56.598
20,387.147,290.265,12.095,10.738,165.098
21,440.189,449.389,11.527,9.941,119.249
22,442.719,502.672,9.352,8.713,43.882
23,370.124,84.665,13.347,10.398,51.866
24,468.366,93.830,12.577,9.820,177.235
25,258.056,144.563,9.673,8.292,1.275
26,290.757,152.149,11.737,8.028,13.878
27,346.161,119.625,10.029,7.109,176.007
28,197.940,212.120,10.390,6.127,63.201
29,196.500,229.062,10.589,8.778,71.492
30,250.760,133.383,10.387,9.438,148.149
31,220.929,207.226,16.267,13.149,114.318
32,141.415,156.479,12.750,9.387,46.336
33,280.877,320.274,9.775,6.903,3.001
34,306.060,318.260,10.408,9.175,36.210
35,313.833,323.963,9.028,7.616,17.118
36,297.453,376.443,12.842,10.510,150.633
37,304.846,169.031,10.706,9.633,126.166
38,320.410,158.336,9.350,9.124,135.427
39,367.177,172.069,10.280,8.051,107.705
40,318.356,196.245,14.375,13.551,125.543
41,200.829,364.138,15.505,12.236,167.821
42,177.370,363.658,20.861,17.395,16.846
43,198.250,204.250,9.523,5.883,45.000
44,140.894,43.010,11.863,11.162,174.019
45,70.933,27.231,14.153,12.055,173.967
46,161.500,143.709,13.231,11.067,20.430
47,213.188,165.897,15.857,11.322,36.010
48,143.839,184.448,13.021,11.245,59.097
49,181.976,229.500,12.706,10.522,170.947
50,108.853,108.065,10.996,9.843,8.748
51,110.242,78.468,11.802,10.033,143.032
52,186.011,281.604,17.567,13.191,124.963
53,148.429,414.153,12.439,10.031,122.164
54,61.298,490.728,13.833,10.493,69.655
55,215.719,479.897,10.618,8.753,60.682
56,190.632,496.877,12.132,11.125,67.007
57,190.460,438.599,13.470,9.547,155.617
58,287.917,360.592,14.458,10.568,166.709
59,248.541,364.811,13.349,11.636,93.214
60,273.916,445.178,15.315,12.388,62.874
61,364.213,322.421,12.401,10.370,175.219
62,341.500,424.667,14.422,12.183,145.759
63,256.593,475.005,11.362,10.870,87.026
64,278.361,480.713,12.881,12.059,100.584
65,277.517,403.662,12.965,11.490,75.597
66,445.913,399.624,12.822,12.015,11.163
67,385.966,501.750,12.450,8.999,177.949
68,460.672,475.844,12.688,9.333,88.626
69,505.908,482.252,17.083,9.317,96.418
70,501.769,387.489,13.237,8.945,96.470
71,432.646,105.288,14.786,11.797,48.421
72,467.350,73.508,13.783,11.732,117.213
73,490.091,117.927,12.246,11.437,43.356
74,355.603,94.004,12.804,11.635,179.201
75,292.931,42.777,9.988,8.286,36.385
76,368.782,34.564,13.562,10.327,162.405
77,334.644,170.675,11.581,10.664,150.423
78,420.571,153.241,12.939,11.022,117.766
79,276.550,61.575,7.650,6.658,139.085
80,320.067,132.592,13.041,11.716,61.610
81,323.836,114.697,13.913,11.165,29.506
82,87.726,205.938,14.816,12.547,90.654
83,26.706,180.271,16.876,13.203,123.155
84,35.648,165.696,18.424,13.061,67.668
85,327.467,448.992,14.837,10.469,105.043
86,242.500,488.397,10.661,10.391,54.277
87,298.827,354.898,12.475,10.002,132.696
88,466.690,432.429,7.502,7.129,122.178
89,120.797,459.250,13.703,11.893,165.448
90,158.045,456.688,13.206,9.738,88.391
91,489.883,502.875,13.419,11.386,159.756
92,148.616,167.326,11.180,7.858,65.576
93,176.267,171.117,12.307,6.208,8.832
94,124.511,173.121,11.642,9.515,8.315
95,71.202,100.649,12.212,9.801,49.938
96,4.419,133.698,12.756,8.584,65.487
97,303.797,46.257,10.241,4.600,10.517
98,288.422,342.172,9.906,8.226,61.969
99,172.018,327.625,9.390,7.593,158.068
100,127.430,82.184,9.490,7.648,148.878
101,195.539,35.598,9.202,7.056,172.919
102,233.037,94.870,9.091,7.563,142.559
103,234.500,86.414,8.894,8.303,21.733
104,332.964,499.428,13.187,9.366,86.990
105,204.972,90.083,10.262,8.933,160.292
106,452.868,133.695,11.274,9.826,108.150
107,242.630,335.070,12.001,10.610,127.578
108,68.841,238.659,11.505,9.075,129.618
109,109.932,258.554,12.675,11.150,83.568
110,75.864,229.795,14.737,7.603,115.464
111,204.315,345.130,10.296,6.678,151.307
112,160.428,340.703,10.332,8.503,163.304
113,361.000,382.049,11.157,9.358,118.506
114,391.279,406.826,11.898,9.203,1.983
115,345.539,168.657,8.933,7.269,100.973
116,306.148,150.296,10.084,6.818,173.292
117,322.054,178.476,10.970,9.633,86.467
118,349.667,177.889,10.652,8.606,107.716
119,371.793,286.673,10.464,9.126,28.461
120,420.232,283.890,13.205,11.860,104.276
121,348.338,308.809,10.308,8.400,35.025
122,215.623,219.588,9.050,8.019,155.224
123,467.531,133.844,9.551,8.531,31.781
124,445.487,122.487,10.513,9.084,178.724
125,436.486,116.865,11.674,8.071,37.608
126,384.761,154.652,11.927,9.821,174.772
127,323.211,298.513,14.957,13.535,41.709
128,439.326,94.630,10.379,8.464,150.946
129,255.742,96.647,11.352,10.655,157.560
130,248.537,365.154,14.625,9.315,104.717
131,395.884,419.857,14.395,9.907,162.320
132,205.925,258.404,19.415,10.952,137.797
133,342.200,342.822,12.035,9.522,168.755
134,332.565,75.084,12.155,8.066,13.210
135,328.453,329.535,11.855,9.129,2.912
136,278.579,349.286,15.355,10.448,149.369
137,264.762,307.164,15.215,10.209,141.114
138,255.524,329.532,13.647,11.569,169.728
139,318.364,316.473,14.090,9.940,10.414
140,212.043,232.826,15.378,10.681,35.278
141,367.342,102.550,14.756,10.354,147.177
142,207.574,376.142,18.274,10.312,172.471
143,212.945,357.332,15.754,11.073,164.616
144,218.806,369.437,13.852,10.203,152.315
145,214.130,146.630,16.419,11.942,89.788
146,233.513,194.311,18.816,15.766,62.980
